Open,High,Low,Close,Volume,OpenInt
173.62,175.92,171.69,175.3,15071,0
175.37,177.04,173.27,177.04,4585,0
177.04,179.99,174.65,179.28,11737,0
180.19,180.19,176.62,177.95,5873,0
177.69,179.75,175.51,179.61,5726,0
179.75,179.75,177.34,178.72,6858,0
178.37,181.45,178.01,181.03,4982,0
181.45,181.45,179.42,180.06,13411,0
179.42,179.42,174.83,175.78,8077,0
175.64,177.61,175.3,177.34,7390,0
176.7,176.7,174.77,175.02,7435,0
175.02,176.2,175.02,175.51,5859,0
175.3,178.09,175.3,175.64,5095,0
175.45,176.7,175.45,176.41,7023,0
176.41,177.34,175.37,176.97,5124,0
176.33,176.77,175.3,175.3,3219,0
175.64,177.2,175.24,175.98,3598,0
177.04,180.19,174.96,175.3,10002,0
175.98,177.04,171.91,173.69,9502,0
175.02,177.34,175.02,177.16,6109,0
177.47,177.61,174.16,174.65,9079,0
174.65,175.3,172.85,172.99,10719,0
172.78,174.65,172.78,173.62,4095,0
174.3,174.65,171.24,174.65,12733,0
174.65,174.65,169.8,170.89,18420,0
171.91,171.91,170.2,170.67,9960,0
170.67,171.16,169.38,170.14,9754,0
170.89,170.89,169.25,170.01,10854,0
170.14,170.2,168.3,168.51,18492,0
169.53,169.53,168.37,168.37,2821,0
169.04,169.04,166.47,167.42,7787,0
167.76,168.09,166.94,167.28,13499,0
166.81,168.02,165.77,166.11,6683,0
166.11,166.47,165.1,165.64,4217,0
165.1,165.7,163.39,164.51,20121,0
163.73,164.09,162.78,163.24,16862,0
163.39,163.73,161.36,161.7,35250,0
161.36,161.92,160.66,161.36,11340,0
161.56,161.56,155.55,156.52,51322,0
155.55,163.67,155.55,163.6,25545,0
161.92,163.6,161.63,162.13,6979,0
162.37,162.92,160.32,160.32,6007,0
160.01,160.32,157.94,158.56,7929,0
158.28,159.67,152.17,157.94,7899,0
158.28,160.86,158.28,160.59,15156,0
160.79,164.37,160.79,163.24,20459,0
163.24,163.39,162.52,163.39,10045,0
163.67,164.37,161.77,162.06,15953,0
160.66,161.0,157.94,159.88,10382,0
160.32,160.79,159.12,159.67,5066,0
159.25,159.4,157.55,158.9,5936,0
158.4,159.4,158.06,159.04,4232,0
158.77,158.77,157.62,158.35,2996,0
158.62,160.38,158.06,158.06,2674,0
158.35,158.56,156.39,157.48,5625,0
158.06,160.66,158.06,160.32,7943,0
160.66,160.66,158.28,160.66,4142,0
160.32,161.36,159.75,160.52,9841,0
160.66,161.0,159.82,159.88,3498,0
159.4,161.7,159.19,159.75,2481,0
158.62,160.94,158.62,160.01,8020,0
160.12,160.12,157.36,157.94,7855,0
157.62,157.94,156.59,156.94,13087,0
156.94,158.56,156.94,158.01,5671,0
158.28,159.67,157.36,158.62,9929,0
158.62,162.98,158.49,162.92,6462,0
162.37,167.55,162.37,164.9,8418,0
164.76,165.51,164.37,164.37,4320,0
164.51,164.63,162.06,162.06,6611,0
161.7,163.17,161.42,163.17,2629,0
163.39,164.09,161.36,161.36,3259,0
161.0,161.0,156.25,157.28,17452,0
157.28,159.67,157.28,157.68,17377,0
157.62,158.06,157.14,158.06,20181,0
157.94,160.01,157.81,160.01,6713,0
160.01,164.15,159.88,164.09,13955,0
164.02,164.09,160.94,161.36,10648,0
161.7,163.94,160.66,160.86,4830,0
160.94,165.44,160.66,165.44,11529,0
164.63,164.63,162.92,164.02,24413,0
164.09,165.7,163.94,165.3,5169,0
165.3,170.2,165.1,170.2,12822,0
170.2,170.2,168.51,169.53,17701,0
169.38,170.14,168.79,169.12,11998,0
168.84,170.27,168.38,169.04,27690,0
169.25,170.14,168.84,169.53,18317,0
168.51,169.87,168.51,169.87,14351,0
170.08,171.69,169.53,171.69,16011,0
171.03,171.69,169.38,169.8,10444,0
169.87,170.54,169.32,170.54,9311,0
170.36,172.11,170.36,171.37,5831,0
169.53,169.53,168.02,169.38,3528,0
170.89,171.57,170.2,170.2,6507,0
170.54,171.57,169.53,169.8,12486,0
168.43,171.91,168.09,171.91,7023,0
171.91,174.65,171.1,174.23,18214,0
174.23,174.23,170.89,171.03,3219,0
170.89,171.43,169.04,171.24,3087,0
170.67,170.67,169.12,169.8,4772,0
170.08,172.11,169.94,171.98,20606,0
171.84,172.91,171.57,172.91,15451,0
172.26,172.66,170.08,170.67,5273,0
171.43,171.84,170.61,171.69,14648,0
172.05,172.26,170.36,171.16,10078,0
171.16,171.24,169.87,170.89,11614,0
170.89,170.89,169.32,169.32,15126,0
170.01,171.84,170.01,170.2,9916,0
172.59,174.96,172.39,173.62,50378,0
173.27,174.3,173.2,173.62,30755,0
173.69,173.69,170.81,171.5,15879,0
171.91,172.52,168.51,168.71,19359,0
168.57,168.98,168.51,168.57,19255,0
168.57,169.53,168.51,169.53,12968,0
170.14,170.2,168.57,169.19,3908,0
168.71,169.74,168.57,168.63,1567,0
168.63,169.94,167.48,167.81,18125,0
167.48,168.71,167.48,168.51,2382,0
168.37,168.37,166.11,166.4,3394,0
165.91,170.08,165.91,168.51,8931,0
168.84,169.19,168.51,169.12,3174,0
168.63,168.92,167.81,168.79,4613,0
168.51,168.57,165.77,165.77,2367,0
165.44,167.01,165.44,166.11,2233,0
165.77,167.08,165.44,166.81,8491,0
167.48,167.48,166.32,166.6,7256,0
166.11,167.81,166.11,166.94,4967,0
166.68,171.03,166.68,170.81,22176,0
170.54,171.1,169.53,170.67,7842,0
169.53,169.8,168.51,168.57,18241,0
167.63,167.69,163.45,164.31,37675,0
163.39,163.39,154.96,158.56,92317,0
158.62,158.62,154.9,156.46,25616,0
156.59,156.59,139.59,146.3,94771,0
146.44,147.68,139.59,139.7,54845,0
139.78,139.78,124.03,127.97,523617,0
129.36,129.48,121.18,124.54,173848,0
124.59,129.56,123.9,128.47,105017,0
129.36,131.4,128.47,130.12,185568,0
130.12,132.44,127.38,131.73,106520,0
131.46,131.46,128.02,128.32,62851,0
129.01,129.77,127.31,129.15,57225,0
128.8,135.21,128.32,135.01,75851,0
135.01,135.01,120.85,121.18,185349,0
121.18,121.51,113.71,117.44,170090,0
116.27,116.34,100.44,105.86,323661,0
105.94,105.94,84.894,99.59,651768,0
100.97,109.69,95.799,108.59,437704,0
109.26,117.44,108.92,111.45,219306,0
111.45,112.34,104.5,105.55,106268,0
105.55,105.6,99.071,100.84,102257,0
100.84,103.43,99.51,100.77,96032,0
100.77,100.77,91.516,91.633,379585,0
90.962,93.474,89.862,90.757,333328,0
90.757,91.847,90.202,90.202,125116,0
91.097,91.168,89.79,90.202,77567,0
91.097,91.569,87.554,88.515,71946,0
88.168,89.389,85.789,87.554,65319,0
94.019,94.019,86.883,88.861,80477,0
89.667,90.13,87.145,87.145,74088,0
87.209,87.28,85.23,85.646,30067,0
85.646,86.123,85.301,85.437,31405,0
85.437,86.746,85.301,85.852,52025,0
86.196,86.537,84.894,85.716,64450,0
86.331,87.209,83.394,83.465,64876,0
83.067,84.495,79.994,83.394,118607,0
83.067,83.394,81.008,82.109,22546,0
82.38,82.994,81.702,82.453,63574,0
83.123,83.664,81.421,81.838,56596,0
81.974,81.974,78.253,78.294,92370,0
78.227,78.969,74.346,75.026,93329,0
74.891,74.891,71.624,72.574,75777,0
72.166,72.778,67.877,69.58,214389,0
69.58,75.435,69.104,73.531,158382,0
73.531,75.232,73.258,74.756,140858,0
74.891,79.658,74.821,77.613,219030,0
77.682,79.524,76.536,78.431,101448,0
82.046,82.453,79.796,81.143,230820,0
74.891,81.974,74.891,81.974,217751,0
82.109,82.109,78.769,79.938,162023,0
79.796,81.702,78.294,81.421,107973,0
81.421,84.017,79.316,83.465,113980,0
85.101,86.402,82.715,85.437,105447,0
89.192,89.192,86.883,88.311,172263,0
88.861,89.128,87.209,87.682,126066,0
87.554,88.933,87.145,88.861,110221,0
89.067,95.451,88.995,93.34,230677,0
93.34,93.412,89.335,90.828,207440,0
91.774,91.909,89.523,91.034,179870,0
90.552,91.239,86.537,87.145,149877,0
85.852,88.238,85.437,87.406,113465,0
87.823,88.238,87.145,88.238,38163,0
88.933,89.192,85.174,85.23,47429,0
85.174,86.81,84.082,85.852,89189,0
86.123,86.883,85.58,86.675,76800,0
86.81,89.452,86.602,87.209,117869,0
87.28,87.823,86.746,87.554,114992,0
87.145,87.145,85.101,86.196,104257,0
86.883,87.073,85.373,85.437,53083,0
85.437,85.646,82.516,83.123,68725,0
83.53,83.53,82.453,83.53,40434,0
85.101,87.073,85.101,85.58,66418,0
86.81,87.073,86.331,86.81,28509,0
87.073,88.861,86.123,88.861,67535,0
89.996,89.996,88.238,88.995,63012,0
90.899,91.007,89.254,89.594,85221,0
90.282,90.552,88.933,89.067,60428,0
90.202,90.202,87.554,87.823,120854,0
87.554,88.515,85.437,87.209,69577,0
87.209,88.026,86.123,87.346,75392,0
87.406,88.168,86.537,87.823,85561,0
88.515,89.335,87.823,88.444,32300,0
89.128,90.202,89.128,89.335,45782,0
90.067,90.336,88.577,88.861,63787,0
89.523,90.13,87.346,87.753,63530,0
87.682,88.791,86.123,88.238,151054,0
