Open,High,Low,Close,Volume,OpenInt
11.98,12.19,11.962,12.056,89092,0
12.081,12.105,11.788,11.861,194136,0
11.876,12.09,11.869,12.056,143742,0
11.98,12.19,11.947,11.988,126322,0
12.063,12.172,11.971,12.172,172862,0
12.283,12.364,12.158,12.364,63958,0
12.371,12.433,12.253,12.269,75260,0
12.269,12.269,12.097,12.12,111562,0
12.049,12.056,11.829,11.861,84303,0
11.938,12.063,11.845,11.915,92947,0
11.883,12.008,11.883,11.938,58504,0
12.008,12.072,11.876,12.072,79116,0
12.12,12.26,12.097,12.097,99592,0
12.097,12.19,11.988,12.12,61298,0
12.128,12.128,11.915,11.954,74061,0
12.09,12.09,11.897,11.947,164615,0
11.947,12.008,11.938,11.962,50663,0
12.039,12.113,11.938,11.947,39890,0
11.947,11.947,11.671,11.688,100660,0
11.766,11.891,11.75,11.869,85632,0
11.869,11.988,11.609,11.639,112492,0
11.577,11.696,11.49,11.696,135095,0
11.774,11.995,11.774,11.995,88960,0
11.947,12.056,11.861,11.995,153711,0
12.072,12.072,11.728,11.923,106907,0
11.915,11.995,11.75,11.962,63157,0
11.947,12.049,11.947,11.954,33508,0
12.031,12.105,11.712,11.735,123660,0
11.688,11.742,11.647,11.712,202513,0
11.639,11.759,11.57,11.639,60771,0
11.688,11.712,11.563,11.6,64092,0
11.617,11.861,11.46,11.854,143339,0
11.845,11.845,11.57,11.585,79519,0
11.656,11.728,11.563,11.585,302641,0
11.6,11.647,11.371,11.585,102919,0
11.633,11.728,11.555,11.712,54252,0
11.577,11.712,11.49,11.688,109034,0
11.664,11.664,11.467,11.609,132306,0
11.679,11.712,11.49,11.671,169934,0
11.6,11.788,11.577,11.704,204110,0
11.75,11.766,11.593,11.742,379495,0
11.712,11.897,11.563,11.897,73532,0
11.845,11.915,11.6,11.813,55314,0
11.788,11.891,11.639,11.759,53987,0
11.766,12.008,11.625,11.971,76723,0
11.971,11.971,11.829,11.897,30847,0
11.897,11.906,11.75,11.845,40025,0
11.845,12.056,11.822,11.938,126188,0
11.897,11.947,11.796,11.938,121135,0
11.938,11.938,11.788,11.788,68080,0
11.813,11.947,11.742,11.938,121003,0
11.861,11.947,11.861,11.938,72733,0
11.938,12.008,11.796,11.938,83903,0
11.938,11.971,11.75,11.829,60235,0
11.829,11.861,11.609,11.625,49328,0
11.577,11.861,11.577,11.861,37630,0
11.796,11.861,11.742,11.861,113558,0
11.861,12.008,11.796,11.962,1134639,0
11.962,12.158,11.954,12.049,150390,0
