Open,High,Low,Close,Volume,OpenInt
2.74,2.75,2.65,2.74,101300,0
2.7,2.72,2.45,2.61,245800,0
2.61,2.61,2.46,2.58,145300,0
2.57,2.57,2.25,2.44,250000,0
2.3,2.36,2.25,2.3,212500,0
2.15,2.35,2.12,2.27,198800,0
2.23,2.31,2.21,2.31,81900,0
2.3,2.3,2.26,2.29,21600,0
2.29,2.4,2.05,2.18,212400,0
2.15,2.23,1.92,2.05,338800,0
2.22,2.41,2.15,2.35,438300,0
2.41,2.48,2.3,2.44,176400,0
2.48,2.58,2.4,2.5,173300,0
2.52,2.6,2.5,2.55,155000,0
2.55,2.6,2.45,2.45,76700,0
2.45,2.54,2.35,2.45,101300,0
2.49,2.56,2.46,2.49,74100,0
2.55,2.6,2.48,2.52,128800,0
2.46,2.55,2.45,2.52,60000,0
2.54,2.56,2.45,2.47,109400,0
2.5,2.5,2.25,2.29,82700,0
2.3,2.4,2.25,2.35,122500,0
2.37,2.45,2.29,2.44,265800,0
2.39,2.45,2.32,2.41,101400,0
2.36,2.5,2.33,2.5,30600,0
2.4,2.55,2.38,2.51,109800,0
2.55,2.56,2.44,2.49,64700,0
2.54,2.57,2.49,2.57,76000,0
2.56,2.61,2.51,2.53,85200,0
2.59,2.6,2.54,2.54,71100,0
2.59,2.59,2.4,2.45,95400,0
2.45,2.47,2.41,2.46,104000,0
2.49,2.53,2.4,2.46,77600,0
2.49,2.49,2.42,2.45,47500,0
2.47,2.49,2.35,2.41,113000,0
2.41,2.55,2.41,2.55,156000,0
2.56,2.56,2.46,2.5,43900,0
2.47,2.52,2.47,2.52,91600,0
2.52,2.55,2.5,2.55,76500,0
2.55,2.59,2.5,2.59,92800,0
2.59,2.65,2.52,2.65,132300,0
2.64,2.73,2.6,2.65,118000,0
2.67,2.71,2.61,2.67,88500,0
2.8,2.94,2.7,2.86,407000,0
2.81,2.9,2.8,2.84,101900,0
2.87,2.89,2.8,2.82,149600,0
2.81,2.88,2.79,2.88,89900,0
2.9,3.1,2.88,3.0,306800,0
3.0,3.1,2.91,2.99,228400,0
3.0,3.05,2.92,3.04,120700,0
3.05,3.27,3.04,3.2,409300,0
3.15,3.26,3.11,3.21,320000,0
3.2,3.24,3.17,3.17,71100,0
3.21,3.4,3.17,3.18,283600,0
3.19,3.21,2.8,3.05,317200,0
3.05,3.24,2.95,3.04,107800,0
3.02,3.12,3.0,3.1,69200,0
3.14,3.15,3.06,3.15,51600,0
3.15,3.18,3.01,3.16,130000,0
3.06,3.19,3.05,3.19,68000,0
3.2,3.21,3.16,3.19,97800,0
3.18,3.35,3.1,3.35,412900,0
3.35,3.54,3.2,3.52,350700,0
3.53,3.67,3.36,3.46,249000,0
3.52,3.65,3.48,3.65,245000,0
3.7,3.85,3.5,3.8,306400,0
3.83,3.85,3.75,3.79,213000,0
3.8,3.83,3.75,3.8,196300,0
3.8,3.8,3.71,3.75,88900,0
3.85,3.9,3.73,3.79,155000,0
3.79,3.8,3.65,3.71,107000,0
3.68,3.7,3.51,3.63,194500,0
3.53,3.8,3.53,3.73,102800,0
3.73,3.79,3.71,3.76,82200,0
3.79,3.8,3.68,3.77,102700,0
3.8,4.08,3.8,4.03,641900,0
3.96,4.05,3.93,4.0,222500,0
4.05,4.15,3.95,4.02,207400,0
3.92,4.19,3.9,4.1,193800,0
4.1,4.15,4.01,4.15,109500,0
4.15,4.2,4.05,4.07,128600,0
4.12,4.18,3.95,3.98,96000,0
3.91,3.95,3.72,3.81,266300,0
3.75,3.81,3.6,3.66,126300,0
3.67,3.9,3.67,3.84,250700,0
3.98,3.98,3.86,3.9,112500,0
3.91,3.99,3.9,3.98,148000,0
4.0,4.08,3.9,4.02,274900,0
4.01,4.03,3.95,4.0,61900,0
4.0,4.0,3.78,3.9,187100,0
3.98,3.98,3.85,3.88,29000,0
3.86,3.99,3.76,3.99,114800,0
3.99,4.24,3.99,4.24,168200,0
4.22,4.27,4.15,4.27,243300,0
4.25,4.45,4.24,4.32,154800,0
4.4,4.52,4.3,4.5,250500,0
4.5,4.55,4.4,4.52,189400,0
4.52,4.53,4.43,4.51,74400,0
4.46,4.5,4.2,4.39,201900,0
4.45,4.5,4.4,4.46,86400,0
4.49,4.7,4.47,4.69,239600,0
4.69,4.7,4.66,4.7,201800,0
4.7,4.7,4.6,4.69,90400,0
4.7,4.7,4.6,4.7,200900,0
4.7,4.7,4.56,4.56,106600,0
4.6,4.69,4.45,4.47,147700,0
4.49,4.89,4.35,4.76,1945900,0
5.75,6.96,5.7,5.97,6823800,0
6.12,6.26,5.75,5.83,1677400,0
5.83,5.87,5.35,5.53,1091100,0
5.33,5.49,5.04,5.38,864300,0
5.48,5.7,5.41,5.63,423000,0
5.5,5.61,5.4,5.6,279100,0
5.43,5.5,5.27,5.3,460000,0
5.09,5.25,5.08,5.11,359900,0
5.06,5.2,5.01,5.12,272700,0
5.12,5.4,5.07,5.35,199500,0
5.45,5.69,5.42,5.68,422900,0
5.75,5.88,5.67,5.84,423400,0
5.99,6.0,5.83,5.93,713400,0
5.93,5.94,5.7,5.7,287900,0
5.61,5.69,5.35,5.63,296700,0
5.5,5.6,5.4,5.51,152300,0
5.51,5.8,5.5,5.69,253300,0
5.75,5.85,5.61,5.62,135500,0
5.6,5.65,5.5,5.53,132100,0
5.52,5.55,5.41,5.44,133800,0
5.42,5.47,5.05,5.18,344300,0
5.15,5.29,5.12,5.29,151300,0
5.26,5.35,5.14,5.23,191100,0
5.2,5.29,5.08,5.25,251100,0
5.16,5.25,5.06,5.07,217400,0
5.05,5.2,5.05,5.19,157700,0
5.15,5.35,5.15,5.31,171500,0
5.35,5.47,4.7,4.95,936700,0
5.04,5.17,5.0,5.01,556400,0
5.01,5.01,4.9,4.93,340000,0
4.93,4.93,4.5,4.72,591400,0
4.68,4.72,4.38,4.4,579500,0
4.4,4.51,4.15,4.49,629300,0
4.68,4.7,4.23,4.48,807500,0
4.57,4.65,4.5,4.63,457100,0
4.78,4.85,4.57,4.64,439200,0
4.89,5.27,4.87,5.23,1404100,0
5.33,5.45,5.02,5.31,738900,0
5.32,5.6,5.31,5.59,667100,0
5.69,5.7,5.4,5.54,512600,0
5.45,5.63,5.45,5.52,293500,0
5.54,5.7,5.28,5.65,563200,0
5.68,5.7,5.5,5.6,211500,0
5.6,5.62,5.5,5.56,208100,0
5.51,5.62,5.3,5.62,413300,0
5.64,5.72,5.37,5.54,774200,0
5.5,5.55,5.4,5.46,360200,0
5.46,5.48,5.28,5.28,268500,0
5.25,5.3,4.92,5.01,388600,0
