Open,High,Low,Close,Volume,OpenInt
8.5228,8.6786,8.5228,8.6786,192981,0
8.7438,8.8668,8.7275,8.8181,90456,0
8.8262,8.9005,8.7773,8.8506,87531,0
8.8506,8.8506,8.6786,8.8425,66439,0
8.8587,8.8922,8.8425,8.8759,133855,0
8.8759,8.9665,8.8668,8.9411,94235,0
8.9665,8.9982,8.8425,8.9005,125931,0
8.9583,9.047,8.9086,8.933,74243,0
8.9583,9.0308,8.9492,8.9827,90212,0
8.9411,8.9746,8.9167,8.9746,49738,0
8.9982,8.9982,8.7275,8.9248,127149,0
8.7935,8.9086,8.6786,8.7275,72048,0
8.8099,8.8587,8.7275,8.7601,108621,0
8.7601,8.7682,8.6542,8.6786,59979,0
8.6134,8.6786,8.58,8.6542,29014,0
8.6786,8.6867,8.6542,8.6542,30965,0
8.646,8.6542,8.4816,8.4816,54859,0
8.5473,8.5473,8.4489,8.4983,58515,0
8.3915,8.3915,8.1536,8.2603,208709,0
8.2356,8.3915,8.2356,8.3669,47543,0
8.3915,8.3915,8.2768,8.3341,50835,0
8.285,8.3176,8.1618,8.211,31574,0
8.2438,8.2438,8.0307,8.1454,83020,0
8.2028,8.285,8.1947,8.211,62782,0
8.2603,8.3176,8.2438,8.2438,68390,0
8.2521,8.2521,8.1372,8.1865,74973,0
8.1783,8.2356,8.1783,8.2193,42790,0
8.2193,8.3915,8.2193,8.2438,57175,0
8.2521,8.3176,8.2521,8.285,55956,0
8.285,8.3915,8.2603,8.285,123616,0
8.2275,8.3341,8.211,8.2356,54737,0
8.2603,8.3258,8.2028,8.2603,58150,0
8.3176,8.3258,8.2356,8.2438,36085,0
8.211,8.3341,8.129,8.1947,32794,0
8.0963,8.0963,7.7434,7.8501,118373,0
7.6697,7.7681,7.6123,7.6369,340125,0
7.7352,7.8337,7.7107,7.7272,200905,0
7.7846,7.9076,7.7846,7.8091,77169,0
7.8501,7.9977,7.8091,7.9732,66806,0
7.9977,8.1127,7.9404,7.9649,61198,0
8.0307,8.0963,7.9814,7.9814,22797,0
7.9158,7.9977,7.8829,7.9321,48764,0
7.8748,7.9321,7.842,7.8829,40717,0
7.8667,8.0307,7.8172,7.8255,77900,0
7.8501,7.9076,7.8172,7.8748,48520,0
7.9404,8.0635,7.9404,8.0307,39132,0
8.0635,8.2028,8.0307,8.1536,50835,0
8.1947,8.3833,8.1536,8.293,53883,0
8.2768,8.5392,8.2438,8.293,31574,0
8.4571,8.4654,8.3588,8.3669,18651,0
8.3915,8.3915,8.1783,8.285,24746,0
8.4244,8.4489,8.2275,8.2438,27673,0
8.2275,8.2685,8.1783,8.2521,17190,0
8.3013,8.4244,8.1947,8.1947,14873,0
8.1783,8.2603,8.0635,8.1045,18651,0
8.0797,8.2275,8.0388,8.088,37792,0
8.0307,8.0635,7.9076,7.9732,43156,0
7.9732,8.2275,7.9732,8.129,32184,0
8.211,8.2603,8.1947,8.2275,24991,0
