Open,High,Low,Close,Volume,OpenInt
19.6,19.88,19.46,19.46,30404,0
19.32,19.74,19.04,19.18,50109,0
19.04,20.3,19.04,19.74,46392,0
22.26,22.26,20.58,21.42,291693,0
21.7,21.98,20.44,21.0,69417,0
20.86,21.0,20.44,20.44,47094,0
20.02,20.86,20.02,20.44,30266,0
20.44,20.86,20.3,20.44,39898,0
20.44,20.72,20.16,20.44,42537,0
20.3,20.58,19.32,19.46,57285,0
19.6,20.02,19.32,19.46,32892,0
19.74,19.88,19.46,19.88,32057,0
20.02,20.44,19.46,19.46,42319,0
19.46,19.74,19.18,19.32,42313,0
19.46,19.6,19.18,19.32,38251,0
19.32,19.6,19.04,19.18,35725,0
19.04,19.33,17.78,18.34,93769,0
18.2,18.48,17.64,17.64,83836,0
17.92,18.48,17.78,18.48,39336,0
18.62,18.76,18.2,18.2,55298,0
18.2,18.9,18.2,18.62,44030,0
22.4,24.92,20.44,21.42,1245252,0
21.28,21.28,20.02,20.58,154877,0
21.14,21.28,19.32,19.46,195452,0
20.3,20.3,18.9,19.32,79426,0
19.18,20.44,19.18,19.46,116508,0
19.46,20.02,19.18,19.46,68112,0
20.02,20.16,19.18,19.46,70393,0
19.46,19.6,18.76,19.04,68636,0
18.9,19.46,18.9,19.32,50191,0
19.04,19.32,18.76,18.76,33945,0
19.32,19.46,18.9,19.04,64718,0
19.04,19.32,18.06,18.34,87510,0
18.34,18.76,18.06,18.06,49554,0
18.06,18.2,17.08,17.36,82624,0
17.36,17.64,16.94,17.5,60238,0
17.36,17.92,17.36,17.92,27241,0
17.92,19.32,17.64,17.92,56697,0
18.06,18.2,17.78,17.78,31833,0
18.06,18.06,17.5,17.5,29337,0
17.5,17.92,16.94,17.08,43752,0
17.22,17.64,17.08,17.08,38794,0
17.08,17.5,17.08,17.5,26050,0
17.64,17.92,17.08,17.78,44474,0
17.78,18.48,17.36,17.5,56050,0
17.5,17.65,17.08,17.22,24123,0
17.36,17.5,16.94,16.94,20622,0
16.94,17.36,16.8,17.36,34787,0
17.5,17.92,17.08,17.08,15135,0
16.94,17.5,16.94,17.22,25113,0
17.08,17.22,16.94,17.22,22709,0
17.22,17.92,16.94,17.92,39463,0
18.2,18.62,17.08,17.08,88917,0
17.22,17.36,16.94,17.08,37362,0
17.08,17.22,16.94,16.94,30393,0
16.94,17.36,14.84,15.54,146900,0
15.82,16.1,14.0,14.42,205302,0
14.56,14.98,14.42,14.84,68720,0
14.98,14.98,14.42,14.84,40290,0
14.7,14.84,14.7,14.7,28976,0
14.7,16.1,14.7,15.96,59919,0
15.69,15.82,15.12,15.12,26340,0
14.98,15.12,14.56,15.12,18388,0
14.84,15.26,14.7,14.84,30568,0
14.84,14.98,14.7,14.84,18372,0
15.12,15.12,14.56,14.84,37164,0
14.42,14.98,14.42,14.56,25568,0
14.56,14.84,14.42,14.7,28547,0
14.84,14.84,14.14,14.42,33032,0
14.28,14.56,14.14,14.14,32183,0
14.28,14.98,14.14,14.84,58462,0
14.98,14.98,14.42,14.56,20813,0
14.56,14.7,14.42,14.56,16050,0
14.56,14.7,14.28,14.42,23279,0
14.42,14.56,14.28,14.28,25342,0
14.14,14.84,14.14,14.42,55261,0
14.56,14.84,14.27,14.28,32593,0
14.28,14.84,14.28,14.56,20966,0
14.42,14.84,14.42,14.84,20848,0
14.84,15.68,14.42,15.4,89939,0
15.4,16.38,15.4,15.68,56690,0
15.68,16.8,15.54,16.1,82045,0
16.24,16.66,15.54,15.68,34623,0
15.68,16.24,14.84,15.12,23512,0
14.84,15.12,14.7,14.84,24857,0
14.84,15.12,14.7,14.7,18132,0
15.12,15.4,14.7,14.7,14520,0
14.7,14.98,14.7,14.7,13574,0
14.84,15.12,14.7,14.84,8187,0
14.7,15.12,14.7,14.7,19810,0
14.7,15.12,14.7,14.84,20613,0
15.68,15.82,15.12,15.12,76959,0
15.12,15.4,14.98,15.12,24793,0
16.1,16.1,15.26,15.54,34925,0
15.54,16.1,15.54,15.96,37974,0
15.96,16.24,15.96,16.24,39945,0
16.38,16.66,16.0,16.1,34334,0
16.1,16.24,15.68,15.82,19949,0
16.38,16.38,15.68,15.82,14726,0
15.68,16.1,15.54,15.54,27585,0
15.68,15.96,15.4,15.68,21668,0
15.54,16.66,15.4,15.82,82821,0
15.96,15.96,15.54,15.54,29947,0
15.68,15.96,15.54,15.54,24203,0
15.54,15.82,15.4,15.68,25289,0
15.68,15.82,15.26,15.26,34819,0
15.82,15.82,15.26,15.4,19157,0
15.82,15.82,15.26,15.4,27432,0
15.68,15.68,15.19,15.26,26928,0
15.26,16.1,15.26,15.4,130812,0
15.54,15.68,15.4,15.54,30427,0
