Open,High,Low,Close,Volume,OpenInt
19.287,19.741,19.097,19.503,385483,0
19.657,19.741,19.204,19.358,229933,0
19.158,19.41,18.875,19.172,291525,0
18.905,19.272,18.82,19.089,163642,0
19.134,19.165,18.147,18.368,334851,0
18.714,18.905,18.637,18.752,262557,0
18.851,19.051,18.376,18.483,247159,0
18.391,18.414,18.138,18.162,175387,0
17.933,18.109,17.871,17.986,201484,0
17.948,17.955,17.603,17.641,158943,0
17.986,18.032,17.142,17.142,225495,0
16.767,16.767,16.407,16.666,388614,0
16.666,16.666,16.23,16.399,261774,0
16.421,16.982,16.346,16.666,262295,0
16.721,17.587,16.721,17.334,284480,0
17.548,17.587,17.027,17.074,263600,0
16.882,16.882,16.346,16.499,277955,0
16.744,16.744,15.579,15.593,292572,0
15.541,15.541,15.059,15.204,530855,0
15.465,15.679,15.465,15.541,321802,0
15.617,15.993,15.288,15.288,288133,0
15.671,15.694,14.821,14.867,139107,0
14.926,15.348,14.698,15.158,325976,0
15.426,15.786,15.311,15.503,220537,0
16.077,16.17,15.579,15.97,241154,0
15.702,15.962,15.119,15.732,262557,0
16.001,16.055,15.571,15.571,206183,0
15.517,15.587,15.004,15.227,373999,0
15.311,15.479,15.119,15.465,175648,0
15.348,16.032,15.25,15.764,237762,0
15.847,15.886,15.541,15.694,120317,0
15.702,15.871,15.503,15.748,266993,0
16.123,16.384,15.94,15.962,309797,0
16.055,16.055,14.859,14.889,170688,0
14.661,14.744,14.162,14.468,290482,0
14.239,14.491,14.178,14.339,226020,0
14.775,15.196,14.775,15.119,412627,0
15.273,15.411,14.859,14.989,235152,0
15.082,15.158,14.751,14.965,229933,0
15.196,15.273,14.813,14.889,203835,0
15.158,15.571,15.082,15.503,135194,0
15.456,15.541,15.348,15.356,93956,0
15.465,15.503,15.119,15.356,143022,0
15.25,15.273,14.629,14.675,257076,0
15.059,15.303,14.544,15.004,132583,0
15.326,15.326,14.926,15.119,85344,0
15.043,15.188,14.974,15.173,205661,0
15.465,15.916,15.411,15.809,92652,0
15.886,15.916,15.503,15.593,244287,0
15.61,15.671,15.326,15.334,195220,0
15.365,15.365,14.944,15.119,486487,0
14.95,14.95,14.222,14.506,674923,0
14.544,14.544,14.092,14.36,382352,0
14.483,14.483,13.778,13.778,270648,0
13.794,14.008,13.74,13.771,258381,0
13.771,14.3,13.771,14.162,128670,0
14.239,14.353,14.0,14.315,168861,0
14.506,14.636,14.415,14.452,424892,0
14.606,14.606,14.192,14.277,168077,0
14.398,14.398,13.778,13.816,121361,0
13.854,13.877,13.395,13.533,217928,0
13.281,13.702,13.088,13.702,411321,0
14.239,14.239,13.678,13.755,118098,0
13.778,13.924,13.672,13.854,88477,0
14.008,14.392,13.97,14.392,136106,0
14.851,14.851,14.261,14.483,162207,0
14.468,14.882,14.46,14.644,135845,0
14.759,15.962,14.759,15.847,291135,0
16.307,16.399,15.395,15.732,164163,0
15.311,15.311,14.476,14.867,331067,0
14.43,14.622,14.054,14.085,504625,0
14.506,14.775,13.64,13.931,413539,0
13.149,13.395,13.073,13.281,470957,0
13.64,13.893,13.472,13.893,209053,0
14.008,14.085,13.733,13.778,167556,0
13.816,14.307,13.149,14.116,678967,0
13.848,13.848,13.395,13.848,318279,0
13.893,14.162,13.832,14.154,511933,0
14.353,14.583,14.008,14.085,490532,0
13.893,13.893,13.511,13.733,327413,0
13.794,14.031,13.166,13.549,243373,0
13.333,13.333,12.867,13.081,675313,0
13.049,13.088,12.285,12.291,318409,0
12.023,12.391,12.023,12.215,330546,0
12.054,12.239,11.824,12.077,168339,0
12.169,12.874,12.169,12.705,585402,0
13.088,13.227,12.659,12.82,173038,0
12.858,13.119,12.721,12.844,133366,0
12.897,12.99,12.59,12.705,82604,0
12.208,12.208,11.938,11.977,163902,0
11.633,11.817,11.51,11.548,380001,0
11.426,11.586,11.266,11.365,285002,0
11.387,11.555,11.043,11.15,271039,0
11.418,12.208,11.41,12.13,291004,0
12.552,13.127,12.354,12.897,456080,0
13.035,13.832,13.035,13.702,455037,0
14.063,14.239,13.733,13.916,470957,0
13.74,13.74,13.456,13.487,151245,0
13.395,14.269,13.364,14.154,190784,0
14.3,14.767,14.2,14.529,186347,0
14.398,15.503,14.392,15.296,506973,0
15.617,15.617,14.798,14.965,341507,0
14.926,14.965,14.239,14.56,197308,0
13.549,13.716,13.049,13.049,638121,0
12.766,13.402,12.766,13.127,429981,0
13.616,13.625,13.127,13.588,402446,0
14.008,14.567,13.962,14.36,386267,0
14.544,14.821,14.43,14.544,136106,0
14.499,15.082,14.499,14.926,314363,0
15.348,16.843,15.348,16.46,740561,0
16.843,16.913,16.061,16.284,572874,0
16.384,16.484,16.132,16.384,363429,0
16.652,16.652,16.146,16.246,173559,0
16.576,16.637,15.541,15.709,282652,0
15.886,16.2,15.754,16.155,143544,0
16.46,16.613,15.234,15.671,455297,0
15.671,16.032,14.798,15.465,658088,0
14.56,14.965,14.353,14.926,737429,0
15.004,15.303,14.775,15.196,127233,0
15.311,15.426,14.622,14.661,280435,0
14.851,15.234,14.736,15.158,398272,0
15.158,15.158,14.468,14.515,242982,0
14.468,14.544,13.25,13.725,521069,0
14.277,14.315,13.97,14.239,307837,0
14.085,14.261,13.854,13.948,180082,0
13.893,14.008,13.778,13.863,133627,0
14.069,14.682,14.008,14.315,457647,0
14.392,14.392,14.116,14.269,135585,0
14.315,14.751,14.222,14.729,369303,0
14.544,15.126,14.544,14.965,456473,0
15.097,15.426,14.974,15.082,200703,0
15.142,15.265,15.004,15.173,141196,0
15.541,15.694,15.326,15.617,347772,0
16.146,16.146,15.664,15.962,672964,0
16.038,16.346,15.924,16.346,224321,0
16.269,16.421,16.093,16.2,271822,0
16.284,16.513,16.23,16.513,334981,0
16.537,16.652,16.307,16.652,253683,0
16.652,16.652,16.314,16.376,253292,0
16.384,16.399,15.94,16.077,247681,0
16.384,16.928,16.384,16.767,321672,0
16.822,17.15,16.822,16.982,311753,0
17.027,17.142,16.613,16.92,414322,0
16.998,16.998,16.009,16.237,237371,0
16.192,16.43,15.901,16.43,341636,0
16.537,16.652,16.155,16.513,333284,0
16.751,17.234,16.66,17.089,276519,0
17.105,17.595,17.012,17.18,241545,0
17.641,17.641,16.982,17.12,186217,0
18.614,18.614,16.943,17.089,233848,0
16.537,16.537,16.093,16.093,612676,0
16.46,16.46,15.579,15.863,539337,0
16.016,16.331,15.771,16.077,520285,0
15.94,16.032,15.311,15.426,313059,0
15.196,15.196,14.736,14.751,359515,0
14.345,15.004,14.024,14.1,609676,0
14.544,15.004,14.544,14.867,299879,0
15.273,15.494,15.196,15.334,308491,0
15.579,15.679,15.356,15.441,247290,0
15.372,15.395,14.828,14.873,55330,0
14.622,14.889,14.406,14.69,372564,0
14.775,15.135,14.506,14.804,243113,0
14.965,15.119,14.613,14.698,155680,0
14.744,14.744,14.008,14.162,634339,0
14.031,14.031,13.801,13.97,434419,0
14.353,14.353,13.127,13.227,560085,0
13.049,13.049,12.491,12.544,901592,0
12.476,12.568,11.977,12.085,760265,0
12.628,12.628,12.016,12.13,450472,0
12.285,12.568,12.123,12.306,830341,0
12.361,12.59,12.3,12.414,311231,0
12.361,12.782,12.361,12.675,406885,0
12.705,13.211,12.705,13.011,560868,0
13.395,13.931,13.395,13.931,465737,0
13.778,13.816,13.594,13.778,148895,0
14.162,14.277,13.549,13.748,325195,0
13.771,13.97,13.511,13.948,152288,0
14.162,14.207,13.924,14.008,155941,0
13.893,14.254,13.61,13.962,222625,0
13.893,13.893,13.472,13.487,408059,0
13.549,14.046,13.479,13.909,419151,0
13.854,13.901,13.672,13.848,142369,0
13.418,13.648,13.166,13.242,182562,0
13.235,13.61,13.149,13.242,75166,0
13.319,13.402,13.011,13.011,356775,0
13.281,13.511,13.257,13.433,120056,0
13.333,13.533,13.257,13.495,87171,0
13.678,13.678,13.487,13.511,85736,0
13.166,13.364,12.927,13.242,300140,0
13.395,13.616,13.395,13.549,212446,0
14.123,14.162,14.039,14.162,328719,0
14.162,14.515,13.702,13.733,516501,0
13.97,14.131,13.832,13.854,164555,0
13.778,13.854,13.64,13.786,119926,0
13.893,13.977,13.702,13.977,277171,0
13.924,13.931,13.556,13.648,229540,0
13.472,13.625,13.257,13.625,273779,0
13.564,13.725,13.518,13.625,326237,0
13.578,13.578,13.096,13.166,222887,0
13.433,13.433,12.829,12.897,291265,0
12.897,13.028,12.782,13.011,199787,0
13.357,13.357,12.874,12.997,157117,0
12.858,13.127,12.858,13.088,141196,0
13.288,13.288,12.935,13.088,185825,0
13.158,13.188,12.874,13.005,130103,0
12.92,12.92,12.552,12.605,159988,0
12.628,12.628,12.093,12.13,350250,0
12.2,12.285,12.016,12.215,187261,0
12.4,12.544,12.391,12.515,268821,0
12.414,12.414,12.239,12.361,110268,0
12.277,12.444,12.215,12.368,70077,0
12.552,12.675,12.391,12.537,129061,0
12.414,12.461,12.3,12.452,128538,0
12.491,12.69,12.414,12.515,118622,0
12.515,12.552,12.383,12.406,25838,0
