Open,High,Low,Close,Volume,OpenInt
5.0031,5.0299,4.9764,4.9967,174937,0
5.0299,5.0299,4.9899,5.01,126826,0
5.0166,5.0299,4.9967,5.0299,112414,0
5.0299,5.0437,4.9826,5.01,139743,0
4.9967,5.0233,4.9826,5.0031,152962,0
5.0367,5.0437,5.0166,5.0367,134695,0
5.0367,5.0505,5.0166,5.0505,96678,0
5.0367,5.0769,5.0233,5.0505,154295,0
5.0769,5.0769,4.9899,5.0166,109303,0
4.9967,5.0233,4.9826,5.01,176426,0
4.9899,4.9967,4.9694,4.9899,185338,0
4.9826,4.9967,4.9424,4.9625,134247,0
4.956,4.9899,4.9493,4.9625,131425,0
4.9826,4.9826,4.9424,4.9764,109893,0
5.0437,5.0437,4.9694,4.9764,206718,0
4.956,4.9967,4.9493,4.9694,114054,0
4.9625,4.9694,4.8213,4.862,301166,0
4.8548,4.8886,4.7876,4.8283,216817,0
4.7876,4.815,4.6869,4.7408,310078,0
4.6932,4.7604,4.6869,4.7542,169594,0
4.7542,4.815,4.7135,4.801,138998,0
4.7947,4.815,4.7542,4.801,118508,0
4.7876,4.8078,4.747,4.7811,111972,0
4.8283,4.8283,4.747,4.7811,184744,0
4.7876,4.835,4.7811,4.835,136625,0
4.835,4.835,4.815,4.835,73802,0
4.8213,4.8824,4.8213,4.8484,115979,0
4.9152,4.9358,4.815,4.835,167220,0
4.8213,4.862,4.8213,4.862,102621,0
4.8484,4.9358,4.835,4.8824,145538,0
4.8685,4.9088,4.835,4.8419,103361,0
4.8283,4.8685,4.8283,4.862,111083,0
4.862,4.862,4.747,4.7542,214443,0
4.747,4.7947,4.7336,4.7876,123709,0
4.768,4.815,4.768,4.7876,90137,0
4.8484,4.862,4.8078,4.835,102916,0
4.8548,4.9152,4.835,4.9152,157718,0
4.9152,4.9152,4.8548,4.8952,82420,0
4.9025,4.9025,4.862,4.8824,64009,0
4.8685,4.8824,4.8213,4.8419,127714,0
4.8419,4.8484,4.801,4.835,91034,0
