Open,High,Low,Close,Volume,OpenInt
12.943,13.193,12.83,13.193,56510,0
12.943,13.198,12.901,13.106,33926,0
13.206,13.686,13.188,13.656,46788,0
13.356,13.567,12.621,13.473,60787,0
13.311,13.51,13.273,13.318,31177,0
13.51,13.552,13.415,13.421,16396,0
13.545,13.641,12.687,13.48,31491,0
13.45,13.45,13.206,13.341,24837,0
13.333,13.333,13.079,13.198,20143,0
13.159,13.206,12.943,13.047,26743,0
13.087,13.341,13.087,13.265,23620,0
13.473,13.473,13.016,13.348,25730,0
13.436,13.598,13.273,13.273,39809,0
13.063,13.252,12.842,13.151,30354,0
12.93,13.429,12.93,13.206,55188,0
13.421,13.421,13.001,13.295,100880,0
13.295,13.318,13.055,13.273,17439,0
13.106,13.356,13.071,13.122,38788,0
13.071,13.143,12.93,12.936,23481,0
13.13,13.13,12.687,12.694,27913,0
12.672,13.252,12.672,13.106,33189,0
13.206,13.583,13.001,13.071,79272,0
13.237,13.641,13.229,13.606,40988,0
13.465,13.626,13.371,13.552,47385,0
13.656,13.656,13.114,13.325,63910,0
13.517,13.728,13.341,13.686,50800,0
13.537,14.221,13.488,14.17,80405,0
14.287,14.558,14.14,14.463,91034,0
14.242,14.242,13.776,14.037,71157,0
14.103,14.103,13.72,13.72,33204,0
13.964,13.964,13.686,13.76,38150,0
13.663,13.913,13.649,13.789,40782,0
13.783,13.846,13.656,13.656,17899,0
13.796,13.825,13.48,13.517,34916,0
13.517,13.72,13.517,13.641,40026,0
13.488,13.978,13.429,13.832,70521,0
13.934,14.0,13.736,13.825,54191,0
13.76,13.789,13.502,13.51,44731,0
13.76,13.832,13.229,13.67,61691,0
13.524,13.524,13.295,13.371,55409,0
13.56,13.964,13.341,13.537,45579,0
13.56,13.744,13.356,13.48,54650,0
13.341,13.76,13.341,13.552,24503,0
13.45,13.502,13.415,13.465,48495,0
13.465,13.606,13.387,13.51,31339,0
13.48,13.583,13.094,13.222,62508,0
13.174,13.311,13.13,13.206,151200,0
13.237,13.371,12.958,13.237,114473,0
13.087,13.28,13.001,13.13,62336,0
13.273,13.28,13.024,13.214,50050,0
13.265,13.265,13.001,13.106,56471,0
13.071,13.071,12.732,12.83,59113,0
13.101,13.101,12.732,12.958,29407,0
12.958,12.993,12.563,12.651,29279,0
12.651,12.651,12.505,12.505,35766,0
12.386,12.679,12.386,12.651,32669,0
12.454,12.672,12.432,12.469,19512,0
12.549,13.001,12.549,13.001,29413,0
12.864,13.188,12.791,12.83,17437,0
12.584,12.965,12.549,12.965,19621,0
13.341,13.606,13.032,13.032,101600,0
13.032,13.371,13.032,13.193,26816,0
13.311,13.341,13.136,13.206,26910,0
13.341,13.341,13.222,13.318,18849,0
13.341,13.465,13.311,13.415,33887,0
13.48,13.626,13.379,13.436,44959,0
13.707,13.707,13.143,13.415,77998,0
13.56,13.56,13.295,13.371,55223,0
13.371,13.387,13.114,13.237,55974,0
13.265,13.265,13.024,13.167,53928,0
13.288,13.288,13.024,13.039,113636,0
13.159,13.174,13.016,13.101,42739,0
13.024,13.193,12.886,13.032,61118,0
13.071,13.087,12.93,13.024,41187,0
12.993,13.188,12.836,13.114,57339,0
13.039,13.265,13.039,13.188,61080,0
13.055,13.198,12.894,13.198,88024,0
12.93,13.295,12.93,13.273,41717,0
13.333,13.333,12.836,13.063,111623,0
13.001,13.106,12.864,12.986,39006,0
12.864,12.943,12.776,12.916,24580,0
12.894,13.122,12.894,13.009,36849,0
13.009,13.071,12.923,12.936,21290,0
12.894,13.055,12.761,12.769,63880,0
12.746,13.379,12.454,12.986,104759,0
13.136,13.136,12.894,13.039,45310,0
12.908,13.415,12.665,13.087,48648,0
12.93,13.071,12.694,12.973,32752,0
12.807,13.26,12.672,13.039,81675,0
12.916,13.415,12.878,13.387,32563,0
13.341,13.67,13.341,13.495,29593,0
13.273,13.613,13.245,13.545,18443,0
13.311,13.76,13.311,13.76,37166,0
13.76,13.76,13.699,13.76,35778,0
13.613,13.957,13.613,13.876,39515,0
13.67,13.817,13.348,13.713,38584,0
13.575,13.641,13.394,13.531,38938,0
13.325,13.707,13.122,13.67,29811,0
13.598,13.606,13.295,13.295,35999,0
13.457,13.502,13.122,13.457,38610,0
13.356,13.626,13.18,13.545,36490,0
13.545,13.552,13.28,13.348,26718,0
13.465,13.56,13.245,13.537,34332,0
13.429,13.51,13.356,13.356,22570,0
13.288,13.686,13.198,13.613,210408,0
13.619,13.619,13.333,13.379,67009,0
13.457,13.713,13.325,13.713,27136,0
13.488,13.656,13.295,13.45,46493,0
13.009,13.583,12.916,13.436,69096,0
13.473,13.736,13.394,13.613,37678,0
13.495,13.583,13.379,13.517,27257,0
13.371,13.45,13.13,13.333,82717,0
13.333,13.421,13.28,13.364,32611,0
13.421,13.421,13.28,13.28,26063,0
13.421,13.552,13.26,13.457,21699,0
13.545,13.736,13.415,13.488,300289,0
13.465,13.686,13.401,13.649,16819,0
13.552,13.633,13.348,13.348,19487,0
13.348,13.613,13.348,13.613,24514,0
13.48,13.495,13.318,13.401,38256,0
13.348,13.633,13.295,13.387,52473,0
13.348,13.421,13.206,13.348,33168,0
13.273,13.421,13.252,13.364,24221,0
13.237,13.473,13.206,13.465,32298,0
13.51,13.524,13.387,13.51,15678,0
13.465,13.48,13.188,13.295,33595,0
13.295,13.436,13.288,13.421,8572,0
13.237,13.325,13.193,13.206,29583,0
13.094,13.26,13.087,13.26,13550,0
13.13,13.13,12.732,12.799,48565,0
12.894,13.106,12.769,13.039,45822,0
13.032,13.421,12.923,13.415,34156,0
13.273,13.273,12.894,12.993,38572,0
13.071,13.198,13.001,13.122,28921,0
12.93,13.071,12.791,13.032,11710,0
12.936,13.039,12.864,13.039,8477,0
13.151,13.198,12.776,12.872,17866,0
12.951,13.198,12.761,13.143,32851,0
13.039,13.193,12.973,13.024,23707,0
13.087,13.087,12.822,12.83,32821,0
12.916,12.916,12.672,12.702,19089,0
12.807,12.807,12.6,12.658,207308,0
12.584,12.665,12.512,12.526,22186,0
12.651,12.651,12.484,12.534,20988,0
12.447,12.629,12.395,12.512,30381,0
12.395,12.584,12.395,12.563,32165,0
12.454,12.563,12.395,12.462,21836,0
12.526,12.526,12.386,12.416,34842,0
12.408,12.439,12.379,12.425,27531,0
12.497,12.497,12.225,12.32,45922,0
12.454,13.024,12.379,12.958,34758,0
13.055,13.055,12.576,12.807,16848,0
12.878,13.063,12.761,13.009,28583,0
13.063,13.387,12.943,13.245,43735,0
13.032,13.032,12.717,12.894,28092,0
12.746,12.753,12.379,12.512,24564,0
12.454,12.725,12.454,12.584,20440,0
12.52,12.576,12.32,12.408,19689,0
12.477,12.534,12.425,12.425,10937,0
12.379,12.665,12.379,12.484,61799,0
12.379,12.799,12.379,12.644,35815,0
12.807,12.807,12.454,12.679,24031,0
12.679,12.923,12.57,12.864,28342,0
12.784,12.784,12.283,12.439,44159,0
12.386,12.555,12.248,12.555,30669,0
12.454,12.549,12.049,12.343,72641,0
12.256,12.408,12.086,12.283,30757,0
12.505,12.979,12.505,12.746,47511,0
12.621,12.621,12.312,12.343,31662,0
12.408,12.665,12.408,12.484,14300,0
12.447,12.454,12.24,12.24,11076,0
12.24,12.665,12.24,12.651,29380,0
12.584,12.878,12.584,12.878,26664,0
12.725,13.039,12.665,12.943,23786,0
12.951,13.348,12.951,13.348,23867,0
13.394,13.537,13.136,13.229,37798,0
13.325,13.473,13.28,13.394,18247,0
13.537,13.552,13.318,13.495,21702,0
13.421,13.51,13.151,13.273,23554,0
13.341,13.537,13.341,13.488,15501,0
13.524,13.524,13.001,13.136,22674,0
12.979,13.106,12.979,13.063,10492,0
13.087,13.087,12.725,12.842,14711,0
12.856,12.856,12.401,12.477,28473,0
12.379,12.621,12.183,12.343,28826,0
12.408,12.584,12.219,12.584,12887,0
12.776,12.776,12.52,12.534,11475,0
