Open,High,Low,Close,Volume,OpenInt
172.97,183.13,172.48,182.74,542824,0
182.74,182.78,175.16,177.84,389260,0
177.84,179.27,175.66,176.95,229310,0
175.66,176.5,173.67,175.01,223868,0
177.4,179.12,174.41,174.56,228771,0
175.86,180.52,175.66,179.82,377429,0
180.07,180.62,177.55,179.17,180687,0
178.72,178.72,174.51,174.91,221932,0
172.08,172.08,166.79,167.64,403788,0
168.62,169.72,163.11,166.24,434509,0
166.24,168.38,162.92,165.84,370773,0
165.79,165.84,158.96,161.64,468425,0
164.75,167.24,162.72,164.3,679788,0
165.94,167.19,164.15,165.09,402440,0
166.54,166.54,161.69,162.53,413594,0
163.55,166.09,162.48,164.15,302673,0
163.45,165.84,161.74,164.5,250764,0
165.64,171.93,165.19,165.74,426818,0
162.53,163.6,161.19,161.49,267811,0
162.43,165.19,161.79,163.55,261874,0
164.4,166.19,162.09,163.25,203039,0
163.2,165.19,157.72,158.32,283466,0
158.32,160.6,156.82,158.07,310902,0
159.3,161.84,159.2,160.5,185364,0
161.64,166.39,161.39,164.94,383142,0
163.95,168.72,162.87,166.39,272626,0
167.98,169.72,165.44,165.94,275101,0
163.4,163.4,151.83,154.49,1291387,0
154.54,158.62,154.54,156.37,455785,0
156.37,157.62,153.95,154.54,199624,0
154.54,156.17,152.67,155.28,236011,0
155.08,159.4,153.41,158.72,330785,0
159.2,159.2,153.95,155.13,262370,0
155.13,155.48,147.7,148.25,453447,0
148.3,149.2,143.74,143.74,358989,0
143.99,150.09,143.89,149.44,312075,0
149.44,154.39,148.7,151.73,390699,0
151.18,153.06,146.92,147.02,338657,0
148.6,151.83,148.0,150.39,250272,0
152.62,152.62,147.95,149.05,190267,0
149.84,155.38,149.2,154.74,338433,0
152.62,159.25,152.57,153.41,373832,0
153.41,156.67,151.63,155.48,241094,0
155.48,156.72,148.3,151.18,334564,0
158.52,161.74,156.47,159.2,744065,0
160.7,163.3,159.85,161.19,405139,0
162.28,164.5,161.29,162.72,322417,0
162.72,165.29,160.75,165.29,274560,0
166.19,169.96,165.34,167.39,200433,0
167.39,170.06,163.6,168.72,204616,0
170.3,170.3,168.18,169.81,158150,0
168.97,169.62,165.34,165.99,216806,0
167.19,169.37,164.94,168.77,194001,0
168.43,168.72,162.19,162.38,174973,0
163.4,163.4,157.97,159.4,280589,0
159.4,167.19,159.4,167.19,247796,0
166.29,167.59,163.5,166.64,275820,0
168.08,172.87,167.93,172.28,378780,0
171.93,173.62,170.95,171.2,232413,0
171.55,171.55,168.28,170.06,159412,0
171.0,175.51,170.65,173.86,304517,0
173.82,176.21,173.07,175.51,370098,0
175.96,175.96,172.38,172.38,182035,0
175.06,178.92,175.06,178.67,305640,0
178.52,178.52,177.1,177.84,151404,0
179.07,179.37,177.3,178.13,147804,0
177.84,186.46,177.2,183.38,383997,0
183.43,185.17,182.29,184.53,231244,0
185.96,186.06,179.32,179.77,218155,0
180.85,182.78,178.92,181.99,170027,0
183.58,186.76,182.29,184.88,229310,0
185.61,186.21,180.52,180.67,234977,0
180.52,185.12,178.33,183.18,151267,0
183.43,185.66,180.9,183.53,212937,0
183.53,185.71,182.34,185.12,190042,0
185.81,189.44,185.61,188.49,228140,0
190.72,193.73,190.32,193.39,301053,0
193.29,195.88,191.75,194.68,154957,0
200.09,203.3,196.02,197.46,463700,0
197.51,197.51,192.0,192.99,261741,0
195.38,195.43,192.35,194.43,302178,0
195.88,196.17,191.21,194.38,203312,0
194.53,197.12,190.32,190.87,175963,0
191.07,191.07,185.46,185.81,264843,0
185.86,191.02,185.71,190.82,170565,0
191.95,195.83,191.95,194.38,271546,0
195.88,195.88,193.19,193.63,164402,0
194.73,196.87,193.73,195.53,205470,0
196.22,196.87,192.1,194.83,141373,0
193.19,197.22,191.7,197.07,188783,0
197.46,200.86,196.57,197.12,240779,0
195.78,204.15,195.78,202.55,265654,0
203.1,205.54,201.46,204.89,220988,0
205.64,211.32,205.09,209.84,196429,0
209.84,210.87,206.59,210.18,301594,0
210.28,211.17,208.56,210.48,112227,0
211.52,213.41,204.74,206.59,234887,0
207.87,211.12,206.04,210.92,192066,0
211.02,213.41,209.69,211.67,153742,0
212.97,215.31,210.23,213.91,189277,0
212.52,218.12,212.52,217.08,240329,0
212.87,213.61,206.79,210.23,309149,0
210.87,215.75,210.87,215.75,209114,0
216.04,216.73,207.17,207.32,227061,0
207.32,209.1,203.45,206.79,328445,0
207.08,207.87,201.21,207.77,320801,0
208.61,218.96,208.61,218.96,357727,0
220.99,220.99,210.78,212.07,559915,0
213.41,218.61,211.32,217.68,413235,0
217.68,219.59,215.9,218.12,177900,0
214.56,216.68,212.27,213.36,314545,0
213.17,214.86,210.18,212.02,176771,0
210.18,210.23,198.26,202.06,642769,0
200.29,202.6,192.65,194.78,467524,0
196.52,200.14,194.28,198.85,514260,0
199.69,201.71,195.97,197.22,394028,0
197.22,199.2,195.53,199.15,262147,0
198.75,199.05,195.33,198.06,218244,0
198.06,199.1,194.28,196.87,238664,0
197.32,198.35,190.67,192.99,338523,0
191.66,191.8,187.2,190.08,264396,0
190.08,192.2,186.46,190.17,189997,0
189.88,191.31,188.64,189.98,200568,0
189.09,191.07,187.7,189.49,194449,0
189.44,190.08,184.98,188.54,330155,0
188.54,195.53,186.76,188.79,349856,0
189.53,192.1,188.04,188.19,256477,0
187.7,188.09,184.23,185.81,273661,0
181.75,186.11,181.3,183.88,281173,0
183.88,188.89,182.78,185.76,174837,0
186.11,195.63,185.41,195.33,290234,0
196.02,196.87,190.08,193.54,219909,0
193.93,196.22,189.24,191.56,142160,0
192.94,196.52,192.5,196.42,186894,0
197.86,197.86,193.88,195.68,173893,0
189.63,190.47,186.06,190.22,291652,0
192.2,197.76,192.1,197.32,190897,0
197.32,198.95,195.18,196.07,158398,0
193.49,196.07,192.1,192.25,135076,0
191.75,192.45,187.79,191.02,206865,0
194.73,196.27,193.49,195.83,230884,0
198.31,199.2,187.89,188.74,268532,0
189.44,190.32,183.03,186.76,168809,0
