Open,High,Low,Close,Volume,OpenInt
33.084,33.217,32.937,33.217,440417,0
33.039,33.38,32.982,33.27,586508,0
33.264,33.627,33.264,33.574,702220,0
33.42,33.777,33.154,33.348,489685,0
33.554,33.677,33.014,33.348,500891,0
33.264,33.793,33.154,33.721,634457,0
33.684,34.336,33.494,34.063,626575,0
34.196,34.196,33.554,33.822,949322,0
33.697,34.002,33.162,33.762,1014234,0
33.052,33.554,33.031,33.222,1206983,0
33.21,33.427,32.828,33.014,841023,0
32.959,33.566,32.899,33.341,866111,0
33.45,33.836,33.317,33.8,780803,0
33.654,33.954,33.589,33.745,1325005,0
33.574,34.258,33.42,34.203,1643213,0
34.139,34.663,33.901,34.272,1680658,0
34.29,34.29,33.574,33.669,873777,0
33.574,34.109,33.544,33.721,702009,0
33.793,33.793,33.248,33.481,534008,0
33.661,34.026,33.535,33.654,596642,0
33.886,34.07,33.645,33.976,660226,0
32.625,33.171,32.33,32.471,2516260,0
32.572,32.857,32.127,32.741,762422,0
32.711,32.719,31.863,32.096,1049684,0
32.255,32.338,31.561,32.004,864763,0
31.92,32.127,31.444,32.004,602010,0
31.826,32.464,31.826,32.221,786183,0
32.211,32.298,31.934,32.211,761436,0
32.268,32.362,31.863,32.153,617362,0
32.291,32.305,31.631,31.678,497250,0
31.671,31.788,31.284,31.444,729356,0
31.507,32.013,31.284,31.832,717954,0
31.639,32.153,31.474,31.546,504539,0
31.499,31.631,31.241,31.407,996777,0
31.233,31.583,30.908,31.092,1042502,0
31.008,31.53,31.008,31.358,593869,0
31.284,31.795,31.233,31.305,529615,0
31.182,31.321,30.69,30.754,612631,0
30.799,31.182,30.698,30.767,613811,0
30.698,30.698,30.223,30.365,787733,0
30.528,30.706,30.365,30.698,754038,0
30.504,30.658,30.092,30.101,526623,0
30.044,30.846,29.992,30.698,1020928,0
30.544,30.861,30.013,30.013,1072530,0
30.154,30.271,29.829,29.943,1140615,0
30.053,30.053,29.703,29.767,1447583,0
29.885,31.421,29.727,30.948,1691210,0
30.868,31.087,30.21,30.799,1067167,0
30.706,31.125,30.59,30.783,974959,0
30.932,31.008,30.667,30.746,597254,0
30.675,30.83,30.42,30.645,665465,0
30.426,30.512,30.171,30.333,1018416,0
30.286,30.729,29.984,30.504,673040,0
30.645,30.985,30.256,30.767,871029,0
30.816,30.94,30.504,30.729,649032,0
30.932,31.284,30.652,31.074,607782,0
30.932,31.312,30.916,31.305,706362,0
31.392,32.719,31.274,32.277,1288284,0
30.885,31.788,30.154,30.434,2809280,0
30.185,30.348,30.013,30.333,753376,0
30.193,30.519,30.101,30.403,985637,0
30.31,31.934,30.271,31.444,1557949,0
31.142,31.428,31.049,31.216,867072,0
31.216,31.972,31.216,31.539,1314061,0
31.599,31.671,31.514,31.523,758408,0
31.514,31.92,31.514,31.647,623594,0
31.746,32.54,31.631,32.059,1681986,0
31.88,32.136,31.614,31.887,770967,0
31.788,32.082,31.284,31.29,971579,0
31.334,31.577,31.165,31.577,670135,0
31.577,31.818,31.182,31.216,457974,0
31.203,31.459,31.182,31.274,468980,0
31.182,31.34,31.04,31.305,929003,0
31.267,31.854,31.203,31.818,932261,0
31.832,31.832,31.241,31.467,468269,0
31.392,31.647,31.233,31.428,468164,0
31.569,31.763,31.203,31.716,955032,0
31.771,32.096,31.367,32.089,664562,0
32.035,32.067,31.539,31.655,1136218,0
32.556,32.616,32.175,32.399,1018021,0
32.345,32.496,32.035,32.16,484794,0
32.211,32.696,32.082,32.657,842560,0
32.603,32.735,31.989,32.013,821281,0
31.887,31.897,31.259,31.554,4076458,0
31.492,32.112,31.482,32.096,1027352,0
30.885,31.678,30.42,30.783,2832125,0
30.59,31.057,30.216,30.318,1880668,0
30.333,30.868,30.202,30.202,1301658,0
30.271,30.411,30.053,30.411,644981,0
30.456,30.868,30.411,30.583,434670,0
30.583,30.62,29.971,29.992,803910,0
29.819,29.992,29.338,29.911,763007,0
29.937,30.715,29.898,30.544,733233,0
30.443,31.174,30.318,31.025,697186,0
30.846,31.087,30.715,30.791,569954,0
30.736,30.932,30.426,30.536,475174,0
30.736,30.838,30.411,30.566,409444,0
30.456,31.133,30.411,31.033,522125,0
30.985,31.033,30.536,30.544,449936,0
30.605,30.715,30.286,30.426,552400,0
30.325,30.791,30.31,30.783,245729,0
30.799,30.993,30.596,30.628,272518,0
30.504,30.978,30.504,30.698,352949,0
30.536,31.074,30.512,30.846,290005,0
30.925,31.049,30.776,30.948,316534,0
30.736,30.885,30.286,30.31,513380,0
30.386,30.645,30.154,30.645,451020,0
30.482,30.799,30.248,30.443,625286,0
30.465,30.706,30.342,30.496,494131,0
30.31,31.321,30.293,30.892,1009588,0
30.824,31.033,30.474,30.908,505776,0
30.83,30.932,30.519,30.69,450227,0
30.628,30.628,29.796,29.842,557484,0
29.919,30.029,29.703,29.842,257423,0
29.919,30.722,29.919,30.69,541610,0
30.658,31.099,30.652,30.799,602002,0
30.736,31.033,30.736,30.956,411911,0
30.791,30.956,30.613,30.838,409032,0
30.746,31.25,30.698,31.074,461140,0
