Open,High,Low,Close,Volume,OpenInt
39.1,41.0,39.0,39.8,339760,0
40.1,40.9,39.7,40.1,230500,0
40.1,40.6,38.6,39.3,240050,0
42.7,42.7,38.2,39.9,244330,0
40.4,40.4,39.0,39.0,272550,0
39.7,40.9,39.7,40.8,275750,0
41.0,42.0,40.4,41.5,217710,0
42.3,44.2,42.2,43.7,452730,0
44.3,46.8,43.0,43.2,399190,0
43.5,43.7,41.8,43.4,249780,0
42.6,43.9,42.3,42.8,257960,0
42.5,42.8,42.0,42.7,241300,0
43.1,43.3,42.3,42.7,133440,0
43.4,44.1,42.5,42.5,265510,0
41.8,42.0,40.0,41.1,308500,0
41.1,41.2,40.2,40.8,239750,0
39.8,40.1,39.4,39.9,214910,0
40.2,40.8,37.7,38.2,285500,0
37.9,38.3,36.5,36.6,282500,0
36.5,37.8,35.4,35.6,389810,0
35.2,35.6,34.1,34.4,521510,0
34.6,35.9,34.2,34.4,337250,0
34.8,35.9,34.7,35.1,347930,0
36.0,37.4,35.9,36.7,365220,0
36.7,37.2,35.6,36.1,251920,0
35.7,35.8,34.3,34.9,255000,0
35.5,36.0,34.3,34.6,219570,0
35.1,36.0,34.7,35.1,171580,0
35.5,36.2,35.3,35.4,184210,0
34.9,35.9,34.9,35.2,149660,0
35.8,36.1,34.7,34.8,195780,0
34.8,34.9,33.6,34.5,245940,0
34.9,35.2,34.0,34.0,170440,0
33.3,33.4,31.4,31.5,506780,0
31.6,32.6,31.2,31.9,234020,0
32.2,33.6,31.9,33.3,319690,0
33.6,35.8,33.6,35.8,295230,0
35.5,37.6,35.2,36.8,402740,0
36.5,36.5,35.2,35.9,229770,0
36.8,36.9,35.1,35.1,205090,0
35.1,35.1,33.8,34.7,191100,0
35.0,35.3,33.5,33.7,246720,0
33.6,33.6,31.7,31.8,512480,0
31.5,31.8,30.5,30.5,287290,0
31.2,31.8,30.8,30.9,385870,0
30.8,31.4,29.5,30.8,318100,0
30.8,32.5,30.0,32.2,301270,0
33.0,34.0,32.9,33.9,271470,0
34.3,34.3,32.9,33.9,161790,0
33.0,33.6,32.3,32.9,204630,0
33.0,33.4,31.0,31.5,301400,0
31.7,32.3,30.9,31.5,333570,0
31.2,31.8,30.6,31.0,164160,0
30.5,30.8,28.9,29.7,424930,0
29.8,30.3,29.1,29.1,340720,0
29.0,29.3,27.5,27.7,420700,0
28.1,29.1,28.0,28.7,279720,0
29.0,29.6,28.6,28.9,265640,0
28.9,29.4,28.2,28.4,218380,0
27.9,28.1,27.0,27.5,281650,0
27.7,28.8,27.7,28.8,270850,0
28.8,29.5,28.7,29.5,262470,0
29.9,30.0,29.2,29.5,239090,0
29.4,29.4,28.5,28.6,206460,0
29.2,31.7,29.2,31.7,428880,0
30.5,34.3,30.1,33.3,470230,0
34.5,35.4,34.1,35.1,644600,0
36.1,36.3,33.6,33.6,427750,0
34.3,34.5,33.2,33.9,235740,0
34.9,35.1,33.1,33.1,223480,0
33.1,33.5,32.4,32.7,160240,0
32.7,34.2,31.0,31.9,287390,0
31.5,32.7,31.1,32.6,220570,0
32.9,35.6,32.3,35.4,356320,0
35.9,36.0,35.0,35.7,262980,0
35.2,35.5,34.2,34.3,149170,0
35.3,36.3,34.7,35.7,283120,0
36.3,37.5,36.3,37.3,365630,0
37.9,38.0,36.5,37.5,363030,0
37.6,37.9,35.4,35.6,304310,0
34.9,36.5,34.3,36.0,317450,0
36.0,36.0,35.0,35.3,144110,0
35.4,36.5,35.0,35.0,224950,0
34.9,35.5,34.7,35.1,206360,0
35.3,35.3,34.3,34.6,136900,0
34.3,34.3,33.3,34.2,279150,0
34.5,36.7,34.2,36.7,337120,0
37.0,37.2,35.5,36.3,362580,0
36.0,36.3,34.2,35.9,231710,0
35.1,35.1,33.8,34.5,285110,0
34.4,35.2,34.2,34.4,252600,0
34.7,35.3,34.2,35.0,224790,0
35.1,36.6,34.6,35.2,162600,0
35.6,37.3,35.5,37.3,327090,0
37.5,37.5,36.3,37.0,322210,0
36.6,36.7,36.0,36.5,168610,0
36.8,37.5,34.1,34.1,424530,0
34.1,34.7,33.6,34.1,261040,0
33.7,34.7,33.6,33.6,224460,0
33.0,34.1,33.0,33.8,226960,0
34.4,35.0,34.2,34.6,191440,0
35.0,35.5,34.9,35.4,256990,0
35.4,35.5,34.7,35.3,185150,0
35.5,35.8,34.5,34.5,186230,0
34.2,34.6,33.8,34.2,167880,0
34.1,35.2,33.8,34.9,210870,0
35.2,35.6,34.6,35.2,207080,0
35.6,35.9,35.1,35.5,171460,0
35.9,36.3,35.3,35.6,117830,0
35.4,35.7,34.9,35.3,166140,0
35.3,38.2,35.3,38.1,492540,0
38.1,38.9,37.1,38.1,373530,0
37.8,38.0,36.6,37.1,266650,0
37.6,37.6,36.1,36.3,211640,0
36.0,37.3,35.8,37.3,288080,0
38.1,39.8,37.5,39.8,461910,0
40.4,41.9,40.2,41.9,565470,0
41.6,41.7,40.0,40.5,381440,0
40.2,40.4,39.2,40.4,297460,0
40.4,41.4,39.8,39.9,259930,0
39.9,40.0,39.0,39.1,242060,0
38.9,40.0,38.8,39.2,263530,0
39.4,39.8,39.1,39.4,142810,0
40.1,40.3,38.4,38.8,440940,0
38.2,38.6,35.8,36.0,856000,0
36.5,37.2,34.7,34.8,505260,0
34.7,36.1,34.7,35.3,283310,0
35.7,36.0,35.2,35.4,276350,0
35.8,36.1,35.0,35.0,184890,0
34.6,34.8,34.0,34.0,330800,0
34.0,36.5,34.0,36.5,301160,0
37.1,38.6,37.0,38.1,446000,0
38.8,38.8,37.2,37.2,229830,0
37.9,38.0,37.1,37.6,166760,0
37.7,38.0,37.1,37.4,152130,0
38.0,39.2,37.8,38.0,334850,0
38.0,39.2,38.0,39.2,208880,0
38.8,39.5,38.5,39.5,194560,0
37.4,37.5,36.5,37.0,786580,0
37.5,37.9,36.6,37.2,547610,0
38.0,38.2,37.3,37.9,435810,0
38.5,41.4,38.1,41.4,1202940,0
43.0,43.8,41.0,41.9,1046360,0
41.9,42.7,39.7,40.6,566550,0
40.9,42.7,40.8,42.6,512870,0
42.5,43.2,40.7,41.3,415490,0
40.5,41.0,39.7,40.8,346800,0
40.5,43.2,39.5,42.8,781850,0
42.2,42.4,41.0,41.3,274900,0
41.7,42.7,41.2,42.4,353110,0
42.3,44.2,42.2,43.2,549500,0
43.3,44.3,41.9,42.3,432610,0
41.9,43.0,40.6,42.6,417820,0
42.9,43.2,40.5,40.8,444220,0
41.0,41.0,38.6,38.8,694180,0
39.6,40.6,39.0,39.9,520580,0
40.6,42.4,39.8,41.9,799270,0
42.9,43.2,41.8,42.3,467490,0
41.5,42.8,41.0,41.3,537030,0
41.8,42.5,40.1,40.5,597590,0
40.4,40.4,39.0,40.0,400450,0
40.0,41.3,39.0,40.9,350410,0
41.3,41.7,40.4,40.7,377990,0
40.7,40.9,39.2,39.2,226310,0
38.8,38.83,36.4,37.8,568150,0
37.2,38.2,36.0,36.2,454800,0
36.4,37.4,36.3,36.9,402980,0
36.9,38.0,36.7,38.0,274450,0
39.0,40.1,38.7,39.8,369660,0
40.0,40.6,38.0,38.2,380800,0
39.0,39.3,37.0,37.7,379810,0
37.5,38.3,36.7,38.2,215910,0
38.4,38.5,36.7,37.7,239840,0
37.8,38.2,36.7,37.2,290530,0
37.8,38.7,37.2,38.7,241270,0
38.5,39.0,38.1,38.5,245840,0
38.9,38.9,37.3,37.8,207140,0
37.6,38.3,37.3,37.7,172110,0
38.1,38.2,37.0,37.3,205840,0
38.2,40.3,37.6,40.1,454800,0
40.1,40.7,38.8,39.0,322130,0
39.1,40.7,39.0,40.7,176300,0
40.6,40.6,39.5,39.7,286920,0
40.2,40.3,38.7,38.8,196960,0
39.8,42.3,39.5,42.1,770620,0
43.0,44.5,42.6,44.2,891150,0
44.8,44.8,43.1,44.3,521090,0
44.8,45.9,44.3,45.9,532710,0
45.9,46.9,44.8,44.9,536370,0
44.0,44.7,43.3,44.2,314340,0
45.1,45.7,44.7,45.4,208360,0
45.6,47.0,45.1,45.8,402100,0
45.7,45.8,44.5,45.5,320540,0
44.6,45.3,42.8,43.1,547620,0
43.8,45.1,43.6,44.9,459410,0
44.9,45.0,42.5,43.0,560220,0
43.4,43.6,41.7,42.2,583310,0
41.5,43.6,41.3,43.1,497090,0
43.8,44.9,43.4,43.9,533920,0
44.0,44.3,43.0,43.2,484870,0
43.8,45.2,42.6,43.0,765710,0
44.4,44.8,41.8,42.0,774460,0
41.2,41.5,40.1,40.4,822120,0
40.1,40.9,39.1,39.3,702710,0
40.1,40.9,39.4,39.8,724550,0
40.4,41.2,39.8,40.5,534200,0
40.9,41.0,39.2,39.2,572610,0
39.3,39.6,37.6,38.0,563720,0
38.2,39.3,37.9,39.2,348240,0
39.2,40.2,39.0,39.7,798010,0
40.0,40.5,39.9,40.1,314540,0
40.5,40.9,39.6,39.6,319220,0
40.6,40.8,40.0,40.5,354940,0
40.6,40.8,39.6,40.6,375610,0
40.7,40.7,39.9,40.0,270620,0
