Open,High,Low,Close,Volume,OpenInt
8.1,8.14,8.1,8.14,5800,0
7.95,8.06,7.89,7.91,32944,0
7.87,8.04,7.81,7.99,227855,0
7.83,8.25,7.83,8.16,34403,0
8.05,8.12,7.86,7.86,47691,0
7.9,8.15,7.87,7.88,55482,0
8.14,8.15,8.0,8.05,24451,0
8.05,8.1,7.98,7.98,10200,0
7.9,8.14,7.89,8.12,69666,0
7.92,8.15,7.92,8.1,53587,0
8.01,8.08,7.82,7.85,34481,0
8.05,8.05,7.87,7.9,3342,0
7.8,8.04,7.8,7.9,6018,0
7.8,8.01,7.8,7.93,13572,0
7.8,7.85,7.74,7.76,21375,0
7.79,7.81,7.7,7.7,12766,0
7.65,7.65,7.15,7.39,80426,0
7.22,7.46,7.22,7.44,27413,0
7.24,7.56,7.22,7.52,160045,0
7.69,7.69,7.54,7.54,11050,0
7.71,7.71,7.37,7.37,30327,0
7.51,7.59,7.11,7.14,30143,0
7.04,7.25,6.94,7.1,41517,0
6.93,7.4,6.92,7.4,29412,0
7.39,7.57,7.36,7.52,32399,0
7.71,7.71,7.41,7.5,57931,0
7.4,7.41,7.27,7.27,55316,0
7.34,7.35,7.24,7.24,30982,0
7.2,7.2,6.91,7.09,72582,0
7.08,7.14,7.02,7.1,10367,0
7.14,7.14,6.9,6.92,43381,0
6.84,7.05,6.76,7.01,101179,0
7.04,7.2,6.93,6.97,67290,0
6.82,6.94,6.75,6.84,63497,0
6.71,6.81,6.41,6.6,52378,0
6.43,6.74,6.43,6.66,50963,0
6.83,6.83,6.7,6.8,26447,0
6.61,7.07,6.56,6.87,57654,0
6.96,7.08,6.92,6.93,9592,0
6.76,7.0,6.71,7.0,8789,0
7.14,7.14,6.82,6.94,23140,0
6.78,6.97,6.78,6.93,16111,0
6.93,7.0,6.93,7.0,15234,0
7.18,7.18,6.65,6.67,31851,0
6.51,6.69,6.51,6.67,36014,0
6.52,6.61,6.51,6.6,25782,0
6.62,6.72,6.48,6.6,20264,0
6.66,6.95,6.47,6.87,24760,0
6.95,6.95,6.79,6.85,8460,0
6.88,6.92,6.81,6.88,3416,0
6.71,6.88,6.71,6.86,13510,0
6.69,6.71,6.25,6.68,80269,0
6.55,6.96,6.55,6.93,44283,0
6.75,6.88,6.65,6.85,19750,0
6.68,7.05,6.6,7.0,38122,0
6.95,7.09,6.95,7.09,57832,0
6.97,7.12,6.97,7.12,10185,0
7.25,7.36,7.17,7.29,32531,0
7.27,7.32,7.2,7.21,7308,0
7.2,7.2,7.05,7.08,23952,0
6.87,7.07,6.85,6.99,210976,0
6.99,7.48,6.99,7.4,413404,0
7.49,7.49,7.29,7.39,33573,0
7.43,7.5,7.34,7.35,45840,0
7.35,7.5,7.29,7.5,24951,0
7.44,7.5,7.28,7.28,43818,0
7.29,7.4,7.29,7.34,5461,0
7.27,7.27,7.0,7.19,18792,0
7.14,7.19,7.09,7.11,4025,0
7.05,7.19,7.05,7.19,171000,0
7.14,7.41,7.14,7.16,34400,0
7.1,7.12,7.05,7.12,9673,0
7.04,7.1,7.04,7.1,4933,0
7.1,7.1,7.03,7.05,34612,0
6.95,7.06,6.9,6.96,114696,0
6.8,6.94,6.5,6.82,35275,0
6.8,7.0,6.8,6.99,45610,0
6.97,7.08,6.97,7.08,33796,0
7.03,7.08,6.82,6.89,17789,0
6.75,6.82,6.53,6.75,26085,0
6.72,6.72,6.5,6.6,14091,0
6.56,6.63,6.56,6.59,21044,0
6.54,6.55,6.06,6.29,78936,0
6.28,6.29,5.83,5.83,96057,0
