Open,High,Low,Close,Volume,OpenInt
13.684,13.938,13.657,13.823,3334474,0
13.91,13.942,13.738,13.78,1683648,0
13.748,13.91,13.748,13.856,2437576,0
13.8,13.951,13.743,13.902,2411501,0
13.892,13.992,13.8,13.869,2445674,0
14.024,14.105,13.878,13.956,2511307,0
13.878,14.07,13.869,13.951,2215486,0
14.015,14.215,14.015,14.124,2791388,0
14.115,14.218,13.878,14.131,2682144,0
14.155,14.205,13.96,13.975,1645888,0
13.924,14.028,13.883,13.897,1759626,0
13.878,13.897,13.743,13.789,2274384,0
13.864,14.037,13.809,13.91,2166036,0
13.892,14.015,13.784,13.8,1873365,0
13.897,14.179,13.888,14.131,2605267,0
14.067,14.236,13.984,14.054,2368795,0
13.892,14.015,13.839,13.856,1674652,0
13.984,14.227,13.965,13.965,2532887,0
13.869,14.119,13.729,13.942,3140262,0
13.975,14.091,13.805,13.892,2005092,0
13.97,13.97,13.59,13.649,2278432,0
13.688,13.752,13.377,13.385,2821960,0
13.458,13.697,13.368,13.653,2106693,0
13.874,14.131,13.86,14.083,3956234,0
14.236,14.236,13.86,13.902,1653078,0
13.77,14.024,13.752,13.933,2262248,0
14.037,14.222,13.997,14.062,1998797,0
14.115,14.115,13.947,13.975,1317693,0
14.007,14.067,13.892,14.046,1911576,0
14.046,14.05,13.68,13.784,2661917,0
13.919,13.924,13.733,13.762,1671060,0
13.83,13.83,13.515,13.653,3170386,0
13.653,13.653,13.294,13.363,2197056,0
13.203,13.232,12.798,12.932,7172017,0
12.961,13.029,12.657,12.678,3697730,0
12.6,12.737,12.581,12.638,3148806,0
12.835,13.177,12.798,13.013,2484784,0
12.994,13.236,12.817,12.945,3067881,0
13.154,13.248,13.076,13.177,3438771,0
13.243,13.324,12.994,13.105,2258200,0
13.105,13.294,12.961,13.218,2567954,0
13.177,13.236,13.053,13.094,2118833,0
12.99,12.99,12.638,12.709,3082713,0
12.714,12.87,12.505,12.569,4110887,0
12.733,12.766,12.609,12.728,3951738,0
12.741,13.105,12.741,13.076,1956084,0
13.123,13.218,12.915,12.966,2555812,0
13.018,13.257,12.985,13.194,1602724,0
13.266,13.346,13.172,13.222,2362045,0
13.333,13.346,13.236,13.294,1328933,0
13.31,13.453,13.284,13.284,2898836,0
13.342,13.363,13.076,13.151,1743442,0
13.151,13.355,13.146,13.306,1989807,0
13.298,13.324,12.98,13.053,1783902,0
12.99,13.053,12.586,12.718,3079118,0
12.723,12.884,12.723,12.849,1815816,0
12.821,12.87,12.758,12.849,2299111,0
12.966,13.417,12.966,13.324,3477882,0
13.314,13.431,13.227,13.324,1394566,0
13.31,13.355,13.236,13.252,1265993,0
13.236,13.368,13.177,13.236,980962,0
13.306,13.381,13.203,13.377,1821215,0
13.284,13.337,13.208,13.28,1044350,0
13.298,13.398,13.276,13.363,1229578,0
13.39,13.503,13.363,13.471,1970470,0
13.471,13.752,13.44,13.63,2119285,0
13.489,13.719,13.436,13.479,2120626,0
13.476,13.653,13.408,13.56,1521353,0
13.599,13.625,13.408,13.458,2368345,0
13.466,13.534,13.385,13.498,1571704,0
13.578,13.59,13.385,13.417,1620255,0
13.466,13.479,13.218,13.276,1654873,0
13.189,13.189,12.858,13.004,4177871,0
13.094,13.115,12.849,13.043,1075376,0
12.941,13.164,12.901,13.105,1769961,0
13.105,13.154,12.911,12.915,2494671,0
13.029,13.043,12.766,12.906,2697432,0
