Open,High,Low,Close,Volume,OpenInt
38.074,38.929,37.97,38.666,119667,0
38.666,38.946,37.448,37.689,194494,0
37.85,38.712,37.85,38.498,132534,0
38.418,38.625,38.027,38.204,111549,0
38.403,38.738,38.059,38.307,79946,0
38.379,38.929,38.146,38.842,82691,0
38.801,39.226,38.658,39.025,80322,0
39.018,39.507,38.787,39.186,116172,0
39.147,39.147,38.403,38.544,102931,0
38.625,38.683,37.626,37.785,127787,0
37.626,38.233,37.626,38.154,118168,0
38.154,39.643,38.154,39.147,161016,0
39.155,40.028,39.147,39.275,157395,0
39.226,39.682,38.963,39.034,100557,0
39.068,39.572,38.963,39.33,56083,0
39.668,40.427,39.466,39.755,239837,0
39.755,39.755,39.258,39.531,75322,0
39.594,40.219,39.338,39.476,123789,0
39.395,39.579,38.595,38.801,130661,0
38.828,39.083,38.426,38.625,205612,0
38.787,39.068,38.441,38.801,113296,0
38.683,39.034,37.865,38.067,153272,0
38.185,38.745,38.185,38.649,135782,0
38.73,38.73,37.946,38.169,136158,0
38.29,38.505,37.544,37.826,132908,0
37.882,38.73,37.666,38.475,127540,0
38.531,39.179,38.483,38.963,171383,0
38.97,39.97,38.762,39.563,148149,0
39.563,40.3,39.345,39.931,164513,0
39.931,39.931,38.875,38.954,139283,0
38.963,39.025,38.544,38.602,107053,0
38.611,39.025,38.233,38.7,193496,0
38.7,39.155,38.467,38.745,110051,0
38.754,38.754,35.657,35.657,502034,0
35.68,36.033,35.064,35.343,270938,0
35.447,35.961,35.016,35.624,127166,0
35.702,36.27,35.591,36.184,104180,0
36.251,36.251,35.032,35.102,228221,0
35.303,35.511,34.19,34.511,230093,0
34.528,35.296,34.401,34.847,126416,0
34.768,35.409,34.488,35.255,148399,0
35.415,35.528,34.518,34.567,125538,0
34.567,34.576,33.575,33.865,256451,0
33.781,33.943,30.821,31.7,793837,0
31.7,33.11,31.399,32.742,540006,0
32.542,34.102,32.542,33.983,303792,0
33.781,35.161,33.439,33.961,358381,0
33.879,34.655,33.703,34.414,346389,0
34.336,34.705,33.943,34.223,387737,0
34.385,34.576,33.622,34.006,309288,0
33.943,34.725,33.726,34.679,126292,0
34.599,35.0,34.385,34.807,153644,0
34.813,35.289,34.544,35.102,173134,0
34.985,35.391,34.873,35.143,187373,0
34.942,35.208,34.718,34.92,186625,0
35.12,36.079,35.12,35.938,225970,0
35.865,36.321,35.281,36.048,84320,0
36.225,37.739,36.225,37.513,106054,0
37.315,38.21,37.225,37.994,204235,0
37.994,37.994,37.619,37.809,102306,0
37.73,38.314,37.73,37.785,107929,0
37.785,38.088,37.619,37.739,59457,0
37.739,37.842,37.523,37.619,102931,0
37.706,38.097,37.706,37.906,137031,0
37.946,38.282,37.794,38.25,72825,0
38.25,38.531,38.067,38.115,139034,0
38.115,38.467,37.752,37.946,134034,0
37.93,37.946,37.672,37.747,114299,0
37.666,37.706,36.808,37.183,202988,0
37.183,37.217,36.919,36.937,114797,0
37.016,37.307,36.808,36.808,152519,0
36.818,36.977,36.278,36.519,223846,0
36.519,36.598,35.281,36.346,263948,0
36.265,36.419,35.784,36.225,172384,0
36.145,36.208,35.719,35.992,187745,0
35.913,36.251,35.329,36.096,186999,0
36.258,36.368,35.696,36.278,112798,0
36.265,36.696,36.104,36.687,90317,0
36.881,36.881,35.922,35.983,167262,0
35.922,35.938,35.569,35.719,96311,0
35.719,35.834,35.4,35.52,104430,0
35.624,35.673,35.312,35.505,67455,0
35.424,35.657,34.776,34.823,70703,0
34.823,34.831,34.031,34.752,143904,0
34.664,34.672,34.263,34.511,83693,0
34.511,35.329,34.423,35.312,216477,0
35.281,35.281,34.952,35.094,75947,0
35.134,35.262,34.672,34.734,116672,0
34.823,34.927,34.431,34.655,88689,0
34.593,34.831,34.376,34.743,71576,0
34.743,34.743,32.502,33.142,676417,0
33.142,33.198,32.336,33.157,402726,0
33.134,33.622,33.078,33.408,367501,0
33.408,33.726,33.303,33.424,286432,0
33.439,33.694,33.175,33.32,208109,0
33.294,33.663,32.926,33.215,283684,0
