Open,High,Low,Close,Volume,OpenInt
12.35,12.35,11.35,11.85,23213,0
12.25,12.3,11.0,12.0,24474,0
12.05,12.15,11.0,11.15,18419,0
11.35,11.95,11.0,11.45,6884,0
11.55,11.65,11.05,11.05,8659,0
11.2,11.35,10.35,10.6,19651,0
10.8,11.25,10.6,11.25,14268,0
11.4,12.25,11.25,11.6,13080,0
11.6,12.25,11.6,12.0,9639,0
12.0,12.35,11.3,11.35,5467,0
12.0,12.0,11.25,11.7,9855,0
11.55,11.55,11.3,11.3,5947,0
11.3,11.65,11.3,11.5,5513,0
11.95,12.0,11.25,11.45,3250,0
11.25,11.25,10.95,10.95,8072,0
10.9,10.9,10.0,10.55,12762,0
10.55,10.55,9.85,9.9,13487,0
9.9,9.95,9.5,9.6,8722,0
9.6,10.15,9.35,9.4,3264,0
9.45,9.55,9.3,9.3,5080,0
9.35,9.45,9.25,9.35,4916,0
9.25,9.45,9.25,9.25,3310,0
9.4,9.5,9.25,9.45,4321,0
9.25,9.45,8.5,8.75,22360,0
8.8,8.95,8.0,8.9,13684,0
8.45,8.85,8.45,8.65,5117,0
8.6,8.9,8.6,8.75,6354,0
8.9,8.95,8.55,8.95,2804,0
9.1,9.1,8.85,8.95,1857,0
9.25,9.25,8.9,8.9,1755,0
8.8,9.25,8.8,9.1,2310,0
8.95,8.95,8.6,8.6,4760,0
8.7,8.75,8.6,8.6,1981,0
8.55,8.9,8.55,8.6,6265,0
8.55,8.85,8.55,8.7,3919,0
8.75,8.8,8.7,8.8,2335,0
8.8,9.05,8.65,9.0,1683,0
9.25,9.25,8.75,8.85,3371,0
8.85,8.85,8.55,8.7,3465,0
8.7,8.8,8.55,8.8,1586,0
8.9,9.1,8.7,9.1,6457,0
9.35,9.35,8.75,8.8,1520,0
8.65,8.75,8.65,8.65,996,0
8.6,8.7,8.5,8.7,2130,0
8.5,8.5,7.65,8.1,11548,0
8.1,8.25,8.1,8.1,7820,0
8.15,8.15,8.05,8.05,2260,0
8.9,9.0,8.35,8.8,2767,0
8.1,8.7,8.1,8.7,3699,0
8.25,8.6,8.25,8.5,1440,0
9.0,9.0,8.7,8.7,2448,0
9.0,9.75,9.0,9.6,8073,0
9.9,10.1,8.25,8.7,15518,0
8.75,9.05,8.7,9.05,1713,0
9.5,9.5,8.75,8.75,1794,0
8.75,9.1,8.75,8.9,1600,0
8.75,8.9,8.6,8.75,676,0
8.55,8.65,8.55,8.55,750,0
8.65,8.7,8.6,8.6,680,0
8.7,8.7,8.55,8.55,180,0
8.55,8.8,8.5,8.6,3747,0
8.55,8.95,8.45,8.7,1392,0
8.75,8.75,8.55,8.55,1040,0
9.05,9.05,8.5,8.75,4802,0
8.55,8.7,8.55,8.7,700,0
8.75,8.9,8.4,8.55,2356,0
8.8,10.5,8.8,9.9,22702,0
10.5,11.15,9.9,10.6,15490,0
10.5,10.55,9.9,10.35,4822,0
10.4,10.7,10.0,10.65,3738,0
10.75,10.75,10.4,10.55,1705,0
10.55,11.0,9.9,9.9,2361,0
10.25,11.2,9.9,10.25,3439,0
10.35,10.7,10.3,10.5,3698,0
10.4,10.75,10.4,10.75,1383,0
10.25,10.5,10.2,10.2,1899,0
10.5,10.5,10.0,10.0,2504,0
10.65,10.65,9.75,9.85,2725,0
10.25,10.3,9.8,9.9,3612,0
10.25,10.25,9.9,9.9,3750,0
9.9,10.0,9.8,9.9,2330,0
9.9,9.9,9.9,9.9,580,0
9.85,10.4,9.75,10.2,3617,0
10.2,10.2,10.0,10.15,2830,0
10.75,10.75,10.3,10.55,4977,0
10.75,11.0,10.0,10.0,3320,0
10.0,10.45,9.85,10.05,4292,0
9.75,9.95,9.75,9.75,2436,0
9.75,10.05,9.75,9.95,1480,0
9.75,9.95,9.75,9.85,1106,0
10.1,10.1,9.75,9.75,1540,0
9.8,9.95,9.75,9.75,1655,0
9.95,10.05,9.8,9.95,1610,0
10.05,10.05,9.75,9.9,2273,0
9.75,10.1,9.6,9.6,7168,0
9.6,9.95,9.6,9.75,2970,0
9.75,9.8,9.7,9.7,2376,0
9.6,9.95,9.55,9.75,5400,0
9.8,9.9,9.55,9.55,1754,0
9.55,9.6,9.3,9.3,4736,0
9.3,9.5,9.3,9.35,740,0
9.65,9.65,9.25,9.25,2310,0
9.25,9.25,9.25,9.25,925,0
9.25,9.75,9.15,9.55,1820,0
9.55,9.65,9.35,9.35,660,0
9.8,9.8,9.25,9.4,1457,0
9.6,9.6,9.4,9.4,1440,0
9.4,9.4,9.1,9.4,2917,0
8.5,9.35,8.5,9.3,3206,0
8.5,9.0,8.5,8.95,4860,0
9.0,9.4,9.0,9.4,2020,0
9.0,9.25,8.75,9.05,740,0
9.2,9.3,8.8,9.25,1990,0
8.75,9.2,8.75,9.0,5381,0
8.85,9.1,8.75,8.85,1765,0
8.95,8.95,8.75,8.9,3129,0
8.55,8.9,8.55,8.7,4327,0
8.6,8.85,8.55,8.75,2000,0
8.5,8.6,8.4,8.4,6572,0
8.6,8.7,8.5,8.6,819,0
8.5,8.6,8.5,8.5,310,0
8.5,8.6,8.25,8.35,5860,0
8.25,8.3,8.1,8.3,3666,0
8.3,8.4,8.1,8.25,2216,0
8.1,8.45,8.0,8.2,2369,0
8.05,8.25,8.05,8.15,2915,0
8.25,8.25,8.2,8.2,150,0
8.2,8.45,8.2,8.45,1822,0
8.9,8.9,8.0,8.5,1292,0
8.45,8.5,8.2,8.45,880,0
8.45,8.75,8.3,8.35,5452,0
8.3,8.35,8.2,8.25,5579,0
8.2,8.25,8.15,8.25,611,0
8.15,8.5,8.15,8.5,821,0
8.25,8.75,8.25,8.4,1421,0
8.15,8.55,8.15,8.55,5003,0
8.7,8.7,8.5,8.55,209,0
8.35,8.6,8.25,8.6,660,0
8.25,8.4,8.25,8.4,160,0
8.45,8.8,8.45,8.75,4720,0
8.8,9.1,8.7,9.1,1469,0
9.1,9.1,8.65,8.75,3306,0
8.75,8.75,8.55,8.55,3151,0
9.0,9.0,8.5,8.5,4530,0
8.5,8.5,8.4,8.5,2100,0
8.55,8.65,8.5,8.5,520,0
8.5,8.6,8.5,8.6,700,0
8.4,8.55,8.25,8.25,5461,0
8.25,9.55,8.0,8.4,10195,0
8.4,8.4,7.75,8.0,5348,0
8.0,8.0,7.95,7.95,360,0
7.95,8.15,7.9,8.05,2131,0
8.0,8.15,8.0,8.15,820,0
8.3,8.35,8.15,8.15,824,0
8.35,8.35,8.05,8.1,1968,0
8.5,8.5,8.0,8.15,3806,0
8.2,8.25,8.2,8.25,1940,0
8.5,8.5,8.1,8.1,480,0
8.1,8.15,8.1,8.15,240,0
8.05,8.05,7.85,7.95,2710,0
8.15,8.15,7.85,8.0,2303,0
8.0,8.0,7.7,7.95,1500,0
7.95,8.05,7.95,8.05,681,0
8.05,8.05,7.8,7.9,1570,0
7.95,8.0,7.75,7.9,371,0
7.8,7.9,7.75,7.9,2170,0
7.7,7.75,7.55,7.7,235,0
7.6,7.75,7.6,7.75,1050,0
7.75,7.75,7.5,7.6,3860,0
7.7,7.7,7.55,7.6,1220,0
7.6,7.85,7.6,7.6,820,0
7.8,7.95,7.6,7.9,2316,0
7.95,8.05,7.75,7.95,1000,0
7.75,7.9,7.75,7.75,2360,0
7.8,8.15,7.55,7.6,1870,0
7.75,7.75,7.65,7.75,5467,0
7.5,7.85,7.5,7.85,860,0
7.6,7.9,7.5,7.5,5462,0
7.5,7.55,7.25,7.4,5044,0
7.35,7.55,7.25,7.3,6762,0
7.45,7.5,7.15,7.25,6523,0
6.8,7.2,6.75,7.2,7115,0
7.0,7.15,6.95,7.15,5981,0
7.05,7.1,6.85,6.85,5072,0
6.95,7.0,6.85,6.9,3650,0
7.2,7.4,6.9,7.3,5340,0
7.05,7.4,7.05,7.25,1886,0
7.05,7.25,6.9,6.95,5198,0
7.0,7.35,7.0,7.05,3124,0
6.9,7.35,6.9,7.25,3540,0
7.45,7.95,7.4,7.4,6443,0
7.25,7.5,7.15,7.45,2029,0
7.25,7.25,6.85,6.9,8084,0
7.0,7.1,6.75,6.8,9840,0
6.75,7.1,6.75,7.05,4270,0
7.0,7.0,6.85,6.95,2795,0
6.85,7.1,6.85,7.05,3360,0
7.0,7.05,6.9,7.0,1168,0
6.85,6.9,6.7,6.7,5591,0
6.7,6.95,6.7,6.7,3530,0
6.75,7.0,6.75,6.95,3537,0
6.75,6.9,6.6,6.8,9791,0
6.75,6.9,6.65,6.85,5650,0
6.75,6.95,6.65,6.8,4060,0
6.8,6.95,6.75,6.75,2994,0
6.75,6.8,6.7,6.8,4970,0
6.7,7.4,6.7,7.05,7040,0
7.25,7.45,7.2,7.25,6715,0
7.85,7.85,6.95,7.1,1880,0
7.5,7.5,6.95,7.3,5690,0
7.0,7.4,7.0,7.3,2371,0
7.1,7.25,7.1,7.15,3385,0
7.15,7.15,7.05,7.15,1860,0
7.15,7.2,7.05,7.05,2321,0
7.0,7.25,6.85,7.2,8597,0
