Open,High,Low,Close,Volume,OpenInt
21.037,21.332,20.97,21.29,913764,0
21.273,21.332,21.054,21.196,1493710,0
21.189,21.669,21.189,21.626,1352786,0
21.558,21.584,21.273,21.373,1003783,0
21.415,21.642,21.348,21.531,1012000,0
21.531,22.08,21.273,21.833,1622304,0
21.692,21.912,21.558,21.82,1062724,0
21.811,21.827,21.592,21.751,708721,0
21.751,21.751,21.44,21.661,803566,0
20.66,20.801,20.097,20.299,6185235,0
20.265,20.635,20.156,20.448,2685565,0
20.408,20.769,20.382,20.72,1001461,0
20.72,20.855,20.156,20.214,1463882,0
20.08,20.205,20.021,20.047,907870,0
20.106,20.146,19.844,20.047,1371715,0
20.156,20.181,20.003,20.047,1409761,0
19.904,20.316,19.83,20.214,1574258,0
20.146,20.491,20.097,20.214,754086,0
20.214,20.332,19.93,20.156,672286,0
20.299,20.576,20.299,20.417,901977,0
20.417,20.643,20.417,20.535,825173,0
20.526,20.526,20.097,20.189,1047186,0
20.265,20.566,20.146,20.55,872507,0
20.517,20.517,20.097,20.283,1456737,0
20.4,20.432,19.844,19.869,1538715,0
19.844,19.844,19.475,19.711,1304562,0
19.761,20.064,19.735,19.955,826066,0
20.408,20.6,20.214,20.448,1565333,0
20.467,20.467,20.165,20.374,799634,0
20.324,20.6,20.299,20.365,684248,0
20.324,20.458,20.196,20.265,526541,0
20.265,20.265,20.003,20.181,1098625,0
20.24,20.667,20.115,20.181,768196,0
20.231,20.617,20.231,20.417,1246867,0
20.382,20.491,20.132,20.156,1216151,0
20.132,20.231,19.939,20.132,544936,0
20.132,20.711,20.011,20.6,1757155,0
20.558,20.558,20.24,20.307,1369036,0
20.425,20.626,19.844,20.231,1394937,0
20.231,20.283,19.777,19.787,1226333,0
19.844,20.021,19.593,19.869,1978989,0
20.181,20.181,19.577,19.752,1753048,0
19.569,19.653,19.124,19.29,2115450,0
19.29,19.29,18.585,18.755,2901147,0
18.838,18.98,18.737,18.92,1859142,0
18.904,19.173,18.904,19.096,1067189,0
19.064,19.343,19.039,19.173,1193107,0
19.255,19.55,19.255,19.392,952342,0
19.316,19.458,19.233,19.352,775519,0
19.352,19.442,19.147,19.241,794987,0
19.173,19.711,19.147,19.569,1487995,0
19.962,20.097,19.821,19.98,2086510,0
20.072,20.072,19.787,19.787,1484418,0
19.878,20.047,19.586,19.678,1246332,0
19.796,19.904,19.542,19.661,771950,0
19.625,19.735,19.475,19.569,953595,0
19.483,19.542,19.156,19.519,1663028,0
19.711,20.566,19.711,20.332,1936479,0
20.517,20.55,20.348,20.517,1115057,0
20.55,20.702,20.256,20.635,913229,0
20.635,20.887,20.6,20.769,1049685,0
21.306,21.306,20.365,20.55,571370,0
20.558,20.742,20.408,20.72,1764122,0
20.742,20.98,20.736,20.98,1249013,0
20.953,21.087,20.855,21.037,377579,0
21.139,21.222,20.926,21.061,845894,0
21.061,21.273,20.934,21.248,991997,0
21.222,21.415,21.173,21.332,1020036,0
21.306,21.373,21.189,21.189,1296525,0
21.189,21.264,21.054,21.164,790701,0
21.164,21.222,20.855,20.895,1249194,0
20.998,21.023,20.651,20.686,886971,0
21.692,22.809,21.642,22.685,7437993,0
22.743,23.052,22.564,22.943,2341745,0
22.952,23.146,22.853,23.036,1441554,0
22.987,23.398,22.979,23.222,1753582,0
23.186,23.286,23.012,23.24,1466199,0
23.186,23.641,23.169,23.432,1474952,0
23.514,23.741,23.338,23.372,2977058,0
23.24,23.302,23.036,23.036,1879325,0
22.926,23.137,22.793,22.86,1676605,0
22.952,23.061,22.784,22.987,1706611,0
23.044,23.07,22.909,22.909,955737,0
22.869,22.886,22.508,22.508,1191145,0
22.482,22.583,22.103,22.23,1216687,0
22.237,22.382,22.129,22.246,847141,0
22.313,22.498,22.189,22.299,584407,0
22.424,22.526,22.398,22.424,1437269,0
22.382,22.465,22.147,22.382,1227227,0
22.398,22.591,22.263,22.482,688180,0
22.44,22.44,22.029,22.088,1078443,0
21.945,22.246,21.912,22.112,569765,0
22.12,22.526,22.08,22.498,811420,0
22.424,22.66,22.272,22.573,1052007,0
22.54,22.734,22.498,22.632,1223831,0
22.677,22.708,22.448,22.65,1322779,0
22.65,22.758,22.517,22.564,997892,0
22.557,22.961,22.474,22.691,995386,0
22.66,22.8,22.573,22.743,658352,0
22.75,22.917,22.583,22.784,608702,0
22.701,22.844,22.616,22.8,473137,0
22.784,22.793,22.388,22.548,413835,0
22.548,22.9,22.534,22.886,399191,0
22.844,22.952,22.432,22.86,549579,0
22.926,22.926,22.701,22.879,437057,0
22.853,22.86,22.398,22.784,841251,0
22.734,22.952,22.734,22.926,412048,0
22.952,23.036,22.784,22.9,578870,0
22.869,22.961,22.632,22.668,691398,0
22.685,22.784,22.616,22.784,450632,0
22.758,22.784,22.54,22.708,685505,0
22.65,22.685,22.398,22.534,872329,0
22.482,22.482,21.76,21.976,1349926,0
21.921,22.029,21.912,21.945,872862,0
21.945,22.18,21.895,22.18,1304562,0
22.299,22.373,22.065,22.197,861610,0
22.677,22.685,22.065,22.147,2527318,0
22.281,22.34,22.065,22.171,1686963,0
22.129,22.498,22.103,22.347,1330282,0
22.398,22.398,21.945,21.945,1978810,0
22.088,22.498,22.08,22.424,1725009,0
22.44,22.526,22.206,22.407,1010213,0
22.498,22.616,22.355,22.457,781418,0
22.508,22.54,22.237,22.415,624955,0
22.49,22.548,22.313,22.49,852504,0
22.281,22.281,21.306,21.357,2978487,0
21.357,21.717,21.205,21.675,1765018,0
21.357,21.491,20.904,21.433,3576470,0
21.357,21.642,21.264,21.642,1521036,0
21.592,21.592,21.023,21.106,2071330,0
21.054,21.054,20.651,20.801,4382710,0
20.576,20.711,20.231,20.382,3499846,0
20.501,20.686,20.072,20.256,3049751,0
20.408,20.784,20.408,20.72,1720718,0
21.389,21.811,21.106,21.499,3500025,0
21.499,21.499,21.07,21.106,1881828,0
21.549,21.877,21.499,21.811,2964554,0
21.827,21.976,21.651,21.938,1252585,0
21.811,21.833,21.692,21.7,799098,0
21.709,21.709,21.239,21.332,1198110,0
21.389,21.726,21.106,21.306,1284911,0
21.324,21.675,21.273,21.523,1207221,0
21.558,21.558,20.926,21.139,1220434,0
21.139,21.332,20.934,21.044,2490705,0
20.769,20.769,20.299,20.501,2456410,0
20.509,20.736,20.047,20.635,1905401,0
20.72,21.515,20.72,21.087,2322811,0
21.222,21.449,20.98,21.164,972884,0
21.139,21.139,20.72,20.855,829997,0
