Open,High,Low,Close,Volume,OpenInt
6.5015,6.5288,6.4922,6.5106,13271,0
6.4559,6.5288,6.4103,6.4741,52861,0
6.4741,6.5468,6.4741,6.5468,28074,0
6.5196,6.6017,6.5015,6.5288,8225,0
6.5106,6.6017,6.4922,6.6017,15136,0
6.6109,6.7111,6.5926,6.6928,28185,0
6.7658,6.7748,6.6928,6.7111,12064,0
6.6928,6.6928,6.6017,6.6564,9651,0
6.6291,6.6656,6.6017,6.6109,14916,0
6.6564,6.6928,6.6199,6.6837,20616,0
6.6837,6.7383,6.6564,6.6837,13271,0
6.7658,6.793,6.6656,6.7294,23907,0
6.6656,6.7383,6.6109,6.6656,18536,0
6.6199,6.6928,6.5744,6.5926,13708,0
6.6656,6.6656,6.5106,6.5196,13271,0
6.4374,6.5926,6.4374,6.5015,13271,0
6.465,6.5744,6.4103,6.4103,8555,0
6.4195,6.5288,6.3919,6.4559,18205,0
6.4195,6.4922,6.4103,6.4922,13271,0
6.4922,6.4922,6.4103,6.4103,22700,0
6.4103,6.4467,6.4011,6.4374,33888,0
6.4011,6.4011,6.3282,6.3555,25662,0
6.3371,6.4011,6.3282,6.4011,44087,0
6.3739,6.4559,6.3462,6.4559,42333,0
6.4559,6.4559,6.2916,6.3739,12503,0
6.3646,6.3646,6.2552,6.3192,16779,0
6.3828,6.4011,6.2278,6.3646,21933,0
6.3282,6.3739,6.3282,6.3371,17767,0
6.3371,6.3739,6.3371,6.3462,12613,0
6.3739,6.4011,6.3739,6.4011,18313,0
6.3555,6.4285,6.3192,6.3828,10746,0
6.3555,6.4011,6.3192,6.3462,17328,0
6.3555,6.3828,6.3371,6.3371,4386,0
6.3282,6.3739,6.2645,6.2645,12392,0
6.2552,6.2552,6.1823,6.1823,19850,0
6.1004,6.1275,6.0546,6.082,23470,0
6.1367,6.2552,6.1367,6.1457,26211,0
6.1093,6.2004,6.0729,6.082,18424,0
6.1367,6.2096,6.1275,6.1457,22483,0
6.1639,6.1731,6.1367,6.1367,14477,0
6.1548,6.1731,6.1548,6.1548,12941,0
6.1275,6.1639,6.1184,6.1184,13927,0
6.0363,6.082,5.9999,6.0546,56918,0
6.0454,6.0637,6.0182,6.0182,13927,0
6.0272,6.082,5.9999,6.009,23578,0
6.0454,6.0546,6.0272,6.0272,21386,0
6.0546,6.1367,6.0546,6.1184,20508,0
6.1184,6.2004,6.1184,6.1914,9762,0
6.1639,6.1914,6.1457,6.1457,19850,0
6.1823,6.1914,6.1457,6.1457,8443,0
6.1367,6.1639,6.1093,6.1548,19629,0
6.0729,6.082,6.0182,6.0637,50337,0
6.0637,6.0637,5.9999,6.0454,30159,0
5.9999,6.0272,5.9451,5.9451,30268,0
6.009,6.009,5.9451,5.9908,18313,0
5.9451,5.9999,5.9451,5.9908,8443,0
5.9451,5.9634,5.9269,5.9359,11955,0
5.9999,6.0637,5.9999,6.009,38824,0
6.0546,6.1004,6.0546,6.0637,26760,0
6.1004,6.1004,6.0363,6.0637,7129,0
6.1184,6.2278,6.1184,6.1914,45074,0
6.1275,6.1731,6.1093,6.1093,17767,0
6.1275,6.1731,6.1184,6.1731,10638,0
6.1548,6.2096,6.1457,6.2004,14916,0
6.2096,6.2187,6.1457,6.2004,12721,0
6.1823,6.2004,6.1548,6.1731,61634,0
6.1367,6.2552,6.1367,6.2552,50776,0
6.2552,6.2645,6.2278,6.2552,26760,0
6.2645,6.2645,6.0911,6.1548,11295,0
6.1184,6.2552,6.1184,6.1367,8006,0
6.1914,6.2369,6.1914,6.2187,9979,0
6.2096,6.2552,6.2096,6.2096,5374,0
6.2096,6.2734,6.2096,6.2187,17328,0
