Open,High,Low,Close,Volume,OpenInt
50.36,50.92,50.0,50.88,110806,0
50.8,51.2,50.44,51.12,309441,0
51.2,51.6,50.84,51.48,246305,0
51.48,51.84,50.88,51.56,170402,0
51.76,52.0,51.32,51.84,139610,0
52.24,52.32,51.56,52.2,110619,0
52.36,52.8,51.96,52.52,91523,0
52.4,52.6,52.0,52.28,176952,0
52.0,52.08,51.36,51.6,88264,0
51.56,52.28,51.48,52.24,185699,0
52.04,52.96,52.04,52.8,130346,0
52.6,53.92,52.6,53.88,152364,0
54.08,54.44,53.6,53.96,154236,0
53.64,53.84,53.2,53.2,129518,0
53.28,54.28,53.12,53.6,113285,0
53.72,54.32,53.04,54.0,167235,0
53.8,54.28,53.44,54.04,93412,0
53.88,54.36,53.64,53.72,135098,0
53.56,53.92,53.56,53.72,76403,0
54.0,54.4,53.48,53.8,84352,0
53.64,54.48,53.64,54.24,56824,0
54.08,54.64,53.4,53.4,157662,0
53.28,53.72,52.44,53.2,170469,0
53.04,53.12,52.08,52.52,159310,0
52.76,52.76,52.08,52.4,173645,0
52.24,52.28,51.48,51.76,113137,0
51.92,52.2,51.56,52.04,134148,0
52.08,52.36,51.4,51.44,146386,0
51.32,51.88,51.0,51.72,114589,0
51.92,52.08,51.12,51.44,78653,0
51.32,51.64,50.72,51.2,102622,0
51.08,51.32,50.0,50.6,161923,0
50.48,50.84,50.28,50.28,157691,0
50.88,51.12,48.8,49.48,262019,0
49.36,49.44,46.8,48.16,256423,0
48.04,48.6,46.56,46.64,300736,0
46.84,47.08,45.6,46.0,327782,0
46.0,46.16,45.16,45.2,303169,0
45.76,46.4,45.28,45.72,237828,0
45.6,46.28,44.68,44.96,116479,0
45.08,45.68,44.96,45.52,276870,0
45.28,45.6,44.32,44.32,90280,0
44.0,44.48,43.88,44.12,119294,0
43.84,43.96,42.0,42.04,213680,0
42.36,43.44,41.88,42.16,226512,0
42.4,43.28,42.36,43.04,287675,0
42.84,43.64,42.84,43.12,464307,0
43.2,43.44,42.92,43.12,283411,0
43.44,43.44,41.8,42.08,159078,0
42.32,42.6,41.8,42.16,92848,0
42.4,42.56,41.8,42.24,130947,0
50.16,51.88,49.24,50.4,1546606,0
50.32,51.04,49.48,49.76,464818,0
49.76,50.28,49.2,49.24,283161,0
49.16,49.76,48.56,49.16,204652,0
48.84,49.68,48.16,49.08,488466,0
48.8,49.48,48.44,49.16,281848,0
49.0,49.48,48.64,48.8,184440,0
48.76,49.2,48.48,48.92,274454,0
48.64,48.96,48.36,48.8,154330,0
48.56,49.32,48.36,49.16,187281,0
49.24,49.4,48.88,49.2,209375,0
49.12,49.16,48.56,48.6,257671,0
48.72,49.32,48.72,49.08,80045,0
49.32,49.32,48.24,48.56,241906,0
