Open,High,Low,Close,Volume,OpenInt
9.881,10.083,9.818,10.037,214913,0
10.158,10.196,9.894,9.908,194372,0
9.946,10.228,9.946,10.018,171828,0
10.114,10.307,10.048,10.293,234446,0
10.248,10.285,10.177,10.277,203893,0
10.335,10.436,10.315,10.372,145780,0
10.372,10.372,10.24,10.24,145280,0
10.335,10.524,10.335,10.509,120731,0
10.517,10.531,10.335,10.416,136766,0
10.416,10.459,10.236,10.236,128749,0
10.251,10.332,10.201,10.26,143274,0
10.26,10.319,10.236,10.273,103196,0
10.332,10.4,10.302,10.361,145280,0
10.4,10.464,10.302,10.302,123740,0
10.352,10.471,10.332,10.436,214913,0
10.38,10.459,10.298,10.416,144278,0
10.38,10.452,10.251,10.251,115721,0
10.315,10.356,10.154,10.154,145280,0
10.088,10.154,9.934,10.018,196375,0
10.044,10.073,9.881,9.941,152295,0
9.941,9.941,9.761,9.89,237454,0
9.901,10.052,9.901,9.917,135257,0
9.946,10.073,9.863,10.013,128749,0
10.123,10.315,10.06,10.277,123235,0
10.269,10.28,10.138,10.138,134259,0
10.096,10.345,10.052,10.28,109710,0
10.28,10.345,10.228,10.327,138263,0
10.305,10.424,10.269,10.416,124238,0
10.408,10.531,10.364,10.4,167820,0
10.38,10.4,10.332,10.345,136766,0
10.372,10.421,10.332,10.349,188359,0
10.34,10.361,10.273,10.307,170828,0
10.298,10.298,10.15,10.163,132752,0
10.172,10.277,10.167,10.244,218921,0
10.264,10.412,10.189,10.189,149788,0
10.172,10.193,10.096,10.158,151291,0
10.181,10.232,10.127,10.232,117227,0
10.181,10.225,10.031,10.073,273522,0
10.06,10.189,10.022,10.141,122737,0
10.141,10.225,10.123,10.13,142776,0
10.13,10.236,10.08,10.1,223426,0
10.119,10.193,10.055,10.105,113717,0
10.123,10.123,9.988,10.001,143775,0
9.973,10.119,9.901,9.988,169824,0
10.037,10.13,9.997,10.073,157300,0
10.073,10.201,10.073,10.167,79149,0
10.141,10.221,10.141,10.201,116721,0
10.201,10.345,10.201,10.315,83661,0
10.375,10.576,10.26,10.289,296567,0
10.324,10.44,10.293,10.403,210405,0
10.58,10.708,10.48,10.667,916758,0
10.703,10.799,10.58,10.724,481424,0
10.677,10.717,10.527,10.599,417800,0
10.559,10.559,10.444,10.492,306086,0
10.408,10.408,10.201,10.228,264508,0
10.28,10.4,10.201,10.392,219919,0
10.392,10.464,10.352,10.432,189363,0
10.495,10.76,10.476,10.67,224432,0
10.663,10.737,10.58,10.677,496450,0
10.724,10.724,10.596,10.7,140768,0
10.751,10.763,10.691,10.695,107210,0
10.691,10.807,10.66,10.686,187858,0
10.677,10.695,10.62,10.66,103699,0
10.628,10.636,10.535,10.628,141773,0
10.628,10.87,10.625,10.866,84162,0
10.94,10.974,10.655,10.695,304835,0
10.745,10.765,10.548,10.724,271522,0
