Open,High,Low,Close,Volume,OpenInt
6.95,7.35,6.82,7.3,253451,0
7.43,8.17,7.3,7.88,758467,0
8.16,8.74,7.9,8.33,1163155,0
8.55,9.48,8.33,9.1,1886006,0
9.36,9.36,8.37,8.8,730295,0
8.91,8.91,8.46,8.63,204487,0
8.79,9.57,8.65,9.1,754404,0
9.45,9.45,7.93,8.25,742398,0
8.09,8.33,7.51,7.67,708800,0
7.55,8.97,7.55,8.92,1298705,0
9.19,9.43,8.41,8.48,801335,0
8.45,8.99,8.45,8.62,341291,0
9.0,10.3,8.8,10.21,2162550,0
10.06,10.58,9.55,10.0,1181226,0
10.03,10.08,9.68,9.92,360587,0
10.0,10.1,9.02,9.79,542880,0
10.0,10.0,9.2,9.63,235694,0
10.65,11.9,10.26,11.41,2132849,0
11.35,12.35,10.75,11.5,1748699,0
11.45,11.75,11.12,11.56,636120,0
11.86,12.54,11.44,11.76,1004630,0
12.01,12.71,11.65,12.14,969893,0
12.56,13.16,12.15,13.05,980113,0
13.18,13.48,12.5,12.99,1044697,0
12.62,12.89,12.16,12.65,635620,0
12.8,13.7,12.68,13.67,1323437,0
13.9,15.09,13.62,14.96,1324844,0
15.1,16.88,15.01,16.45,2711566,0
16.63,16.8,15.02,15.95,2499372,0
15.65,16.2,15.1,15.69,839821,0
15.21,15.53,13.67,14.01,1973818,0
13.94,13.94,11.85,12.95,2814578,0
13.0,13.86,12.31,13.37,1135155,0
13.75,13.86,12.7,13.09,745850,0
12.92,13.13,12.62,12.65,400721,0
12.6,12.6,10.27,10.75,1149901,0
10.84,12.0,10.84,11.4,1008452,0
11.5,12.25,10.5,10.74,811321,0
11.38,15.65,11.28,15.3,5802830,0
15.24,16.99,14.36,15.91,4148920,0
16.38,17.37,15.91,16.39,3411849,0
16.42,17.0,14.8,15.0,2599302,0
14.5,16.18,14.12,15.45,2220501,0
15.31,15.9,14.8,15.2,803195,0
15.97,15.97,14.85,15.08,921267,0
15.3,15.7,13.88,14.09,1542467,0
14.25,15.2,13.55,14.62,1444034,0
15.1,15.49,14.26,14.65,1147098,0
14.81,14.9,14.0,14.28,542503,0
14.6,14.8,14.3,14.44,385989,0
14.75,16.65,14.59,16.65,2436109,0
16.91,17.5,15.66,16.16,2087623,0
16.44,16.44,15.3,16.17,979009,0
16.34,16.64,15.35,15.6,875275,0
15.98,15.98,15.1,15.52,600871,0
15.39,17.87,15.35,17.84,2279402,0
17.37,19.23,17.14,18.87,3494912,0
19.02,19.35,17.8,18.0,2295376,0
18.23,20.0,17.61,19.28,2622988,0
19.74,20.3,19.28,19.42,1698725,0
19.7,19.98,18.8,19.29,1102944,0
19.1,21.24,19.0,20.42,2390027,0
20.69,21.11,20.31,20.62,750768,0
21.03,21.65,21.0,21.5,991133,0
21.95,21.95,20.85,21.38,669918,0
21.44,21.66,20.05,20.92,1000704,0
21.05,21.4,19.61,20.2,1005503,0
20.35,20.65,19.15,19.6,825422,0
19.8,20.2,18.6,20.13,1007721,0
20.78,23.0,20.42,23.0,3190490,0
23.25,23.38,21.8,22.19,1486030,0
22.35,22.99,20.53,21.28,1046010,0
21.56,21.88,20.2,21.36,925548,0
21.3,22.39,21.14,21.78,830986,0
21.75,22.09,20.6,20.95,810540,0
20.9,21.44,20.11,20.61,780008,0
20.92,21.63,20.46,21.36,671883,0
21.98,23.17,21.05,21.54,1760953,0
21.71,22.48,20.77,21.03,821795,0
20.9,21.14,20.3,20.33,585488,0
20.5,21.62,20.4,20.57,766293,0
20.69,21.25,20.33,20.7,618657,0
20.89,20.89,17.32,18.0,2523199,0
18.78,19.07,17.68,18.25,1040242,0
18.5,18.58,16.55,17.56,1167121,0
17.6,18.31,17.44,17.93,923834,0
18.26,18.26,17.1,17.23,531683,0
17.42,17.42,15.9,15.99,985303,0
16.0,17.88,15.95,17.88,1304209,0
18.36,20.23,18.12,20.04,2342477,0
20.06,20.34,19.15,19.72,1026916,0
18.89,19.77,18.68,19.42,495659,0
19.8,20.14,19.25,19.47,418110,0
19.65,21.1,19.59,20.89,1408085,0
21.13,21.24,19.8,19.99,846208,0
20.02,20.37,19.2,19.41,576610,0
19.68,19.9,19.05,19.35,512069,0
19.74,19.74,17.88,18.51,721980,0
18.51,19.5,18.25,19.25,631432,0
19.52,20.14,19.4,20.14,570728,0
19.98,21.15,19.6,21.15,927620,0
21.52,22.15,19.03,19.78,1481390,0
19.78,20.36,19.1,19.99,479093,0
20.02,24.96,20.02,24.0,7173439,0
24.08,25.0,23.4,24.47,2718977,0
24.88,25.5,24.56,25.05,1312899,0
25.59,25.59,24.32,24.8,809721,0
24.7,26.89,24.7,26.75,1405072,0
28.39,28.73,27.43,28.0,2372139,0
27.9,28.1,26.43,27.2,985033,0
27.1,29.0,26.91,28.28,1444362,0
28.34,28.75,27.22,27.6,667740,0
27.7,28.15,26.61,26.8,606344,0
27.15,27.17,25.1,26.3,1080694,0
26.69,26.69,24.25,24.62,1029685,0
24.71,26.73,24.71,25.67,1137983,0
25.86,26.7,25.22,26.43,679661,0
26.23,26.94,25.85,26.12,458603,0
26.38,27.74,26.12,27.39,913482,0
27.39,27.57,26.31,26.58,497325,0
26.39,26.51,24.35,25.3,710475,0
25.01,25.15,23.8,24.5,743109,0
24.45,25.36,24.23,24.75,457605,0
25.25,25.73,24.75,25.5,569361,0
25.73,25.88,24.78,24.85,460912,0
24.75,24.92,23.3,23.45,887217,0
23.23,23.99,22.35,23.22,1037808,0
23.4,23.75,22.75,23.61,666812,0
22.92,24.89,22.92,24.4,907406,0
24.49,24.95,24.02,24.59,603456,0
24.81,25.88,24.5,25.87,710081,0
26.27,26.53,24.75,25.08,703794,0
25.32,25.45,24.06,24.19,330457,0
25.59,25.59,24.72,25.17,482245,0
25.44,26.4,24.9,26.25,617159,0
26.7,28.9,26.65,28.72,2051166,0
29.05,29.7,27.3,27.63,1789710,0
27.87,28.18,27.0,27.92,600473,0
27.94,29.85,27.63,28.46,1572590,0
28.75,28.98,26.45,26.94,889208,0
26.44,27.0,25.37,25.54,972139,0
25.25,25.88,24.62,25.05,825883,0
25.0,26.92,25.0,26.89,1115995,0
27.0,27.26,25.34,26.05,595158,0
26.05,26.65,25.22,25.65,502157,0
25.06,25.61,23.0,23.81,1159824,0
23.58,24.77,23.54,24.47,653487,0
25.08,25.48,24.42,25.09,751883,0
25.34,25.34,24.03,24.11,603663,0
24.08,24.4,23.54,23.64,411179,0
23.71,23.93,22.78,23.02,619197,0
22.91,23.95,22.82,23.47,379860,0
23.69,24.72,23.61,24.65,575058,0
24.95,25.37,23.55,23.57,478806,0
24.18,24.18,21.27,21.75,796311,0
21.7,21.92,20.53,21.73,770941,0
22.05,23.17,21.75,21.95,481622,0
22.18,22.25,20.5,20.7,599760,0
20.52,20.76,18.24,18.86,2057766,0
18.83,19.88,17.73,18.11,989643,0
18.11,18.69,16.75,17.13,1118788,0
17.64,19.21,17.07,18.97,1104936,0
19.15,19.25,17.95,18.79,829884,0
18.87,18.87,17.86,17.87,461172,0
18.04,19.86,17.55,19.5,1055342,0
19.5,21.25,18.75,20.47,1690669,0
20.9,21.18,19.7,20.02,691918,0
20.32,20.65,19.55,20.15,356682,0
20.3,21.85,19.9,21.6,646255,0
21.78,22.3,20.57,20.81,421260,0
20.89,21.77,19.61,19.97,453867,0
19.94,20.57,19.05,19.3,506281,0
19.62,20.94,19.62,20.54,624724,0
20.47,21.4,20.31,21.35,474553,0
21.81,22.72,21.51,22.14,717513,0
22.24,22.49,20.89,21.25,390243,0
21.36,21.71,20.1,21.47,341488,0
21.8,23.6,21.79,23.43,1013093,0
23.5,24.15,22.67,23.56,552243,0
23.9,24.05,22.71,23.2,362104,0
23.19,23.99,23.19,23.98,359127,0
24.21,25.0,24.17,24.87,547053,0
24.99,26.4,24.36,25.17,816232,0
25.33,25.73,24.67,24.67,457666,0
24.75,25.38,24.32,24.95,303168,0
25.25,25.61,23.06,23.43,959298,0
21.49,21.97,17.79,18.28,4439155,0
18.5,18.7,17.0,17.09,1805860,0
17.2,17.77,16.6,17.57,1500013,0
18.17,19.3,17.82,18.73,2112206,0
19.38,19.5,19.0,19.01,789217,0
19.16,19.29,17.9,18.01,938818,0
18.04,18.25,17.16,17.41,828563,0
17.52,18.3,17.26,17.87,718072,0
18.09,18.46,17.55,17.95,566976,0
17.91,17.95,16.88,17.16,793324,0
17.39,17.75,17.25,17.34,566910,0
17.49,17.93,17.0,17.15,641673,0
17.2,17.47,16.62,16.9,663296,0
17.08,17.35,16.69,17.0,449621,0
16.87,16.98,16.13,16.59,624533,0
