Open,High,Low,Close,Volume,OpenInt
3.891,3.9623,3.8854,3.9429,74900,0
3.9687,3.9687,3.9234,3.93,99510,0
3.9553,4.0134,3.9493,3.9944,150904,0
3.9944,4.0074,3.9493,3.9553,109943,0
3.9493,3.9814,3.9429,3.9623,176598,0
3.9623,4.0074,3.9623,3.9879,258667,0
3.9879,4.0074,3.9879,3.9944,78795,0
3.9998,4.0074,3.9749,3.9814,120379,0
3.9749,3.9998,3.9553,3.9623,57773,0
3.9623,3.9687,3.9429,3.9687,116483,0
3.9687,3.9749,3.9429,3.9429,67894,0
3.9553,3.9623,3.9234,3.9234,170050,0
3.9429,3.9623,3.93,3.93,93432,0
3.9429,3.9553,3.9106,3.93,287013,0
3.898,3.9172,3.8854,3.8854,208361,0
3.8854,3.9172,3.8854,3.9172,38151,0
3.9106,3.9234,3.898,3.898,109784,0
3.898,3.9044,3.8336,3.8467,135945,0
3.8143,3.821,3.75,3.821,145448,0
3.7823,3.8657,3.7823,3.821,53725,0
3.7625,3.821,3.7625,3.7885,73976,0
3.75,3.7885,3.75,3.7697,62136,0
3.757,3.8272,3.757,3.8272,39403,0
3.808,3.8336,3.8017,3.8272,42365,0
3.8272,3.8595,3.821,3.8336,116021,0
3.8336,3.8722,3.8017,3.8143,33169,0
3.8143,3.8467,3.808,3.8467,15259,0
3.8526,3.8526,3.821,3.84,41107,0
3.8143,3.8657,3.8143,3.8657,48585,0
3.8272,3.8595,3.8272,3.8595,40330,0
3.8526,3.8595,3.8272,3.8467,30992,0
3.8336,3.8595,3.8272,3.8595,22896,0
3.8272,3.8782,3.8272,3.8272,48743,0
3.8272,3.8467,3.821,3.8272,41889,0
3.84,3.8467,3.821,3.8272,38000,0
3.84,3.9106,3.821,3.8272,88757,0
3.8722,3.8722,3.8017,3.8336,67272,0
3.821,3.8272,3.7885,3.821,66803,0
3.8272,3.84,3.8017,3.8272,140003,0
3.8143,3.8143,3.7697,3.808,109633,0
3.7885,3.8272,3.7697,3.8272,121930,0
3.808,3.8526,3.808,3.8526,54348,0
3.8143,3.8467,3.7885,3.821,26473,0
3.8336,3.8526,3.808,3.8467,47653,0
3.8657,3.8657,3.808,3.821,53258,0
3.821,3.8657,3.8017,3.821,45006,0
3.808,3.8657,3.808,3.8595,19773,0
3.8272,3.8657,3.821,3.8467,45472,0
3.84,3.8595,3.8272,3.8336,45161,0
3.8526,3.8722,3.8336,3.8467,20862,0
3.8467,3.8657,3.8467,3.8526,26166,0
3.8722,3.8722,3.84,3.8526,18531,0
3.8526,3.8657,3.8467,3.8526,30053,0
3.8595,3.8722,3.84,3.8657,24294,0
3.8657,3.8657,3.8336,3.8467,56996,0
3.8336,3.8526,3.8143,3.84,76772,0
3.808,3.8467,3.7954,3.8143,81290,0
3.808,3.8722,3.808,3.8336,54036,0
3.8782,3.8782,3.8336,3.84,63849,0
3.84,3.8722,3.84,3.84,39872,0
3.84,3.8722,3.84,3.8657,88617,0
3.8526,3.8722,3.8467,3.8657,22896,0
3.8526,3.8657,3.8467,3.8467,36282,0
3.84,3.8526,3.8336,3.84,36124,0
3.84,3.8657,3.84,3.8657,89086,0
3.8657,3.9234,3.8657,3.9234,90010,0
3.9172,3.9234,3.9044,3.9234,24602,0
3.9172,3.93,3.9172,3.93,30053,0
3.9493,3.9493,3.8722,3.8782,122405,0
3.898,3.93,3.898,3.9234,33637,0
3.9172,3.9429,3.9172,3.9234,39240,0
3.9044,3.9234,3.9044,3.9106,31139,0
3.9106,3.93,3.898,3.898,27408,0
3.9172,3.93,3.898,3.9044,61202,0
