Open,High,Low,Close,Volume,OpenInt
3.0347,3.0436,3.0347,3.0436,4835,0
3.0347,3.0436,2.9787,3.016,18801,0
3.0347,3.0347,3.0253,3.0253,2147,0
3.0067,3.0067,2.9787,2.9882,12888,0
2.9787,2.9976,2.9787,2.9976,4835,0
3.0253,3.0347,3.0067,3.0347,16113,0
3.0347,3.0347,3.0067,3.0347,38136,0
3.0067,3.0625,3.0067,3.0625,59623,0
3.0625,3.2767,3.0625,3.2115,116560,0
3.2302,3.2393,3.2021,3.2393,24708,0
3.2115,3.2115,3.1838,3.193,15575,0
3.2115,3.2115,3.2021,3.2021,5909,0
3.2021,3.2021,3.1092,3.1092,88630,0
3.1276,3.1276,2.9787,3.0067,265878,0
3.0347,3.1182,3.0347,3.1092,48340,0
3.1276,3.1653,3.1276,3.1653,2685,0
3.1838,3.2302,3.1838,3.2302,7518,0
3.2302,3.2491,3.193,3.193,39748,0
3.193,3.2115,3.1653,3.2115,46192,0
3.2393,3.2953,3.2393,3.2953,22023,0
3.3045,3.3141,3.2581,3.2581,45124,0
3.2393,3.2581,3.2393,3.2581,4835,0
3.2302,3.2491,3.193,3.193,55862,0
3.2115,3.2115,3.2115,3.2115,1074,0
3.2115,3.2115,3.1092,3.1092,22023,0
3.0905,3.1368,3.0814,3.1276,28466,0
3.1368,3.1368,3.1182,3.1368,9129,0
3.1092,3.1838,3.1092,3.1838,42431,0
3.193,3.2207,3.193,3.2207,11814,0
3.2393,3.2581,3.2393,3.2581,6448,0
3.2581,3.2581,3.2115,3.2207,19874,0
3.2393,3.2581,3.2393,3.2581,23097,0
3.2581,3.2767,3.2581,3.2767,21484,0
3.2767,3.2859,3.2767,3.2767,18801,0
3.2859,3.3141,3.2581,3.3141,76809,0
3.3233,3.3512,3.3141,3.3328,37064,0
3.3512,3.3977,3.3512,3.3977,38136,0
3.3977,3.4166,3.3233,3.3233,39212,0
3.3328,3.3512,3.2953,3.3233,85941,0
3.3419,3.3604,3.2953,3.3419,38671,0
3.3419,3.3695,3.2953,3.3512,27392,0
3.3328,3.3512,3.3233,3.3233,14502,0
3.3512,3.4166,3.3512,3.3791,30079,0
3.4166,3.444,3.3512,3.3512,41894,0
3.3791,3.3977,3.3695,3.3977,24172,0
3.4166,3.444,3.4166,3.444,24708,0
3.4627,3.4721,3.444,3.4721,20411,0
3.4721,3.4816,3.4721,3.4816,13431,0
3.5099,3.5371,3.5099,3.5371,10743,0
3.5842,3.6774,3.5467,3.6774,42972,0
3.6678,3.7234,3.6678,3.6678,36524,0
3.7234,3.7422,3.7234,3.7422,24172,0
3.77,3.7792,3.714,3.7608,46192,0
3.8073,3.8073,3.7328,3.7422,68215,0
3.77,3.77,3.7234,3.7328,13431,0
3.7328,3.77,3.7328,3.7608,33302,0
3.7608,3.7608,3.7328,3.7516,21484,0
3.7422,3.77,3.7328,3.77,102053,0
3.7608,3.77,3.7234,3.7234,16651,0
3.7516,3.7516,3.7047,3.7234,25782,0
3.7328,3.7516,3.714,3.7328,38136,0
3.7234,3.7608,3.7234,3.7608,9668,0
3.7608,3.7608,3.7234,3.7422,17191,0
3.7422,3.77,3.7328,3.7422,24708,0
3.7516,3.7516,3.7328,3.7516,4835,0
3.7516,3.7608,3.7516,3.7608,4296,0
3.7608,3.77,3.7234,3.7516,24172,0
3.7516,3.7792,3.7422,3.7792,17724,0
3.7792,3.8073,3.7792,3.7978,6985,0
3.8073,3.8073,3.7792,3.8073,6985,0
3.8725,4.3753,3.8539,4.3285,196052,0
4.3753,4.6358,4.1237,4.2446,93997,0
4.1425,4.189,3.9098,4.0493,337854,0
4.1053,4.2729,4.0956,4.254,56396,0
4.2823,4.3378,4.2354,4.3193,28466,0
4.3193,4.3378,4.254,4.3008,54248,0
4.3008,4.3753,4.3008,4.3753,27392,0
4.4216,4.4216,4.3099,4.3193,64991,0
4.3656,4.4216,4.3099,4.4216,17191,0
4.4216,4.4684,4.3843,4.4216,15575,0
4.4684,4.4684,4.3843,4.3843,5909,0
4.4031,4.4124,4.3568,4.4124,11279,0
4.3843,4.4124,4.1984,4.2078,34375,0
4.2261,4.2729,4.2261,4.2446,5372,0
4.254,4.3285,4.2446,4.3285,22023,0
4.3753,4.4401,4.3753,4.4401,37064,0
4.4591,4.98,4.4591,4.9337,150395,0
4.9337,5.1201,4.9337,4.9988,159530,0
4.9708,5.027,4.9708,5.0082,20949,0
5.036,5.3058,5.036,5.2222,158449,0
5.2222,5.2874,5.0733,5.2874,62307,0
5.3058,5.3058,5.2409,5.2779,62846,0
5.2688,5.2779,5.2409,5.2779,9129,0
5.2504,5.3804,5.2409,5.3804,87015,0
5.4085,5.5386,5.3991,5.4458,96147,0
5.3991,5.4085,5.3431,5.3528,26855,0
5.3616,5.4085,5.2874,5.2874,29545,0
5.2779,5.2779,5.0548,5.0919,39748,0
4.7291,4.8964,4.7011,4.8871,163822,0
4.9337,5.1012,4.9337,5.0638,71436,0
5.0919,5.2222,5.0733,5.2222,31688,0
5.2315,5.2315,5.1942,5.1942,4835,0
5.2409,5.5853,5.1755,5.5853,102593,0
5.5853,5.5853,5.4269,5.4642,27929,0
5.4731,5.5853,5.4731,5.5756,108500,0
5.5853,5.7899,5.5853,5.7899,247614,0
5.9947,6.2371,5.9854,6.1811,239023,0
6.4882,6.5161,6.2371,6.5069,207330,0
6.5441,6.721,6.4975,6.6651,458707,0
6.6931,6.6931,6.5441,6.5441,70364,0
6.5441,6.6651,6.4975,6.5441,51565,0
6.5161,6.5161,6.2926,6.3111,74660,0
6.2649,6.3673,6.1811,6.1997,109576,0
6.2461,6.3487,6.2086,6.3487,49955,0
6.3765,6.5815,6.3765,6.5441,95069,0
6.5626,6.6091,6.423,6.4975,74660,0
6.4511,6.5069,6.4511,6.4975,8057,0
6.4975,7.3444,6.4975,6.6559,408754,0
6.7859,6.851,6.2926,6.5161,117091,0
6.6001,6.7024,6.423,6.6931,32227,0
6.7024,6.9819,6.7024,6.8887,67139,0
6.963,6.963,6.423,6.7024,90777,0
6.7768,6.7768,6.5161,6.6091,26321,0
6.6091,6.8049,6.6091,6.7768,62307,0
6.7955,6.9345,6.7955,6.8887,55323,0
6.9165,6.963,6.7489,6.963,46192,0
6.9819,7.3915,6.8326,7.2606,138041,0
7.317,7.4374,6.7955,6.9345,116560,0
7.1026,7.2513,6.7394,6.9725,109576,0
6.9725,7.1584,6.9345,6.9819,29006,0
7.0468,7.1118,6.9725,7.1118,40286,0
7.1674,7.4374,7.0839,7.419,22023,0
7.4472,7.6331,7.4472,7.5682,128911,0
7.6238,7.7075,7.2606,7.6238,170267,0
7.6798,7.7075,7.4934,7.5029,46729,0
7.0746,7.4005,6.8887,7.1674,216462,0
7.2606,7.3351,7.1118,7.1674,38136,0
6.9909,7.093,6.851,7.0283,105277,0
7.0187,7.0187,6.9725,6.9819,54248,0
7.0655,7.205,6.9725,7.1215,90777,0
7.3539,7.3539,6.8887,7.0746,69290,0
6.9819,6.9819,6.3301,6.5535,165433,0
6.5815,7.0655,6.5815,6.8049,110111,0
6.851,7.1864,6.851,7.0563,23097,0
7.0563,7.1674,6.9819,7.0746,40821,0
7.0283,7.2606,7.0283,7.2606,49416,0
7.3539,7.4283,7.3539,7.4283,29545,0
7.4934,7.4934,7.3444,7.4844,37598,0
7.4844,7.4934,7.419,7.4472,37598,0
7.4472,7.4472,7.205,7.3262,37598,0
7.3915,7.3915,6.6091,6.9819,147710,0
6.7955,7.1492,6.7581,6.9999,60697,0
6.8697,7.0283,6.6931,6.7024,80569,0
6.6931,6.7768,6.2926,6.3673,68751,0
6.3856,6.8049,6.3856,6.4975,85135,0
6.7394,6.7394,5.3616,5.6598,202764,0
5.7528,5.781,5.4921,5.5853,94537,0
5.6039,5.6598,5.5107,5.6411,62846,0
5.6598,5.7528,5.3058,5.3528,99100,0
5.2688,5.3804,4.9149,5.0638,336779,0
5.1201,5.3058,5.1201,5.1942,104199,0
5.1942,5.5946,5.1942,5.5946,39748,0
5.6506,5.6598,5.4551,5.6224,36257,0
5.6598,5.8645,5.6598,5.669,17994,0
5.669,5.669,5.3616,5.4551,22557,0
5.4551,5.4551,5.0455,5.0638,125152,0
5.0733,5.1942,5.0082,5.1571,51025,0
5.1942,5.2129,5.0638,5.1386,50491,0
5.1292,5.2965,5.1201,5.1942,64991,0
5.2037,5.3058,5.1386,5.1755,62576,0
5.2129,5.2129,5.1571,5.1662,101786,0
5.2129,5.2409,5.2037,5.2129,50491,0
