Open,High,Low,Close,Volume,OpenInt
7.07,7.48,7.07,7.48,80067,0
7.54,7.62,7.33,7.48,127516,0
7.48,7.62,7.33,7.4,53503,0
7.4,7.49,7.38,7.43,26522,0
7.43,7.5,7.2,7.31,63141,0
7.31,7.47,7.31,7.45,61707,0
7.3,7.45,7.28,7.32,66566,0
7.23,7.34,7.12,7.16,26739,0
7.27,7.3,7.05,7.19,40832,0
7.33,7.33,7.01,7.16,52452,0
7.03,7.12,7.03,7.07,12500,0
6.97,7.09,6.95,7.04,36516,0
7.15,7.24,7.03,7.13,27231,0
6.98,7.05,6.89,7.0,79202,0
6.82,7.01,6.82,6.99,17415,0
6.95,7.1,6.95,7.07,32895,0
6.8,7.1,6.8,6.96,43967,0
6.9,7.0,6.81,6.9,49099,0
6.75,6.77,6.53,6.67,95803,0
6.62,6.67,6.5,6.6,17929,0
6.58,6.72,6.22,6.43,105386,0
6.32,6.49,6.32,6.45,79477,0
6.6,6.77,6.6,6.74,35940,0
6.93,6.93,6.41,6.48,117546,0
6.5,6.5,6.35,6.44,134091,0
6.36,6.37,6.22,6.25,59322,0
6.23,6.36,6.16,6.2,72545,0
6.34,6.37,6.17,6.23,54404,0
6.33,6.33,6.18,6.18,64257,0
6.32,6.32,6.15,6.22,26735,0
6.37,6.45,6.15,6.22,203054,0
6.35,6.35,6.19,6.31,31998,0
6.22,6.27,6.21,6.22,16892,0
6.18,6.21,6.0,6.07,58521,0
6.01,6.01,5.85,5.87,59541,0
5.97,5.97,5.66,5.76,37646,0
5.65,5.86,5.65,5.69,39050,0
5.69,5.86,5.65,5.66,13234,0
5.76,5.83,5.7,5.77,38411,0
5.8,5.8,5.73,5.75,6325,0
5.59,5.77,5.59,5.75,5437,0
5.8,5.92,5.73,5.86,23882,0
5.84,6.1,5.84,6.06,55547,0
6.0,6.02,5.85,5.95,51855,0
5.87,6.15,5.87,6.13,39126,0
6.01,6.09,5.88,6.05,58226,0
5.75,5.75,5.55,5.61,132722,0
5.69,5.89,5.69,5.86,54933,0
5.9,5.9,5.73,5.83,15192,0
5.82,5.82,5.73,5.82,46450,0
5.67,5.75,5.6,5.74,24517,0
5.7,5.78,5.6,5.7,85837,0
5.68,5.77,5.68,5.75,22277,0
5.62,5.93,5.62,5.88,46712,0
