Open,High,Low,Close,Volume,OpenInt
11.445,11.593,11.445,11.535,113125,0
11.573,11.613,11.128,11.265,303167,0
11.265,11.535,11.246,11.435,130206,0
11.445,11.465,11.315,11.395,98512,0
11.435,11.682,11.415,11.632,117634,0
11.711,11.821,11.613,11.771,130312,0
11.761,11.871,11.445,11.545,128378,0
11.555,11.881,11.525,11.652,418332,0
11.662,11.691,11.435,11.545,138800,0
11.593,11.662,11.495,11.515,90563,0
11.495,11.565,11.295,11.405,382772,0
11.415,11.623,11.265,11.275,339263,0
11.295,11.445,11.138,11.177,214860,0
11.167,11.256,10.959,11.029,198960,0
11.079,11.841,11.079,11.682,330669,0
11.672,11.731,11.515,11.682,595376,0
11.682,11.721,11.515,11.682,798957,0
11.682,11.961,11.632,11.672,304349,0
11.682,11.751,11.455,11.545,946351,0
11.632,11.751,11.593,11.751,142344,0
11.771,11.871,11.672,11.711,793157,0
11.405,11.751,11.395,11.525,453892,0
11.495,11.811,11.495,11.771,208843,0
11.761,11.851,11.682,11.771,419513,0
11.771,11.821,11.632,11.791,646300,0
11.662,12.257,11.632,12.157,1323754,0
12.177,12.466,12.0,12.127,155236,0
12.147,12.673,12.137,12.633,545423,0
12.613,12.673,12.377,12.673,1524970,0
12.663,12.713,12.524,12.583,219588,0
12.583,12.583,12.297,12.426,343884,0
12.436,12.543,12.267,12.485,180590,0
12.495,12.495,12.347,12.377,159210,0
12.377,12.377,12.059,12.059,224098,0
12.059,12.237,11.881,11.911,183920,0
12.0,12.227,11.831,12.108,123974,0
12.177,12.456,12.098,12.207,81430,0
12.207,12.287,11.871,11.961,149434,0
12.01,12.078,11.881,12.0,123974,0
11.911,11.921,11.642,11.751,200678,0
11.731,11.971,11.642,11.911,116668,0
11.911,11.941,11.731,11.911,94861,0
11.821,12.059,11.652,11.961,74771,0
12.01,12.01,11.731,11.801,64028,0
11.811,11.991,11.652,11.991,93572,0
12.059,12.059,11.632,11.871,77780,0
11.961,12.029,11.821,11.961,155022,0
11.961,12.098,11.881,12.029,76061,0
12.117,12.287,12.059,12.108,245693,0
12.098,12.137,11.911,12.039,77780,0
12.127,12.237,11.961,12.098,152228,0
12.098,12.098,11.632,11.991,190472,0
11.991,11.991,11.682,11.731,269327,0
11.791,11.841,11.632,11.711,98512,0
11.662,11.721,11.632,11.721,90777,0
11.545,11.555,11.395,11.415,871258,0
11.415,11.425,11.079,11.167,488377,0
11.216,11.265,11.177,11.265,115486,0
11.196,11.305,11.118,11.265,486980,0
11.187,11.305,11.167,11.305,157277,0
11.305,11.791,11.275,11.642,1078169,0
11.593,11.672,11.495,11.642,226354,0
11.632,11.672,11.515,11.573,297688,0
11.525,11.682,11.465,11.545,240858,0
11.613,11.613,11.525,11.593,179624,0
11.593,11.662,11.445,11.465,268252,0
11.405,11.632,11.405,11.632,295326,0
11.632,11.711,11.425,11.711,189612,0
11.652,11.751,11.573,11.741,249560,0
11.741,11.911,11.711,11.891,201001,0
11.911,11.911,11.593,11.791,148682,0
11.741,11.941,11.662,11.821,157385,0
11.871,12.059,11.761,12.059,264278,0
12.098,12.237,12.068,12.127,226570,0
12.108,12.197,12.098,12.157,177475,0
12.098,12.337,12.088,12.287,181878,0
12.287,12.337,12.088,12.197,348933,0
12.147,12.267,12.108,12.237,69292,0
12.287,12.505,12.237,12.377,535217,0
12.397,12.416,12.237,12.287,186927,0
12.237,12.287,12.098,12.108,263204,0
12.147,12.257,12.117,12.247,408341,0
12.197,12.287,12.167,12.197,81324,0
12.257,12.257,12.147,12.257,113337,0
12.177,12.287,12.098,12.217,109793,0
12.127,12.287,12.117,12.177,160070,0
12.117,12.327,12.098,12.327,250420,0
12.297,12.514,12.267,12.426,262988,0
12.426,12.553,12.337,12.475,175218,0
12.436,12.703,12.277,12.703,264708,0
12.743,12.753,12.098,12.377,306498,0
12.287,12.505,12.217,12.505,92389,0
12.495,12.673,12.495,12.633,109901,0
12.653,12.703,12.407,12.693,175002,0
12.693,12.733,12.563,12.653,84547,0
12.603,12.643,12.446,12.475,41575,0
12.147,12.397,12.098,12.297,292854,0
12.247,12.416,12.227,12.397,137187,0
12.397,12.397,12.137,12.247,83579,0
