Open,High,Low,Close,Volume,OpenInt
23.85,24.05,23.13,23.38,24249,0
23.71,23.79,22.26,22.4,26964,0
22.57,23.68,22.42,23.3,34708,0
23.45,23.58,22.6,22.76,14231,0
23.22,23.44,22.74,23.09,6624,0
23.36,23.84,22.8,23.59,26358,0
23.9,23.99,22.53,22.53,10013,0
22.5,23.06,21.0,21.17,138024,0
21.13,21.85,21.12,21.75,21198,0
21.67,22.0,21.37,21.64,11505,0
21.54,22.35,21.54,21.85,17688,0
22.15,22.38,21.9,22.18,45701,0
22.5,22.5,22.01,22.2,7332,0
22.02,22.02,21.45,21.85,22596,0
21.9,22.43,21.6,21.83,38441,0
22.16,22.16,20.45,21.03,79581,0
21.3,21.64,20.9,21.05,85615,0
20.98,21.33,20.95,21.0,53147,0
21.01,21.39,21.01,21.18,6000,0
21.25,21.25,20.97,21.06,4705,0
21.25,21.39,20.0,20.54,111979,0
20.44,20.63,19.82,19.9,19318,0
20.2,20.68,18.5,19.76,61987,0
19.51,20.74,19.51,20.71,62519,0
20.82,20.82,19.84,20.32,68902,0
20.25,20.39,20.15,20.39,11876,0
20.26,20.93,20.26,20.89,13669,0
21.25,22.08,21.06,22.04,95086,0
21.82,22.34,21.71,22.3,15114,0
21.82,22.68,21.82,22.05,37791,0
22.01,22.69,22.01,22.59,13176,0
22.14,23.3,22.14,23.0,21781,0
23.34,23.34,21.42,22.22,161508,0
22.2,22.2,21.73,21.74,27841,0
22.05,22.05,21.1,21.43,27185,0
21.42,22.59,21.42,22.55,10260,0
22.26,22.45,22.1,22.11,13233,0
22.3,22.3,21.22,21.58,113413,0
22.28,22.28,21.23,21.23,65295,0
21.2,21.2,19.35,19.65,78973,0
19.61,20.68,19.61,20.5,34558,0
20.31,20.5,19.75,19.97,38078,0
19.92,19.96,19.71,19.8,203656,0
21.17,22.0,20.62,20.7,123627,0
20.75,21.12,20.75,21.04,126988,0
20.92,20.99,20.62,20.9,34191,0
20.9,20.9,19.62,19.93,54643,0
21.8,22.53,20.7,22.3,95834,0
22.22,22.48,21.99,22.04,52022,0
22.0,22.0,21.2,21.89,29144,0
22.27,22.27,21.8,21.92,20954,0
21.94,21.95,21.66,21.81,23996,0
21.6,21.7,21.11,21.44,35736,0
21.06,21.06,19.73,20.27,79247,0
20.37,20.37,18.93,19.46,106697,0
19.26,20.52,19.26,20.52,23889,0
20.3,20.6,20.04,20.34,31373,0
20.44,21.65,20.39,21.4,90687,0
21.49,21.49,20.0,20.46,28645,0
20.27,20.4,20.1,20.29,37478,0
19.73,20.35,19.73,20.18,81233,0
19.85,20.3,19.6,20.2,91909,0
20.66,21.26,20.1,20.59,147740,0
20.69,21.38,20.25,21.38,40337,0
20.91,23.7,20.44,22.6,42067,0
22.55,23.29,22.4,22.97,117664,0
22.68,23.04,22.3,22.96,60664,0
22.56,23.5,22.56,23.5,17397,0
23.1,23.68,23.05,23.25,30360,0
23.8,23.99,23.27,23.72,39618,0
23.84,23.93,23.36,23.42,15717,0
23.42,23.71,21.63,22.0,295218,0
21.72,21.86,21.2,21.86,45147,0
21.46,22.0,21.35,21.62,49195,0
21.44,21.81,21.34,21.59,60112,0
21.8,22.2,21.64,22.06,35624,0
22.06,22.38,21.99,22.34,50941,0
22.43,23.05,22.43,23.05,30754,0
23.29,23.79,22.55,23.71,57227,0
23.63,24.15,23.29,24.03,39482,0
24.0,24.2,23.79,24.09,38797,0
24.23,25.42,24.15,25.25,74617,0
25.12,25.27,23.16,23.65,124599,0
23.6,24.0,23.06,23.76,221385,0
23.77,23.77,23.35,23.51,30853,0
23.41,23.9,23.41,23.9,46090,0
23.99,24.49,22.87,23.41,81440,0
23.71,23.73,22.31,23.49,131827,0
23.59,23.7,23.0,23.1,23380,0
23.29,23.74,23.29,23.74,25007,0
23.65,23.68,23.41,23.53,27693,0
23.08,24.6,23.03,24.46,44974,0
24.59,26.44,24.59,25.33,149801,0
25.62,25.66,25.05,25.4,59430,0
25.36,25.66,23.96,24.79,149213,0
25.47,25.97,24.9,25.27,198989,0
24.97,26.23,24.84,26.0,64935,0
25.8,26.9,25.6,26.21,45140,0
26.41,26.44,25.72,25.97,32214,0
25.9,26.41,25.61,25.92,55313,0
25.79,27.25,25.56,26.75,87106,0
27.15,27.24,26.29,26.89,32584,0
27.19,27.94,26.52,27.91,68584,0
27.92,27.99,26.23,26.8,83007,0
26.81,27.2,26.28,26.44,29573,0
26.57,27.53,26.57,27.5,72092,0
27.75,28.48,27.16,28.3,130076,0
28.37,28.41,27.3,27.8,61734,0
28.01,28.38,27.64,28.04,32450,0
27.81,28.3,27.69,28.15,51180,0
28.09,28.25,27.81,28.22,68223,0
28.09,28.09,27.56,27.8,59268,0
27.75,27.75,25.6,26.36,117173,0
26.43,27.0,26.22,26.8,35531,0
26.66,26.66,25.79,26.0,50987,0
26.2,28.98,26.2,27.57,121715,0
27.88,28.27,27.58,28.25,55217,0
28.1,28.5,27.78,27.99,45777,0
27.85,27.95,26.72,27.75,16855,0
27.67,27.67,26.5,27.0,36189,0
27.25,27.79,26.72,27.12,26671,0
27.1,27.46,25.65,26.25,23486,0
26.18,26.18,25.32,25.63,22457,0
25.85,25.85,25.4,25.57,14828,0
25.57,26.31,25.52,25.66,63130,0
25.66,26.02,25.31,25.31,43488,0
25.32,25.44,24.83,25.08,14658,0
24.79,24.85,24.01,24.59,66962,0
24.6,26.5,24.6,25.68,69830,0
25.25,25.25,24.8,24.83,39067,0
25.08,25.8,24.31,25.05,61567,0
25.0,25.27,24.75,24.94,42784,0
24.72,24.95,24.49,24.65,18496,0
24.93,25.24,24.81,25.0,150894,0
25.0,25.76,24.84,25.5,173562,0
25.2,25.96,25.2,25.79,23211,0
25.63,26.13,25.5,25.97,66870,0
26.19,26.19,25.62,26.07,19843,0
25.96,26.28,25.9,25.95,16916,0
26.05,26.15,25.95,26.06,16084,0
26.07,26.64,26.04,26.11,23722,0
26.36,26.36,25.22,25.6,38824,0
25.33,25.5,25.03,25.27,5891,0
25.3,25.3,24.81,25.22,25607,0
24.97,25.39,24.28,25.14,28973,0
25.14,25.9,25.0,25.84,14581,0
25.4,25.51,25.26,25.5,8076,0
25.42,26.15,24.54,26.15,19296,0
25.96,27.72,25.59,27.38,32793,0
27.52,27.59,26.42,27.25,33461,0
26.68,27.26,25.9,26.95,27947,0
27.0,27.01,26.34,26.82,6899,0
26.88,26.94,26.47,26.86,5729,0
26.38,26.71,26.0,26.0,12590,0
26.0,26.22,25.44,25.5,16725,0
25.28,25.62,25.28,25.49,122699,0
25.56,25.56,24.86,25.06,20696,0
24.77,24.77,23.9,24.3,77725,0
24.37,24.5,24.0,24.09,37236,0
23.99,24.42,23.99,24.3,35149,0
24.15,24.67,24.15,24.55,28047,0
24.73,24.86,24.55,24.8,14634,0
24.92,24.92,24.3,24.4,29543,0
24.43,24.69,24.3,24.36,32751,0
24.25,26.22,24.25,26.22,36291,0
26.13,26.84,26.0,26.58,8319,0
26.41,26.81,25.5,26.13,37871,0
25.99,26.39,25.7,26.08,20551,0
25.85,26.48,25.66,26.48,50264,0
26.49,26.5,25.84,25.99,21533,0
25.59,25.7,25.32,25.32,28340,0
25.34,25.48,25.0,25.48,11754,0
25.6,26.69,25.37,26.55,19125,0
26.28,26.93,25.94,26.84,12544,0
26.85,28.82,26.65,28.4,60210,0
28.32,28.75,27.88,27.96,12808,0
27.94,28.04,26.18,26.49,103682,0
26.5,26.5,24.78,25.14,70618,0
25.02,26.32,25.02,26.01,22979,0
26.26,26.26,23.45,23.45,120024,0
23.71,25.58,23.6,24.26,108962,0
24.25,25.58,23.91,25.58,82409,0
25.36,26.45,25.0,26.13,32000,0
26.32,27.39,25.91,26.06,30028,0
25.9,26.04,24.8,24.9,12538,0
25.06,26.53,24.8,26.38,16684,0
26.66,26.88,26.18,26.41,18638,0
26.28,26.59,25.45,26.55,23276,0
26.61,26.61,26.12,26.58,9226,0
26.59,26.97,26.06,26.29,28970,0
26.34,26.47,26.04,26.24,5786,0
26.5,26.5,24.2,25.17,79638,0
25.29,25.3,24.3,24.37,53622,0
24.37,24.49,23.46,23.86,47088,0
24.08,24.81,23.75,24.18,64858,0
24.08,24.21,23.83,24.12,14249,0
24.12,24.83,24.12,24.65,13017,0
24.95,25.19,23.99,24.05,27392,0
24.05,24.48,23.9,24.44,32673,0
24.31,24.95,24.31,24.63,10112,0
24.66,24.66,24.14,24.34,10219,0
24.19,24.64,24.19,24.33,64733,0
23.83,24.3,23.52,24.04,84810,0
24.04,24.04,23.66,23.82,18025,0
24.01,24.73,23.89,24.7,40518,0
24.76,24.82,24.25,24.5,65560,0
24.23,25.01,24.1,24.8,46778,0
24.8,25.85,24.65,25.45,15197,0
25.89,26.41,25.05,25.82,59277,0
25.81,25.81,25.32,25.47,37225,0
25.45,25.47,24.57,25.0,28215,0
25.0,25.16,24.08,24.08,40431,0
24.22,24.66,23.73,24.6,50992,0
24.19,24.49,24.15,24.26,6527,0
24.14,24.33,23.28,23.99,50623,0
