Open,High,Low,Close,Volume,OpenInt
9.762,10.099,9.724,9.964,216809,0
9.867,10.047,9.867,9.927,324345,0
10.174,10.526,9.934,10.414,208023,0
10.609,10.871,10.347,10.736,95869,0
10.744,10.834,10.526,10.594,73299,0
10.766,10.766,10.572,10.639,68374,0
10.729,10.766,10.317,10.684,151167,0
10.549,10.766,10.377,10.759,136804,0
10.497,10.766,10.489,10.684,78314,0
11.096,11.096,10.497,10.901,127178,0
11.479,11.944,11.291,11.524,200139,0
11.801,11.861,11.306,11.389,76406,0
11.659,11.659,11.006,11.029,32320,0
11.396,11.396,10.684,10.931,45224,0
11.164,11.186,10.684,10.729,131889,0
10.834,10.834,10.654,10.766,68765,0
10.691,11.006,10.684,10.811,8129,0
10.691,11.081,10.684,10.722,50355,0
10.691,10.909,10.684,10.804,62964,0
10.811,11.059,10.684,10.706,48466,0
10.714,10.804,10.639,10.691,26877,0
10.587,10.796,10.512,10.676,43783,0
10.796,10.871,10.587,10.871,98596,0
10.939,10.939,10.759,10.909,53387,0
11.037,11.037,10.564,10.684,95627,0
10.639,10.796,10.609,10.796,39659,0
10.774,11.051,10.632,10.909,55181,0
10.894,10.939,10.759,10.826,12451,0
10.624,10.834,10.489,10.519,35833,0
10.676,10.976,10.122,10.422,65421,0
10.287,10.497,10.092,10.242,38462,0
10.084,10.609,10.032,10.534,53922,0
10.534,10.909,10.534,10.864,67679,0
10.736,11.171,10.669,10.991,84102,0
10.991,11.059,10.497,10.594,64318,0
10.407,11.089,10.302,10.489,43594,0
10.137,10.534,10.114,10.534,87912,0
10.534,10.534,10.302,10.309,166221,0
10.422,10.669,10.384,10.542,41591,0
10.587,10.594,10.384,10.414,110205,0
10.564,10.781,10.347,10.639,111490,0
6.5978,7.0102,6.4779,6.5978,6831714,0
6.4704,6.6729,6.2529,6.5603,636693,0
6.7103,6.7479,6.5078,6.5978,1215938,0
6.5827,6.6428,6.4704,6.4704,662896,0
6.4029,6.6578,6.2078,6.4104,618413,0
6.3729,6.4853,6.3053,6.3804,251123,0
6.3503,6.4479,6.3503,6.3954,94314,0
6.4029,6.5902,6.4029,6.5902,146815,0
6.5978,6.6354,6.5603,6.5603,51090,0
