Open,High,Low,Close,Volume,OpenInt
7.4843,7.5476,7.4843,7.5476,10264,0
7.4765,7.5257,7.4401,7.4401,26990,0
7.4843,7.5195,7.4401,7.5195,10686,0
7.4968,7.4968,7.4552,7.4693,3937,0
7.4401,7.4552,7.4333,7.4333,4639,0
7.4333,7.5047,7.4333,7.5047,6325,0
7.4552,7.5556,7.4401,7.5556,12369,0
7.5688,7.5688,7.5118,7.5611,6046,0
7.5688,7.5688,7.5556,7.5556,3512,0
7.5688,7.5688,7.5118,7.5118,4076,0
7.5688,7.5688,7.3559,7.3767,10686,0
7.3767,7.4552,7.3052,7.3052,13635,0
7.2282,7.3052,7.1921,7.1921,24600,0
7.1771,7.3559,7.1771,7.1771,14760,0
7.2056,7.2696,7.2056,7.2206,13635,0
7.256,7.3336,7.256,7.2983,4639,0
7.3281,7.3336,7.1133,7.1208,14760,0
7.1494,7.2206,7.1419,7.2056,7167,0
7.2056,7.2696,7.1697,7.1697,12932,0
7.135,7.199,7.0995,7.1921,14760,0
7.2056,7.2282,7.135,7.1644,9981,0
7.1568,7.1697,7.0069,7.1061,10119,0
6.9715,7.0568,6.964,7.0568,16869,0
7.0356,7.199,7.0356,7.199,8998,0
7.2206,7.2844,7.2206,7.2696,2671,0
7.2844,7.3052,7.256,7.3052,9559,0
7.3052,7.3404,7.3052,7.3404,3937,0
7.3627,7.3767,7.3627,7.3767,5761,0
7.3696,7.3919,7.348,7.3559,10541,0
7.3627,7.3627,7.3052,7.3052,3512,0
7.3559,7.3559,7.2983,7.3052,4497,0
7.3052,7.3336,7.2206,7.2206,20527,0
7.1844,7.2206,7.1844,7.1844,16448,0
7.135,7.1844,7.135,7.1568,4076,0
7.1061,7.1061,6.7509,6.8863,91092,0
6.8863,6.9285,6.8717,6.8717,32616,0
6.9141,7.1494,6.9141,6.9141,64526,0
6.9427,7.0568,6.9427,7.0422,6186,0
7.0773,7.135,7.0773,7.135,2390,0
7.1133,7.1771,7.1133,7.1419,6186,0
7.1061,7.1061,7.0848,7.092,3795,0
7.0717,7.0995,7.0568,7.0995,5482,0
7.0568,7.0568,7.0069,7.0069,3512,0
7.0069,7.0069,7.0069,7.0069,844,0
7.0356,7.0495,7.0356,7.0356,3234,0
7.0209,7.0495,7.0209,7.0495,4779,0
7.0356,7.0568,7.0356,7.0356,2671,0
7.0069,7.0283,7.0069,7.0137,2671,0
7.0283,7.0568,7.0283,7.0568,5482,0
7.0283,7.0283,7.0283,7.0283,6186,0
7.0283,7.0283,7.0069,7.0069,3234,0
7.0356,7.0422,7.0356,7.0422,5204,0
7.0848,7.135,7.0848,7.135,2952,0
7.1208,7.1494,7.0568,7.0568,6891,0
