Open,High,Low,Close,Volume,OpenInt
9.4161,9.598,9.3495,9.501,109756,0
9.578,9.807,9.3871,9.807,234364,0
9.788,10.438,9.647,10.306,465276,0
10.389,10.389,10.01,10.21,248885,0
10.151,10.343,10.104,10.181,160218,0
10.353,10.438,10.2,10.315,121688,0
10.2,10.668,10.2,10.279,212154,0
10.249,10.306,9.962,10.074,214508,0
9.962,10.438,9.962,10.181,183843,0
10.055,10.362,9.991,10.181,87099,0
10.181,10.428,10.036,10.151,66529,0
10.23,10.23,10.01,10.064,88007,0
10.297,10.343,9.962,9.962,72390,0
9.962,10.122,9.598,9.769,199858,0
9.923,10.084,9.721,10.055,523102,0
10.01,10.036,9.837,9.923,270922,0
9.827,10.269,9.628,9.865,126038,0
9.962,10.428,9.895,10.315,346620,0
10.22,10.555,10.181,10.306,149445,0
10.506,10.592,10.259,10.476,133121,0
10.602,10.622,10.2,10.592,238639,0
10.622,10.811,10.171,10.289,243007,0
10.141,10.811,10.141,10.639,197364,0
10.753,11.07,10.555,10.85,431889,0
11.109,11.387,10.916,11.09,379603,0
11.387,11.702,11.156,11.406,561484,0
11.453,11.767,11.338,11.509,497028,0
11.614,11.757,11.1,11.175,472108,0
11.289,11.387,11.212,11.289,254918,0
11.289,11.795,11.289,11.435,322226,0
11.328,11.548,11.27,11.27,214816,0
11.165,11.27,10.831,11.232,264621,0
11.109,11.222,10.811,10.888,173806,0
10.85,11.042,10.38,10.535,227235,0
10.438,10.525,9.739,10.036,187254,0
9.933,10.259,9.788,10.122,322997,0
10.113,10.602,10.104,10.372,252088,0
10.648,10.668,10.181,10.297,127816,0
10.343,10.782,10.343,10.639,146050,0
10.773,10.773,10.333,10.438,110981,0
10.555,10.668,10.353,10.476,97673,0
10.297,10.717,10.297,10.448,132547,0
10.428,10.565,10.001,10.448,91118,0
10.418,10.448,9.991,10.001,59310,0
10.026,10.21,9.52,9.637,247260,0
9.4818,9.54,8.7661,9.1006,343365,0
8.9761,9.769,8.9761,9.53,241139,0
9.501,9.837,9.501,9.749,62159,0
9.845,9.943,9.4908,9.54,95322,0
9.694,9.749,8.9858,8.9858,374476,0
8.9,9.721,8.8234,9.704,242935,0
9.694,9.865,9.56,9.628,211085,0
9.721,9.721,9.3392,9.569,87429,0
9.4818,9.759,9.4818,9.55,112423,0
9.655,9.991,9.637,9.913,165678,0
9.991,10.151,9.855,10.01,152614,0
10.094,10.325,9.739,10.306,141408,0
10.408,10.717,10.297,10.648,372221,0
10.86,11.192,10.811,10.963,513674,0
10.993,11.298,10.888,11.251,174343,0
10.983,11.576,10.983,11.318,198125,0
11.338,11.435,10.85,11.308,148452,0
11.184,11.567,11.184,11.489,200483,0
11.435,12.764,11.435,12.685,664956,0
12.792,12.848,12.569,12.819,310165,0
12.809,13.163,12.725,13.115,304874,0
13.211,13.279,13.04,13.249,305678,0
13.269,13.632,13.088,13.632,293208,0
13.642,13.661,13.115,13.24,209312,0
13.143,13.708,13.088,13.44,283547,0
13.526,13.613,13.44,13.497,226672,0
13.458,13.507,13.163,13.287,243323,0
13.192,13.642,13.182,13.613,187825,0
13.642,13.908,13.468,13.89,226543,0
13.699,14.12,13.575,13.948,229462,0
13.986,14.195,13.918,14.033,461970,0
13.774,13.88,13.364,13.45,600905,0
13.394,13.89,13.394,13.556,216617,0
13.566,14.128,13.458,14.091,302619,0
14.128,14.128,13.594,13.652,245817,0
13.699,13.832,13.613,13.68,258585,0
14.015,14.091,13.584,13.928,374317,0
13.784,13.996,13.784,13.88,324582,0
13.727,13.727,12.646,13.098,949610,0
12.744,13.06,12.429,12.8,445431,0
12.685,12.942,12.494,12.782,404264,0
12.809,13.468,12.695,13.44,330821,0
13.536,13.632,13.354,13.45,155671,0
13.487,13.756,13.354,13.736,139812,0
13.632,14.225,13.632,14.225,162943,0
13.908,13.957,13.06,13.259,360285,0
13.03,13.458,12.829,13.421,213914,0
13.458,13.842,13.404,13.812,168836,0
13.766,14.243,13.766,14.233,231051,0
12.331,12.331,10.622,10.697,1678682,0
10.763,10.763,10.141,10.279,830631,0
10.389,10.438,10.2,10.289,291342,0
10.21,10.727,10.104,10.697,301018,0
10.476,10.744,10.438,10.648,340630,0
10.753,11.022,10.658,10.993,329822,0
10.945,11.212,10.736,11.165,245725,0
11.184,11.328,10.916,10.973,310065,0
11.013,11.318,10.907,11.318,210761,0
11.308,11.357,11.118,11.175,181162,0
11.192,11.338,11.118,11.192,191416,0
11.222,11.222,10.926,11.192,195029,0
11.26,11.27,11.013,11.175,187754,0
11.184,11.184,11.003,11.109,135418,0
11.07,11.165,10.782,10.811,203334,0
10.753,11.052,10.697,11.032,170001,0
11.032,11.032,10.736,10.801,212267,0
10.811,10.811,10.036,10.074,313365,0
10.21,10.333,9.4818,9.759,422264,0
9.637,9.827,9.3294,9.3969,297567,0
9.4454,9.788,9.4161,9.578,109394,0
9.578,9.578,9.2631,9.3392,308820,0
9.3392,9.3773,9.2249,9.3009,231974,0
9.3009,9.3009,9.0432,9.1482,197895,0
9.1676,9.3871,8.9761,9.2342,355064,0
9.2435,9.2533,8.9858,9.2342,209942,0
9.2151,9.578,9.2057,9.3583,180069,0
9.3671,9.3969,9.2435,9.3107,259066,0
9.3871,9.4719,9.2631,9.4553,148598,0
9.4355,9.797,9.3871,9.779,255209,0
9.855,9.855,9.647,9.655,342506,0
9.637,9.953,9.637,9.855,142795,0
9.788,9.943,9.675,9.685,86666,0
9.694,9.788,9.665,9.694,130576,0
9.675,9.855,9.675,9.817,99336,0
9.865,9.905,9.704,9.837,78764,0
9.855,9.991,9.694,9.845,157705,0
9.913,10.074,9.739,9.991,152377,0
9.933,10.001,9.618,9.721,146060,0
9.769,10.38,9.769,10.38,162932,0
10.269,10.343,10.151,10.161,146886,0
10.141,10.279,10.122,10.23,189644,0
10.297,10.399,10.055,10.399,84708,0
10.438,10.602,10.297,10.515,134096,0
10.506,10.515,10.122,10.19,166219,0
10.161,10.24,9.721,9.817,159250,0
9.865,10.026,9.817,9.943,86741,0
10.001,10.24,9.962,10.24,245136,0
10.141,10.19,9.962,10.171,113681,0
10.2,10.23,9.933,10.001,143446,0
9.962,10.01,9.779,9.779,163445,0
9.769,9.827,9.588,9.655,200246,0
9.694,9.972,9.56,9.972,269958,0
10.01,10.161,9.923,10.131,189323,0
10.094,10.181,9.962,10.026,98778,0
10.018,10.122,9.962,10.046,167957,0
10.01,10.249,10.01,10.181,138214,0
10.151,10.22,9.991,10.018,100642,0
10.094,10.19,9.953,10.018,319837,0
10.018,10.2,9.943,10.026,112869,0
10.01,10.141,9.953,9.972,99202,0
10.026,10.104,9.827,9.905,213638,0
9.943,10.036,9.913,9.991,65671,0
9.991,10.104,9.953,10.064,107674,0
10.104,10.104,9.685,9.731,225438,0
9.721,9.865,9.628,9.797,104468,0
9.769,9.875,9.511,9.855,164943,0
9.827,9.855,9.3495,9.4062,190013,0
9.3583,9.4259,9.1579,9.2829,157844,0
9.2151,9.55,9.2151,9.4553,166205,0
9.4161,9.885,9.3392,9.721,237310,0
9.685,9.759,9.4355,9.598,76907,0
9.578,9.788,9.4719,9.647,59310,0
9.618,9.923,9.608,9.837,97518,0
9.797,9.845,9.3871,9.694,95628,0
9.675,9.933,9.647,9.721,127067,0
9.665,9.759,9.3969,9.4259,114422,0
9.3871,9.885,9.3871,9.827,104969,0
9.855,9.953,9.647,9.712,130069,0
9.618,9.962,9.56,9.913,157961,0
9.962,11.377,9.905,11.357,467978,0
11.453,11.586,11.289,11.357,192530,0
11.357,11.548,11.222,11.308,113036,0
11.367,11.567,11.175,11.338,107220,0
11.27,11.377,10.993,11.042,103527,0
11.003,11.357,10.717,11.318,156625,0
11.338,11.387,11.118,11.348,84726,0
11.28,11.46,11.192,11.348,72445,0
11.387,11.46,11.109,11.453,121481,0
11.387,11.469,10.973,11.09,82587,0
11.175,11.175,10.763,11.042,91926,0
10.993,11.435,10.916,11.425,67183,0
11.538,11.586,11.367,11.548,93729,0
11.623,11.673,11.298,11.469,83904,0
11.548,11.548,11.26,11.357,106614,0
11.27,11.387,11.202,11.222,53605,0
11.184,11.469,11.184,11.469,19382,0
11.721,11.739,11.184,11.415,201101,0
11.509,11.558,11.298,11.387,125163,0
11.387,11.453,11.27,11.406,134494,0
11.298,12.083,11.298,11.834,250285,0
11.605,11.692,11.318,11.435,215715,0
10.916,11.062,10.583,10.878,272642,0
10.878,11.251,10.736,10.907,148950,0
10.763,11.062,10.668,10.841,107917,0
10.782,11.109,10.782,11.003,131058,0
11.08,11.08,10.87,10.907,136250,0
10.955,11.003,10.782,10.936,186731,0
10.85,11.425,10.85,11.08,274790,0
10.973,11.653,10.973,11.387,217007,0
11.387,11.479,11.251,11.338,145479,0
11.387,11.479,11.052,11.435,316289,0
11.387,11.499,11.367,11.387,155886,0
11.387,11.623,11.338,11.387,138673,0
11.377,11.499,11.348,11.397,163875,0
11.387,11.548,11.377,11.425,144238,0
11.425,11.653,11.425,11.509,46925,0
11.479,11.567,11.397,11.435,58550,0
11.435,11.509,11.377,11.377,74276,0
11.367,11.499,11.318,11.318,93478,0
11.202,11.251,10.945,11.09,107456,0
