Open,High,Low,Close,Volume,OpenInt
8.4561,8.5012,8.4386,8.4892,39802,0
8.5109,8.5341,8.4604,8.5012,81026,0
8.5395,8.6075,8.5172,8.5958,94232,0
8.5958,8.6165,8.5628,8.5744,68353,0
8.5769,8.6012,8.5279,8.5769,64073,0
8.5744,8.6235,8.5566,8.6012,65855,0
8.5682,8.6075,8.5682,8.5905,51223,0
8.5905,8.5905,8.4892,8.5341,71209,0
8.5395,8.6235,8.4892,8.4892,87985,0
8.4604,8.4604,8.3321,8.4273,106007,0
8.3541,8.3994,8.2527,8.3767,133494,0
8.32,8.3488,8.2434,8.2434,65855,0
8.2197,8.2707,8.0912,8.1075,106189,0
8.0912,8.0912,7.8267,7.8728,163117,0
7.8453,8.0126,7.8453,7.8948,105473,0
7.9057,7.9397,7.8728,7.9181,83344,0
7.8728,7.923,7.7998,7.8614,84595,0
7.8119,7.9613,7.7488,7.8331,104940,0
7.6994,7.7204,7.4912,7.5813,197387,0
7.6321,7.7934,7.6145,7.7204,82450,0
7.6662,7.6811,7.6209,7.6264,103512,0
7.5813,7.7934,7.5638,7.7204,140633,0
7.778,7.8849,7.7204,7.8728,74599,0
7.8664,7.8849,7.8216,7.8453,67641,0
7.8849,7.928,7.7998,7.8849,59253,0
7.8728,7.9613,7.8549,7.9579,66211,0
7.9729,7.9953,7.8891,7.8891,52646,0
7.9397,8.1022,7.9397,8.0342,59428,0
8.03,8.0409,7.8891,7.8891,62107,0
7.8891,7.9122,7.8055,7.8453,49435,0
7.8395,7.9122,7.8055,7.8783,61214,0
7.8267,7.9679,7.7601,7.9613,79593,0
7.8948,7.9455,7.727,7.778,112794,0
7.7998,7.8783,7.7554,7.778,68710,0
7.7554,7.7722,7.6424,7.7157,65137,0
7.7722,7.8119,7.6764,7.7884,38548,0
7.8395,7.9345,7.816,7.8891,66038,0
7.8849,7.9397,7.8453,7.923,53719,0
7.8998,7.9912,7.8783,7.9729,58181,0
7.9613,8.0244,7.928,7.9953,80307,0
8.0244,8.0342,7.8055,7.8501,75311,0
7.8267,7.9953,7.816,7.928,104045,0
7.9844,8.0574,7.9397,7.9953,51223,0
7.9953,8.1304,7.9729,8.0574,45152,0
8.1075,8.1524,8.1075,8.1473,31586,0
8.2036,8.2036,8.1142,8.1372,65676,0
8.1142,8.1754,8.1022,8.1244,70319,0
8.1142,8.2589,8.0798,8.1918,92982,0
8.2476,8.2859,8.1585,8.2648,103512,0
8.2928,8.2989,8.2376,8.2989,60322,0
8.32,8.3435,8.2707,8.3147,82450,0
8.3147,8.32,8.2707,8.2859,81565,0
8.2707,8.2766,8.1643,8.2255,61928,0
8.2808,8.2808,8.1805,8.2036,53182,0
8.1855,8.1855,8.0574,8.0574,67458,0
8.0798,8.1185,8.0674,8.0912,41224,0
8.1142,8.1703,8.0851,8.1075,42122,0
