Open,High,Low,Close,Volume,OpenInt
8.8208,8.843,8.7906,8.8309,364952,0
8.8504,8.8973,8.8309,8.8806,404437,0
8.8916,8.9151,8.8806,8.8859,415250,0
8.8859,8.8916,8.8009,8.8143,431915,0
8.8356,8.8356,8.7225,8.7289,400265,0
8.6942,8.6994,8.6313,8.6633,881487,0
8.638,8.7159,8.6243,8.6899,585321,0
8.6687,8.7396,8.6588,8.7289,407428,0
8.5835,8.6313,8.5685,8.5835,856833,0
8.5569,8.5791,8.4831,8.5569,591319,0
8.5251,8.5251,8.3733,8.3992,649617,0
8.3612,8.3666,8.2019,8.2554,875483,0
8.2304,8.2414,8.1386,8.1597,1009075,0
8.1597,8.1597,8.0029,8.0085,1026071,0
8.0506,8.1276,8.0336,8.1216,790041,0
8.1216,8.1344,8.0201,8.0201,504203,0
8.0085,8.0136,7.8938,7.907,683102,0
7.7883,7.9606,7.7559,7.7883,1043551,0
7.7251,7.8396,7.6052,7.8167,1019903,0
7.8053,7.907,7.8053,7.8514,541011,0
7.8332,7.8514,7.6554,7.7141,719082,0
7.7559,7.7883,7.6952,7.7376,529351,0
7.7376,7.9541,7.7376,7.9541,605479,0
7.9606,8.0457,7.9255,8.0395,331477,0
8.115,8.1889,8.0201,8.0506,418591,0
8.0457,8.0704,7.9899,8.0201,339132,0
8.0201,8.0457,7.9316,7.9436,300819,0
7.9541,8.0395,7.9316,8.0395,350629,0
8.027,8.0819,7.9778,8.0029,282837,0
8.0635,8.0819,8.0201,8.0763,295499,0
8.0763,8.1097,7.9843,8.0201,283162,0
7.9843,8.0704,7.9379,8.0704,359955,0
8.0395,8.0395,7.907,7.9436,463726,0
7.9436,7.9606,7.8282,7.8639,337137,0
7.8514,7.9141,7.8396,7.8878,323309,0
7.9436,8.0029,7.8938,7.9379,366118,0
7.9541,8.0819,7.9436,8.0635,447571,0
8.0336,8.0506,7.9843,7.9899,335470,0
7.9899,8.0201,7.9379,7.9899,311489,0
8.027,8.027,7.9316,7.9436,217372,0
7.9316,7.9606,7.9008,7.9255,361786,0
7.9486,8.0136,7.9141,7.9843,377946,0
7.9843,8.0506,7.9541,8.0336,293994,0
8.0506,8.115,8.0085,8.1097,455403,0
8.1724,8.2019,8.1097,8.2019,334805,0
8.2609,8.2609,8.2019,8.2304,277675,0
8.2846,8.2846,8.1889,8.2414,320476,0
8.2414,8.3043,8.2073,8.2846,313318,0
8.2846,8.3213,8.2304,8.2609,400768,0
8.2304,8.2609,8.1724,8.2609,267511,0
8.2982,8.2982,8.2073,8.2249,207547,0
8.2304,8.2671,8.2073,8.2609,313813,0
8.248,8.2554,8.2019,8.2249,226202,0
8.2073,8.2554,8.2019,8.2352,260020,0
8.248,8.248,8.1724,8.2128,208881,0
8.2352,8.2352,8.1828,8.2128,181725,0
8.2128,8.2554,8.1956,8.2414,282837,0
8.2249,8.2609,8.2195,8.2414,266507,0
8.2609,8.2609,8.2249,8.2554,168235,0
8.3043,8.315,8.2609,8.2982,301318,0
8.3283,8.3283,8.2609,8.3043,318808,0
8.2846,8.3867,8.2773,8.3555,330803,0
8.3453,8.3936,8.3333,8.3936,353800,0
8.3936,8.4471,8.3796,8.4471,332308,0
8.4649,8.4711,8.3936,8.442,241691,0
8.4711,8.4711,8.4294,8.4471,244691,0
8.4711,8.5053,8.4545,8.4775,277675,0
8.4926,8.5251,8.4649,8.4926,267671,0
8.5196,8.5251,8.4775,8.5196,424577,0
8.4865,8.5053,8.4545,8.4926,291002,0
8.4865,8.5496,8.4831,8.5496,251018,0
8.5496,8.5569,8.5251,8.5432,323812,0
8.5496,8.5569,8.4775,8.5196,293327,0
8.5196,8.5196,8.4357,8.4471,261674,0
8.4357,8.442,8.2609,8.4044,276004,0
