Open,High,Low,Close,Volume,OpenInt
8.5052,8.6312,8.4926,8.6312,19849,0
8.6312,8.649,8.6312,8.649,3202,0
8.649,8.649,8.6175,8.625,12524,0
8.5667,8.5855,8.5667,8.5667,3053,0
8.5667,8.645,8.4809,8.5112,26417,0
8.4737,8.5929,8.4737,8.4996,20463,0
8.4676,8.4996,8.4486,8.4486,17864,0
8.4676,8.5855,8.4676,8.5855,22748,0
8.5193,8.5667,8.4486,8.5667,5650,0
8.5667,8.5667,8.5256,8.5667,9010,0
8.5193,8.6131,8.5193,8.5793,21841,0
8.5193,8.5731,8.5052,8.5731,3661,0
8.4737,8.5461,8.4737,8.4737,14509,0
8.4676,8.4676,8.4166,8.4166,9620,0
8.3893,8.4034,8.3893,8.4034,1677,0
8.4362,8.4676,8.3963,8.4229,9160,0
8.4034,8.4034,8.2049,8.2176,48405,0
8.165,8.1716,8.0042,8.0042,37717,0
8.0042,8.0216,7.9649,7.9649,34351,0
7.997,7.997,7.9366,7.9838,11905,0
7.95,8.0284,7.9438,8.0284,26417,0
7.9703,8.0471,7.9438,8.0158,39706,0
8.0216,8.0673,7.9838,8.0399,15270,0
8.1352,8.1716,8.0399,8.1716,12218,0
8.1716,8.1716,7.9569,7.977,71773,0
8.0399,8.0399,7.806,7.8652,125831,0
7.8265,7.8842,7.8201,7.8783,29777,0
7.8904,7.8967,7.8596,7.8842,18327,0
7.8783,7.9703,7.8783,7.9703,46579,0
7.9703,7.977,7.9438,7.9649,21226,0
8.0042,8.0216,7.9649,7.9903,6565,0
7.9903,8.0399,7.9903,8.0399,19092,0
8.1018,8.1716,8.0609,8.1088,28098,0
8.0216,8.1088,8.0216,8.0803,16182,0
8.0943,8.1547,8.0399,8.0943,14812,0
8.2247,8.2391,8.1214,8.1547,17257,0
8.1785,8.3494,8.0943,8.2932,28858,0
8.3354,8.3963,8.2315,8.3752,19243,0
8.3752,8.3752,8.302,8.3615,11599,0
8.4294,8.4294,8.302,8.3615,4272,0
8.4294,8.4809,8.3226,8.4809,7937,0
8.4294,8.4414,8.265,8.265,28710,0
8.302,8.3615,8.2932,8.316,15727,0
8.3824,8.4103,8.3354,8.3963,8552,0
8.4166,8.4737,8.4034,8.4294,14659,0
8.4294,8.6817,8.3963,8.3963,22607,0
8.3293,8.3676,8.3293,8.3615,13130,0
8.302,8.3824,8.302,8.3824,6719,0
8.3422,8.4103,8.3422,8.3893,13282,0
8.4362,8.4362,8.302,8.302,19699,0
8.3963,8.4996,8.316,8.4166,23515,0
8.3824,8.4676,8.3824,8.4601,14509,0
8.4996,8.4996,8.4676,8.4737,3202,0
8.4486,8.4541,8.3824,8.4486,12674,0
8.4486,8.4486,8.4294,8.4362,7178,0
8.4362,8.5112,8.3963,8.4103,30232,0
8.4362,8.4926,8.3893,8.4809,11905,0
8.4863,8.5603,8.4414,8.4414,18938,0
8.4676,8.4996,8.4541,8.4809,16646,0
8.4809,8.4926,8.4486,8.4486,11152,0
8.4926,8.4996,8.4676,8.4996,12828,0
8.4996,8.5326,8.4737,8.4809,7480,0
8.5461,8.5533,8.4601,8.4926,29777,0
8.4486,8.4863,8.4486,8.4863,10232,0
8.4863,8.4926,8.4809,8.4809,28400,0
8.4863,8.5855,8.4863,8.5855,10842,0
8.5855,8.5929,8.5399,8.5855,11455,0
8.5793,8.5793,8.5052,8.5793,9921,0
8.5929,8.6175,8.5929,8.6175,14199,0
8.625,8.6384,8.6,8.6,7937,0
8.6899,8.7294,8.625,8.625,7791,0
8.6681,8.8539,8.5855,8.7588,31915,0
8.7517,8.7588,8.6817,8.6954,23975,0
8.7517,8.7588,8.6552,8.7588,22607,0
8.8166,8.8166,8.7239,8.8015,29323,0
8.797,8.8307,8.797,8.8166,12218,0
9.0142,9.0142,8.7693,8.7693,45355,0
8.797,8.8386,8.7635,8.8386,12674,0
8.8539,8.8539,8.7747,8.7747,22607,0
8.8386,8.8386,8.7747,8.8166,14659,0
8.8084,8.8658,8.8015,8.8229,6719,0
8.8166,8.8872,8.8166,8.8872,14199,0
8.8872,8.9285,8.8872,8.9069,7791,0
8.9137,8.9609,8.8539,8.8601,20152,0
8.921,8.9485,8.8872,8.9137,8855,0
8.942,8.9485,8.9285,8.9285,5500,0
8.9344,8.9764,8.9344,8.9344,9466,0
8.9715,9.0868,8.9715,9.0225,13130,0
9.0709,9.0793,9.05,9.0793,11905,0
9.0566,9.1501,9.0566,9.0868,14052,0
9.1501,9.1501,9.05,9.05,14659,0
9.0566,9.0633,8.9831,8.9953,30540,0
9.05,9.0633,8.8816,8.9344,49167,0
8.955,8.955,8.8816,8.9344,22293,0
8.8872,9.0225,8.8872,9.0225,40620,0
8.9715,9.0566,8.955,8.9665,41686,0
8.9764,9.0142,8.9069,8.942,25043,0
8.895,8.942,8.8658,8.8734,22607,0
8.9137,8.9137,8.7898,8.8229,45508,0
8.8166,8.8166,8.7239,8.7239,17098,0
8.7239,8.7239,8.7164,8.7239,7480,0
8.7239,8.7898,8.7239,8.7444,14963,0
8.7832,8.8229,8.7588,8.8166,25043,0
8.8166,8.8166,8.797,8.8084,15119,0
8.8084,8.8229,8.8015,8.8229,29777,0
8.8128,8.8229,8.8015,8.8166,15727,0
8.8307,8.8307,8.7368,8.7693,23975,0
8.8015,8.8015,8.6899,8.7036,20152,0
8.711,8.7294,8.6753,8.7164,39551,0
8.6753,8.7164,8.6753,8.6954,4882,0
8.6954,8.6954,8.645,8.649,61996,0
8.6681,8.6753,8.649,8.649,30846,0
8.6131,8.711,8.6,8.649,22448,0
8.6617,8.6681,8.625,8.649,7636,0
8.711,8.711,8.6057,8.6384,13130,0
8.6131,8.6681,8.6131,8.6384,14052,0
8.649,8.6817,8.5929,8.6817,46262,0
8.7517,8.8128,8.7517,8.8128,18175,0
8.8816,8.8816,8.7239,8.7588,17864,0
8.921,8.921,8.7239,8.7239,29625,0
8.7898,8.7898,8.7239,8.7239,21067,0
8.7368,8.7517,8.7164,8.7517,18780,0
8.7444,8.8461,8.7444,8.8015,38329,0
8.955,8.955,8.7588,8.8461,22448,0
8.895,8.895,8.797,8.8386,11599,0
8.8386,8.9485,8.8386,8.942,26108,0
9.0068,9.0068,8.9285,8.9764,10381,0
8.9764,8.9764,8.895,8.921,26880,0
8.9069,8.955,8.8658,8.9137,40311,0
8.9069,8.9285,8.8307,8.8307,37103,0
8.8816,8.8816,8.7832,8.797,29323,0
8.8015,8.9344,8.8015,8.9137,12365,0
8.942,8.9764,8.9137,8.955,14199,0
8.9831,9.0793,8.942,9.0793,9775,0
8.9953,9.05,8.9344,8.9953,23055,0
9.0633,9.0633,8.9888,8.9953,22448,0
9.0011,9.1432,8.9953,9.1319,37103,0
9.1432,9.1501,9.0566,9.1501,10534,0
9.1501,9.1614,9.0934,9.1614,16344,0
9.1614,9.1673,9.0709,9.1019,16030,0
9.0011,9.0962,8.9665,8.9665,15574,0
9.0011,9.0301,8.9485,8.9485,19699,0
8.955,9.0357,8.8872,8.8872,36961,0
8.955,8.9953,8.7635,8.8128,27334,0
8.8816,8.9831,8.8229,8.955,11905,0
8.9715,8.9953,8.895,8.895,13130,0
8.9609,8.9831,8.8307,8.9764,7937,0
8.9609,8.9888,8.8166,8.8307,15119,0
8.7635,8.955,8.7635,8.9069,22906,0
8.8307,8.9953,8.8307,8.9953,22906,0
8.9953,8.9953,8.8461,8.8816,12524,0
8.9831,9.0142,8.921,8.921,7178,0
9.0142,9.0793,8.9285,9.05,17410,0
8.9953,9.1098,8.9953,9.0868,31765,0
9.0793,9.0868,9.0633,9.0709,15574,0
9.0709,9.1019,9.0225,9.0225,8397,0
9.1173,9.1919,9.0142,9.0934,40922,0
9.2326,9.2326,8.9764,8.9764,39853,0
9.0142,9.0793,9.0142,9.05,17098,0
9.0709,9.0868,9.05,9.0709,15119,0
9.2122,9.2122,9.0566,9.0566,9160,0
9.1173,9.1173,9.0357,9.0434,4429,0
9.0868,9.0868,8.8872,8.9285,17098,0
8.955,9.05,8.9344,9.0011,19849,0
9.1098,9.1098,9.1019,9.1098,3202,0
9.05,9.0793,8.9831,9.0225,10993,0
9.0709,9.124,9.0709,9.1173,18327,0
9.1376,9.1432,9.0868,9.0868,7178,0
9.2122,9.2122,9.0868,9.0868,28858,0
9.1501,9.155,9.0357,9.0357,16030,0
9.1019,9.2326,9.0868,9.1746,19849,0
9.1173,9.1501,9.0793,9.0793,13282,0
9.2326,9.2326,9.0868,9.0868,37262,0
9.1173,9.1432,9.0566,9.124,5046,0
9.0709,9.1978,9.0709,9.0934,14659,0
9.155,9.155,9.0709,9.0793,18476,0
9.0793,9.1501,9.0793,9.1173,4729,0
9.1813,9.1813,9.0793,9.1501,26417,0
9.1978,9.1978,9.1098,9.1098,9010,0
9.1614,9.1614,9.0868,9.0868,4882,0
9.0868,9.1376,9.0868,9.0934,10381,0
9.155,9.1746,9.0934,9.124,17712,0
9.187,9.187,9.0709,9.124,23515,0
9.0011,9.0142,8.9137,8.9137,45655,0
8.9764,8.9888,8.942,8.9831,5500,0
9.05,9.0868,9.0434,9.0868,12980,0
9.0868,9.0868,8.9953,9.0709,16030,0
9.0566,9.0793,9.0142,9.0793,12060,0
9.0142,9.0868,9.0142,9.0633,6719,0
9.1319,9.1319,9.0962,9.1019,4429,0
9.05,9.0934,9.05,9.05,3816,0
9.0868,9.1432,9.0868,9.1173,14963,0
9.1376,9.1673,9.1173,9.1673,12218,0
9.1673,9.2053,9.1173,9.1813,20610,0
9.2122,9.2326,9.1746,9.2326,15574,0
9.187,9.2404,9.155,9.2404,7937,0
9.2469,9.2469,9.1319,9.2122,3661,0
9.1813,9.2404,9.0868,9.0962,36191,0
9.0633,9.1673,9.0566,9.124,31606,0
9.0633,9.0793,9.0357,9.0709,8397,0
9.0709,9.0793,9.0011,9.0011,5954,0
9.0709,9.0868,8.9953,8.9953,4729,0
9.0709,9.1098,9.0709,9.0934,21529,0
9.0962,9.2256,9.0962,9.1501,34511,0
9.05,9.1173,9.0011,9.0011,20008,0
9.05,9.1173,8.9831,8.9831,27177,0
9.0434,9.05,8.955,9.0357,14357,0
8.9764,9.0142,8.9609,9.0142,9466,0
9.1019,9.1019,8.9485,9.0068,20152,0
9.0142,9.0142,8.955,8.9888,18019,0
8.9888,9.1098,8.955,9.0301,21067,0
9.0962,9.1098,8.942,9.0142,26108,0
9.0868,9.1019,9.0142,9.0633,6108,0
9.0142,9.1432,9.0142,9.0868,13437,0
9.1319,9.1376,9.0011,9.0868,12524,0
