Open,High,Low,Close,Volume,OpenInt
17.976,18.504,17.967,18.504,473654,0
18.524,18.578,18.032,18.18,475379,0
18.18,18.459,18.051,18.412,706540,0
18.412,18.422,18.015,18.126,314364,0
18.263,18.431,18.107,18.393,346740,0
18.485,18.625,18.301,18.524,242384,0
18.459,18.848,18.459,18.562,315012,0
18.441,18.746,18.31,18.329,234074,0
18.209,18.245,17.976,17.995,354511,0
17.995,18.254,17.717,17.913,482178,0
17.957,18.329,17.93,18.116,267098,0
18.116,18.245,17.921,18.059,199758,0
18.059,18.152,17.856,17.903,280156,0
17.838,17.838,17.56,17.642,236770,0
17.736,18.116,17.736,18.069,237527,0
18.097,18.107,17.838,18.088,575958,0
18.107,18.152,17.93,18.023,156912,0
18.161,18.374,17.782,17.894,366058,0
17.894,18.059,17.708,17.865,286200,0
18.005,18.005,17.828,17.875,377175,0
17.976,18.116,17.699,17.736,181196,0
17.661,17.884,17.143,17.282,348144,0
17.29,17.671,17.29,17.661,198030,0
17.467,17.949,17.439,17.847,504300,0
18.301,18.791,18.18,18.495,2635035,0
18.587,18.718,18.356,18.663,1219690,0
18.663,18.718,18.504,18.504,542072,0
18.504,18.858,18.504,18.765,1072920,0
18.775,19.201,18.543,19.192,1358687,0
19.227,19.459,18.689,19.163,1080476,0
19.163,19.209,18.533,18.94,552973,0
18.81,19.255,18.606,19.172,470199,0
19.134,19.134,18.228,18.441,662940,0
18.393,18.393,17.374,17.477,893886,0
17.495,17.856,17.143,17.29,639846,0
17.208,17.485,17.096,17.235,332604,0
17.319,18.218,17.319,18.161,514445,0
18.393,18.431,17.763,17.884,561498,0
18.209,18.689,18.069,18.504,381921,0
18.412,18.422,17.913,18.17,520056,0
18.366,18.587,18.134,18.32,256198,0
18.254,18.441,17.884,17.939,341453,0
17.939,17.939,17.421,17.541,672114,0
17.541,17.699,17.327,17.384,1261563,0
17.43,17.671,17.264,17.532,239038,0
17.504,18.023,17.448,18.023,361956,0
17.838,18.088,17.374,17.439,621716,0
17.532,17.828,17.421,17.661,366706,0
17.597,17.986,17.467,17.894,440091,0
18.126,18.126,17.828,18.015,214432,0
18.097,18.625,18.005,18.587,399514,0
18.495,18.495,17.894,17.995,167165,0
18.088,18.533,17.967,18.485,315228,0
18.552,18.597,17.865,17.913,282097,0
17.957,17.967,17.189,17.245,380842,0
17.189,17.838,17.189,17.763,306596,0
17.605,17.671,17.189,17.605,520056,0
17.717,18.254,17.717,18.18,596030,0
18.17,18.254,17.856,18.041,373396,0
18.051,18.134,17.81,17.847,192202,0
17.782,18.245,17.763,18.18,640385,0
18.19,18.282,17.957,18.069,298824,0
18.023,18.143,17.763,17.976,600995,0
17.986,18.245,17.986,18.161,794925,0
18.161,18.708,18.126,18.504,527720,0
18.569,18.819,18.467,18.524,937377,0
18.533,18.819,18.441,18.8,356021,0
18.775,18.782,18.597,18.775,256414,0
18.775,18.81,18.45,18.718,276054,0
18.672,18.756,18.504,18.689,183245,0
18.689,18.81,18.495,18.533,385807,0
18.533,18.562,17.828,17.847,326777,0
17.856,18.384,17.605,18.366,975904,0
18.384,18.384,18.069,18.199,198785,0
18.032,18.431,17.921,18.209,196627,0
18.254,18.597,18.254,18.504,2986417,0
18.504,18.504,17.949,18.19,374152,0
18.237,18.625,18.17,18.578,298609,0
18.672,18.765,18.578,18.606,740211,0
18.514,18.514,18.097,18.263,354404,0
18.393,19.061,18.393,18.81,803667,0
18.995,19.042,18.366,18.543,369296,0
18.543,18.543,18.126,18.199,273572,0
18.237,18.441,17.939,18.441,592795,0
18.441,18.441,17.838,17.967,351814,0
18.199,18.552,18.199,18.543,465559,0
18.587,18.95,18.543,18.81,311884,0
18.959,19.115,18.689,18.699,555131,0
18.765,18.959,18.672,18.959,219289,0
18.959,19.533,18.746,19.533,533653,0
19.533,19.599,19.357,19.413,478400,0
19.227,19.227,18.689,19.182,242060,0
19.201,19.849,19.144,19.839,278213,0
19.839,20.089,19.746,19.914,325267,0
20.025,20.108,19.681,19.764,358395,0
19.672,19.691,19.071,19.08,408146,0
19.311,19.738,19.265,19.644,339294,0
19.644,20.043,19.376,19.977,444839,0
19.866,19.866,19.561,19.653,281557,0
19.746,19.904,19.691,19.793,227059,0
19.774,20.645,19.701,20.293,496100,0
20.293,20.608,19.849,19.895,251341,0
20.025,20.497,20.025,20.45,326021,0
20.45,20.747,20.053,20.19,272601,0
20.293,20.562,19.996,20.311,302709,0
20.479,20.673,20.079,20.655,370698,0
20.765,21.026,20.608,20.849,362280,0
20.849,20.923,20.571,20.905,378901,0
20.942,21.275,20.803,21.016,512179,0
21.034,21.48,20.942,21.128,605421,0
21.22,21.674,20.757,21.359,441601,0
21.359,21.359,20.488,20.515,475163,0
20.534,20.794,20.108,20.19,461350,0
20.293,20.682,20.006,20.079,330014,0
20.154,20.275,19.987,20.053,337351,0
20.108,20.524,19.941,20.19,428111,0
20.19,20.442,19.977,20.423,181088,0
20.293,20.302,19.551,19.83,265803,0
19.83,20.849,19.487,20.145,408469,0
20.145,20.229,19.376,19.561,428327,0
19.44,19.783,19.182,19.561,362927,0
19.459,19.459,19.042,19.274,222851,0
19.255,19.338,19.042,19.125,267638,0
19.09,19.338,19.071,19.255,237202,0
19.255,19.274,18.829,19.014,317169,0
18.95,19.386,18.8,18.902,507107,0
18.902,19.192,18.81,19.09,618479,0
19.134,19.134,18.578,18.68,424548,0
18.552,18.756,18.069,18.708,293427,0
18.587,18.877,18.237,18.485,256630,0
18.356,18.699,18.348,18.635,536570,0
18.727,18.756,18.366,18.552,433184,0
18.552,18.606,18.301,18.403,579411,0
18.485,18.663,18.339,18.533,627977,0
18.533,18.562,18.384,18.543,316307,0
18.403,18.569,18.218,18.272,249612,0
18.254,18.543,18.041,18.533,222096,0
18.485,19.551,18.403,18.635,325050,0
21.034,21.506,20.757,21.239,4198552,0
21.128,21.582,20.896,21.405,986370,0
21.368,21.535,21.182,21.267,382893,0
21.386,21.516,21.099,21.368,757369,0
21.349,21.359,20.757,20.794,443327,0
20.794,21.48,20.765,20.997,598189,0
20.933,20.997,20.46,20.469,371453,0
20.469,20.738,20.275,20.524,423470,0
20.59,21.09,20.534,20.72,375447,0
20.747,21.053,20.571,20.738,321596,0
20.794,20.905,20.46,20.757,280587,0
20.784,21.211,20.72,21.016,386346,0
21.062,21.535,20.645,21.47,267746,0
21.47,21.72,21.395,21.599,395088,0
21.683,21.879,21.488,21.84,406527,0
21.84,22.267,21.452,21.525,689596,0
21.433,21.461,20.506,20.663,841869,0
20.663,20.942,20.182,20.377,499230,0
20.571,20.896,20.442,20.849,483366,0
20.849,20.849,20.19,20.368,351382,0
20.442,20.682,20.238,20.275,381704,0
20.247,20.377,19.644,20.025,298609,0
19.959,20.089,19.525,19.932,633588,0
20.164,20.164,19.525,19.969,311344,0
19.969,19.969,19.367,19.542,678590,0
19.662,19.662,19.274,19.293,468472,0
19.182,19.914,19.042,19.904,400376,0
19.812,20.154,19.052,19.284,469011,0
19.293,19.941,19.284,19.755,451637,0
19.764,20.765,19.764,20.765,493185,0
20.702,20.942,20.488,20.775,458004,0
20.784,21.007,20.497,20.515,522754,0
20.479,20.479,19.599,19.599,408469,0
19.691,20.645,19.691,20.534,558152,0
20.72,20.877,20.506,20.534,502467,0
20.553,20.655,20.413,20.515,439011,0
20.515,21.637,20.515,21.637,465019,0
21.683,22.35,21.656,22.313,775176,0
22.322,22.378,21.859,22.118,598945,0
22.239,22.407,22.034,22.155,261809,0
22.155,22.155,21.525,21.915,232779,0
21.915,22.452,21.795,21.923,251341,0
21.923,22.155,21.433,22.034,353324,0
21.998,22.267,21.923,22.11,404478,0
22.11,22.257,21.767,22.128,225872,0
22.174,22.341,21.71,21.859,240442,0
21.84,22.016,21.48,21.618,171697,0
21.795,22.322,21.795,22.313,264507,0
22.61,22.823,22.378,22.823,458652,0
22.795,22.999,22.489,22.944,306271,0
22.935,23.314,22.601,23.203,358395,0
23.203,23.565,23.138,23.397,657544,0
23.397,23.573,23.184,23.379,115797,0
23.499,23.499,23.046,23.046,495452,0
23.119,23.397,22.99,23.11,380626,0
23.129,23.221,22.999,23.138,491781,0
23.259,23.823,23.166,23.684,579952,0
23.721,23.721,23.073,23.166,541210,0
23.119,23.203,22.629,22.869,568728,0
21.701,22.331,21.683,21.961,7666930,0
22.1,22.165,21.72,21.923,1600423,0
22.034,22.433,21.869,22.165,1313902,0
