Open,High,Low,Close,Volume,OpenInt
12.415,12.581,12.415,12.542,14772,0
12.611,13.224,12.611,12.944,5090,0
12.866,12.876,12.801,12.839,7346,0
12.801,12.856,12.279,12.581,11363,0
12.601,12.601,12.055,12.104,9840,0
12.211,12.279,12.055,12.221,40587,0
12.221,12.714,12.201,12.571,9720,0
12.581,12.581,12.415,12.571,5198,0
12.123,12.376,12.055,12.376,11506,0
12.337,12.337,12.221,12.27,1824,0
12.366,12.366,12.211,12.298,5044,0
12.221,13.011,12.221,12.848,32249,0
11.93,12.915,11.93,12.571,22532,0
12.123,12.611,12.123,12.542,328592,0
12.513,12.571,12.513,12.571,140271,0
12.542,12.611,12.542,12.611,1034,0
12.513,12.856,12.513,12.724,17918,0
12.638,12.733,12.638,12.733,1689,0
12.376,12.571,12.376,12.513,2537,0
12.571,12.876,12.513,12.647,7154,0
12.298,12.944,12.298,12.562,3910,0
12.221,12.571,12.221,12.571,5692,0
12.611,12.611,12.611,12.611,465,0
12.991,12.991,12.464,12.571,6360,0
12.386,12.571,12.386,12.483,6791,0
12.63,12.676,12.454,12.657,13839,0
12.657,12.714,12.523,12.666,9570,0
12.611,12.611,12.376,12.532,3569,0
12.386,12.611,12.376,12.611,4195,0
12.493,12.493,12.493,12.493,150,0
12.493,12.532,12.474,12.532,1090,0
12.406,12.415,12.221,12.221,191640,0
12.25,12.337,12.231,12.24,2753,0
12.26,12.308,12.25,12.308,1864,0
12.221,12.542,12.221,12.396,13868,0
12.221,12.415,12.221,12.396,8902,0
12.376,12.406,12.318,12.376,8806,0
12.366,12.435,12.366,12.376,13747,0
12.376,12.415,12.366,12.415,11350,0
12.376,12.972,12.376,12.972,22741,0
13.02,13.049,12.435,12.925,6181,0
12.954,14.21,12.954,14.21,15380,0
14.399,14.399,13.832,14.287,10137,0
14.297,14.297,13.523,13.533,4045,0
12.925,14.38,12.925,14.152,20648,0
14.278,14.307,13.967,13.977,5647,0
13.774,13.774,13.398,13.619,21769,0
13.581,13.813,13.272,13.571,6523,0
14.132,14.132,13.552,13.726,8538,0
13.987,16.138,13.987,15.057,107562,0
15.443,15.462,15.172,15.404,23675,0
15.384,15.384,15.125,15.163,4942,0
15.433,15.433,15.172,15.346,7640,0
15.404,15.404,15.028,15.028,4445,0
15.703,15.703,14.999,15.153,17659,0
15.269,15.637,15.269,15.54,27930,0
15.482,15.53,15.307,15.366,16553,0
15.404,15.886,15.346,15.859,17985,0
15.972,16.011,15.713,15.962,15014,0
15.559,16.465,15.559,16.263,14457,0
16.687,17.168,16.272,16.89,16776,0
17.14,17.487,16.668,17.295,22215,0
17.815,17.815,16.668,16.668,11989,0
16.697,16.812,15.944,16.514,26238,0
16.406,16.697,16.406,16.58,25536,0
16.658,17.102,16.504,16.91,64468,0
16.988,16.988,16.234,16.677,21132,0
16.988,16.988,16.272,16.648,13666,0
16.281,16.522,16.215,16.349,19637,0
16.658,16.658,15.791,15.991,19777,0
15.925,15.925,15.453,15.752,5364,0
15.752,15.752,14.535,14.651,21566,0
14.72,14.826,14.632,14.798,7510,0
15.327,15.327,14.468,14.478,9434,0
14.2,14.788,14.2,14.788,3569,0
14.788,14.854,14.651,14.7,8916,0
14.788,14.788,14.632,14.788,36075,0
14.583,14.68,14.269,14.641,2987,0
14.181,14.307,14.152,14.269,2181,0
14.152,14.171,13.61,13.88,2777,0
13.803,13.862,13.735,13.735,4121,0
13.677,13.823,13.667,13.667,6370,0
14.249,14.297,13.667,14.093,10183,0
14.171,15.095,14.122,14.798,53170,0
15.048,15.501,14.788,15.327,15381,0
15.752,16.387,15.618,16.099,15523,0
16.397,16.939,16.309,16.387,20216,0
16.959,16.959,16.58,16.756,19302,0
16.978,16.978,16.215,16.244,3188,0
16.368,16.416,15.618,15.772,3190,0
16.561,16.561,15.462,15.944,21638,0
15.462,15.962,15.462,15.962,17164,0
15.962,15.962,15.559,15.588,29380,0
15.433,15.618,15.404,15.404,56446,0
15.404,15.462,15.327,15.366,46336,0
15.115,15.25,15.115,15.24,5911,0
15.212,15.212,14.808,15.125,4482,0
14.901,15.336,14.152,15.212,23402,0
14.817,15.336,14.817,15.115,6584,0
15.404,15.53,14.468,14.69,17548,0
14.468,14.632,14.342,14.399,43392,0
14.399,14.516,14.152,14.269,19623,0
14.661,16.949,14.661,16.707,78616,0
16.717,17.363,16.522,17.353,60420,0
17.178,17.622,17.046,17.363,60473,0
17.661,17.671,16.736,16.988,11213,0
16.358,17.247,16.358,17.046,17722,0
17.046,17.776,17.046,17.122,16796,0
17.43,17.43,17.046,17.046,21657,0
17.112,17.112,16.978,16.978,12173,0
17.036,17.14,16.949,17.007,84830,0
17.122,17.122,16.687,16.89,31559,0
