Open,High,Low,Close,Volume,OpenInt
16.69,16.86,16.69,16.86,25195,0
16.86,17.36,16.67,17.35,34846,0
17.44,17.67,17.25,17.49,12703,0
17.49,17.49,17.19,17.19,20695,0
17.35,17.35,17.17,17.23,7538,0
17.22,17.73,16.79,17.18,29135,0
16.95,17.55,16.95,17.23,10061,0
17.21,17.37,17.2,17.24,907,0
17.27,17.27,16.78,16.86,10108,0
16.82,16.87,16.74,16.74,5400,0
16.59,16.74,16.54,16.62,2964,0
16.61,16.71,16.55,16.65,5505,0
16.68,17.36,16.53,17.11,38599,0
17.27,17.27,16.72,17.27,1416,0
16.6,17.27,16.6,17.21,4071,0
17.19,17.34,16.59,16.59,7705,0
16.6,16.86,16.47,16.5,7540,0
17.02,17.02,16.45,16.74,10318,0
16.58,16.6,16.32,16.33,29334,0
16.45,16.53,16.12,16.12,10950,0
16.08,16.12,15.54,15.59,38279,0
15.69,15.7,15.5,15.5,29887,0
15.33,15.74,15.33,15.64,6922,0
15.79,15.79,15.33,15.76,7544,0
15.79,16.53,15.72,16.53,13026,0
16.45,16.45,15.8,16.25,7780,0
16.49,16.49,15.84,15.88,14644,0
15.88,16.31,15.84,16.15,13406,0
16.49,16.5,16.31,16.31,6756,0
16.49,16.61,16.41,16.5,16371,0
16.37,16.43,15.87,15.88,3388,0
15.37,15.37,14.05,14.59,119760,0
14.58,14.58,13.64,14.05,44045,0
13.68,14.21,13.08,13.21,76687,0
13.02,13.31,12.56,12.6,24889,0
12.27,12.48,11.16,11.18,224877,0
11.16,11.61,11.16,11.4,94901,0
11.65,12.31,11.58,11.86,49761,0
11.98,12.07,11.57,11.93,45918,0
12.02,12.31,11.93,12.31,29960,0
11.98,12.4,11.81,12.11,40220,0
12.2,12.2,11.74,11.81,47188,0
13.32,13.32,12.06,12.41,58100,0
12.38,12.67,12.38,12.45,19083,0
12.84,12.84,12.25,12.28,14609,0
12.71,12.71,12.4,12.42,11847,0
12.03,12.5,11.81,12.36,35398,0
12.16,12.55,11.86,11.95,104563,0
11.8,12.45,11.66,11.84,23890,0
11.83,12.19,11.69,12.08,14721,0
12.23,12.35,12.12,12.35,17669,0
12.53,12.6,12.25,12.25,11247,0
12.18,12.58,12.11,12.55,14505,0
12.5,12.55,12.31,12.31,2750,0
11.65,12.46,11.65,12.18,64890,0
12.3,12.3,11.91,12.18,30833,0
12.06,12.45,11.92,12.0,15071,0
12.18,12.54,12.0,12.52,8877,0
12.5,12.5,12.14,12.27,5692,0
12.05,12.39,12.05,12.17,10169,0
12.08,12.27,12.05,12.27,14886,0
12.18,12.18,11.42,11.91,14517,0
12.02,12.48,11.91,12.48,12486,0
12.41,12.84,12.27,12.58,19470,0
12.58,12.58,12.0,12.15,39518,0
12.54,12.54,11.75,11.84,33478,0
11.62,12.18,11.5,11.91,59449,0
11.73,11.82,11.7,11.79,17699,0
11.81,11.93,11.64,11.93,41743,0
11.95,12.5,11.95,12.5,41621,0
12.5,12.57,12.42,12.42,12948,0
12.54,12.59,12.44,12.59,6424,0
12.62,12.63,11.7,11.84,39499,0
13.14,13.14,12.5,12.71,115329,0
12.77,12.77,12.64,12.66,22365,0
12.95,12.95,12.59,12.63,13919,0
