Open,High,Low,Close,Volume,OpenInt
5.0376,5.0719,5.0321,5.0662,117820,0
5.0719,5.1062,5.0262,5.0777,179518,0
5.0662,5.101,5.0492,5.0662,275199,0
5.0606,5.0896,5.055,5.0777,133151,0
5.0662,5.0947,5.0662,5.0947,96555,0
5.0896,5.1062,5.0833,5.0896,110501,0
5.0896,5.1295,5.0777,5.0947,162783,0
5.0947,5.1179,5.0777,5.0833,161567,0
5.0896,5.0947,5.0321,5.0321,217865,0
4.9974,5.0203,4.9516,4.9974,179518,0
4.9917,5.0203,4.9858,5.0034,103176,0
5.0146,5.0203,4.9633,4.9688,150935,0
4.9688,5.0146,4.9342,4.9402,174460,0
4.9342,4.9688,4.9172,4.9172,134901,0
4.9287,4.9917,4.9172,4.9172,107364,0
4.9172,4.9516,4.9113,4.9113,60128,0
4.9172,4.9342,4.8828,4.9001,142047,0
4.9287,4.9342,4.8595,4.9001,149533,0
4.8884,4.9227,4.8481,4.8655,200257,0
4.8655,4.8769,4.7908,4.8313,157911,0
4.8367,4.8769,4.8139,4.8195,185624,0
4.8313,4.854,4.8195,4.8313,127229,0
4.8251,4.8769,4.8195,4.854,122355,0
4.8828,4.8943,4.8367,4.8769,145012,0
4.8713,4.9342,4.8595,4.9172,93588,0
4.8769,4.9457,4.8769,4.9402,134901,0
4.9172,4.9342,4.9001,4.9056,89578,0
4.9001,4.9402,4.9001,4.9227,146401,0
4.9342,4.9801,4.9056,4.9342,118867,0
4.9001,4.9457,4.8884,4.9172,117117,0
4.8828,4.9342,4.8828,4.8943,97947,0
4.854,4.8769,4.8428,4.8655,121651,0
4.8367,4.8943,4.8367,4.8595,122176,0
4.854,4.9056,4.854,4.8884,79468,0
4.8595,4.9342,4.8367,4.9056,133151,0
4.8769,4.9056,4.8481,4.8655,136817,0
4.8595,4.9172,4.8595,4.8884,192066,0
4.8595,4.9113,4.8595,4.9001,93588,0
4.9001,4.9113,4.8769,4.8884,49678,0
4.8769,4.9573,4.8769,4.9402,128450,0
4.9402,4.9573,4.9113,4.9457,119912,0
4.9172,4.9573,4.8884,4.9113,132634,0
4.9516,4.9745,4.9113,4.9113,75988,0
4.9342,4.9457,4.9113,4.9342,59953,0
4.9457,4.9917,4.9227,4.9917,137516,0
4.9801,5.0146,4.9573,4.9745,118521,0
4.9633,5.0203,4.9457,4.9858,134901,0
4.9745,5.0203,4.9633,4.9745,99511,0
4.9858,4.9917,4.9858,4.9917,91499,0
4.9633,4.9858,4.9573,4.9745,68317,0
4.9633,4.9917,4.9516,4.9801,54904,0
4.9457,4.9801,4.9287,4.9573,106662,0
4.9227,4.9573,4.9227,4.9457,109625,0
4.9287,4.9688,4.9287,4.9342,58039,0
4.9342,4.9633,4.9342,4.9402,87490,0
4.9688,4.9688,4.9227,4.9342,119912,0
4.9633,4.9917,4.9516,4.9573,162263,0
4.9573,4.9917,4.9573,4.9633,168537,0
4.9917,4.9917,4.9402,4.9688,92374,0
4.9745,4.9801,4.9457,4.9633,94640,0
4.9573,5.0034,4.9516,4.9858,118346,0
4.9745,4.9745,4.9457,4.9516,105098,0
4.9457,4.9801,4.9402,4.9402,88540,0
4.9342,4.9688,4.9342,4.9457,80875,0
4.9457,4.9858,4.9457,4.9633,88540,0
4.9974,4.9974,4.9573,4.9917,111196,0
4.9801,4.9917,4.9573,4.9801,127406,0
4.9633,4.9917,4.9516,4.9917,106491,0
4.9917,5.0146,4.9745,4.9745,86794,0
4.9745,5.0146,4.9745,4.9917,81042,0
4.9917,5.0203,4.9858,4.9974,57166,0
5.0087,5.0203,4.9974,5.0146,66580,0
4.9688,4.9917,4.9516,4.9516,140831,0
4.9633,5.0087,4.9516,4.9858,115201,0
4.9858,5.0034,4.9633,4.9633,93767,0
4.9633,4.9858,4.9457,4.9457,107189,0
4.9457,4.9801,4.9402,4.9573,109453,0
4.9633,4.9858,4.9516,4.9858,88361,0
4.9516,4.9858,4.9516,4.9688,137342,0
4.9633,4.9801,4.9402,4.9457,103176,0
4.9573,4.9858,4.9457,4.9457,118346,0
4.9516,5.0146,4.9516,4.9858,115551,0
4.9858,4.9974,4.9573,4.9688,89926,0
4.9633,5.0203,4.9573,4.9917,98644,0
4.9917,5.0262,4.9917,5.0203,74942,0
5.0203,5.0321,4.9633,4.9858,123226,0
5.0087,5.0376,4.9917,5.0203,67450,0
5.0262,5.0662,5.0087,5.0606,122176,0
5.0606,5.0662,5.0435,5.0492,85054,0
5.0492,5.0896,5.0321,5.0321,119396,0
5.0321,5.0777,5.0203,5.0492,89926,0
5.0203,5.0833,4.9974,5.0777,94640,0
5.0492,5.0833,5.0376,5.0492,69545,0
5.0376,5.0719,5.0146,5.0203,83313,0
5.0146,5.0376,4.9917,5.0203,100393,0
4.9917,5.0492,4.9858,5.0376,110327,0
4.9917,5.0321,4.9917,5.0203,110668,0
4.9917,5.0435,4.9858,5.0034,61700,0
4.9858,5.0262,4.9801,5.0087,106662,0
4.9917,5.0203,4.9745,5.0087,149533,0
5.0087,5.0321,4.9974,5.0321,71981,0
5.0087,5.0435,5.0087,5.0262,94818,0
5.0262,5.0321,4.9801,5.0087,88540,0
4.9917,5.0262,4.9573,4.9858,85928,0
5.0034,5.0262,4.9745,4.9974,104573,0
4.9974,5.0321,4.9917,5.0087,101440,0
5.0321,5.0376,4.9974,5.0146,125316,0
5.0376,5.0492,5.0087,5.0203,98644,0
5.0376,5.055,5.0034,5.0321,110327,0
5.0203,5.0435,5.0146,5.0146,92546,0
5.0203,5.0376,5.0087,5.0321,81915,0
5.0203,5.0435,5.0087,5.0087,126711,0
4.9974,5.0492,4.9573,4.9858,119206,0
4.9688,5.0087,4.9342,4.9688,149189,0
4.9745,4.9745,4.9227,4.9227,110501,0
4.9287,4.9516,4.9287,4.9342,98468,0
4.9342,4.9573,4.9227,4.9287,77729,0
4.9227,4.9633,4.9227,4.9516,93245,0
4.9516,4.9633,4.9457,4.9573,95856,0
4.9457,4.9633,4.9457,4.9573,126186,0
4.9516,4.9917,4.9457,4.9801,88011,0
4.9573,4.9858,4.9516,4.9688,83657,0
4.9573,4.9858,4.9516,4.9801,62401,0
4.9917,5.0034,4.9633,4.9688,104224,0
4.9801,4.9917,4.9402,4.9457,106662,0
4.9287,5.0034,4.9287,4.9633,165222,0
4.9745,5.0262,4.9688,4.9688,112939,0
4.9917,5.0087,4.9573,4.9917,94291,0
4.9974,5.0203,4.9917,4.9974,94291,0
4.9917,5.0606,4.9858,4.9917,138735,0
5.0203,5.0321,4.9974,5.0203,88011,0
4.9974,5.0321,4.9917,5.0146,149891,0
5.0034,5.0321,4.9974,5.0146,79125,0
5.0087,5.0376,4.9917,5.0146,139079,0
5.0034,5.0262,4.9858,4.9917,79468,0
4.9858,5.0203,4.9858,5.0087,106844,0
5.0034,5.0262,4.9858,5.0146,90631,0
4.9917,5.0034,4.9801,4.9801,136817,0
4.9917,5.0034,4.9801,4.9858,99692,0
4.9801,5.0203,4.9801,4.9917,106491,0
4.9858,5.0146,4.9801,4.9917,108761,0
4.9858,5.0146,4.9801,5.0146,117995,0
4.9917,5.0146,4.9858,5.0034,310579,0
5.0146,5.0203,4.9917,5.0034,123738,0
5.0034,5.0146,4.9917,5.0087,92023,0
4.9917,5.0146,4.9917,5.0034,102484,0
4.9974,5.0376,4.9917,4.9917,112067,0
4.9917,5.0262,4.9801,4.9917,121131,0
4.9801,5.0262,4.9801,5.0034,119206,0
4.9917,5.0435,4.9917,5.0034,164183,0
5.0146,5.0203,4.9858,5.0034,120786,0
5.0203,5.0203,4.9917,5.0203,100739,0
5.0146,5.0435,4.9342,4.9457,308666,0
4.9342,4.9917,4.9287,4.9633,105098,0
4.9457,5.0034,4.9457,4.9917,57166,0
4.9801,5.0034,4.9633,4.9801,71633,0
4.9745,4.9917,4.9633,4.9633,56301,0
4.9402,4.9917,4.9227,4.9457,105098,0
4.9056,4.9457,4.8428,4.854,144308,0
4.8251,4.9172,4.8195,4.8367,165052,0
4.8024,4.9172,4.7908,4.8481,91499,0
4.8481,4.9056,4.8195,4.8313,79646,0
4.8024,4.8428,4.7908,4.7966,198164,0
4.8195,4.8481,4.8139,4.8251,121823,0
4.8195,4.8713,4.7908,4.8313,127760,0
4.8251,4.8713,4.8024,4.8195,142914,0
4.7908,4.8713,4.7908,4.8251,66229,0
4.8081,4.8769,4.8081,4.854,82093,0
4.8428,4.8769,4.8313,4.8655,103698,0
4.8481,4.8713,4.8139,4.8655,127229,0
4.8251,4.8367,4.7908,4.8195,199909,0
4.8367,4.8481,4.8195,4.8195,138209,0
4.8313,4.8769,4.8195,4.8595,108404,0
4.8595,4.8595,4.8251,4.8313,141523,0
4.8195,4.8655,4.8195,4.8367,135769,0
4.8481,4.8595,4.7681,4.7793,133679,0
4.7853,4.8251,4.7793,4.8195,118867,0
4.7966,4.8367,4.7908,4.8024,131935,0
4.8195,4.8655,4.8081,4.854,183005,0
4.7966,4.8481,4.7966,4.8367,82962,0
4.8481,4.8595,4.8024,4.8081,141870,0
4.8081,4.8428,4.8024,4.8139,65363,0
4.8081,4.8428,4.8081,4.8081,69886,0
4.8195,4.8251,4.7966,4.8081,184909,0
4.8081,4.8481,4.8081,4.8428,130376,0
4.8139,4.8367,4.8024,4.8081,145184,0
4.7966,4.8313,4.7966,4.8251,93419,0
4.8024,4.8367,4.7966,4.8313,130537,0
4.8313,4.8428,4.8081,4.8195,126711,0
4.8024,4.8481,4.8024,4.8367,93419,0
4.8195,4.8481,4.8139,4.8481,41660,0
4.8367,4.8481,4.8195,4.8313,143964,0
4.8313,4.8428,4.8195,4.8367,223786,0
4.8481,4.854,4.8251,4.8367,128627,0
4.8081,4.8595,4.8081,4.8251,179865,0
4.854,4.8655,4.8195,4.8313,213853,0
4.8195,4.8428,4.8195,4.8251,151809,0
4.8195,4.8428,4.8195,4.8251,230234,0
4.8081,4.854,4.8081,4.8251,173071,0
4.7793,4.8481,4.7793,4.8428,93245,0
4.8139,4.8655,4.8139,4.8655,178651,0
4.8428,4.8481,4.7853,4.8195,211408,0
4.8081,4.8481,4.8081,4.8195,171153,0
4.8139,4.8481,4.8139,4.8428,130719,0
4.8024,4.8655,4.8024,4.854,146752,0
4.8367,4.8655,4.8251,4.8313,130376,0
4.8313,4.8655,4.8081,4.8251,100739,0
4.8428,4.8595,4.8251,4.8313,130537,0
4.8081,4.8481,4.8081,4.8081,202351,0
4.8081,4.8428,4.7681,4.8139,194680,0
4.8081,4.8595,4.8081,4.8251,134026,0
4.8195,4.8481,4.8081,4.8313,154596,0
4.8195,4.8655,4.8195,4.8428,187535,0
4.854,4.8769,4.8428,4.8713,145012,0
4.8769,4.9342,4.8481,4.9342,116425,0
