Open,High,Low,Close,Volume,OpenInt
38.801,39.167,38.604,39.142,160937,0
39.034,39.071,38.681,38.724,140110,0
38.825,39.627,38.787,39.381,237013,0
39.324,39.655,39.056,39.522,152297,0
39.522,39.522,39.041,39.056,128781,0
39.105,39.24,38.78,38.965,385061,0
39.783,39.783,38.7,38.864,245658,0
38.864,39.118,38.78,38.864,136571,0
38.864,39.083,38.695,38.965,165189,0
38.948,39.311,38.716,38.753,183036,0
38.591,38.732,38.47,38.615,133597,0
38.716,38.901,38.687,38.894,150595,0
38.716,38.894,38.336,38.399,115602,0
38.407,38.421,38.045,38.407,134729,0
38.393,38.393,37.826,37.834,199754,0
37.778,37.778,36.854,37.222,313375,0
37.08,37.261,36.917,37.171,142948,0
37.057,37.1,36.564,36.599,270024,0
37.319,38.329,37.319,38.222,394411,0
38.329,38.908,38.258,38.716,356724,0
38.753,39.056,38.724,38.879,287165,0
38.879,39.077,38.753,38.894,171565,0
38.942,39.0,38.654,38.965,200322,0
38.825,39.105,38.825,39.005,203438,0
38.934,39.161,37.973,38.407,181481,0
38.407,38.965,38.116,38.753,157822,0
38.772,38.772,38.279,38.491,168873,0
38.421,38.849,38.407,38.598,140110,0
38.631,38.67,38.356,38.631,205847,0
38.81,38.849,38.279,38.47,192672,0
38.477,38.477,38.111,38.336,164337,0
38.35,38.894,38.116,38.741,141104,0
38.879,39.065,38.433,38.47,166179,0
38.47,38.539,38.13,38.208,129204,0
38.208,38.244,37.314,37.339,167736,0
37.482,37.502,36.987,37.073,160374,0
37.073,37.551,36.635,37.431,498535,0
37.482,37.667,36.671,36.909,210945,0
36.945,37.425,36.924,37.354,265630,0
37.306,37.41,36.798,36.972,264921,0
36.952,37.518,36.924,37.361,193380,0
37.235,37.277,36.676,36.854,205279,0
36.741,36.755,36.564,36.712,260389,0
36.734,36.781,36.408,36.635,147336,0
36.671,37.314,36.571,37.314,219872,0
37.269,38.258,37.199,37.361,203013,0
37.361,37.566,36.727,37.269,145496,0
37.376,37.896,37.332,37.834,192531,0
37.764,37.778,37.361,37.686,92511,0
37.764,37.973,37.551,37.771,103561,0
37.771,37.896,37.495,37.764,114331,0
37.764,37.764,37.261,37.474,134019,0
37.65,37.869,37.396,37.636,127360,0
37.693,37.693,37.057,37.087,76786,0
37.017,37.128,36.111,36.437,118720,0
36.38,36.72,36.367,36.671,139263,0
36.494,37.82,36.431,37.72,156120,0
37.751,38.753,37.751,38.151,267472,0
38.13,38.598,37.973,38.519,196215,0
38.609,38.977,38.477,38.872,218881,0
39.048,39.211,38.908,39.077,178221,0
38.927,38.972,38.716,38.894,64744,0
38.825,38.825,38.027,38.194,179638,0
38.258,38.512,38.187,38.499,63611,0
38.447,38.532,38.258,38.455,105829,0
38.631,38.965,38.415,38.965,123536,0
38.857,38.901,38.681,38.857,278102,0
38.927,38.927,38.244,38.609,324143,0
38.647,38.647,38.3,38.421,136286,0
38.455,38.675,38.363,38.598,92084,0
38.591,38.965,38.484,38.576,103990,0
38.7,38.787,38.433,38.477,53979,0
38.369,38.921,38.315,38.921,136713,0
38.921,39.125,38.753,39.118,248913,0
38.994,39.083,38.615,39.034,190264,0
38.948,39.234,38.793,39.071,84297,0
39.142,39.174,38.894,39.012,102147,0
38.927,38.927,38.681,38.927,289007,0
38.927,38.972,38.772,38.837,203013,0
38.837,38.872,38.732,38.825,238857,0
38.817,38.842,38.598,38.609,157678,0
38.609,38.78,38.441,38.78,166179,0
38.716,38.724,38.13,38.159,120416,0
38.088,38.252,37.981,38.237,118438,0
38.292,38.695,38.187,38.662,113763,0
38.67,38.67,38.237,38.369,125660,0
38.369,38.647,38.336,38.484,131470,0
38.662,38.732,38.329,38.484,116737,0
38.554,38.825,38.554,38.662,74661,0
38.539,39.458,38.292,39.125,152723,0
39.034,39.034,38.151,38.329,171280,0
38.151,38.526,37.764,38.441,132744,0
38.385,38.385,38.02,38.292,115177,0
38.258,38.675,38.258,38.675,66724,0
38.675,39.056,38.506,39.056,152859,0
38.948,39.048,38.772,38.942,60635,0
38.934,39.071,38.732,38.732,135439,0
38.647,38.695,38.576,38.631,51143,0
38.477,38.748,38.47,38.687,71822,0
38.831,39.077,38.825,39.0,69277,0
39.0,39.211,38.772,39.034,82028,0
39.211,39.389,38.879,39.056,99169,0
39.097,39.351,38.894,39.351,84152,0
39.389,39.809,39.274,39.699,155980,0
39.714,39.986,39.64,39.809,150026,0
40.199,40.304,39.738,40.001,78910,0
40.071,40.403,39.947,40.313,110359,0
40.313,40.736,40.25,40.736,182472,0
41.647,42.107,40.524,40.545,341992,0
40.617,40.83,40.373,40.446,232057,0
40.235,41.06,40.235,40.589,192105,0
40.304,40.373,40.032,40.12,129911,0
39.947,40.333,39.557,39.791,104836,0
39.846,39.882,39.401,39.738,88968,0
39.846,39.979,39.531,39.6,81177,0
39.607,39.938,39.303,39.562,107387,0
39.531,39.634,38.831,39.204,146770,0
39.234,39.768,39.065,39.389,114894,0
