Open,High,Low,Close,Volume,OpenInt
19.737,20.194,19.223,20.187,55228,0
20.205,20.205,19.521,19.91,71827,0
19.644,20.026,19.606,19.806,63485,0
19.572,19.993,19.572,19.755,87873,0
20.01,20.015,19.674,19.977,79762,0
20.128,20.128,19.933,20.122,74669,0
19.904,20.304,19.904,19.968,77963,0
19.811,20.2,19.491,19.951,175919,0
19.743,20.083,19.474,19.977,1044355,0
20.133,20.145,19.801,19.833,50782,0
20.044,20.117,19.671,19.801,97561,0
19.743,20.044,19.737,20.044,81214,0
20.088,20.288,19.418,19.509,110066,0
19.79,19.843,19.187,19.423,70799,0
19.627,19.627,19.244,19.577,45137,0
19.612,19.731,19.044,19.218,166612,0
19.371,19.371,18.961,19.114,40288,0
19.119,19.39,18.905,18.961,93052,0
18.905,19.028,18.51,18.522,78889,0
18.686,18.816,18.441,18.51,43653,0
18.713,18.725,18.412,18.451,76435,0
18.58,18.654,17.999,18.248,87290,0
18.192,18.457,18.115,18.457,83313,0
18.226,18.777,18.204,18.431,121102,0
18.616,18.725,18.253,18.4,47772,0
18.366,18.632,18.237,18.51,67656,0
18.248,18.259,17.614,17.804,122965,0
18.068,18.498,17.909,17.932,80103,0
18.084,18.389,17.777,18.187,53333,0
18.237,18.28,17.62,17.654,57921,0
17.654,17.825,17.569,17.708,48057,0
17.626,18.014,16.968,17.897,98029,0
18.032,18.032,17.648,17.759,50832,0
17.83,18.159,17.638,17.669,109187,0
17.685,18.079,17.525,17.759,148052,0
17.792,17.987,16.958,17.932,147225,0
17.932,18.269,17.777,18.165,110814,0
18.038,18.038,17.236,17.336,79292,0
17.336,18.309,17.336,18.153,79594,0
17.976,18.068,17.525,17.854,65816,0
17.859,18.043,17.614,17.999,43188,0
18.147,18.147,17.792,17.848,70287,0
17.626,18.33,17.626,17.987,32804,0
17.765,18.038,17.765,17.874,65183,0
18.063,18.538,17.798,18.527,166127,0
18.516,18.516,17.848,18.182,72166,0
18.109,18.132,17.759,17.909,70908,0
17.825,18.182,17.825,17.981,72671,0
17.864,18.21,17.836,18.084,48125,0
18.231,18.28,18.073,18.073,16603,0
18.068,18.324,18.043,18.298,32269,0
17.999,18.783,17.999,18.699,152497,0
18.702,18.777,18.292,18.737,80273,0
18.789,19.233,17.971,18.248,87663,0
18.159,18.692,18.159,18.479,61913,0
18.504,18.922,18.504,18.868,51241,0
19.033,19.418,18.922,19.264,67531,0
19.244,19.892,19.244,19.731,97968,0
19.638,19.638,18.992,19.423,67338,0
19.772,19.843,19.371,19.454,39539,0
19.377,19.797,19.331,19.331,41800,0
19.187,19.39,19.137,19.325,46062,0
19.445,19.445,19.244,19.292,50838,0
19.239,19.843,19.239,19.833,111030,0
19.439,19.875,19.439,19.833,34051,0
19.66,20.262,19.632,20.015,79186,0
20.145,20.262,19.811,20.2,74163,0
19.951,20.331,19.904,20.262,69941,0
20.181,20.427,19.801,19.821,68707,0
19.865,20.187,19.843,20.1,31325,0
20.153,20.406,20.153,20.331,73460,0
20.049,20.187,19.681,19.704,114428,0
19.737,19.973,19.459,19.778,93449,0
19.983,20.111,19.766,19.927,61190,0
19.977,20.117,19.766,19.956,52429,0
20.153,20.175,19.797,20.175,60532,0
20.279,20.283,19.865,20.283,72214,0
20.295,20.427,20.055,20.427,51541,0
20.711,20.856,20.217,20.651,169021,0
20.566,20.634,20.217,20.217,27763,0
20.038,20.504,20.038,20.439,66458,0
20.412,20.571,20.299,20.491,26891,0
20.406,21.077,20.211,20.217,75043,0
20.361,20.382,19.904,19.973,176248,0
19.933,20.088,19.806,19.927,58164,0
20.066,20.834,19.766,20.817,70913,0
20.64,20.756,20.283,20.681,38758,0
20.526,20.811,20.17,20.229,45663,0
20.45,20.937,20.256,20.937,41075,0
20.756,21.284,20.661,21.199,61791,0
21.182,21.221,20.583,20.606,35212,0
20.4,20.629,20.239,20.583,43130,0
20.508,21.268,20.427,21.113,67543,0
21.227,21.501,21.008,21.478,117046,0
21.457,21.457,21.089,21.152,41102,0
20.9,21.176,20.861,20.943,46268,0
20.943,21.152,20.577,20.634,41801,0
20.316,21.194,20.295,21.008,69743,0
