Open,High,Low,Close,Volume,OpenInt
20.012,20.012,19.432,19.761,345202,0
19.767,19.767,18.481,19.353,666063,0
19.061,19.535,19.061,19.248,230231,0
19.299,19.816,19.195,19.754,142244,0
19.844,20.254,19.706,19.761,169812,0
19.844,19.982,19.265,19.401,214835,0
19.401,19.591,19.401,19.457,59828,0
19.47,19.47,18.956,19.23,157351,0
19.265,19.432,19.122,19.122,125821,0
19.163,19.531,19.163,19.358,124358,0
19.572,19.605,19.487,19.504,80505,0
19.639,19.798,19.504,19.729,154564,0
19.706,19.706,19.347,19.365,194159,0
19.23,19.23,18.59,19.219,345352,0
18.992,19.224,18.992,19.101,259271,0
19.093,19.487,19.093,19.432,117903,0
19.504,19.706,19.163,19.706,151926,0
19.675,19.675,19.025,19.031,239913,0
19.025,19.23,18.998,19.093,73322,0
19.061,19.775,19.025,19.754,119079,0
19.675,19.742,19.495,19.535,62031,0
19.299,19.353,19.011,19.334,119079,0
19.195,19.535,19.195,19.224,137407,0
19.195,19.311,19.093,19.093,443899,0
19.101,19.127,18.992,19.086,78750,0
19.025,19.061,18.583,18.616,149724,0
18.616,18.84,18.616,18.686,66871,0
18.754,18.815,18.718,18.754,83147,0
18.686,19.093,18.686,19.093,34169,0
19.093,19.093,18.833,18.863,47806,0
18.863,18.863,18.759,18.766,25665,0
18.718,18.938,18.718,18.938,44433,0
18.869,19.093,18.785,18.963,43409,0
18.924,18.956,18.754,18.827,84613,0
18.854,19.072,18.854,19.072,39599,0
19.08,19.08,18.854,18.854,41355,0
18.901,18.956,18.785,18.924,55873,0
18.924,18.992,18.785,18.977,69804,0
18.854,18.998,18.823,18.946,153391,0
18.946,18.956,18.847,18.854,148408,0
18.854,18.924,18.854,18.891,49566,0
18.876,18.891,18.669,18.698,76695,0
18.891,18.924,18.759,18.823,39887,0
18.766,18.901,18.754,18.754,45603,0
18.754,18.754,18.444,18.583,1566618,0
18.547,18.638,18.515,18.624,52648,0
18.616,18.65,18.528,18.554,61740,0
18.616,18.631,18.461,18.59,180665,0
18.547,18.616,18.515,18.616,151189,0
18.583,19.188,18.583,19.188,521031,0
19.188,19.419,19.188,19.28,61007,0
19.299,19.401,19.093,19.401,44582,0
19.299,19.557,19.299,19.542,61007,0
19.542,19.542,19.248,19.365,101624,0
19.432,19.463,19.334,19.432,88132,0
18.992,19.265,18.97,19.127,121715,0
19.15,19.195,18.891,18.992,68779,0
19.08,19.265,18.97,19.265,370720,0
19.237,19.242,19.163,19.211,106315,0
19.154,19.358,19.093,19.334,61888,0
19.334,19.38,19.265,19.353,58363,0
19.365,19.701,19.334,19.694,63207,0
19.652,19.838,19.535,19.791,149874,0
19.761,19.982,19.754,19.966,178761,0
19.982,20.184,19.944,20.121,175973,0
19.712,20.184,19.712,19.982,93415,0
19.988,20.136,19.982,20.117,396093,0
20.13,20.423,20.083,20.335,629404,0
20.335,20.335,19.982,20.049,402394,0
20.049,20.066,19.912,20.0,76992,0
19.912,19.927,19.432,19.45,133449,0
19.535,19.557,19.025,19.163,74789,0
19.107,19.114,19.011,19.04,62910,0
19.163,19.28,19.122,19.188,69069,0
19.311,19.927,19.311,19.851,214394,0
19.851,19.935,19.816,19.898,134764,0
20.066,20.117,19.944,19.988,199290,0
20.012,20.036,19.864,19.878,147676,0
19.829,19.982,19.712,19.982,87251,0
19.994,20.074,19.474,19.761,145181,0
19.784,19.784,19.299,19.299,297985,0
19.38,19.432,19.168,19.334,107488,0
19.327,19.334,19.107,19.202,122891,0
19.163,19.517,18.833,18.833,312062,0
18.823,19.031,18.766,18.956,165271,0
18.956,19.334,18.956,19.334,95175,0
19.299,19.535,19.291,19.365,113210,0
19.365,19.38,19.141,19.353,87251,0
19.401,19.401,19.211,19.219,29767,0
19.23,19.365,19.202,19.365,35342,0
19.334,19.365,19.188,19.334,53378,0
19.23,19.23,19.107,19.114,79041,0
19.107,19.365,19.107,19.302,94586,0
19.334,19.419,18.992,19.419,95025,0
19.47,19.531,19.45,19.531,70387,0
19.639,19.639,19.374,19.409,46780,0
19.605,19.605,19.365,19.47,67455,0
19.45,19.504,19.427,19.48,45754,0
19.495,19.572,19.48,19.48,26541,0
19.463,19.535,19.45,19.512,88428,0
19.742,19.754,19.557,19.565,122451,0
19.572,19.706,19.47,19.512,103236,0
19.512,19.512,19.127,19.419,72591,0
19.419,19.618,19.365,19.523,81535,0
19.557,19.646,19.557,19.627,156032,0
19.627,19.639,19.605,19.639,42526,0
19.605,19.639,19.504,19.577,205157,0
19.55,19.605,19.365,19.365,37397,0
19.401,19.401,19.04,19.122,70244,0
19.122,19.347,19.067,19.273,48537,0
19.283,19.283,19.107,19.176,46927,0
19.195,19.23,19.053,19.067,38273,0
19.195,19.23,19.025,19.134,46486,0
19.134,19.15,19.025,19.061,16424,0
19.067,19.093,18.823,19.08,67019,0
19.114,19.605,19.114,19.256,153391,0
19.427,19.605,18.998,19.101,128754,0
19.101,19.302,19.093,19.299,35195,0
19.302,19.347,19.031,19.04,48395,0
19.04,19.122,18.951,19.08,75523,0
19.04,19.093,19.025,19.04,46633,0
19.08,19.093,19.025,19.053,34169,0
19.093,19.639,19.093,19.163,140191,0
19.184,19.572,18.924,19.358,2415544,0
19.265,19.487,19.265,19.47,94290,0
19.474,19.633,19.474,19.504,70244,0
19.47,19.639,19.47,19.577,126995,0
19.585,19.597,19.432,19.48,87399,0
19.557,19.557,19.311,19.432,88573,0
19.432,19.572,19.365,19.474,60126,0
19.504,19.639,19.432,19.597,111455,0
19.432,19.504,19.195,19.291,91802,0
19.242,19.365,19.219,19.273,25076,0
19.299,19.427,19.265,19.353,64820,0
19.432,19.432,19.176,19.224,98400,0
19.248,19.387,19.195,19.353,106904,0
19.353,19.353,19.219,19.265,287719,0
19.365,19.365,19.237,19.273,304875,0
19.283,19.605,19.283,19.432,119369,0
19.38,19.504,19.334,19.334,74789,0
19.299,19.487,19.299,19.387,82415,0
19.504,19.944,19.504,19.577,148844,0
19.646,19.694,19.432,19.432,94586,0
19.487,19.572,19.432,19.487,76551,0
19.45,19.523,19.387,19.487,42088,0
19.495,19.504,19.365,19.409,114383,0
19.432,19.432,19.237,19.302,96344,0
19.319,19.365,19.265,19.299,117613,0
19.299,19.319,19.273,19.283,50007,0
19.302,19.401,19.237,19.265,175244,0
19.265,19.28,19.163,19.195,110861,0
19.195,19.299,19.127,19.23,236100,0
19.23,19.463,19.23,19.401,183306,0
19.432,19.495,19.365,19.396,215422,0
19.432,19.504,19.427,19.48,220114,0
19.523,19.701,19.512,19.675,80801,0
19.742,19.89,19.72,19.878,110278,0
19.904,20.136,19.878,20.117,86813,0
20.184,20.238,20.036,20.056,141953,0
20.0,20.006,19.803,19.939,59246,0
19.912,19.944,19.767,19.767,93268,0
19.808,19.808,19.675,19.767,56311,0
19.742,19.982,19.742,19.775,157940,0
19.798,19.808,19.605,19.737,59978,0
19.742,19.878,19.72,19.878,68485,0
19.808,19.844,19.605,19.712,83588,0
19.844,20.445,19.844,20.341,195480,0
20.323,20.445,20.286,20.347,163512,0
20.391,20.457,20.341,20.391,81535,0
20.254,20.451,20.254,20.307,179494,0
20.307,20.307,20.062,20.09,83442,0
20.184,20.391,20.151,20.347,29183,0
20.457,20.592,20.402,20.457,147527,0
20.538,20.592,20.457,20.561,125821,0
20.561,20.621,20.083,20.231,197680,0
19.982,20.307,19.878,20.307,84322,0
