Open,High,Low,Close,Volume,OpenInt
365.7,365.7,359.5,360.1,14800,0
361.0,361.0,356.25,357.5,11200,0
358.0,362.0,358.0,359.26,20600,0
360.25,361.5,358.0,358.0,22600,0
357.0,364.0,356.5,357.51,17300,0
358.5,359.5,358.0,358.35,8700,0
359.35,360.5,358.17,359.0,15000,0
360.0,360.99,358.5,360.0,25500,0
360.0,360.0,357.05,357.05,8800,0
357.2,359.0,357.0,358.99,5400,0
359.5,362.55,357.5,357.75,43300,0
358.75,368.0,358.6,367.91,40900,0
367.91,373.0,367.0,367.5,26500,0
367.5,367.5,365.0,365.75,10500,0
365.0,371.0,364.96,365.1,40200,0
366.1,366.1,360.6,362.0,14600,0
362.0,362.0,357.49,358.25,6500,0
357.25,357.25,350.05,352.0,30100,0
352.0,352.0,346.07,347.0,23800,0
348.0,348.5,341.0,345.0,39900,0
346.0,348.5,340.01,342.65,13500,0
343.65,345.0,342.0,343.5,12100,0
342.5,343.75,339.0,342.71,28700,0
343.71,346.3,340.3,345.21,15400,0
346.0,348.5,344.0,347.9,15200,0
347.0,347.49,345.5,347.49,6600,0
346.5,349.5,346.5,349.5,10500,0
347.75,349.45,347.75,348.01,4400,0
347.1,355.2,346.51,349.65,45200,0
350.0,350.5,343.5,345.8,65200,0
346.5,355.0,345.08,354.91,37600,0
354.0,354.0,349.25,350.44,31000,0
349.0,352.0,349.0,351.5,11000,0
351.5,353.22,351.5,353.0,10700,0
353.0,353.0,343.01,343.01,24200,0
344.0,347.49,343.5,347.01,17900,0
347.01,348.2,345.0,348.2,19400,0
348.2,348.2,344.0,344.95,12500,0
344.5,348.5,336.5,337.7,34900,0
338.8,338.8,333.5,333.5,18100,0
334.0,337.95,333.03,337.95,14700,0
337.95,343.0,337.95,341.95,21000,0
341.0,342.0,336.5,342.0,15300,0
341.5,345.23,340.51,345.23,20900,0
346.0,346.15,343.1,343.1,28800,0
344.0,348.0,343.5,344.3,21200,0
345.0,346.0,342.48,344.45,13500,0
346.35,353.0,346.0,348.2,35900,0
348.5,349.49,344.1,344.45,19900,0
345.45,346.45,339.0,340.0,17200,0
341.0,341.5,338.0,339.65,13200,0
340.5,346.5,339.56,343.75,27600,0
344.75,344.75,341.1,343.0,14100,0
342.0,346.0,341.0,342.0,36200,0
343.0,343.0,339.7,339.7,9700,0
338.7,342.01,338.7,341.08,18400,0
340.08,344.5,340.08,342.51,6600,0
342.25,348.0,341.5,344.95,21700,0
346.85,349.5,341.01,342.06,15300,0
342.9,344.5,342.9,343.0,10600,0
342.5,346.5,342.0,344.9,16700,0
343.5,344.0,341.71,342.5,6500,0
342.5,342.5,338.76,338.77,8300,0
338.77,340.75,338.5,340.0,7100,0
338.1,342.0,338.1,342.0,8100,0
342.0,342.9,340.5,341.75,7000,0
342.0,342.25,337.5,338.5,21500,0
339.25,340.99,337.6,339.0,26000,0
339.75,339.95,336.0,338.0,30000,0
337.5,338.5,335.0,336.0,18600,0
336.5,339.2,336.5,338.25,19400,0
339.0,339.5,337.75,338.0,28000,0
338.0,339.5,335.75,337.51,9800,0
337.0,339.0,337.0,337.11,7400,0
337.5,338.25,337.0,337.84,36800,0
337.85,338.4,337.19,338.0,12500,0
338.25,338.6,337.88,338.47,14100,0
338.5,339.1,337.51,338.8,12800,0
338.8,339.14,338.01,338.74,9100,0
339.0,339.5,333.05,335.5,15000,0
335.5,338.0,331.7,332.0,29300,0
333.7,335.93,333.5,334.95,16800,0
334.0,335.4,333.5,334.95,8500,0
334.95,337.5,333.0,333.5,38500,0
332.5,335.51,332.0,334.9,6300,0
334.0,336.0,334.0,335.27,13700,0
335.0,335.5,334.0,334.5,14900,0
335.5,339.0,334.54,339.0,65600,0
337.5,340.5,337.27,340.0,16900,0
341.8,347.0,341.2,345.6,36600,0
345.0,345.2,340.01,340.37,22700,0
341.0,342.99,338.0,339.0,11500,0
340.0,341.0,336.5,337.1,11300,0
337.9,337.9,333.28,335.0,7700,0
336.0,336.5,331.0,332.25,24700,0
332.25,332.3,326.26,327.0,30000,0
328.8,328.8,322.0,324.5,30200,0
322.8,325.0,321.06,323.0,33400,0
323.0,323.5,319.5,320.47,18600,0
319.0,322.0,319.0,320.63,14500,0
321.0,322.5,319.6,322.5,16000,0
323.0,324.9,322.23,324.83,7600,0
325.0,328.5,323.5,327.57,14000,0
328.25,336.5,327.7,335.05,34600,0
333.2,337.2,332.44,335.9,24800,0
336.5,339.5,334.5,335.98,15100,0
336.48,337.75,334.5,335.32,6600,0
335.0,336.0,334.01,336.0,5100,0
336.5,339.5,336.0,337.6,17200,0
337.6,341.0,336.5,341.0,9700,0
340.1,340.1,333.0,333.49,35900,0
333.0,335.5,329.0,334.03,14300,0
333.1,333.1,324.31,325.0,32900,0
324.0,325.0,320.5,320.6,17700,0
317.0,319.98,316.81,318.0,24100,0
318.0,318.5,313.5,313.6,26200,0
314.5,318.0,314.5,316.5,27700,0
316.5,319.0,315.0,317.99,11500,0
318.5,318.5,310.0,312.0,28600,0
312.75,313.5,311.0,313.0,22300,0
312.5,314.2,312.5,313.24,12600,0
314.0,314.0,307.5,307.69,22600,0
307.8,314.0,307.8,312.5,19800,0
313.5,324.18,313.5,323.1,31400,0
324.5,326.99,322.88,323.5,20100,0
323.5,326.5,323.5,326.3,19500,0
325.25,329.95,324.0,329.95,34500,0
329.63,329.63,325.55,326.04,16200,0
323.0,327.5,323.0,327.43,10100,0
328.0,328.0,323.83,327.5,5800,0
326.6,326.6,319.97,324.75,24300,0
321.5,326.4,321.0,326.4,15100,0
326.45,326.5,324.75,325.45,7900,0
324.45,326.5,322.57,322.7,21900,0
321.0,325.9,321.0,324.81,8600,0
325.5,325.5,323.5,323.74,6100,0
323.0,324.0,323.0,323.0,5700,0
322.5,323.76,320.02,323.45,8400,0
323.5,330.74,322.5,326.5,23600,0
327.25,327.25,325.5,326.3,5200,0
326.96,328.5,325.02,327.0,12000,0
327.5,328.12,325.67,327.87,3700,0
328.0,330.5,325.1,330.45,6400,0
330.99,334.75,328.2,328.2,15800,0
327.95,327.95,316.5,318.99,18600,0
319.9,319.95,315.0,316.25,30400,0
316.25,317.35,313.5,314.0,19300,0
315.5,317.49,308.7,309.7,27700,0
309.7,315.3,309.41,314.95,31400,0
314.95,326.88,314.0,326.72,46100,0
326.0,333.0,325.76,332.75,56400,0
331.0,331.0,327.01,330.5,14100,0
330.5,333.0,329.4,330.05,13300,0
330.0,332.49,330.0,331.0,12900,0
330.0,330.0,327.5,329.05,22500,0
328.55,329.05,323.66,325.0,8100,0
324.5,327.38,322.91,323.05,11000,0
322.95,326.2,322.95,325.99,5600,0
325.5,328.5,321.11,321.11,13300,0
320.61,320.61,316.0,316.6,14000,0
316.1,320.0,316.0,317.44,8400,0
318.0,318.0,313.25,315.57,12100,0
316.0,317.3,315.0,317.3,3900,0
317.3,317.36,311.0,311.67,17400,0
312.0,317.0,311.5,316.5,12100,0
316.5,319.0,316.5,318.0,12100,0
316.25,317.82,315.0,317.82,11100,0
317.25,320.75,317.0,319.74,7200,0
319.0,319.0,316.01,317.25,18800,0
316.65,316.9,314.68,316.19,4800,0
316.75,317.94,312.65,312.69,11200,0
