Open,High,Low,Close,Volume,OpenInt
7.4328,7.5015,7.4193,7.4948,129772,0
7.4743,7.5083,7.4193,7.4193,79994,0
7.4464,7.4606,7.4057,7.4533,49923,0
7.4606,7.4743,7.4261,7.4533,68601,0
7.4606,7.4873,7.4533,7.4533,41163,0
7.4671,7.5015,7.4533,7.4533,33571,0
7.4743,7.4948,7.4606,7.481,57946,0
7.4873,7.4873,7.4401,7.4606,71523,0
7.4671,7.4671,7.3921,7.3921,75904,0
7.3921,7.4193,7.3641,7.3641,71523,0
7.358,7.3988,7.3301,7.3367,72554,0
7.3367,7.3714,7.2888,7.3235,108600,0
7.3921,7.3921,7.2614,7.2888,88021,0
7.2963,7.3367,7.2754,7.3165,108600,0
7.3301,7.3301,7.2477,7.3099,44231,0
7.2614,7.3367,7.2614,7.2614,58385,0
7.2553,7.2553,7.2069,7.2138,124953,0
7.2274,7.3641,7.2138,7.2553,161007,0
7.2614,7.2614,7.1793,7.1936,76488,0
7.3301,7.3301,7.1793,7.2684,178081,0
7.2754,7.3235,7.2684,7.3235,39855,0
7.2963,7.3235,7.1936,7.3165,88168,0
7.3023,7.3641,7.2963,7.3367,86851,0
7.3165,7.3988,7.3165,7.3441,260116,0
7.3441,7.3988,7.3367,7.3988,90207,0
7.3641,7.4124,7.3441,7.3988,36787,0
7.3846,7.3988,7.3235,7.358,66995,0
7.358,7.3921,7.3165,7.3846,95755,0
7.3921,7.3988,7.3301,7.3367,81306,0
7.3301,7.3441,7.2754,7.2824,38250,0
7.2888,7.3023,7.2344,7.2553,69485,0
7.2203,7.3441,7.2069,7.3441,171222,0
7.3441,7.3783,7.3165,7.3503,115750,0
7.358,7.3846,7.3441,7.3503,46565,0
7.3714,7.4057,7.358,7.3714,50062,0
7.3503,7.4124,7.3503,7.4124,32114,0
7.4193,7.4261,7.3846,7.3988,89332,0
7.3714,7.3714,7.2754,7.3023,156482,0
7.2963,7.3367,7.2824,7.3023,49188,0
7.2754,7.3099,7.2411,7.3099,81153,0
7.3641,7.3641,7.2754,7.2754,94591,0
7.2824,7.3235,7.2754,7.3165,58098,0
7.3301,7.3641,7.2963,7.3023,144659,0
7.3023,7.3235,7.2411,7.3165,106269,0
7.2963,7.3714,7.2963,7.3503,87730,0
7.3641,7.3641,7.3235,7.3235,52697,0
7.358,7.358,7.3023,7.3023,67728,0
7.3714,7.3714,7.2553,7.2963,181590,0
7.3165,7.3165,7.2888,7.3099,45980,0
7.2684,7.2963,7.2411,7.2614,77655,0
7.2477,7.2963,7.2477,7.2963,33868,0
7.3165,7.3165,7.2824,7.2963,34889,0
7.2824,7.3503,7.2824,7.3441,51527,0
7.3165,7.3714,7.3165,7.3714,56201,0
7.3235,7.3921,7.3235,7.3714,103935,0
7.3846,7.3988,7.3503,7.3846,70651,0
7.3641,7.4193,7.3441,7.3921,90508,0
7.3714,7.4124,7.3714,7.3988,64964,0
7.3846,7.4057,7.3641,7.3921,70796,0
7.3165,7.358,7.2614,7.3099,148453,0
7.2888,7.3165,7.2684,7.2824,68763,0
7.3165,7.3301,7.2888,7.3165,112399,0
7.2888,7.3367,7.2553,7.3367,147576,0
7.3367,7.3441,7.2824,7.3165,81892,0
7.3441,7.358,7.2963,7.3023,52401,0
7.3023,7.3503,7.2963,7.3441,78380,0
7.3441,7.4193,7.3165,7.4193,119697,0
7.3988,7.3988,7.2963,7.3783,124368,0
7.3783,7.3921,7.3165,7.3441,41610,0
7.3301,7.3641,7.3165,7.3367,50653,0
7.3099,7.358,7.3023,7.3301,90941,0
7.3099,7.3503,7.2963,7.3301,60725,0
7.3023,7.3165,7.2754,7.3165,53572,0
7.2684,7.3235,7.2684,7.2754,79701,0
7.2754,7.3023,7.2684,7.2684,52262,0
7.2684,7.3099,7.2614,7.2963,149035,0
7.2963,7.3099,7.2614,7.2888,72109,0
7.3023,7.3099,7.2684,7.2888,130357,0
7.2614,7.2684,7.2138,7.2684,101885,0
7.2411,7.2614,7.2274,7.2614,48023,0
7.2477,7.2824,7.2411,7.2824,87730,0
7.2824,7.3235,7.2754,7.2754,128751,0
7.2963,7.3099,7.2684,7.3099,47003,0
7.3165,7.3783,7.2888,7.3714,117213,0
7.3783,7.3921,7.3099,7.3235,71231,0
7.3165,7.3367,7.2963,7.3235,34012,0
7.3301,7.3503,7.3165,7.3235,42773,0
7.3165,7.3641,7.2824,7.3503,77077,0
7.3023,7.3367,7.2963,7.3235,39703,0
7.3235,7.3301,7.2824,7.3301,84224,0
7.3301,7.3921,7.3165,7.3783,68458,0
7.3367,7.3988,7.3235,7.3641,39556,0
7.358,7.3988,7.2754,7.3714,111087,0
7.3714,7.3921,7.3441,7.3921,50800,0
7.3714,7.3846,7.3441,7.3846,62763,0
7.3846,7.3846,7.3503,7.3846,59266,0
7.3846,7.3988,7.3503,7.3783,68026,0
7.3846,7.3921,7.3441,7.3783,45109,0
7.3641,7.3641,7.3235,7.3235,55179,0
7.3165,7.358,7.2888,7.3301,56784,0
7.3367,7.3503,7.3023,7.3235,41453,0
7.3165,7.3846,7.3023,7.358,88610,0
7.3441,7.3641,7.3165,7.3301,70939,0
7.358,7.3783,7.3165,7.3235,71231,0
7.3165,7.3783,7.3165,7.3783,20291,0
7.3783,7.4401,7.3441,7.4057,130065,0
7.4261,7.4464,7.4057,7.4401,26273,0
7.3988,7.4671,7.3783,7.4124,99117,0
7.4464,7.4464,7.3783,7.4261,72695,0
7.4057,7.4328,7.3846,7.3921,52401,0
7.3988,7.4328,7.3846,7.3988,58830,0
7.3783,7.4057,7.3641,7.3846,108456,0
7.3503,7.3921,7.3367,7.358,37079,0
7.3641,7.3641,7.3023,7.3023,36642,0
7.3023,7.3367,7.2614,7.3235,118382,0
7.2963,7.3641,7.2888,7.358,42622,0
7.3503,7.3783,7.3503,7.358,22187,0
7.3301,7.3783,7.3301,7.3641,39556,0
7.3367,7.3988,7.3301,7.3714,44231,0
7.3441,7.4057,7.3441,7.3988,77211,0
7.4328,7.4328,7.3783,7.4124,30647,0
7.3714,7.4328,7.3714,7.3921,88319,0
7.3641,7.3783,7.3441,7.3783,42915,0
7.3714,7.4057,7.3641,7.3783,58098,0
7.3846,7.3921,7.3503,7.358,51527,0
7.3783,7.4193,7.358,7.3641,124953,0
7.4193,7.4328,7.3641,7.3714,61165,0
7.3846,7.4401,7.3846,7.3921,72988,0
7.4124,7.4401,7.3988,7.3988,42187,0
7.4124,7.4328,7.3846,7.3921,45835,0
7.3641,7.4193,7.3641,7.4193,58682,0
7.4124,7.4328,7.4057,7.4261,73425,0
7.4193,7.4401,7.4124,7.4261,39556,0
7.4464,7.4464,7.4193,7.4193,49339,0
7.4124,7.4401,7.4124,7.4124,63641,0
7.4124,7.4401,7.3921,7.4193,20441,0
7.4261,7.4606,7.4193,7.4464,33282,0
7.4671,7.4671,7.4124,7.4124,45688,0
7.4401,7.4606,7.4261,7.4606,27444,0
7.4401,7.4671,7.4193,7.4193,36348,0
7.4193,7.4533,7.3846,7.4328,127292,0
7.4124,7.4261,7.3921,7.3921,58830,0
7.3921,7.4261,7.3641,7.3783,36491,0
7.3783,7.3988,7.3441,7.3714,56201,0
7.3714,7.3921,7.3441,7.3846,69050,0
7.3367,7.3503,7.2963,7.3235,84954,0
7.3099,7.3165,7.2477,7.3023,61306,0
7.2684,7.2888,7.2411,7.2824,92106,0
7.2888,7.3165,7.2344,7.2614,75029,0
7.2344,7.358,7.2274,7.2963,86708,0
7.3235,7.3367,7.2888,7.3301,42773,0
7.3301,7.4057,7.3165,7.358,178529,0
7.3921,7.4057,7.2824,7.3235,77944,0
7.3235,7.3783,7.3235,7.3714,50800,0
7.3783,7.4057,7.358,7.3846,84664,0
7.3641,7.3846,7.3301,7.3714,49188,0
7.3714,7.3714,7.3301,7.358,55470,0
7.3023,7.3846,7.3023,7.3641,65402,0
7.3783,7.4328,7.3714,7.4193,69183,0
7.4533,7.4533,7.3714,7.4193,66564,0
7.3783,7.3988,7.2963,7.3301,85833,0
7.3099,7.3441,7.2684,7.3301,73425,0
7.3921,7.3921,7.2963,7.3367,52401,0
7.3099,7.3301,7.2614,7.2824,50800,0
7.2684,7.3099,7.2553,7.2754,103935,0
7.2614,7.3165,7.2614,7.3165,44519,0
7.2138,7.3235,7.2138,7.3235,74591,0
7.3235,7.3921,7.3023,7.3023,54303,0
7.3503,7.358,7.2963,7.3023,73567,0
7.3301,7.3503,7.2477,7.2614,120136,0
7.2824,7.3235,7.2684,7.2824,59415,0
