Open,High,Low,Close,Volume,OpenInt
12.595,12.685,12.209,12.644,851448,0
12.629,13.014,12.629,13.014,82818,0
13.052,13.368,13.022,13.368,46464,0
13.128,13.136,13.014,13.014,29290,0
13.361,13.494,13.03,13.361,52297,0
13.637,13.637,13.116,13.157,33681,0
13.157,13.193,13.014,13.193,45975,0
13.185,13.254,13.157,13.157,51243,0
13.172,13.249,13.157,13.172,20734,0
13.157,13.236,13.116,13.23,43572,0
13.095,13.208,13.074,13.136,28510,0
13.11,13.388,13.11,13.335,13118,0
13.222,13.41,13.222,13.41,27705,0
13.27,13.482,13.27,13.463,24280,0
13.572,13.572,13.402,13.482,12760,0
13.58,13.58,13.368,13.531,62462,0
13.41,13.448,13.368,13.388,27599,0
13.564,15.247,13.564,13.932,129800,0
13.678,13.734,13.368,13.368,44684,0
13.425,13.72,13.425,13.614,15412,0
13.381,13.741,13.375,13.614,45261,0
13.827,13.89,13.734,13.806,33368,0
14.066,14.312,13.89,14.276,40660,0
14.312,14.756,14.185,14.34,59692,0
14.417,14.424,13.748,13.827,15630,0
13.762,14.51,13.748,14.318,60043,0
14.318,14.367,14.074,14.206,18328,0
14.409,14.635,13.72,13.868,66275,0
13.86,14.135,13.792,14.058,67234,0
13.981,14.015,13.792,13.792,29990,0
13.792,13.853,13.678,13.72,20329,0
13.727,13.89,13.72,13.799,19663,0
13.86,13.86,13.72,13.72,15700,0
13.72,13.72,13.178,13.487,35610,0
13.685,13.685,12.974,12.982,55794,0
12.777,13.482,12.616,13.477,136076,0
13.58,13.58,12.877,13.007,60663,0
12.948,12.948,12.137,12.525,86668,0
12.532,12.87,12.483,12.637,25717,0
12.418,12.664,12.35,12.46,20030,0
12.587,13.116,12.312,13.116,58037,0
13.236,13.77,13.185,13.693,37598,0
13.524,13.806,13.368,13.748,81646,0
13.614,13.755,13.614,13.713,32392,0
13.741,13.853,13.402,13.853,19636,0
13.644,13.827,13.388,13.595,36056,0
13.975,13.975,12.629,12.629,72271,0
13.164,13.172,12.769,12.974,17020,0
13.074,13.088,12.714,12.948,45103,0
13.038,13.487,12.995,13.395,36215,0
13.395,13.395,13.123,13.327,30898,0
13.116,13.123,12.158,12.262,50630,0
12.418,12.657,12.35,12.657,64198,0
12.525,12.7,12.525,12.664,121016,0
13.254,13.254,12.525,12.539,30670,0
12.49,12.603,12.277,12.312,15369,0
12.284,12.35,12.269,12.298,16859,0
12.595,12.595,12.49,12.559,48358,0
12.547,12.547,12.202,12.312,82756,0
12.327,12.968,12.269,12.918,122159,0
12.805,13.395,12.798,13.074,36837,0
12.849,13.249,12.644,13.249,19634,0
13.262,13.544,13.262,13.395,43147,0
13.524,14.066,13.494,13.916,87187,0
13.902,14.261,13.902,14.08,84286,0
14.074,14.276,14.074,14.268,36429,0
14.121,14.424,14.08,14.424,8875,0
14.261,14.741,14.261,14.712,33104,0
14.635,14.741,14.635,14.663,10980,0
14.683,14.683,14.375,14.375,20229,0
14.325,14.353,14.225,14.255,9031,0
14.452,14.481,14.087,14.108,37412,0
14.087,14.318,14.087,14.291,20031,0
14.142,14.213,14.058,14.213,39780,0
14.318,14.389,14.142,14.389,8911,0
14.359,14.402,14.359,14.389,28023,0
14.402,14.402,14.241,14.389,39520,0
14.241,14.402,14.185,14.402,7133,0
12.245,14.074,12.245,13.778,80708,0
13.762,14.157,13.433,13.792,110003,0
13.706,13.939,13.58,13.86,28354,0
13.706,13.792,13.693,13.792,6889,0
13.551,13.847,13.544,13.685,27090,0
13.614,13.785,13.544,13.713,86120,0
13.713,13.875,13.588,13.755,7604,0
13.853,14.402,13.792,14.402,35637,0
14.402,14.402,14.179,14.193,13936,0
14.142,14.345,14.003,14.142,27966,0
14.108,14.34,14.074,14.171,31070,0
14.036,14.777,14.036,14.777,49071,0
14.777,14.846,14.658,14.658,8497,0
14.345,14.671,14.345,14.57,5510,0
14.643,15.225,14.643,15.114,16622,0
15.055,15.397,15.055,15.397,19758,0
15.479,15.479,15.177,15.219,43443,0
15.169,15.261,15.009,15.15,5596,0
15.268,15.268,14.818,15.13,15526,0
14.887,15.495,14.497,15.368,42156,0
15.537,15.537,14.798,14.953,15690,0
14.798,15.044,14.704,14.96,5530,0
14.895,15.463,14.895,15.311,53734,0
15.463,15.463,15.062,15.13,22071,0
15.34,15.495,15.169,15.495,5427,0
15.495,15.495,15.423,15.437,6175,0
15.495,15.537,15.347,15.516,6545,0
15.431,15.55,15.34,15.51,2493,0
15.55,15.831,15.479,15.766,54225,0
15.773,15.831,15.614,15.641,39414,0
15.712,15.719,15.606,15.654,23540,0
15.654,15.868,15.622,15.802,19056,0
15.654,15.719,15.622,15.634,9305,0
15.677,15.699,15.583,15.654,24423,0
15.902,16.286,15.137,15.311,86825,0
15.479,15.692,15.479,15.685,43127,0
15.529,16.269,15.529,16.117,50184,0
16.184,16.361,16.112,16.124,65782,0
16.112,16.888,16.112,16.571,82348,0
16.718,16.718,16.117,16.28,167090,0
16.263,16.263,16.112,16.184,13705,0
16.112,16.184,15.576,16.184,133090,0
15.993,16.184,15.972,16.043,22445,0
16.006,16.184,16.006,16.176,29189,0
16.184,16.197,16.073,16.184,14078,0
16.02,16.184,16.006,16.184,20460,0
16.02,16.176,15.986,16.112,81854,0
16.112,16.169,15.95,16.066,51211,0
16.08,16.112,15.979,16.036,11763,0
15.979,16.184,15.479,16.132,50078,0
16.043,16.184,15.795,16.139,39407,0
16.184,16.184,15.839,16.058,32506,0
15.817,16.184,15.817,16.184,22714,0
15.965,16.153,15.487,15.641,21597,0
15.727,16.124,15.641,16.112,158613,0
16.184,16.184,15.972,16.028,49548,0
16.006,16.08,15.247,15.614,100147,0
15.614,15.622,15.311,15.407,79540,0
15.479,15.846,15.479,15.742,37255,0
15.692,16.184,15.692,16.176,28997,0
16.014,16.211,15.916,16.145,78030,0
16.191,16.219,15.773,16.028,63382,0
16.036,16.184,16.036,16.184,43860,0
16.256,16.256,15.916,16.112,63637,0
16.073,16.184,15.999,16.08,32262,0
16.014,16.184,15.529,15.627,48623,0
15.529,16.036,15.275,15.523,58745,0
15.479,16.112,15.479,16.058,27391,0
16.006,16.184,15.979,16.153,24301,0
16.145,16.219,16.139,16.184,81265,0
16.176,16.394,16.028,16.394,32584,0
16.308,16.43,16.112,16.112,78191,0
16.1,16.1,15.802,15.929,30060,0
15.734,16.211,15.669,16.211,64512,0
16.219,16.219,16.006,16.132,9180,0
16.184,16.241,15.965,15.965,5667,0
15.831,15.831,15.523,15.529,32917,0
15.641,15.677,14.831,15.282,22575,0
15.451,15.479,15.318,15.479,14432,0
15.479,15.487,15.361,15.487,11329,0
15.516,15.787,15.383,15.537,34269,0
15.451,15.773,15.34,15.641,19735,0
15.445,15.451,15.038,15.311,17333,0
15.537,15.537,15.07,15.177,4049,0
15.275,15.353,14.389,14.798,63886,0
14.838,15.368,14.777,15.261,15496,0
15.101,16.275,14.902,16.275,34379,0
16.241,16.241,15.451,15.881,14379,0
15.591,16.286,15.576,16.184,29541,0
15.874,16.219,15.861,16.219,21800,0
16.256,16.256,15.874,16.043,15562,0
16.211,16.308,16.028,16.1,33548,0
16.184,16.184,15.773,15.881,19411,0
16.08,16.263,16.043,16.263,5501,0
16.45,16.85,16.184,16.534,12977,0
16.331,16.52,16.117,16.43,10474,0
16.457,16.534,16.388,16.534,10871,0
16.534,16.534,16.388,16.534,10107,0
15.761,17.274,15.761,16.888,81897,0
16.965,17.133,16.931,17.07,28064,0
16.937,17.098,16.85,16.944,26430,0
16.9,16.9,16.64,16.888,13284,0
16.64,17.026,16.634,16.951,20246,0
16.944,17.147,16.888,17.014,49563,0
16.896,16.896,16.256,16.373,27879,0
16.484,16.753,15.986,16.066,102169,0
16.073,16.286,16.073,16.124,26810,0
16.256,16.286,15.902,15.993,11311,0
16.263,16.315,16.066,16.169,14406,0
16.169,16.381,15.802,16.308,19115,0
16.373,16.506,16.315,16.506,119448,0
16.542,16.711,16.542,16.703,7314,0
16.711,16.711,16.64,16.66,9583,0
16.549,16.684,16.465,16.585,17343,0
16.711,16.711,16.117,16.184,13232,0
16.286,16.286,15.937,15.979,19357,0
16.219,16.43,15.282,15.503,32300,0
15.318,15.654,15.311,15.648,12860,0
15.654,15.846,15.627,15.654,24437,0
16.014,16.161,15.542,15.641,25005,0
15.654,15.654,15.289,15.415,17497,0
15.368,15.874,15.254,15.599,167665,0
15.407,15.571,15.353,15.397,20142,0
15.523,16.08,15.445,16.02,11639,0
15.986,16.534,15.614,16.006,72277,0
15.839,16.014,15.206,15.376,38696,0
15.303,15.55,15.268,15.431,20412,0
15.431,15.479,15.268,15.268,67519,0
15.107,15.332,15.107,15.241,26165,0
15.51,15.51,15.247,15.325,23740,0
15.303,15.34,15.247,15.311,20183,0
15.268,15.471,15.268,15.423,24648,0
15.423,15.471,15.268,15.318,4974,0
15.268,16.394,15.268,16.394,52475,0
16.388,16.741,16.308,16.741,43507,0
16.606,17.105,16.606,17.026,56624,0
16.795,16.872,16.606,16.808,19905,0
