Open,High,Low,Close,Volume,OpenInt
5.142,5.5178,5.142,5.4769,238689,0
5.4508,5.722,5.4209,5.7184,361463,0
5.5365,5.7556,5.5365,5.581,206227,0
5.5548,5.7819,5.5326,5.6441,227033,0
5.722,5.7628,5.4656,5.5848,318249,0
5.5774,5.581,5.4656,5.5436,99858,0
5.5028,5.5436,5.4136,5.5103,207332,0
5.4433,5.54,5.3726,5.4395,87712,0
5.3911,5.4656,5.2499,5.2647,156120,0
5.3094,5.3094,5.183,5.2536,92052,0
5.2423,5.462,5.2089,5.3317,192780,0
5.4508,5.499,5.1159,5.2089,291306,0
5.2349,5.2647,4.9968,5.1458,352093,0
5.1605,5.3874,5.1605,5.3502,708846,0
5.4284,5.6587,5.3354,5.5326,241416,0
5.6515,5.6515,5.4583,5.5698,292400,0
5.5921,5.5921,5.3652,5.4061,251207,0
5.4061,5.5066,5.2202,5.3317,211393,0
5.3132,5.4357,5.2723,5.3614,263852,0
5.4433,5.5436,5.3838,5.4357,98094,0
5.4136,5.4321,5.3167,5.4284,82732,0
5.3167,5.3874,5.2573,5.2647,140993,0
5.3056,5.4284,5.2423,5.3132,91689,0
5.261,5.2944,5.2238,5.2906,319734,0
5.3019,5.3019,5.1678,5.2723,196416,0
5.2386,5.3317,5.1159,5.2944,114328,0
5.2536,5.3019,5.2126,5.2685,141952,0
5.3465,5.4061,5.2499,5.2647,126454,0
5.2423,5.2983,5.1605,5.2758,243612,0
5.2423,5.2461,5.1567,5.1605,72997,0
5.1567,5.1567,4.9299,4.9745,275444,0
4.9485,5.131,4.9374,5.1045,253330,0
5.112,5.1384,5.0489,5.09,280397,0
5.1045,5.1346,4.8517,4.8517,484548,0
4.8852,4.8852,4.5131,4.584,246670,0
4.595,4.6286,4.4983,4.6136,329630,0
4.7699,4.781,4.6918,4.7624,1029259,0
4.781,4.8182,4.662,4.662,352858,0
4.8703,4.9708,4.7028,4.7921,651465,0
4.8368,4.9113,4.662,4.7736,341043,0
4.8517,4.956,4.7327,4.7662,211901,0
4.7512,4.8554,4.7512,4.8443,191234,0
4.8034,4.8034,4.7028,4.7586,446765,0
4.7327,4.8072,4.6694,4.6694,383108,0
4.662,4.7252,4.5765,4.714,347638,0
4.714,4.8257,4.5467,4.7103,380794,0
4.6507,4.7512,4.636,4.647,276911,0
4.647,4.7402,4.6173,4.6396,355747,0
4.6507,4.6991,4.6098,4.6433,280081,0
4.6507,4.7662,4.6433,4.6544,636786,0
4.6658,4.6991,4.6023,4.6658,214571,0
4.6286,4.662,4.5727,4.6323,170287,0
4.6433,4.6507,4.5652,4.6396,139055,0
4.5987,4.6507,4.4908,4.5579,224142,0
4.5579,4.6211,4.2676,4.3569,555131,0
4.3867,4.4501,4.3346,4.3867,511063,0
4.4016,4.4387,4.2751,4.3903,480694,0
4.4238,4.4684,4.2304,4.4311,1058223,0
4.4501,4.6658,4.4501,4.6507,398835,0
4.5727,4.7699,4.5727,4.7178,336240,0
4.7921,4.8592,4.7586,4.7586,119845,0
4.7438,4.7699,4.595,4.714,411263,0
4.647,4.8182,4.647,4.7178,342047,0
4.7215,4.8294,4.7215,4.796,98511,0
4.7773,4.8927,4.7773,4.8777,286148,0
4.8294,4.9039,4.8294,4.8628,190116,0
4.8628,4.9485,4.8628,4.9485,76549,0
4.9039,5.06,4.9001,5.06,170164,0
5.0414,5.0489,4.9149,4.9818,176651,0
4.926,5.0265,4.9113,4.9893,212463,0
5.0006,5.0377,4.941,4.9781,167256,0
4.9447,5.1083,4.941,5.0713,239999,0
5.112,5.1272,5.0192,5.0564,98109,0
5.0713,5.0713,4.8257,5.0229,148165,0
5.0118,5.0564,4.9374,5.0526,231138,0
5.0265,5.0637,4.9931,5.0564,138915,0
5.0118,5.0788,4.9671,5.0713,210345,0
5.075,5.112,5.075,5.1083,139636,0
5.0564,5.1529,5.0564,5.1458,379164,0
5.1384,5.1384,4.9596,4.9856,149957,0
4.9596,5.131,4.9596,5.0081,116248,0
5.0637,5.0637,4.9708,5.0637,60996,0
5.0674,5.0674,4.8852,4.9745,490036,0
4.9781,5.2349,4.9781,5.1792,800298,0
5.1716,5.1755,5.0154,5.131,135732,0
5.1458,5.2014,5.1045,5.1977,713882,0
5.1977,5.3019,5.183,5.3019,124561,0
5.3019,5.3019,5.183,5.2051,106784,0
5.2275,5.2723,5.1792,5.2573,180231,0
5.2202,5.3317,5.2089,5.3167,212142,0
5.3317,5.3614,5.2832,5.3132,129865,0
5.3205,5.369,5.2126,5.2983,113912,0
5.3465,5.5698,5.3243,5.5103,269093,0
5.5623,5.7706,5.54,5.7628,400198,0
5.752,5.7628,5.5252,5.5661,229564,0
5.5661,5.6851,5.499,5.6587,145027,0
5.7442,5.7628,5.5774,5.6587,205642,0
5.5848,5.6999,5.4656,5.6184,141549,0
5.6069,5.6219,5.4732,5.5178,89378,0
5.5548,5.5848,5.4136,5.5066,209220,0
5.4769,5.8041,5.4769,5.7112,208410,0
5.7035,6.1084,5.7035,6.009,491920,0
6.0761,6.348,6.0132,6.3103,541882,0
6.3594,6.39,6.0317,6.1048,227030,0
6.0761,6.209,5.9281,6.1312,207480,0
6.1312,6.1749,5.9533,6.1491,78621,0
6.1491,6.3253,6.1491,6.2875,180771,0
6.2875,6.3253,6.0833,6.2049,183819,0
6.2204,6.3253,6.209,6.3145,106137,0
6.269,6.3025,6.142,6.209,191228,0
6.2162,6.3558,6.209,6.3217,176139,0
6.3594,6.3594,6.1048,6.1491,180549,0
6.1348,6.2013,5.9712,5.9904,97157,0
6.0204,6.1384,6.0018,6.0833,117140,0
6.1012,6.1348,5.7933,5.9347,208226,0
5.9604,6.094,5.8155,5.891,84545,0
5.8526,6.091,5.8526,6.0132,54187,0
6.1384,6.1384,5.7706,6.009,165189,0
5.994,6.0689,5.8682,6.0395,323035,0
6.0204,6.0204,5.8005,5.8197,65783,0
5.7706,6.1126,5.7406,6.1048,166740,0
6.1048,6.2462,6.0239,6.1563,278065,0
6.2162,6.3217,6.1671,6.3145,296582,0
6.3145,6.3516,6.2162,6.224,191597,0
6.2462,6.3366,6.0653,6.1012,234420,0
6.0545,6.1126,5.9239,5.9826,145057,0
5.9904,6.091,5.9167,5.9976,134738,0
5.9826,6.009,5.8346,5.891,188053,0
5.8568,6.0467,5.8311,6.0239,176938,0
6.0239,6.0761,5.8604,6.0353,242228,0
6.0395,6.1012,5.8382,6.1012,168412,0
6.1012,6.2384,5.979,6.1941,251565,0
6.209,6.2126,6.1527,6.1899,65535,0
6.2013,6.2013,6.009,6.091,184685,0
6.0689,6.2126,6.0317,6.2126,104185,0
6.1713,6.2013,5.994,5.994,58125,0
5.9491,5.9862,5.864,5.9347,150203,0
5.9281,6.0239,5.8981,5.979,180175,0
5.9425,5.9425,5.7556,5.7664,203794,0
5.7628,6.0132,5.7628,5.9862,164236,0
5.9862,6.0353,5.8005,5.9347,59733,0
5.964,5.9826,5.7256,5.9569,259427,0
5.9383,6.0239,5.8526,5.9826,140057,0
6.0317,6.0353,5.8526,5.9862,179876,0
5.9203,5.979,5.8311,5.8311,171207,0
5.7706,5.9059,5.7556,5.8311,101355,0
5.8155,5.9347,5.7256,5.9311,131360,0
5.964,6.142,5.964,6.1084,85749,0
6.1126,6.1126,5.8526,5.979,206773,0
5.9712,6.0545,5.9533,6.0018,166619,0
6.0317,6.1749,5.9862,6.1713,215226,0
6.1635,6.2761,6.1635,6.2761,113792,0
6.2989,6.3145,6.1899,6.2013,125043,0
6.209,6.3786,6.209,6.2612,151264,0
6.2612,6.2989,6.0132,6.0509,245290,0
6.0467,6.224,5.9569,6.0018,164797,0
6.0689,6.0689,5.9461,5.979,114949,0
6.0168,6.0545,5.9125,5.9676,150063,0
6.009,6.0239,5.9347,5.9712,250604,0
5.9491,6.0168,5.9059,5.9281,305319,0
5.9533,5.9712,5.611,5.891,328103,0
5.964,6.0168,5.8454,5.9425,267615,0
5.7035,5.8568,5.6069,5.6772,292122,0
5.7112,5.891,5.5623,5.7628,207183,0
5.7292,5.9569,5.6552,5.9281,324767,0
5.9281,5.9281,5.7035,5.752,143568,0
5.9281,6.0395,5.9203,6.0168,353330,0
6.0467,6.5235,6.0395,6.5014,415722,0
6.5271,6.6098,6.4007,6.475,421582,0
6.5086,6.5122,6.2612,6.3253,252756,0
6.3516,6.3516,6.2348,6.3253,136510,0
6.3672,6.5739,6.3672,6.5601,137909,0
6.5876,6.7829,6.5709,6.5876,290452,0
6.5014,6.602,6.2384,6.4007,508185,0
6.3181,6.5379,6.3181,6.4415,302682,0
6.4864,6.6176,6.4415,6.5271,584642,0
6.4822,6.5769,6.4151,6.5086,135018,0
6.5601,6.6098,6.39,6.4265,230225,0
6.39,6.39,6.1749,6.3067,291213,0
6.3594,6.632,6.3295,6.632,393147,0
6.6469,6.7416,6.5601,6.7075,188128,0
6.7602,6.8698,6.7374,6.8285,87602,0
6.8914,6.8914,6.6811,6.7302,163419,0
6.7751,6.7829,6.5415,6.6356,143763,0
6.6697,6.6847,6.475,6.5122,144782,0
6.5451,6.7302,6.5451,6.6583,72508,0
6.768,6.768,6.5529,6.6134,156258,0
6.5379,6.7488,6.5307,6.6883,152689,0
6.6769,6.753,6.5912,6.753,156272,0
6.7907,6.9141,6.7602,6.8434,233532,0
6.8662,6.8662,6.6997,6.7302,74056,0
6.8057,6.8057,6.5337,6.5954,110980,0
