Open,High,Low,Close,Volume,OpenInt
1.5515,1.5903,1.5515,1.5644,25988,0
1.5709,1.5709,1.5451,1.5451,29391,0
1.5709,1.5774,1.5515,1.558,34495,0
1.5903,1.5903,1.5451,1.558,39291,0
1.5644,1.5709,1.5451,1.558,36816,0
1.558,1.5709,1.5451,1.5515,34805,0
1.5515,1.5515,1.5451,1.5515,9591,0
1.5451,1.5451,1.5321,1.5321,51666,0
1.5321,1.5451,1.5127,1.5451,21811,0
1.5127,1.5321,1.4869,1.5257,57389,0
1.5257,1.5257,1.4675,1.4804,34031,0
1.4739,1.5192,1.4675,1.5192,21656,0
1.5192,1.5321,1.4675,1.5321,15159,0
1.4869,1.5321,1.4675,1.5063,18872,0
1.5257,1.5257,1.4675,1.4675,19800,0
1.4675,1.5257,1.4675,1.4675,8663,0
1.4675,1.4869,1.2865,1.3188,78581,0
1.28,1.4804,1.28,1.4416,46716,0
1.4416,1.5515,1.4416,1.5063,103331,0
1.4869,1.5321,1.4416,1.5257,82913,0
1.4804,1.5063,1.4545,1.5063,56152,0
1.5063,1.5063,1.4545,1.4998,23977,0
1.4481,1.5451,1.4416,1.4869,44550,0
1.4675,1.5451,1.4545,1.4933,17789,0
1.4416,1.4933,1.4028,1.4675,36042,0
1.4481,1.4869,1.4352,1.4739,31866,0
1.5063,1.5063,1.4222,1.4416,25833,0
1.4028,1.4222,1.3382,1.4028,29236,0
1.4416,1.4545,1.4028,1.4416,40064,0
1.4352,1.4804,1.4158,1.461,20573,0
1.4416,1.4675,1.4352,1.4545,10673,0
1.4545,1.4869,1.4416,1.4675,5878,0
1.4481,1.4545,1.4093,1.4416,18563,0
1.4093,1.4675,1.4093,1.4352,9127,0
1.4222,1.4416,1.4028,1.4416,14850,0
1.4028,1.4158,1.3834,1.3964,36506,0
1.3576,1.4158,1.3576,1.4158,7270,0
1.3576,1.377,1.3511,1.3576,66206,0
1.364,1.3834,1.3382,1.3511,36042,0
1.3382,1.3382,1.3317,1.3317,12220,0
1.3253,1.3705,1.3188,1.3705,60483,0
1.3834,1.3964,1.28,1.2865,104569,0
1.2735,1.2929,1.2671,1.2735,115242,0
1.2606,1.2994,1.2218,1.2606,76416,0
1.2347,1.2735,1.2347,1.2477,15933,0
1.2735,1.2735,1.2347,1.2541,15623,0
1.2477,1.2735,1.2347,1.2735,61720,0
1.2541,1.2929,1.2541,1.2606,32639,0
1.2347,1.2735,1.196,1.2347,73013,0
1.2347,1.2347,1.099,1.1313,148809,0
1.1442,1.1442,1.0861,1.0861,153141,0
1.0925,1.1701,1.0925,1.1184,53213,0
1.1442,1.1507,1.0861,1.1055,110602,0
1.1442,1.1442,1.1055,1.1378,79355,0
1.1378,1.1378,1.0861,1.0861,53058,0
1.1055,1.1248,1.0861,1.1248,64969,0
1.1442,1.1442,1.0925,1.0925,9127,0
1.099,1.1313,1.0861,1.099,67753,0
1.099,1.1248,1.099,1.1248,26916,0
1.1119,1.1119,1.099,1.1055,27380,0
1.1055,1.1442,1.0925,1.1248,163969,0
1.1248,1.1248,1.099,1.1119,52903,0
1.1248,1.1442,1.1119,1.1442,51202,0
1.1442,1.1442,1.099,1.1119,102713,0
1.1119,1.1119,1.0861,1.099,167063,0
1.099,1.1184,1.0861,1.0925,34341,0
1.1248,1.1248,1.0731,1.0731,63267,0
1.0731,1.0925,0.9762,1.0925,115242,0
1.099,1.099,1.0667,1.0731,83377,0
1.0731,1.099,1.0731,1.0925,59864,0
1.099,1.1119,1.0473,1.0537,138600,0
1.0214,1.0537,1.0214,1.0214,91266,0
1.0537,1.0667,1.0408,1.0537,275034,0
1.0667,1.0667,1.0473,1.0537,51666,0
1.0537,1.1119,1.0408,1.1119,50892,0
1.1055,1.1701,1.1055,1.1313,107972,0
1.1442,1.2283,1.1442,1.2089,124214,0
1.196,1.2283,1.183,1.1895,260803,0
1.2024,1.2089,1.196,1.2089,18563,0
1.2089,1.2089,1.1766,1.1766,32639,0
1.1701,1.1701,1.1055,1.1184,34341,0
1.1119,1.1636,0.9697,1.0861,101939,0
1.0796,1.1442,1.0731,1.1119,48727,0
1.2347,1.2347,1.0667,1.0667,171548,0
1.099,1.1507,1.0214,1.1055,27844,0
1.1442,1.1895,1.1184,1.1701,19491,0
1.1442,1.183,1.1248,1.183,67598,0
1.183,1.2865,1.1184,1.183,186863,0
1.2089,1.2865,1.196,1.2477,141694,0
1.3576,1.4222,1.28,1.4028,227545,0
1.4028,1.4675,1.3964,1.4416,104414,0
1.4222,1.4287,1.28,1.4158,174023,0
1.4739,1.4739,1.3834,1.4222,109055,0
1.4222,1.4416,1.3705,1.3834,238528,0
1.3834,1.3834,1.2994,1.377,69764,0
1.377,1.3899,1.3382,1.3899,48263,0
1.4028,1.4028,1.3705,1.3899,41147,0
1.364,1.3899,1.364,1.3899,12684,0
1.3705,1.4093,1.3705,1.4028,22430,0
1.4222,1.4675,1.4028,1.4093,112148,0
1.4416,1.4739,1.3188,1.4675,106734,0
1.4739,1.4739,1.4158,1.4158,65897,0
1.4222,1.461,1.4028,1.4545,41611,0
1.4416,1.4804,1.4352,1.4804,68527,0
1.4804,1.5515,1.4545,1.4804,109055,0
1.5192,1.5386,1.4869,1.4869,48572,0
1.4416,1.4869,1.4093,1.4222,164742,0
1.4093,1.4675,1.4028,1.4416,24131,0
1.4416,1.4675,1.4222,1.4287,63577,0
1.4093,1.4545,1.4028,1.4222,84150,0
1.4222,1.4481,1.3834,1.4352,35114,0
1.3834,1.4416,1.3834,1.4416,51511,0
1.3834,1.4222,1.3834,1.4158,9436,0
1.4158,1.4158,1.3834,1.3899,23977,0
1.3899,1.3964,1.3834,1.3834,56770,0
1.3834,1.3834,1.3253,1.3446,120347,0
1.3446,1.3964,1.3446,1.3964,56306,0
1.3834,1.4028,1.3834,1.3964,70847,0
1.4028,1.4222,1.3899,1.3964,61411,0
1.3576,1.4287,1.3446,1.4093,79355,0
1.4028,1.4093,1.3834,1.3899,23977,0
1.364,1.4093,1.364,1.4028,51975,0
1.4028,1.4028,1.3899,1.3899,10983,0
1.4675,1.6937,1.4416,1.6549,576830,0
1.4869,1.5709,1.4869,1.5515,154378,0
1.5709,1.5903,1.5386,1.5451,107508,0
1.5515,1.5515,1.5321,1.5386,59555,0
1.5386,1.5515,1.5063,1.5063,63731,0
1.5063,1.5515,1.5063,1.5386,12375,0
1.5192,1.5321,1.4545,1.461,40219,0
1.4545,1.4869,1.4545,1.4675,19645,0
1.461,1.4675,1.4352,1.4545,63422,0
1.4352,1.4545,1.4352,1.4416,15005,0
1.4416,1.461,1.4158,1.4352,32175,0
1.4222,1.4675,1.4222,1.4675,52903,0
1.4675,1.4675,1.4222,1.4416,12220,0
1.4222,1.4416,1.4158,1.4416,18872,0
1.4222,1.5903,1.4158,1.4869,59245,0
1.4287,1.5709,1.4222,1.5321,51202,0
1.5257,1.5709,1.4675,1.5257,44241,0
1.5709,1.6162,1.5321,1.6162,46716,0
1.6162,1.6162,1.5386,1.5774,38981,0
1.5774,1.5774,1.461,1.5127,40992,0
1.4675,1.5321,1.4675,1.5063,17944,0
1.4675,1.4675,1.4222,1.4416,51356,0
1.4416,1.5515,1.4287,1.4869,41611,0
1.4675,1.4869,1.4287,1.4869,49191,0
1.4416,1.4481,1.4093,1.4352,27998,0
1.4352,1.4804,1.4352,1.4416,9436,0
1.4352,1.4804,1.4093,1.4545,19336,0
1.4287,1.4869,1.4287,1.4869,26297,0
1.461,1.4869,1.4545,1.4869,11911,0
1.4545,1.4804,1.4545,1.4675,113695,0
1.4416,1.4739,1.4287,1.4545,26761,0
1.4416,1.4675,1.4222,1.4416,34186,0
1.4675,1.4739,1.4222,1.4352,25523,0
1.4804,1.4804,1.4352,1.4416,23513,0
1.4416,1.4804,1.4416,1.4416,30628,0
1.4804,1.4804,1.4416,1.4675,5414,0
1.4675,1.4675,1.4287,1.4545,14231,0
1.4287,1.4287,1.4222,1.4222,15314,0
1.4093,1.4352,1.4093,1.4093,26916,0
1.4675,1.4675,1.4158,1.4352,25369,0
1.4804,1.4804,1.4093,1.4416,21811,0
1.4416,1.4481,1.4028,1.4028,17170,0
1.4416,1.4804,1.4028,1.4352,13613,0
1.4481,1.4545,1.4416,1.4481,10209,0
1.4675,1.4804,1.4028,1.4545,31866,0
1.4545,1.4545,1.3964,1.4093,2475,0
1.3964,1.4222,1.3964,1.4222,5569,0
1.4222,1.4222,1.3964,1.4028,13767,0
1.3964,1.4675,1.3964,1.4222,17480,0
1.4804,1.4804,1.4222,1.4222,31556,0
1.4416,1.4416,1.4028,1.4352,67289,0
1.3964,1.4416,1.3964,1.4416,13922,0
1.4093,1.4869,1.4093,1.4287,36816,0
