Open,High,Low,Close,Volume,OpenInt
70.81,71.88,69.89,71.66,240935,0
71.36,73.21,70.22,70.72,417216,0
71.27,72.59,70.42,71.75,427439,0
71.57,71.94,68.7,69.5,648807,0
69.85,70.63,69.11,70.3,400402,0
70.89,71.49,69.97,70.28,252638,0
70.25,71.44,69.75,70.35,345609,0
70.31,70.5,67.87,68.26,267261,0
68.4,68.69,67.09,67.09,271004,0
67.58,67.58,65.42,66.14,437743,0
66.21,66.21,64.29,64.89,470717,0
67.46,71.14,67.42,70.83,1206702,0
71.13,73.7,70.26,70.83,662252,0
61.3,64.7,59.17,60.99,4182886,0
61.08,62.0,57.09,57.74,1805874,0
61.49,61.84,60.05,60.07,1558055,0
60.14,60.57,58.81,59.49,529704,0
59.4,60.0,58.25,58.44,249380,0
58.18,59.55,57.77,58.45,376307,0
59.09,60.67,58.6,59.35,339763,0
59.35,60.48,59.25,59.6,300240,0
59.62,61.12,55.14,55.67,1504993,0
56.15,56.25,53.45,54.97,1824217,0
55.11,55.33,53.98,54.27,364487,0
54.41,56.0,54.41,55.27,600939,0
54.88,57.45,54.51,57.0,490527,0
56.69,56.91,54.75,54.91,441119,0
55.32,56.98,54.95,55.08,314321,0
55.35,56.16,55.03,55.86,158145,0
55.89,56.8,55.25,55.39,216286,0
55.95,56.12,55.4,56.01,242803,0
55.94,56.07,54.52,55.47,544669,0
55.93,55.95,54.09,54.22,299481,0
55.99,56.38,53.23,55.78,860736,0
55.7,55.85,54.03,54.16,589329,0
53.95,55.08,52.51,52.77,680848,0
52.92,54.55,52.75,54.19,379257,0
54.61,57.71,54.16,55.6,718682,0
56.16,57.33,55.0,56.19,609234,0
55.93,56.37,54.1,54.5,375900,0
54.72,56.69,54.57,56.46,445516,0
58.75,59.95,56.2,57.0,892334,0
57.13,57.33,55.26,55.95,471585,0
58.55,58.55,56.25,57.0,1350281,0
47.41,48.24,43.2,43.48,5317529,0
44.84,46.85,43.69,46.6,2863955,0
46.16,47.99,46.16,47.64,935491,0
48.11,49.5,47.75,48.75,883474,0
49.1,49.39,47.3,47.79,641056,0
48.2,48.73,47.03,47.77,479425,0
47.76,48.03,46.8,48.03,666968,0
47.81,48.45,47.0,48.16,529871,0
48.92,50.3,48.78,49.91,714945,0
50.0,51.25,49.06,50.56,634194,0
49.71,51.22,49.1,50.87,962275,0
50.69,52.11,50.65,51.9,667164,0
51.98,52.42,51.16,52.13,487562,0
52.28,53.49,51.77,53.12,376920,0
53.5,53.69,52.77,53.35,380573,0
53.35,53.59,52.76,53.07,405949,0
53.39,55.27,52.85,54.57,583246,0
54.93,56.84,54.45,55.87,550725,0
56.19,56.19,54.16,54.94,354744,0
55.0,55.79,54.78,55.29,224141,0
55.09,55.7,54.9,55.28,204333,0
55.3,55.75,54.75,55.67,367167,0
55.75,56.11,54.84,55.67,372118,0
55.7,55.7,55.14,55.49,410357,0
55.03,55.42,51.6,51.83,1209776,0
51.6,52.77,50.07,52.6,717329,0
51.2,52.78,50.65,51.11,493511,0
51.0,51.92,50.65,51.11,203000,0
51.27,52.25,50.72,51.79,142461,0
51.94,52.49,51.2,51.69,162464,0
51.45,52.08,51.2,51.76,148870,0
51.86,52.09,51.28,51.77,154290,0
51.64,52.16,50.74,52.0,236429,0
52.12,52.12,51.42,51.71,138383,0
50.46,51.51,49.5,50.4,424480,0
50.3,51.46,50.3,51.21,280022,0
51.53,52.5,51.1,52.21,211393,0
52.53,53.16,51.69,52.75,247857,0
54.36,55.35,53.77,54.06,620220,0
54.33,54.7,52.56,52.89,676680,0
53.11,53.11,51.73,52.19,262195,0
52.01,53.54,52.01,52.89,212732,0
53.29,53.67,52.84,53.03,142764,0
53.43,53.95,52.91,53.04,195656,0
53.57,54.01,53.0,54.0,184773,0
53.85,54.69,53.34,54.31,242007,0
54.46,55.0,54.21,54.21,136800,0
54.0,55.57,53.75,55.5,236497,0
55.17,59.04,55.17,58.15,717616,0
58.03,60.19,58.01,58.72,556770,0
59.26,59.26,57.75,58.23,352977,0
58.03,58.36,57.46,58.02,239356,0
59.1,65.0,59.1,64.04,1406454,0
64.73,68.08,63.68,67.82,1366176,0
66.84,67.92,66.5,67.22,861014,0
67.56,70.05,66.75,70.0,863117,0
69.37,71.15,68.93,70.33,453639,0
70.48,70.55,69.13,69.25,369160,0
68.97,68.97,66.08,67.8,658851,0
67.99,69.96,67.9,68.75,614703,0
68.89,70.5,68.89,69.6,559200,0
67.36,67.36,65.31,65.5,764629,0
65.57,66.94,65.06,66.18,646113,0
76.05,80.35,75.6,77.15,4969915,0
77.76,79.11,75.28,78.25,1023063,0
78.15,79.89,77.56,78.21,605332,0
77.74,78.74,76.42,76.45,561480,0
76.34,77.0,75.17,75.37,336689,0
75.0,75.75,72.66,73.39,464251,0
74.11,74.76,72.3,72.66,362521,0
73.35,74.3,72.52,73.36,291252,0
75.5,76.89,74.67,75.11,785029,0
75.52,77.75,75.15,77.13,532039,0
77.2,77.2,75.92,76.32,331892,0
76.7,82.05,76.34,81.4,1281539,0
79.76,80.13,75.76,76.4,1134690,0
77.2,77.95,76.3,77.34,346164,0
77.0,77.4,75.99,76.15,305447,0
76.48,77.08,75.06,75.42,364903,0
75.8,77.93,75.12,77.68,565075,0
77.4,78.35,76.25,76.7,354393,0
76.47,78.0,75.46,75.69,330479,0
76.26,76.42,73.47,73.99,501682,0
73.81,74.43,73.29,74.1,343099,0
74.15,75.77,73.25,75.48,292694,0
75.56,75.83,74.91,75.4,252662,0
75.1,77.0,75.1,77.0,313473,0
77.2,77.82,76.11,76.2,246680,0
76.49,76.8,75.27,76.07,178158,0
76.2,78.18,76.18,78.0,400164,0
78.18,78.65,75.81,76.14,574793,0
75.7,76.0,74.66,74.78,425646,0
75.0,75.7,74.99,75.4,333148,0
75.3,76.0,74.23,74.37,274014,0
74.22,74.65,73.08,73.73,337270,0
73.8,75.8,73.73,74.23,422119,0
74.45,74.67,72.72,72.89,354902,0
73.45,73.74,72.99,73.21,308504,0
70.55,71.2,68.09,68.35,1027141,0
68.78,70.48,68.16,69.23,556210,0
68.8,69.03,67.53,67.78,322972,0
68.08,68.08,64.39,67.08,421495,0
66.93,69.23,66.49,69.05,297757,0
69.4,70.0,68.27,68.97,321008,0
68.48,69.5,68.06,68.73,220487,0
68.94,69.58,68.25,68.61,177465,0
68.6,70.7,68.14,70.17,346519,0
69.66,70.67,69.5,70.29,171508,0
70.8,71.9,69.72,71.23,300075,0
71.53,71.99,69.38,69.61,306767,0
69.93,71.0,68.64,69.43,393559,0
66.61,68.18,64.66,66.21,933828,0
66.71,67.62,65.92,67.44,291280,0
67.63,68.05,66.64,67.08,180825,0
67.38,68.0,66.85,67.0,232350,0
66.7,67.57,65.44,67.33,443174,0
67.59,68.36,66.5,68.21,243751,0
68.6,69.36,67.99,68.85,301829,0
69.0,69.53,68.43,69.52,175485,0
69.62,70.35,69.35,69.36,209292,0
69.51,70.23,68.06,70.22,254114,0
70.22,71.18,69.8,70.48,253010,0
71.01,72.69,70.86,72.38,438507,0
73.14,75.13,72.77,75.13,412011,0
75.17,75.4,73.61,75.24,335340,0
75.34,76.3,74.8,75.19,247025,0
75.0,75.5,73.18,74.58,786933,0
67.36,69.88,65.7,67.56,1549192,0
69.0,71.65,68.43,70.9,726097,0
70.37,72.14,70.37,70.9,425154,0
70.53,72.9,70.4,72.8,430326,0
72.87,74.47,72.87,73.54,300978,0
73.1,73.61,72.78,73.4,211583,0
73.0,73.53,72.49,73.08,160162,0
72.72,73.24,72.2,72.5,266288,0
72.23,72.61,71.65,72.31,187927,0
73.0,74.85,72.65,74.2,333506,0
74.92,77.5,74.87,77.4,449141,0
77.75,78.98,77.2,78.46,381717,0
78.23,78.74,76.71,76.98,198714,0
77.3,77.3,75.63,76.41,185919,0
76.3,77.95,76.04,77.45,287836,0
78.05,79.36,77.66,78.2,268684,0
78.09,78.4,77.29,78.1,144982,0
78.03,78.74,77.07,77.28,210080,0
77.08,78.1,77.08,77.49,159969,0
77.19,77.85,77.02,77.37,41734,0
77.62,77.9,74.62,74.64,240895,0
74.75,75.44,74.75,74.97,239474,0
74.8,75.38,73.87,73.87,346923,0
74.0,75.97,74.0,75.62,226400,0
75.6,75.6,74.28,74.7,228032,0
74.25,74.51,72.51,73.19,275552,0
73.98,76.24,73.56,75.0,544737,0
75.33,76.76,75.01,76.49,291923,0
76.23,77.41,75.77,76.35,202748,0
