Open,High,Low,Close,Volume,OpenInt
8.7303,9.619,8.6212,9.529,726044,0
9.529,9.719,9.3737,9.565,439654,0
9.719,9.866,9.2646,9.639,275557,0
9.519,10.144,9.3737,9.857,528945,0
9.892,10.246,9.619,9.774,481117,0
9.765,9.882,9.585,9.709,251217,0
10.236,10.236,9.857,9.917,1090442,0
9.892,10.119,9.619,9.709,583253,0
9.592,9.673,9.3008,9.3648,618365,0
9.3471,9.519,9.1202,9.2215,270779,0
9.1383,9.4025,9.0295,9.3372,548887,0
9.529,9.575,9.1105,9.4825,544664,0
9.592,9.936,9.565,9.774,1180803,0
9.755,9.982,9.619,9.954,264522,0
9.973,10.111,9.746,10.047,282521,0
10.047,10.363,9.992,10.31,469889,0
10.21,10.763,10.028,10.418,829982,0
10.427,10.427,9.946,10.028,490613,0
10.075,10.075,9.719,9.811,239979,0
9.973,10.21,9.801,10.075,358186,0
9.963,10.246,9.801,10.119,298771,0
10.075,10.075,9.882,9.926,381641,0
10.009,10.047,9.639,9.746,334927,0
9.801,9.982,9.629,9.709,457717,0
9.963,9.963,9.3372,9.4905,626300,0
9.4213,9.849,9.4025,9.755,331585,0
9.575,9.839,9.575,9.738,222916,0
9.899,10.0,9.69,9.783,184801,0
9.829,9.954,9.709,9.866,90638,0
9.774,10.0,9.774,9.882,183770,0
9.982,10.009,9.3925,9.556,144114,0
9.4123,9.874,9.4123,9.738,226977,0
9.783,9.811,9.529,9.639,198731,0
9.639,9.801,9.529,9.575,326913,0
9.3008,9.801,8.9026,9.4905,1183565,0
9.4825,9.892,9.4213,9.657,551192,0
9.665,9.849,9.665,9.829,372906,0
9.849,9.936,9.3925,9.4401,320912,0
9.4825,9.982,9.0747,9.665,1526062,0
10.065,12.841,10.057,12.188,8409435,0
12.06,13.36,12.034,13.14,3310842,0
12.996,13.222,12.595,12.785,2272773,0
12.66,13.43,12.297,13.077,928329,0
13.159,13.796,13.159,13.613,1380303,0
13.36,14.064,13.36,13.604,802233,0
13.613,13.796,13.43,13.604,676076,0
13.613,14.047,13.43,13.578,1030684,0
13.658,13.758,13.477,13.749,321570,0
13.822,14.022,13.587,13.884,348394,0
13.902,14.556,13.631,14.413,605330,0
14.519,14.565,14.111,14.311,408380,0
14.319,14.384,13.341,13.613,1426881,0
13.7,13.7,13.35,13.54,344703,0
13.369,13.468,13.096,13.175,778296,0
13.15,13.377,13.086,13.194,651832,0
13.159,13.411,13.033,13.159,520976,0
13.159,13.569,13.067,13.42,614983,0
13.477,13.921,13.477,13.54,1047135,0
13.54,14.022,13.54,13.884,739682,0
13.822,15.239,13.822,14.646,1791386,0
14.665,14.819,14.366,14.602,915970,0
14.529,15.063,14.482,14.965,882079,0
14.882,15.3,14.846,15.019,765477,0
15.101,15.844,14.992,15.728,1230132,0
15.654,15.79,15.555,15.59,524133,0
15.645,15.719,15.363,15.572,591227,0
15.539,15.607,15.437,15.563,651467,0
15.645,15.773,15.555,15.754,580599,0
16.353,16.697,16.108,16.318,1482136,0
16.28,16.771,16.236,16.471,883583,0
16.697,16.941,16.426,16.697,970995,0
16.87,16.914,16.471,16.819,579033,0
16.79,17.271,16.653,17.242,665878,0
17.443,17.469,17.097,17.45,793344,0
17.469,17.698,17.332,17.631,688388,0
17.689,17.689,17.089,17.478,1074094,0
17.342,17.469,17.151,17.242,1139314,0
17.151,17.332,16.706,17.142,639590,0
17.233,17.242,16.461,16.752,724743,0
16.734,17.242,16.734,17.097,767973,0
17.063,17.097,16.706,16.861,808854,0
17.097,17.151,16.618,16.781,692134,0
16.959,16.959,16.108,16.208,1293999,0
16.335,17.332,16.325,16.932,5561493,0
16.924,17.968,16.914,17.724,1722106,0
17.849,17.924,17.187,17.233,1069416,0
17.498,18.15,17.233,17.724,1422687,0
17.786,17.868,16.853,17.117,939444,0
17.117,17.514,17.063,17.514,535715,0
17.514,17.56,17.206,17.323,466373,0
17.426,17.968,17.242,17.951,902031,0
17.698,17.978,17.56,17.914,677374,0
17.924,17.934,17.604,17.769,721334,0
17.849,18.15,17.698,18.095,1835373,0
17.942,18.74,17.934,18.476,984410,0
18.495,18.912,18.277,18.656,708506,0
18.939,19.205,18.648,18.92,736141,0
18.622,19.197,18.605,19.197,1124555,0
19.282,19.282,18.122,18.241,1511310,0
18.358,18.587,18.15,18.168,705591,0
18.103,18.231,17.878,18.087,633558,0
18.05,18.095,17.315,17.689,1020671,0
17.732,17.796,17.196,17.29,699820,0
17.298,18.341,17.298,18.014,764339,0
18.014,18.395,17.878,18.377,665198,0
18.395,18.413,18.159,18.395,351903,0
18.495,19.014,18.422,19.014,432452,0
20.084,21.007,19.927,20.558,2696151,0
20.645,20.864,20.501,20.601,715830,0
20.645,20.872,20.538,20.663,608405,0
20.747,21.053,20.52,20.919,696204,0
21.191,21.915,20.645,20.809,937417,0
20.51,20.673,20.047,20.247,742487,0
19.857,20.001,19.611,19.918,523704,0
19.965,20.191,19.918,20.057,518081,0
20.321,20.69,19.918,20.237,901913,0
20.756,21.389,20.329,20.98,1104898,0
20.891,21.363,20.818,21.171,730017,0
21.252,21.252,20.737,20.864,651562,0
20.809,20.872,20.173,20.191,1115087,0
20.057,20.601,20.011,20.382,790446,0
20.374,20.374,19.558,19.918,792155,0
19.812,20.682,19.812,20.51,553065,0
20.611,20.854,20.418,20.601,274108,0
20.611,20.756,20.2,20.582,382370,0
20.566,21.327,20.491,20.998,463598,0
21.261,21.327,20.645,20.891,252734,0
20.91,20.955,20.51,20.882,315493,0
20.747,20.763,20.057,20.763,508102,0
20.781,21.091,20.418,20.98,311026,0
21.053,22.233,20.558,21.327,483509,0
21.453,21.871,21.081,21.817,634390,0
