Open,High,Low,Close,Volume,OpenInt
17.137,17.545,17.137,17.545,48344,0
17.545,17.545,17.256,17.292,71877,0
17.362,17.705,17.32,17.586,85000,0
17.508,17.65,17.453,17.515,45776,0
17.495,17.656,17.495,17.524,91559,0
17.641,18.032,17.508,18.007,93269,0
18.07,18.3,17.937,17.962,59182,0
17.971,18.063,17.868,18.029,113519,0
17.959,17.999,17.686,17.726,120507,0
17.761,17.812,17.572,17.616,84712,0
17.65,17.65,17.453,17.462,55192,0
17.473,17.82,17.462,17.774,44069,0
17.705,18.007,17.398,17.473,58331,0
17.473,17.627,17.312,17.362,64318,0
17.383,17.545,17.376,17.488,85425,0
17.551,17.622,17.32,17.439,157445,0
17.376,17.664,17.306,17.65,123075,0
17.524,17.767,17.341,17.347,47919,0
17.32,17.572,17.27,17.306,75584,0
17.376,17.545,17.306,17.312,42496,0
17.404,17.524,17.073,17.172,130346,0
16.849,17.073,16.773,16.834,725470,0
16.9,17.221,16.9,17.208,70023,0
17.27,17.417,17.165,17.292,80719,0
17.376,17.425,16.822,16.849,126072,0
16.911,17.27,16.808,17.104,53050,0
17.131,17.264,17.04,17.264,35511,0
17.312,17.383,16.982,17.123,122787,0
17.131,17.172,16.976,17.073,104677,0
17.11,17.137,16.865,16.982,102968,0
16.976,16.989,16.795,16.871,83714,0
16.871,17.362,16.673,17.362,81146,0
17.292,17.481,17.292,17.481,98544,0
17.439,17.439,16.957,16.957,83428,0
16.963,17.165,16.795,16.827,58899,0
16.827,17.208,16.781,17.123,47632,0
17.073,17.425,17.003,17.417,65743,0
17.417,17.417,17.096,17.187,90130,0
17.284,17.473,17.131,17.306,93838,0
17.376,17.376,16.995,17.299,89989,0
17.341,17.538,17.208,17.515,101399,0
17.473,17.593,17.398,17.473,75014,0
17.473,17.641,17.43,17.508,50342,0
17.572,17.601,17.404,17.473,57615,0
17.473,17.578,17.306,17.439,147889,0
17.27,17.572,17.27,17.572,57902,0
17.508,17.836,17.473,17.826,59182,0
17.959,18.105,17.913,18.049,48199,0
18.07,18.175,17.937,17.962,68168,0
17.971,18.07,17.836,17.836,48916,0
17.874,18.063,17.874,17.937,102682,0
18.007,18.07,17.711,17.959,132203,0
18.041,18.141,17.641,17.908,77869,0
17.971,18.022,17.383,17.41,85000,0
17.383,17.508,17.172,17.215,141899,0
17.215,17.439,17.137,17.362,122652,0
17.376,17.601,17.193,17.601,69738,0
17.601,17.797,17.501,17.797,85852,0
17.852,17.922,17.726,17.836,54052,0
17.908,18.063,17.734,18.063,68736,0
18.041,18.041,17.748,17.908,157586,0
17.836,17.908,17.705,17.797,41071,0
17.734,17.761,17.473,17.473,79578,0
17.508,17.756,17.501,17.601,50485,0
17.664,17.782,17.608,17.705,31804,0
17.774,17.971,17.726,17.756,112949,0
17.82,18.141,17.782,18.141,80719,0
18.119,18.261,18.041,18.166,56761,0
18.105,18.28,17.908,17.979,44927,0
17.908,18.434,17.908,18.407,90561,0
18.505,18.693,18.463,18.519,63036,0
18.567,18.603,18.253,18.323,92270,0
18.261,18.427,18.077,18.427,35651,0
18.371,18.47,18.261,18.337,26245,0
18.203,18.42,18.16,18.42,65177,0
18.371,18.763,18.273,18.763,61607,0
18.77,18.828,18.526,18.822,71022,0
18.759,19.072,18.673,19.072,54909,0
19.234,19.234,18.968,18.968,128924,0
18.96,19.267,18.96,19.234,63605,0
19.206,19.227,18.841,18.931,49915,0
19.222,19.222,18.813,18.918,58899,0
18.822,18.938,18.434,18.567,85283,0
18.638,18.638,18.323,18.35,171848,0
18.434,18.673,18.323,18.673,96979,0
18.519,18.799,18.414,18.799,1062750,0
18.778,18.913,18.638,18.835,107530,0
18.806,18.913,18.638,18.686,74873,0
18.737,18.952,18.645,18.945,62180,0
18.883,19.151,18.778,19.13,118797,0
19.054,19.227,19.054,19.115,115370,0
19.038,19.382,19.038,19.312,97547,0
19.306,19.802,19.241,19.648,148032,0
19.684,19.97,19.668,19.956,115229,0
19.95,19.97,19.634,19.942,64606,0
19.9,19.962,19.622,19.684,54909,0
19.415,19.569,19.213,19.276,116370,0
19.155,19.306,19.047,19.253,56761,0
19.292,19.325,19.022,19.151,61750,0
19.151,19.382,19.067,19.382,41071,0
19.337,19.935,19.163,19.935,99115,0
19.9,19.962,19.528,19.584,151884,0
19.648,19.935,19.648,19.935,68736,0
19.928,20.005,19.768,19.878,108386,0
19.915,20.048,19.872,19.97,71877,0
20.013,20.132,19.9,20.111,73021,0
20.111,20.469,20.04,20.469,127496,0
20.432,20.539,20.301,20.482,109814,0
20.412,20.539,20.308,20.342,77296,0
20.301,20.565,20.242,20.565,89989,0
