Open,High,Low,Close,Volume,OpenInt
15.852,16.129,15.832,16.014,119217,0
15.822,16.36,15.812,16.224,393765,0
16.38,16.464,16.253,16.464,232226,0
16.493,16.963,16.272,16.751,510644,0
16.818,16.828,16.58,16.666,615853,0
16.59,16.761,16.483,16.751,523307,0
16.464,16.639,16.139,16.224,318065,0
16.093,16.513,16.034,16.448,673283,0
16.34,16.521,16.044,16.224,174466,0
16.224,16.321,16.054,16.214,219443,0
16.38,16.428,16.224,16.311,174403,0
16.272,16.34,16.167,16.195,331368,0
16.113,16.418,16.113,16.272,428746,0
16.129,16.448,16.103,16.253,420758,0
16.311,16.818,16.301,16.791,367910,0
16.877,16.992,16.493,16.609,150187,0
16.408,16.724,15.986,16.37,281607,0
16.34,16.53,16.253,16.262,457449,0
16.243,16.243,16.005,16.014,195088,0
16.014,16.014,15.603,15.707,327036,0
15.698,15.986,15.612,15.812,118839,0
15.938,16.253,15.899,16.014,227528,0
16.005,16.005,15.832,15.899,724619,0
15.802,15.802,15.171,15.439,365528,0
15.372,15.575,15.189,15.297,131903,0
14.941,15.132,14.299,14.654,855154,0
14.72,15.546,14.72,15.189,684619,0
15.218,15.698,15.218,15.507,195211,0
15.725,15.784,15.585,15.725,149475,0
15.812,15.812,15.536,15.593,78113,0
15.678,15.707,15.218,15.333,112543,0
16.619,17.365,16.243,17.24,2416736,0
17.402,17.835,16.915,16.943,906314,0
17.079,17.442,16.724,16.943,400715,0
16.858,16.943,16.666,16.676,148137,0
16.877,16.877,16.685,16.771,112029,0
17.165,17.25,16.973,17.147,140108,0
17.079,17.346,17.079,17.24,337168,0
17.394,17.863,17.394,17.767,247544,0
17.71,17.787,17.422,17.49,128756,0
17.729,17.729,17.402,17.616,138724,0
17.729,17.729,17.147,17.184,135982,0
17.23,17.23,16.705,17.079,258507,0
16.896,16.992,16.781,16.925,88705,0
17.011,17.011,16.732,16.858,114675,0
17.118,17.384,17.06,17.346,182406,0
17.356,17.356,17.118,17.212,213856,0
17.683,18.517,17.538,18.392,549412,0
18.536,18.689,18.293,18.641,463822,0
18.429,18.689,18.372,18.622,248352,0
18.362,18.507,17.969,18.2,359359,0
18.086,18.429,18.037,18.352,376164,0
