Open,High,Low,Close,Volume,OpenInt
7.8891,7.9371,7.721,7.825,27804,0
7.2084,7.6569,6.7437,7.6249,162083,0
7.5928,7.7689,7.5928,7.7449,51271,0
7.5446,7.865,7.5446,7.8169,57910,0
7.5286,7.7608,7.048,7.6087,72888,0
7.6889,7.9131,7.6808,7.7689,77136,0
7.833,7.8812,7.7449,7.8091,19262,0
7.7048,7.8812,7.7048,7.8812,8291,0
7.9052,7.9052,7.7528,7.8891,24602,0
7.6969,7.8891,7.6969,7.8169,41285,0
7.7689,7.873,7.7689,7.8411,25295,0
7.9131,7.9771,7.865,7.9131,127814,0
7.961,7.961,7.825,7.849,37474,0
7.793,7.9371,7.793,7.8411,15671,0
7.793,8.0093,7.793,7.9371,20283,0
8.0093,8.4738,7.9131,8.3696,199314,0
8.2014,8.5939,8.1614,8.5058,105054,0
8.658,8.7381,8.3696,8.4738,48747,0
8.4897,8.4977,7.6488,8.2255,89194,0
8.057,8.2496,8.057,8.2014,24771,0
8.3055,8.6901,8.2014,8.658,104247,0
8.6739,8.7381,8.4977,8.5297,114851,0
8.3936,8.578,8.3696,8.5457,22710,0
8.6179,8.7381,8.5537,8.7381,37171,0
8.7861,8.9784,8.4657,8.698,38397,0
8.7139,8.9623,8.5457,8.8022,93604,0
8.9623,9.0745,8.8501,9.0745,86826,0
9.1064,9.1064,8.5457,8.6498,71592,0
8.8181,8.9463,8.698,8.8902,38294,0
8.9541,8.9784,8.7941,8.8341,10831,0
8.8663,9.1706,8.8582,8.9864,54197,0
9.0504,9.1865,8.5457,8.8582,168672,0
8.8663,9.1706,8.7301,8.7381,46091,0
8.7459,8.7459,7.1843,8.0653,300456,0
7.5446,8.057,7.4085,7.5446,267009,0
7.5206,7.961,7.4005,7.6488,104260,0
7.833,7.9771,7.4966,7.7449,32791,0
7.7689,8.0492,7.7689,7.9371,54964,0
7.9771,7.9771,7.7689,7.9371,30266,0
7.9771,7.9771,7.6488,7.7689,52031,0
7.9851,8.0733,7.721,7.9371,17395,0
8.1293,8.2816,8.1053,8.1373,49096,0
8.2735,8.2976,8.1454,8.2174,27839,0
8.2735,8.2735,8.2255,8.2496,23634,0
8.2976,8.2976,8.0332,8.0332,28459,0
8.0093,8.1373,7.8812,7.9851,81228,0
8.1053,8.4977,7.9692,8.2976,116810,0
8.4336,8.4336,7.6729,7.7449,107860,0
7.6729,7.721,7.2884,7.5206,98875,0
7.3526,7.5206,7.1602,7.5206,119400,0
7.5608,7.5928,7.2322,7.4966,145163,0
7.3526,7.4245,7.2084,7.4005,46683,0
7.3685,7.4005,7.2722,7.3125,26721,0
7.3765,8.0414,7.3765,7.8011,71071,0
8.0172,8.0733,7.8169,7.8169,36007,0
8.0653,8.2014,7.865,7.9291,40944,0
8.0093,8.0812,7.9692,8.057,27037,0
8.0653,8.2255,8.0653,8.2255,49435,0
8.2255,8.3375,8.2094,8.3136,101987,0
8.3456,8.3456,8.0093,8.3136,17293,0
8.6821,8.81,8.4497,8.6821,195868,0
8.7301,8.7381,8.5537,8.7381,31305,0
8.6419,8.706,8.5297,8.626,26254,0
8.4977,8.578,8.3375,8.5218,39791,0
8.5218,8.5457,8.4819,8.5218,34611,0
8.6179,8.9623,8.6179,8.9463,188265,0
8.9784,9.3386,8.9541,9.1465,143971,0
9.4589,9.515,9.1465,9.2107,108023,0
9.2746,9.2746,8.762,9.1143,53497,0
9.0986,9.2265,9.0986,9.2265,67070,0
9.2265,9.2265,9.1305,9.2186,33501,0
9.2265,9.2265,9.0986,9.1143,31324,0
9.2265,9.2265,8.8663,9.0986,33452,0
9.2186,9.2186,9.0824,9.2107,22515,0
9.1544,9.1706,9.0745,9.1706,48162,0
9.2186,9.2265,9.1143,9.1465,39195,0
9.1706,9.1706,9.1465,9.1627,28847,0
9.1627,9.2107,9.1225,9.2107,18511,0
9.2344,9.2505,9.1064,9.2505,48310,0
9.0745,9.3227,9.0745,9.2827,109405,0
9.3227,9.419,9.2107,9.2265,73780,0
9.1706,9.3146,8.4819,8.9942,177087,0
9.1706,9.2426,8.4819,8.666,72301,0
8.8263,8.8263,8.57,8.578,21205,0
8.5378,8.5618,7.6087,8.1934,333336,0
8.0093,8.3936,7.825,8.0014,120808,0
7.9371,8.4096,7.9371,8.3136,64414,0
8.1454,8.4416,8.0812,8.1293,47512,0
8.1534,8.3696,8.1534,8.3696,42085,0
8.2014,8.5537,7.6569,7.873,152564,0
7.873,8.1373,7.6488,7.8812,62603,0
7.6488,7.8812,7.3526,7.7689,97887,0
7.7689,7.9931,7.7128,7.9531,35110,0
7.825,7.825,7.5047,7.7289,51958,0
7.6488,7.9371,7.6488,7.7689,68350,0
7.9131,8.1133,7.7608,8.1133,28739,0
8.0093,8.2976,7.8971,8.0733,40861,0
8.0093,8.2654,8.0093,8.2255,24429,0
8.4497,8.4497,8.1053,8.1774,40972,0
8.0894,8.2255,7.833,8.0251,50541,0
7.793,8.1534,7.6488,8.0653,52968,0
8.0492,8.2014,7.9291,8.1534,38817,0
