Open,High,Low,Close,Volume,OpenInt
20.3,21.4,20.3,20.8,1394,0
20.6,21.7,20.0,21.7,3726,0
21.0,21.8,20.7,20.9,2335,0
20.5,20.9,20.1,20.8,2350,0
20.1,21.1,19.7,19.7,7284,0
19.2,20.3,19.2,20.0,1155,0
20.2,20.5,19.6,19.9,2636,0
20.0,20.2,19.6,20.0,1901,0
19.4,20.4,19.1,20.0,3335,0
20.3,20.4,20.0,20.3,2096,0
20.5,21.1,19.6,20.8,3350,0
20.4,20.8,19.8,20.0,2091,0
20.4,20.5,19.4,19.5,2388,0
19.6,19.8,19.4,19.5,523,0
19.5,19.5,18.9,19.2,3400,0
19.4,20.5,18.1,18.4,5900,0
18.2,20.1,18.2,18.5,5400,0
19.7,19.7,18.3,19.1,5843,0
19.7,19.7,18.5,19.1,3254,0
19.1,20.9,18.2,18.2,4983,0
18.7,20.7,18.1,19.1,6181,0
19.0,19.7,18.8,19.4,2955,0
19.6,19.6,18.5,18.9,2114,0
18.6,19.3,18.5,19.3,559,0
18.5,19.0,18.4,18.7,1907,0
18.8,20.0,18.4,19.7,4279,0
20.0,22.6,20.0,20.1,13220,0
20.0,20.6,19.8,19.8,1865,0
20.5,21.9,20.1,21.1,12227,0
20.8,21.5,20.5,21.5,8137,0
21.5,22.1,20.8,21.3,2632,0
21.0,21.2,18.6,20.1,5398,0
19.9,21.5,18.8,18.8,7462,0
19.5,19.9,18.9,19.7,2027,0
19.9,19.9,18.9,19.4,770,0
19.5,19.6,17.8,18.8,4231,0
19.8,19.8,18.0,18.7,3545,0
18.7,19.1,18.4,18.8,930,0
19.8,19.8,18.2,19.5,1813,0
19.6,19.6,17.8,19.1,1865,0
19.3,20.0,18.9,19.9,2585,0
20.0,20.0,19.2,19.3,3906,0
18.7,19.2,18.5,18.5,1610,0
18.5,19.1,18.5,18.9,901,0
19.0,19.1,18.5,19.1,1215,0
19.2,19.2,18.5,18.9,570,0
19.2,19.8,18.7,19.4,830,0
19.8,20.0,19.8,20.0,920,0
20.0,21.6,19.6,21.6,10457,0
22.5,23.5,19.7,20.4,18090,0
20.4,20.4,19.1,19.3,1431,0
20.5,20.5,19.3,19.3,2177,0
19.1,19.1,18.5,18.6,1887,0
18.7,19.0,18.5,19.0,800,0
19.0,19.0,18.4,18.4,803,0
18.3,18.6,17.9,18.6,2102,0
18.1,18.5,18.1,18.5,270,0
18.3,19.0,18.2,18.6,695,0
19.2,19.5,18.7,19.5,3120,0
20.1,20.9,19.9,20.5,7192,0
20.5,21.3,19.7,19.7,6516,0
19.8,20.2,19.4,20.1,6168,0
20.0,20.5,19.8,19.9,1192,0
20.0,20.3,19.6,20.0,955,0
20.1,20.1,19.1,19.2,3097,0
19.0,20.0,18.8,20.0,1655,0
20.3,20.3,19.2,19.7,2329,0
19.3,20.1,19.3,19.5,3099,0
19.8,19.9,19.3,19.7,1638,0
19.7,19.8,19.2,19.2,1748,0
19.7,19.7,18.5,18.7,3571,0
18.8,19.7,18.5,19.3,1120,0
19.7,19.7,18.6,18.6,3336,0
19.8,19.8,18.6,18.7,2356,0
18.6,19.5,18.4,19.0,3220,0
19.0,19.4,18.6,19.0,3324,0
18.5,19.0,18.5,18.9,2927,0
18.6,19.8,18.6,19.1,6651,0
18.6,19.1,18.6,19.0,1550,0
18.7,19.0,18.6,18.9,1210,0
19.0,19.1,18.5,18.7,1560,0
19.0,19.0,18.6,19.0,421,0
19.0,22.0,18.6,18.8,47438,0
19.8,19.8,18.5,19.0,7291,0
19.0,19.1,18.6,19.0,1913,0
18.6,19.1,18.4,18.7,4405,0
18.6,18.7,18.2,18.4,1625,0
19.0,19.0,18.4,18.8,1195,0
19.0,19.0,18.5,18.9,930,0
19.0,19.0,18.2,18.2,2267,0
18.4,18.9,15.0,16.5,13551,0
18.3,18.3,16.5,16.5,3358,0
16.9,17.3,16.8,17.1,1779,0
17.3,17.5,16.7,16.9,1534,0
17.1,17.2,16.8,17.2,1254,0
17.2,17.4,17.2,17.4,597,0
17.4,21.0,17.3,19.3,45754,0
19.9,20.7,18.7,19.3,21694,0
19.2,19.3,18.6,18.9,5578,0
19.5,19.6,18.6,18.6,2120,0
18.6,18.8,18.0,18.6,7300,0
19.0,19.0,18.0,18.6,2008,0
18.8,19.0,18.1,18.9,4532,0
19.0,19.0,18.1,18.7,3220,0
19.4,19.5,18.8,19.0,4752,0
19.2,19.9,18.8,19.9,5595,0
20.0,20.8,19.2,19.9,5239,0
20.0,20.3,19.4,20.0,4030,0
20.0,20.2,19.4,19.4,6513,0
19.8,19.8,18.7,19.5,4799,0
19.7,19.9,19.1,19.1,5308,0
19.0,19.7,18.6,18.6,5181,0
18.9,19.3,18.7,19.0,1565,0
18.8,18.8,18.0,18.7,5862,0
19.1,19.2,18.2,18.7,4170,0
19.0,19.5,18.9,19.1,4444,0
19.2,19.2,18.6,19.2,580,0
19.3,19.3,18.7,19.2,830,0
18.8,19.8,18.8,19.4,3666,0
19.8,19.8,18.4,18.8,4486,0
19.0,19.1,18.7,18.8,2330,0
18.4,18.9,18.1,18.9,1810,0
19.0,19.0,18.3,18.5,3385,0
19.0,19.2,18.6,19.0,1087,0
19.3,19.3,18.4,18.8,4215,0
18.6,18.9,18.4,18.5,2243,0
18.4,18.9,18.4,18.5,1940,0
18.9,19.0,18.4,18.8,1070,0
18.8,18.8,18.3,18.8,1920,0
18.4,18.8,18.1,18.3,4229,0
18.1,18.1,17.2,17.5,3001,0
17.7,18.7,17.6,17.6,1206,0
18.2,18.5,17.3,18.2,1788,0
19.0,19.0,18.0,18.2,2690,0
18.1,18.3,17.6,18.1,3319,0
17.5,18.4,17.5,18.0,740,0
18.1,18.2,17.9,18.0,960,0
18.3,19.0,17.8,18.7,5121,0
19.0,21.1,19.0,21.1,37909,0
27.0,27.0,22.7,23.6,213445,0
23.1,24.0,21.3,21.5,55293,0
21.3,21.9,20.8,21.4,14620,0
21.6,22.4,21.0,21.6,9616,0
22.2,22.2,20.8,21.1,10470,0
21.0,21.8,20.4,20.8,6719,0
20.7,21.3,19.6,20.3,11415,0
20.7,21.6,20.0,20.3,21313,0
20.5,20.7,20.0,20.2,6681,0
20.0,20.3,19.3,19.4,8127,0
19.7,20.0,18.9,19.5,9358,0
19.6,20.4,18.7,19.4,9078,0
19.9,20.2,19.0,20.2,7097,0
19.3,20.2,18.9,19.0,7435,0
18.9,19.7,18.7,19.5,6878,0
19.7,19.8,18.7,19.4,5370,0
19.0,19.4,18.1,19.0,5952,0
19.0,19.2,18.0,19.0,6455,0
18.8,19.7,18.3,18.4,746,0
18.5,18.7,18.1,18.7,2813,0
18.7,18.7,17.4,18.1,7011,0
18.2,18.7,17.7,18.6,2894,0
18.9,18.9,17.5,18.1,10387,0
20.9,20.9,18.7,19.4,38732,0
20.9,20.9,19.0,20.0,9708,0
20.2,20.2,19.5,19.8,9294,0
20.0,20.0,19.5,19.8,5361,0
20.0,20.0,19.4,19.5,3510,0
20.0,20.0,19.1,19.4,4008,0
19.8,19.8,19.1,19.4,6013,0
19.4,19.4,18.7,19.0,12062,0
19.1,19.1,18.6,18.6,6480,0
18.9,20.7,18.5,20.5,14005,0
20.7,21.0,19.8,20.6,6086,0
20.9,21.4,20.1,21.2,9423,0
21.3,22.0,20.0,20.7,11149,0
21.2,22.0,20.7,21.0,8290,0
21.7,21.7,20.9,21.1,5573,0
21.5,22.0,21.3,21.8,7315,0
22.0,23.0,21.5,22.9,18429,0
22.6,24.8,22.6,23.9,38978,0
21.5,23.3,19.0,19.1,45798,0
19.6,19.7,18.1,18.9,11803,0
19.1,19.3,18.5,18.6,6759,0
19.0,19.0,17.7,17.7,10304,0
18.0,18.4,17.6,18.4,7482,0
18.5,19.0,18.4,18.9,2574,0
18.2,18.8,17.5,17.7,12062,0
18.0,18.6,17.7,18.2,10339,0
18.4,18.4,17.9,18.2,3036,0
18.5,18.5,18.0,18.4,2187,0
18.4,18.6,18.1,18.2,2226,0
18.2,18.2,17.8,18.1,2264,0
18.1,18.1,17.6,17.9,2388,0
18.0,18.4,17.9,18.4,1915,0
18.5,18.6,18.0,18.1,1656,0
18.0,18.5,17.5,17.8,5758,0
