Open,High,Low,Close,Volume,OpenInt
7.3737,7.5737,7.3138,7.5737,99989,0
7.4937,7.6735,7.4537,7.5537,89129,0
7.5937,7.6235,7.4837,7.5837,98449,0
7.4837,7.6036,7.4837,7.4937,69759,0
7.5037,7.5937,7.4537,7.5937,67964,0
7.6735,7.6735,7.3937,7.5437,58845,0
7.5537,7.6036,7.3437,7.3437,74790,0
7.3038,7.3437,7.0141,7.084,210512,0
7.114,7.144,6.9441,6.9641,140347,0
7.0441,7.2838,6.9641,7.2139,103557,0
7.2938,7.2938,6.9441,7.0441,148875,0
7.0441,7.5437,7.0441,7.4737,176857,0
7.5837,7.6335,6.9941,7.064,135990,0
6.9941,7.3437,6.9741,7.0141,125059,0
7.094,7.104,6.8441,6.8641,74569,0
6.9441,6.9441,6.7943,6.8242,154942,0
6.9741,7.0441,6.7244,7.0241,149788,0
6.9541,7.184,6.9341,6.9341,88478,0
6.9941,7.094,6.8143,7.0441,104439,0
7.0041,7.104,6.9041,7.0441,73868,0
7.094,7.114,7.0141,7.074,61971,0
7.174,7.174,6.9341,6.9641,122843,0
7.0041,7.0441,6.8043,6.8641,49715,0
6.9041,7.0041,6.8342,6.9841,63933,0
6.9141,7.0441,6.7344,6.8143,67244,0
6.7644,6.8242,6.6244,6.6644,80861,0
6.7644,6.7644,6.5944,6.6344,66217,0
6.6144,6.7544,6.5144,6.5844,79994,0
6.5444,6.5744,6.3347,6.4645,115188,0
6.4046,6.5844,6.4046,6.4545,54936,0
6.3947,6.5044,6.3247,6.3747,69406,0
6.4146,6.6944,6.3247,6.6544,96366,0
6.7144,6.7144,6.3147,6.3847,83780,0
6.4046,6.4645,6.1648,6.1648,112809,0
6.1748,6.1848,5.7651,5.9151,348254,0
5.9849,5.9849,5.7951,5.8251,108980,0
5.8451,5.9949,5.8051,5.9051,115852,0
6.3747,8.213,6.3047,7.7534,2843619,0
7.8534,7.9932,7.4337,7.7734,923946,0
7.7534,7.7734,7.4437,7.5137,409181,0
7.6235,7.8933,7.5437,7.7534,450209,0
7.7234,8.4029,7.6835,8.243,993436,0
8.4329,8.4329,7.9333,8.213,342315,0
8.273,8.5428,8.1631,8.1631,422347,0
8.303,8.343,7.9433,8.273,253337,0
8.4628,8.5128,8.1032,8.4728,266696,0
8.5228,9.673,8.4329,9.613,690721,0
9.761,10.071,9.0324,9.553,843505,0
9.623,9.623,9.0923,9.4721,302421,0
9.593,9.831,9.543,9.603,260123,0
9.673,9.791,9.4121,9.673,243415,0
9.583,9.593,8.9925,9.3721,437294,0
9.3421,9.3921,9.0224,9.1423,173495,0
9.2522,9.492,8.8425,8.8525,297354,0
8.8325,9.0723,8.5628,9.0224,289813,0
9.0823,9.3021,8.8925,9.2721,144751,0
9.1622,9.1622,8.9525,9.0523,166805,0
9.1822,9.1822,8.8425,9.0324,194770,0
9.4721,9.891,9.2422,9.891,491342,0
9.891,9.921,9.593,9.633,242176,0
9.643,9.891,9.3221,9.492,295776,0
9.543,9.791,9.4421,9.623,181119,0
9.722,9.751,9.3821,9.4821,194149,0
9.741,9.761,9.4321,9.503,135302,0
9.3921,9.503,9.3221,9.4121,115286,0
9.563,9.702,9.3921,9.3921,148971,0
9.513,9.513,9.2821,9.4621,133629,0
9.513,9.692,9.2422,9.3521,172400,0
9.2821,9.3921,9.0423,9.2022,154828,0
9.2921,9.2921,8.9125,8.9625,173253,0
9.0723,9.633,8.9925,9.4221,179754,0
9.523,9.533,9.0423,9.0923,115133,0
9.0423,9.603,9.0423,9.593,142480,0
9.492,9.643,9.4521,9.553,147154,0
9.553,9.761,9.492,9.653,173920,0
9.643,9.692,9.4421,9.4721,132805,0
9.523,9.643,9.3421,9.3921,259705,0
9.4621,9.633,9.3921,9.523,161374,0
9.593,9.673,9.4021,9.4221,176985,0
9.4421,9.533,9.2921,9.503,87535,0
9.573,9.673,9.3921,9.543,141031,0
9.543,9.623,9.3021,9.3621,229233,0
9.2921,9.4421,9.1922,9.1922,95948,0
9.1922,9.4421,9.1922,9.3121,215831,0
9.2622,9.573,9.2422,9.2821,96200,0
