Open,High,Low,Close,Volume,OpenInt
21.65,21.982,21.584,21.982,3664,0
21.667,22.072,21.442,21.566,16715,0
21.777,22.488,21.542,22.438,16303,0
22.105,22.892,22.105,22.752,21838,0
22.909,22.909,21.784,22.114,43373,0
22.561,22.561,22.297,22.561,28024,0
22.546,22.561,22.213,22.38,9711,0
22.555,22.555,21.576,21.726,59512,0
21.542,21.735,21.196,21.478,29214,0
21.433,22.354,21.433,22.014,18174,0
22.191,22.213,21.858,22.105,22579,0
22.042,22.603,22.042,22.495,12288,0
22.643,22.744,22.206,22.206,24394,0
21.735,22.643,21.735,22.397,23018,0
22.139,22.844,22.114,22.752,19914,0
22.81,22.81,22.306,22.313,62323,0
22.263,22.363,21.784,21.883,34176,0
21.875,22.438,21.875,22.263,11688,0
22.042,22.191,21.735,21.735,15033,0
21.784,22.105,21.534,21.584,2889,0
21.933,21.94,21.7,21.94,3221,0
21.735,21.947,21.386,21.386,15462,0
21.684,22.354,21.363,22.354,13573,0
21.925,22.354,21.833,22.271,20154,0
22.347,22.347,21.12,21.354,51989,0
21.153,21.528,21.12,21.32,34618,0
21.528,22.182,21.238,21.85,18880,0
22.182,22.767,22.182,22.537,90024,0
22.678,22.96,22.404,22.774,4403,0
22.81,22.81,21.858,22.221,10448,0
21.925,22.38,21.735,22.354,14830,0
22.024,22.793,21.726,22.727,15678,0
22.853,22.853,21.917,22.059,9400,0
21.925,22.372,21.495,21.534,18902,0
21.751,21.933,21.095,21.12,18231,0
21.451,21.94,21.112,21.635,11865,0
21.692,21.865,21.222,21.379,45910,0
21.534,21.534,20.69,20.69,31879,0
21.153,21.503,20.699,21.503,37098,0
21.551,21.551,21.095,21.371,8423,0
21.551,22.042,21.294,22.042,7866,0
21.947,22.105,21.303,21.751,23527,0
21.735,22.147,21.371,21.947,6072,0
21.628,22.198,21.171,21.222,16152,0
21.163,21.684,20.946,21.487,11217,0
21.94,22.33,21.833,22.33,7223,0
21.947,22.52,21.777,22.105,8956,0
21.825,22.347,21.751,22.255,7440,0
22.255,22.255,21.842,22.182,8476,0
22.372,22.372,21.592,21.735,6914,0
21.716,21.901,21.566,21.901,4884,0
21.735,21.816,21.61,21.816,11197,0
21.816,22.263,21.337,22.191,9050,0
22.297,22.313,21.51,21.956,10575,0
21.592,22.088,21.503,21.743,16792,0
21.94,22.478,21.94,22.453,10747,0
22.347,22.802,21.833,22.719,29055,0
22.853,23.895,22.555,23.811,25365,0
23.562,23.811,23.051,23.332,36226,0
23.183,23.474,23.183,23.466,5610,0
23.772,23.772,22.678,23.53,24037,0
23.043,23.514,23.043,23.298,11789,0
23.183,23.183,22.669,23.002,8956,0
23.033,23.397,22.819,23.388,20052,0
23.439,23.439,23.009,23.382,18807,0
22.985,23.537,22.985,23.347,24551,0
23.448,23.514,23.083,23.514,12927,0
23.265,23.554,23.108,23.192,23852,0
23.091,23.316,23.091,23.222,11454,0
23.065,23.439,22.993,23.439,11012,0
23.497,23.793,22.774,22.934,69844,0
22.767,22.934,22.429,22.578,68199,0
22.397,22.429,21.956,22.354,29225,0
22.033,22.247,21.592,22.105,64216,0
21.791,21.908,21.371,21.628,17189,0
21.566,21.982,21.528,21.947,15600,0
21.658,21.816,21.442,21.726,29538,0
21.735,21.947,21.735,21.947,13344,0
22.182,22.289,21.684,21.767,45296,0
21.495,22.238,21.495,21.892,13032,0
21.784,22.247,21.784,22.147,13351,0
22.297,22.306,21.991,22.156,22049,0
22.156,22.156,21.386,21.417,21847,0
21.371,21.833,21.18,21.534,91732,0
21.684,21.726,21.222,21.328,18285,0
21.487,22.147,21.171,22.147,22628,0
22.147,22.182,21.751,22.182,10143,0
22.238,22.404,21.892,22.147,20842,0
22.306,22.413,22.059,22.388,6620,0
22.419,23.589,22.413,23.547,36602,0
23.48,23.506,23.282,23.405,9523,0
23.183,23.554,22.876,23.554,12581,0
23.051,24.623,22.985,24.555,32567,0
24.59,25.278,24.44,25.252,20996,0
25.045,25.045,24.656,24.912,10171,0
24.912,24.912,24.227,24.714,18212,0
24.84,24.84,23.828,24.069,28005,0
23.886,24.35,23.274,24.333,21942,0
24.087,24.466,23.222,23.53,21831,0
23.953,24.36,23.091,24.333,17378,0
24.061,24.547,24.002,24.517,24795,0
24.541,24.541,23.895,24.052,15356,0
24.02,24.393,23.721,24.274,41110,0
23.937,23.937,23.017,23.017,16043,0
23.29,24.431,23.274,24.422,8738,0
24.384,24.384,24.078,24.265,6656,0
24.4,24.422,23.514,24.333,18620,0
24.422,24.422,23.82,23.968,8836,0
24.25,24.632,23.878,24.274,14137,0
23.903,24.895,23.772,24.87,11562,0
24.739,24.739,24.011,24.052,31582,0
24.011,24.169,23.78,23.78,7601,0
23.661,23.755,22.727,22.985,39702,0
23.388,23.388,22.611,22.784,12680,0
23.074,23.074,22.397,22.555,60585,0
22.413,23.024,22.191,22.397,34453,0
22.306,23.133,22.306,22.968,19942,0
22.819,22.9,22.688,22.819,25032,0
22.578,23.265,22.397,23.166,25710,0
22.96,23.017,22.438,22.529,17367,0
22.453,22.619,22.191,22.263,38694,0
22.198,22.419,21.94,21.94,17339,0
21.917,22.438,21.908,22.438,13770,0
22.206,22.752,22.206,22.529,17126,0
22.52,22.52,22.289,22.363,5340,0
22.678,22.802,22.354,22.446,20057,0
22.594,22.594,22.229,22.397,8736,0
22.306,22.306,21.901,21.956,9830,0
21.799,22.404,21.799,22.354,11315,0
22.52,22.767,22.321,22.767,18153,0
22.38,23.265,22.173,23.265,19740,0
23.373,23.803,23.183,23.772,20469,0
23.53,23.687,23.207,23.687,7549,0
23.746,24.052,23.687,23.803,15423,0
23.903,24.052,23.655,24.052,5895,0
23.78,23.895,23.448,23.704,12238,0
23.474,23.721,23.474,23.704,6623,0
23.721,24.115,23.024,24.115,17565,0
23.737,23.803,23.199,23.43,8284,0
23.43,23.695,22.985,23.405,11998,0
23.364,23.364,22.461,22.569,13134,0
22.767,23.547,22.578,23.547,50100,0
23.439,23.439,22.9,22.9,4053,0
23.117,23.143,22.561,22.643,6804,0
22.569,22.678,21.908,21.965,32637,0
21.965,22.837,21.947,22.774,12693,0
22.688,23.133,22.461,23.083,10565,0
23.183,23.388,23.183,23.388,8761,0
23.382,23.388,22.752,23.166,17682,0
23.058,23.207,22.438,22.513,14707,0
22.678,22.678,21.901,22.429,17109,0
22.38,23.099,21.94,22.876,192933,0
23.024,23.257,22.759,22.86,10377,0
23.058,23.316,22.478,22.478,18929,0
22.397,22.488,21.692,21.708,145749,0
21.94,22.105,21.735,22.014,15953,0
22.156,22.339,22.006,22.006,4320,0
22.164,22.513,22.114,22.47,6345,0
22.628,22.652,21.925,21.947,8491,0
21.947,22.05,21.858,21.875,42148,0
21.816,22.229,21.784,22.182,25855,0
22.438,22.438,21.667,22.191,33452,0
21.892,22.191,21.576,21.858,15857,0
