Open,High,Low,Close,Volume,OpenInt
29.78,30.687,29.78,30.687,317339,0
30.648,30.724,29.914,29.914,264540,0
29.914,30.457,29.914,30.315,177671,0
30.207,30.45,29.964,30.089,102613,0
30.089,30.315,30.009,30.098,316796,0
30.243,31.04,30.098,30.944,243230,0
30.944,31.57,30.774,31.142,160569,0
31.09,31.09,30.584,30.804,118628,0
30.648,30.648,29.589,29.596,281777,0
29.692,30.275,29.573,30.125,352626,0
29.986,30.131,29.558,29.692,159617,0
29.692,30.059,29.603,30.059,130300,0
30.282,30.709,29.794,29.801,239972,0
29.809,30.207,29.713,29.994,211469,0
30.139,30.363,30.139,30.315,123110,0
30.538,30.538,29.773,29.773,300643,0
29.817,29.817,29.324,29.478,457547,0
29.619,30.022,29.324,29.418,293992,0
29.36,29.631,28.968,29.188,221648,0
29.324,29.847,29.242,29.432,222869,0
29.366,29.441,29.139,29.249,115098,0
29.285,29.787,29.204,29.558,218389,0
29.619,29.89,29.566,29.839,151882,0
29.839,29.986,29.619,29.706,392667,0
29.89,29.949,29.337,29.692,323983,0
29.581,29.581,29.219,29.36,246075,0
29.507,29.839,29.441,29.764,139262,0
29.824,30.131,29.824,29.897,159483,0
29.882,30.051,29.72,29.914,126365,0
29.86,29.876,29.646,29.735,143739,0
29.764,29.986,29.514,29.905,101252,0
29.764,30.332,29.551,30.302,151340,0
30.302,30.45,30.207,30.309,175226,0
30.282,30.282,29.654,29.692,113471,0
29.7,29.914,29.536,29.742,144959,0
29.742,30.131,29.543,30.002,132336,0
29.994,30.531,29.994,30.503,116049,0
30.391,30.648,30.009,30.106,204955,0
30.243,30.737,30.111,30.655,136000,0
30.621,30.664,30.067,30.385,102474,0
30.315,30.701,30.234,30.701,118492,0
30.576,30.695,30.428,30.678,141567,0
30.633,30.944,30.413,30.893,126502,0
30.893,31.142,30.724,30.88,172651,0
31.165,31.209,30.687,31.054,195723,0
31.054,31.319,30.88,31.319,133425,0
31.319,31.386,30.929,31.09,91480,0
31.09,31.496,30.905,31.394,125688,0
31.394,31.659,31.237,31.57,182828,0
31.556,31.607,30.995,31.275,115098,0
31.275,31.851,31.054,31.851,128266,0
31.755,31.755,31.348,31.755,152697,0
31.755,32.091,31.348,32.019,146181,0
32.019,32.019,31.237,31.386,122974,0
31.386,31.607,30.621,30.871,154870,0
30.981,31.607,30.981,31.607,91753,0
31.421,31.829,31.048,31.68,136406,0
31.864,32.344,31.814,32.336,107903,0
32.336,32.785,32.269,32.564,126502,0
32.675,32.948,32.386,32.903,102748,0
32.903,33.028,32.58,32.785,216353,0
32.785,32.785,32.344,32.52,158671,0
32.418,32.425,32.019,32.099,289514,0
32.16,32.572,32.091,32.123,214725,0
31.974,31.99,31.718,31.959,166678,0
31.829,32.608,31.829,32.418,207533,0
32.418,32.896,32.344,32.881,561924,0
32.822,32.903,32.696,32.712,212554,0
32.785,33.131,32.661,33.067,407868,0
33.155,34.075,33.155,33.955,436377,0
34.141,34.576,33.874,34.017,254766,0
33.943,35.181,33.936,34.148,268749,0
34.185,34.407,33.89,34.392,231966,0
34.518,34.524,33.856,34.185,297386,0
34.185,34.622,34.06,34.614,281506,0
34.811,35.13,34.634,35.122,360637,0
35.011,35.011,34.473,34.775,168985,0
34.775,35.122,34.458,34.995,185543,0
35.181,35.41,34.898,35.328,296437,0
35.217,35.437,35.099,35.149,67050,0
35.217,35.252,34.622,34.628,119036,0
34.694,34.804,34.295,34.634,117003,0
34.554,35.019,34.524,34.752,181608,0
34.702,34.702,34.06,34.331,349099,0
34.259,34.347,34.081,34.185,101119,0
34.185,34.811,34.185,34.797,121477,0
34.855,35.181,34.775,34.973,74654,0
34.973,35.062,34.702,34.995,127043,0
34.995,35.149,34.641,35.034,84559,0
35.034,35.85,34.995,35.844,206446,0
35.836,35.836,35.201,35.348,194773,0
34.96,35.291,34.775,35.107,130031,0
35.107,36.306,35.084,36.05,303900,0
36.086,36.566,36.086,36.513,270106,0
36.368,36.58,36.161,36.182,115912,0
36.102,36.175,35.609,35.629,107091,0
35.705,35.807,34.326,34.487,268340,0
34.318,34.915,34.259,34.906,166136,0
34.898,34.965,34.554,34.767,220970,0
34.811,35.053,34.752,34.923,263453,0
34.848,35.947,34.664,35.938,233456,0
35.844,35.895,35.076,35.321,419949,0
35.107,35.541,34.96,35.437,291008,0
35.252,35.681,35.136,35.518,164641,0
35.586,35.917,35.444,35.577,156769,0
35.395,35.865,34.995,35.858,122157,0
35.821,36.455,35.792,36.455,320326,0
36.32,36.617,35.99,36.035,253272,0
36.102,36.395,35.88,36.027,143331,0
35.954,36.763,35.954,36.763,108043,0
36.742,36.984,36.463,36.483,126774,0
35.917,35.924,34.804,34.811,678378,0
34.886,34.886,33.19,33.479,492566,0
32.602,32.776,31.017,31.592,698335,0
31.687,32.18,31.644,31.844,716250,0
32.211,32.536,31.504,31.741,526093,0
31.607,31.822,31.311,31.607,372716,0
31.532,31.659,31.15,31.496,362263,0
31.57,32.123,31.084,31.755,317067,0
31.789,32.748,31.789,32.269,659109,0
32.16,32.232,31.311,31.607,371631,0
31.421,31.421,31.09,31.201,261145,0
31.209,31.421,30.959,31.18,280555,0
31.364,31.741,31.364,31.718,181742,0
31.673,31.768,31.402,31.504,366202,0
31.614,32.292,31.585,32.058,246758,0
32.16,32.367,31.916,31.954,149167,0
31.974,31.974,31.452,31.548,185949,0
31.496,32.091,31.232,31.68,207398,0
31.407,31.614,31.209,31.541,304850,0
31.46,31.797,31.445,31.789,391447,0
31.789,32.668,31.782,32.263,417237,0
32.263,32.373,31.789,31.856,108720,0
31.968,32.978,31.968,32.969,313537,0
32.969,32.969,32.557,32.682,178757,0
32.608,32.776,32.322,32.483,98681,0
32.528,32.728,32.38,32.721,135327,0
32.741,32.962,32.564,32.809,106410,0
32.721,32.721,32.211,32.219,91888,0
32.3,32.602,31.829,31.902,96508,0
31.974,32.13,31.718,31.856,168307,0
32.027,32.05,31.614,31.776,316522,0
31.702,31.836,31.245,31.319,126230,0
31.311,31.666,30.88,30.936,353441,0
30.936,30.936,30.051,30.059,216353,0
29.927,30.531,29.177,30.385,361860,0
30.207,30.792,30.002,30.687,116863,0
30.687,30.974,30.495,30.974,124739,0
30.898,31.017,30.481,30.871,729416,0
30.871,30.913,30.406,30.648,199256,0
30.678,31.245,30.315,31.237,145369,0
31.224,31.348,30.959,31.075,445873,0
30.959,31.386,30.929,31.017,275397,0
31.062,31.136,30.302,30.309,188938,0
30.385,30.385,29.285,29.292,269699,0
29.292,29.514,28.734,29.212,273092,0
29.031,29.271,28.741,28.927,250288,0
29.624,29.624,28.439,28.513,253680,0
28.497,28.719,28.269,28.322,524191,0
28.291,28.33,27.554,27.747,962192,0
27.695,27.739,27.326,27.408,1062363,0
27.628,27.966,27.334,27.958,739868,0
27.938,28.099,27.666,28.07,579704,0
27.925,27.958,27.687,27.812,375432,0
27.85,28.13,27.408,28.114,352493,0
28.105,28.105,27.57,27.755,253272,0
27.761,28.078,27.674,27.925,547537,0
28.07,28.535,27.893,28.505,628298,0
28.432,28.571,28.225,28.439,1355135,0
28.439,28.697,28.343,28.513,754254,0
28.513,28.513,28.123,28.296,689645,0
28.439,29.36,28.367,29.242,646215,0
29.235,29.242,28.367,28.367,635083,0
28.336,28.336,27.724,27.925,1211260,0
27.925,27.931,27.687,27.916,905322,0
27.99,28.114,27.702,27.836,747875,0
27.797,27.916,27.37,27.615,431352,0
27.687,27.869,27.185,27.504,567077,0
27.414,27.414,27.031,27.15,427961,0
27.143,27.223,26.522,26.935,883740,0
26.964,27.075,26.332,26.827,1017842,0
26.732,26.907,26.551,26.766,455243,0
26.839,26.942,25.964,26.45,517674,0
26.403,26.634,26.169,26.347,562741,0
26.377,26.501,26.014,26.162,318693,0
26.235,26.979,26.235,26.884,579838,0
27.038,27.143,26.724,26.927,453613,0
27.004,27.511,26.832,27.386,408957,0
27.319,27.622,27.185,27.591,303492,0
27.591,27.789,27.511,27.628,291275,0
27.622,27.622,27.319,27.421,92840,0
27.533,27.599,26.958,27.459,538849,0
27.134,27.282,27.075,27.15,402576,0
27.055,27.401,27.038,27.208,571559,0
27.421,28.056,27.26,27.755,658023,0
27.812,27.812,27.488,27.812,410179,0
27.812,27.812,27.171,27.561,330098,0
27.731,28.056,27.695,27.82,342719,0
27.869,27.981,27.642,27.869,303900,0
27.878,28.639,27.844,28.138,333763,0
28.145,28.379,27.812,28.138,140212,0
28.175,28.234,27.716,27.85,285715,0
27.769,28.8,27.769,28.672,459177,0
28.63,28.838,28.432,28.672,275397,0
28.542,28.639,27.946,27.997,240919,0
28.07,28.358,27.716,27.958,455648,0
27.916,27.925,27.622,27.628,305799,0
27.622,28.15,27.326,27.812,328197,0
27.931,28.062,27.687,27.909,142109,0
27.909,28.123,27.583,28.018,132199,0
28.018,28.322,28.018,28.07,104242,0
28.085,28.367,27.938,28.085,270106,0
28.15,28.254,27.679,27.925,234000,0
27.931,27.997,27.547,27.591,268068,0
27.518,27.628,27.334,27.524,215134,0
