Open,High,Low,Close,Volume,OpenInt
51.387,52.905,51.252,52.655,1538045,0
52.828,52.886,51.868,52.107,894633,0
52.348,52.415,50.714,51.176,1482865,0
50.331,51.1,49.659,50.811,995829,0
51.051,51.791,50.945,51.397,758038,0
52.203,52.963,52.203,52.684,1004367,0
53.307,53.452,52.539,52.664,1319930,0
52.78,52.78,51.57,51.742,1717117,0
50.906,51.338,50.406,50.493,1178650,0
50.138,50.225,49.321,49.58,1354807,0
50.906,51.503,50.465,50.763,1296193,0
50.906,50.906,49.58,50.234,1360638,0
49.946,50.426,49.6,49.755,601974,0
49.755,49.87,48.611,48.987,882869,0
49.428,50.186,49.13,50.158,667564,0
50.158,50.206,49.706,49.831,398019,0
50.455,50.782,49.706,49.985,536384,0
50.311,50.714,49.563,49.61,772094,0
49.024,49.418,47.766,47.938,1090050,0
48.198,48.591,47.669,47.757,820193,0
48.14,48.332,47.325,47.555,724826,0
47.056,47.248,45.202,45.653,1699210,0
45.481,46.891,45.481,46.864,852053,0
47.305,47.977,47.169,47.41,831958,0
48.016,48.188,47.564,47.737,665796,0
47.498,47.506,46.393,46.498,1446947,0
47.305,47.353,46.662,46.969,987293,0
46.921,47.603,46.728,47.017,676206,0
47.353,47.64,47.113,47.555,424776,0
47.727,47.786,46.383,46.488,1223626,0
46.854,46.854,46.027,46.115,763973,0
46.777,47.535,45.634,47.065,1626123,0
47.449,47.449,45.527,45.73,1473496,0
44.952,44.962,44.087,44.433,1348562,0
44.202,44.491,43.462,43.78,1755847,0
42.906,44.27,42.647,44.002,1145854,0
44.251,45.001,44.202,44.741,903691,0
44.855,44.904,44.02,44.087,512542,0
44.374,45.49,44.374,45.375,511190,0
45.173,45.183,44.289,44.53,437166,0
44.624,45.25,44.567,45.124,463818,0
45.576,45.969,44.682,45.028,1078911,0
44.374,44.374,43.232,43.923,1253507,0
43.703,43.848,42.54,42.722,1536066,0
43.223,43.828,42.762,43.732,458925,0
44.002,44.404,43.77,44.289,649242,0
43.78,44.221,43.472,43.559,462361,0
44.192,45.604,44.192,45.527,586150,0
45.527,46.191,45.413,45.614,929511,0
45.672,46.065,45.537,45.758,456634,0
44.663,45.481,44.559,45.173,909105,0
45.046,45.056,43.943,44.106,533677,0
43.838,44.115,43.511,44.115,496612,0
43.799,43.809,42.388,42.722,1322429,0
42.569,43.021,41.407,42.223,1920656,0
41.83,42.426,41.427,42.408,760537,0
42.07,42.33,41.678,42.301,869959,0
42.07,44.135,42.07,43.809,1550747,0
44.135,44.135,43.33,43.654,452886,0
43.654,44.079,43.443,43.848,424255,0
43.394,43.799,43.252,43.559,740859,0
43.271,43.541,43.183,43.424,550751,0
42.934,42.934,41.927,42.032,1245490,0
42.408,43.001,42.378,42.849,689221,0
43.367,43.414,42.849,43.03,693905,0
43.098,43.462,42.888,43.146,1004575,0
43.128,44.634,42.934,44.634,838517,0
44.04,44.05,43.472,43.644,726805,0
44.02,44.135,43.434,43.482,488806,0
43.751,43.992,43.128,43.367,448410,0
43.271,43.635,42.888,43.174,574801,0
43.078,43.394,42.512,42.647,511919,0
42.934,42.934,42.213,42.417,1040285,0
42.454,42.915,42.435,42.915,463506,0
42.791,43.04,42.56,42.982,441436,0
43.078,43.452,42.973,43.377,539196,0
43.414,44.145,43.232,43.972,703482,0
44.145,44.76,43.953,44.712,919725,0
44.952,45.046,44.471,44.615,661109,0
44.28,44.289,43.713,43.79,445703,0
43.32,43.434,43.03,43.108,577819,0
43.271,43.608,42.982,43.128,542735,0
43.128,43.128,42.166,42.213,1532735,0
42.196,42.408,41.974,42.022,680787,0
