Open,High,Low,Close,Volume,OpenInt
8.2008,8.3849,8.0997,8.3849,278021,0
8.3761,8.4403,8.2748,8.3761,353199,0
8.4497,8.4678,8.33,8.3944,683811,0
8.4037,8.5141,8.3114,8.4037,472715,0
8.4588,8.5141,8.293,8.3206,351356,0
8.3391,8.5509,8.3391,8.5509,535401,0
8.5509,8.6613,8.4678,8.4678,306812,0
8.6522,9.0019,8.4311,8.965,991386,0
8.9741,9.435,8.91,9.2043,1363058,0
9.2043,9.2043,8.8087,8.9189,769748,0
8.9189,8.9282,8.8087,8.9282,342013,0
8.965,9.2583,8.9374,9.0203,623947,0
9.0662,9.1124,8.7811,8.9005,516822,0
8.8087,8.8177,8.5598,8.6981,527362,0
8.6981,8.7718,8.5692,8.7441,504437,0
8.7352,8.7352,8.5509,8.6703,795172,0
8.6703,8.6703,8.4403,8.5141,332995,0
8.4497,8.6981,8.4497,8.6426,465109,0
8.6059,8.6059,8.3391,8.3944,396010,0
8.4678,8.6522,8.3761,8.6059,448920,0
8.6981,8.6981,8.5141,8.6152,485857,0
8.5692,8.5692,8.0997,8.1273,643722,0
8.1273,8.3849,8.1273,8.2837,877850,0
8.2837,8.2837,8.1092,8.1734,492703,0
8.2284,8.3206,7.9342,8.0444,556695,0
8.0444,8.2471,7.9434,8.1918,348642,0
8.3484,8.5048,8.33,8.4037,525082,0
8.4037,8.5509,8.3761,8.3944,498897,0
8.4218,8.6522,8.3206,8.5878,394925,0
8.6059,8.6522,8.4126,8.4218,260966,0
8.4678,8.5598,8.2655,8.4311,443489,0
8.3391,8.5323,8.1273,8.4955,519541,0
8.4497,8.4588,8.0353,8.0815,229456,0
8.0539,8.0631,7.391,7.6582,937714,0
7.6582,7.6582,7.1978,7.3728,809729,0
7.3544,7.4092,6.9677,7.3817,636223,0
7.4187,7.7315,7.3817,7.6857,611996,0
7.7406,7.7406,7.3267,7.4092,475103,0
7.5015,7.695,7.4279,7.5569,573211,0
7.5752,7.612,7.4092,7.4922,406658,0
7.5478,7.6303,7.5015,7.5657,270089,0
7.5291,7.6397,7.4092,7.4829,305728,0
7.3356,7.4092,6.9953,7.1517,541378,0
7.1517,7.161,6.8113,6.8204,416219,0
6.9123,7.2253,6.8018,7.1058,1015287,0
7.161,7.2991,7.0688,7.2529,395576,0
7.2529,7.2898,7.0321,7.0873,529429,0
7.0873,7.0873,6.7191,6.9768,1130230,0
6.9768,7.1335,6.8755,6.9953,394273,0
7.0321,7.161,6.8571,6.8571,349622,0
6.8665,6.9492,6.8018,6.8571,407637,0
6.8571,6.8571,6.4984,6.535,642961,0
6.6731,6.7008,6.3142,6.5902,697175,0
6.6088,6.6088,6.2042,6.2042,590049,0
6.2042,6.2497,5.8444,5.8907,854165,0
5.9828,6.0288,5.8816,5.9553,657300,0
5.9184,6.1025,5.9184,6.038,515628,0
6.13,6.2776,6.1208,6.2588,620036,0
6.305,6.305,6.0656,6.1487,433168,0
6.1852,6.222,6.0566,6.1393,385040,0
6.1393,6.305,6.1393,6.268,340388,0
6.0288,6.075,5.6239,5.9828,821461,0
5.9645,5.9921,5.8081,5.9184,567993,0
6.0566,6.0842,5.9368,6.0842,461091,0
6.1025,6.2315,6.038,6.2128,442291,0
6.2406,6.351,6.1025,6.1852,468584,0
6.1668,6.2776,6.1208,6.222,530947,0
6.2315,6.3602,6.1487,6.3417,469563,0
6.3233,6.4431,6.268,6.305,447397,0
6.3142,6.3142,6.1852,6.2776,258359,0
6.2863,6.3784,6.2042,6.2315,727922,0
6.2497,6.3417,6.2042,6.2588,390252,0
6.2042,6.3417,6.1393,6.2957,347880,0
5.5685,6.1393,5.5227,6.0566,1061027,0
6.0104,6.1025,5.9553,6.0197,413938,0
5.9828,6.1577,5.9368,6.1208,530077,0
6.13,6.3233,6.0929,6.2128,798648,0
6.2128,6.3417,6.2042,6.3233,242929,0
6.4431,6.489,6.3233,6.4798,781484,0
6.4798,6.4798,6.3784,6.4335,450115,0
6.4247,6.4335,6.3417,6.3694,512260,0
6.4155,6.4798,6.3417,6.4247,620362,0
6.4247,6.4247,6.2128,6.222,463369,0
6.222,6.2315,5.9553,5.9828,1157938,0
5.9828,6.0013,5.8907,5.9459,581033,0
6.038,6.1487,5.9184,6.1487,410896,0
6.1944,6.2042,6.13,6.1852,330822,0
6.1944,6.1944,5.9828,6.0929,369937,0
6.075,6.1944,6.0288,6.1944,227612,0
6.1852,6.1852,6.0566,6.1208,424040,0
6.1208,6.2315,6.0656,6.1762,495097,0
5.8907,6.1577,5.8907,6.0566,344948,0
6.0288,6.3142,6.0288,6.2957,635573,0
6.2957,6.5074,6.2863,6.489,355596,0
6.4984,6.5446,6.3694,6.4431,273785,0
6.4523,6.5258,6.4061,6.4798,263028,0
6.4984,6.5902,6.3969,6.3969,483578,0
6.3878,6.4523,6.3233,6.3602,242820,0
6.3878,6.4431,6.2776,6.2776,137110,0
6.4155,6.4155,6.3142,6.3784,203602,0
6.3142,6.5446,6.3142,6.5258,180133,0
6.4523,6.4984,6.3142,6.351,216097,0
6.3878,6.4431,6.2776,6.4061,312030,0
6.3602,6.4431,6.2406,6.2957,194254,0
6.2957,6.3142,6.2042,6.2497,281605,0
6.2863,6.2957,6.1487,6.2497,152753,0
6.2042,6.4707,6.2042,6.4247,175353,0
6.535,6.9123,6.489,6.572,536815,0
6.535,6.6457,6.4707,6.572,393944,0
6.6088,6.8481,6.6088,6.6731,280084,0
6.6916,6.8389,6.6549,6.7467,255752,0
6.7467,6.7467,6.572,6.7008,275740,0
6.6271,6.7376,6.6271,6.7191,393404,0
6.7655,6.793,6.6916,6.7467,345927,0
6.7743,6.8481,6.7376,6.8113,455547,0
6.8755,7.0229,6.6637,6.8113,377867,0
6.7834,6.9768,6.7284,6.9768,239888,0
6.9953,7.1148,6.793,6.9123,297360,0
6.9217,6.9768,6.7376,6.7559,217292,0
6.7284,6.7467,6.489,6.5074,279106,0
6.4798,6.793,6.4523,6.7559,341796,0
6.7099,6.7099,6.5074,6.5074,211419,0
6.489,6.5625,6.351,6.3878,271285,0
6.4707,6.4707,6.3417,6.4335,179482,0
6.4431,6.4613,6.1762,6.222,222613,0
6.2497,6.4523,6.1668,6.2042,411983,0
6.2588,6.3417,6.1762,6.268,260097,0
6.268,6.351,6.2315,6.2776,323652,0
6.2128,6.2957,6.1762,6.2776,290628,0
6.2776,6.3417,6.1668,6.1762,323216,0
6.1944,6.305,6.038,6.2497,232717,0
6.2497,6.351,6.2128,6.351,289102,0
6.351,6.351,6.2128,6.2776,164272,0
6.3328,6.4431,6.2406,6.3694,229022,0
6.3233,6.351,6.2497,6.3233,261506,0
6.2497,6.2957,6.0013,6.0656,455982,0
6.1025,6.1208,5.9368,6.0471,653608,0
6.0013,6.075,5.9459,6.0566,561586,0
5.9828,5.9921,5.8358,5.8907,242172,0
5.8816,5.9459,5.633,5.771,362438,0
5.7619,5.7619,5.6146,5.633,418823,0
