Open,High,Low,Close,Volume,OpenInt
9.1112,9.2423,9.1112,9.2356,44315,0
9.0603,9.0603,8.9276,9.0169,64755,0
9.0027,9.1272,8.9952,9.0745,28674,0
8.8555,8.9952,8.8491,8.9359,177120,0
8.7835,8.965,8.7683,8.8703,229527,0
8.9063,9.0244,8.776,8.9952,203596,0
8.9876,9.0244,8.9276,9.0027,197972,0
9.0094,9.1847,8.965,9.0301,285228,0
8.9063,9.0027,8.7462,8.8703,104952,0
8.8629,8.9441,8.8268,8.8851,119221,0
8.8925,8.9063,8.8186,8.8186,49253,0
8.8268,8.8999,8.8131,8.8999,51036,0
8.9792,9.0169,8.9063,8.9147,103034,0
8.9276,9.0376,8.8703,8.9211,125669,0
8.9359,9.0027,8.9063,8.9572,51859,0
8.9516,8.965,8.9063,8.9572,25244,0
8.9276,8.9276,8.8344,8.8851,70791,0
8.8131,8.8186,8.6664,8.6957,90963,0
8.6451,8.7974,8.6451,8.7107,71753,0
8.8629,8.9063,8.8268,8.8778,51724,0
8.8057,8.9211,8.776,8.8999,65305,0
8.776,8.8778,8.7683,8.8344,153382,0
8.9276,9.0027,8.8555,8.965,99741,0
9.0301,9.0301,8.8491,8.9359,47196,0
8.9792,9.0301,8.8999,8.9516,73948,0
8.8851,8.9276,8.8268,8.9276,65167,0
9.0094,9.1112,9.0094,9.1112,126084,0
8.7462,8.8131,8.717,8.7683,159147,0
8.6078,8.6876,8.6078,8.6743,96722,0
8.6584,8.7462,8.6379,8.6664,68872,0
8.8417,8.8491,8.7462,8.7909,39101,0
8.732,8.8555,8.7107,8.8491,80807,0
8.8925,8.965,8.8703,8.9211,200991,0
8.8491,8.8555,8.7612,8.8555,197561,0
8.7835,8.8131,8.6876,8.717,90686,0
8.7249,8.8851,8.7249,8.7974,50075,0
8.9572,9.0094,8.8925,9.0094,212240,0
8.8491,8.9725,8.8417,8.8417,290167,0
8.9147,9.0094,8.9063,9.0094,87254,0
9.0094,9.0452,8.9441,9.0094,157228,0
8.8925,9.0094,8.8925,8.9441,55017,0
8.9147,9.0527,8.8999,8.9211,185076,0
8.8268,8.9147,8.7541,8.9147,89591,0
8.8925,8.8925,8.7835,8.8186,34160,0
8.8925,8.9876,8.8344,8.9276,70929,0
8.965,9.0603,8.8925,8.9441,53368,0
8.8851,8.8851,8.8186,8.8491,41845,0
8.8344,9.0961,8.8344,9.0603,520928,0
8.9572,9.3299,8.9441,9.0301,114830,0
9.0301,9.147,9.0301,9.1187,43630,0
8.9359,9.0745,8.9063,9.0669,131022,0
8.8778,8.9876,8.8778,8.9276,141038,0
8.8925,8.9516,8.8417,8.9276,78339,0
8.8925,9.0244,8.8925,8.9147,69147,0
8.8417,9.0169,8.8057,8.9359,448218,0
8.7683,8.8344,8.732,8.8344,260946,0
8.7835,8.8703,8.7462,8.8703,270823,0
8.8555,8.9516,8.8268,8.9516,422972,0
8.9516,9.0961,8.9516,9.0452,110443,0
9.0244,9.0244,8.8491,8.9572,418855,0
8.8851,8.9516,8.8851,8.9516,454663,0
8.8186,8.8703,8.8131,8.8555,514754,0
8.8925,8.8925,8.8186,8.8417,204833,0
8.9359,8.9441,8.8555,8.9276,48430,0
8.8491,8.9147,8.8131,8.8999,42669,0
8.8703,8.8851,8.8057,8.8186,89037,0
8.8491,8.9147,8.8131,8.9063,270276,0
8.8344,8.9276,8.8268,8.9147,266434,0
8.8491,8.9211,8.8417,8.8629,65030,0
8.8491,8.8778,8.8057,8.8417,76553,0
8.9147,8.9876,8.9147,8.9276,72987,0
9.0603,9.0885,8.8925,8.8925,51036,0
8.8417,8.9211,8.8131,8.8555,114008,0
8.9276,8.9276,8.8131,8.8555,256418,0
8.7909,8.8778,8.776,8.8344,119635,0
8.7835,8.8703,8.7683,8.8491,76278,0
8.8417,8.9211,8.8417,8.9211,80259,0
8.9063,8.9441,8.8703,8.8851,94528,0
8.9725,8.9792,8.9211,8.9572,76417,0
8.8629,8.8851,8.7612,8.8629,273566,0
8.8417,8.8778,8.8057,8.8778,75596,0
8.9211,8.9441,8.8778,8.9211,39101,0
8.8491,8.9147,8.7612,8.7612,83963,0
8.7462,8.8057,8.7249,8.7249,46923,0
8.7027,8.7249,8.6379,8.7027,65441,0
8.6957,8.7462,8.6512,8.6806,80123,0
8.6876,8.7107,8.6308,8.6806,41297,0
8.6806,8.732,8.6229,8.6584,61191,0
8.6379,8.6451,8.5866,8.6158,21815,0
8.5209,8.5644,8.4837,8.5422,86982,0
8.5572,8.6584,8.5572,8.5866,47196,0
8.4189,8.6017,8.3823,8.528,197423,0
8.4917,8.6664,8.4837,8.5785,40884,0
8.5785,8.6743,8.536,8.6512,31829,0
8.6743,8.7249,8.6308,8.7027,47607,0
8.6308,8.6512,8.5572,8.6017,66403,0
8.6308,8.7027,8.5715,8.6158,204286,0
8.5503,8.6743,8.536,8.6229,244755,0
8.5503,8.6379,8.5422,8.5785,191388,0
8.4189,8.5644,8.3901,8.505,117438,0
8.4553,8.6017,8.3901,8.5422,84103,0
8.5209,8.6078,8.4765,8.5503,129375,0
8.528,8.732,8.5129,8.6876,100564,0
8.6806,8.7541,8.6806,8.717,57761,0
8.6512,8.717,8.6229,8.6957,159834,0
8.7027,8.8186,8.6512,8.776,325565,0
