Open,High,Low,Close,Volume,OpenInt
7.6963,7.8562,7.5661,7.8433,668623,0
8.0073,8.205,7.915,8.0579,1120730,0
8.083,8.5074,8.0746,8.4486,1284055,0
8.4905,8.5033,8.2593,8.3267,626644,0
8.3898,8.4698,8.2302,8.2763,718099,0
8.3688,8.7344,8.3605,8.6337,1494326,0
8.6588,9.1501,8.6588,8.9236,1585808,0
8.9994,9.0833,8.8397,9.0079,711186,0
9.0079,9.454,8.9365,9.1501,1715082,0
9.1587,9.1587,8.6084,8.9404,2098270,0
8.9404,9.1081,8.6798,8.9105,1431385,0
9.0627,9.0956,8.9152,9.059,1164106,0
9.1462,9.4402,9.0793,9.3565,1440751,0
9.3615,9.4946,9.1128,9.2853,1004296,0
9.3868,9.636,9.264,9.4916,1515865,0
9.627,9.627,9.1252,9.2892,1276760,0
9.2892,9.3615,9.0372,9.3429,822871,0
9.3565,9.3565,9.1081,9.3107,486730,0
9.2563,9.298,9.0542,9.1434,552571,0
9.0879,9.3312,9.0627,9.3068,547140,0
9.3868,9.79,9.3107,9.638,1481381,0
9.671,9.759,8.4572,8.5791,2655390,0
8.4234,8.8611,8.3688,8.7889,1765841,0
8.8696,8.8901,8.2889,8.4782,1469347,0
8.5414,8.8104,8.5414,8.7761,632536,0
8.8863,8.9021,8.1756,8.5874,1399779,0
8.5283,9.1348,8.4277,8.9021,1203396,0
9.0079,9.462,9.0043,9.2941,1467393,0
9.2726,9.731,9.2726,9.68,1577104,0
9.68,10.078,9.68,9.79,1563414,0
10.042,10.26,9.515,9.946,1787761,0
9.962,10.108,9.664,10.016,1071020,0
10.147,10.147,9.819,10.054,708242,0
10.072,10.378,10.05,10.211,1329950,0
10.206,10.298,9.648,9.751,1241382,0
9.751,9.91,9.3917,9.739,942085,0
9.608,10.108,9.578,9.966,835095,0
10.176,10.218,9.941,9.953,851724,0
10.013,10.592,9.975,10.521,1591159,0
10.601,10.614,10.013,10.072,1136385,0
10.108,10.614,10.108,10.601,1119001,0
10.592,10.601,10.108,10.278,842883,0
10.24,10.24,9.4105,9.811,1789491,0
9.811,9.811,8.7598,8.8696,3228078,0
8.8231,9.702,8.8231,9.524,1632355,0
9.755,10.16,9.608,9.97,1810313,0
10.143,10.143,9.529,9.651,1267460,0
9.747,9.79,9.4946,9.769,773656,0
9.91,10.013,9.751,10.013,922856,0
10.05,10.281,9.711,9.91,1070426,0
9.958,10.387,9.87,10.319,1402399,0
10.319,10.387,9.979,10.075,1017867,0
10.126,10.316,9.853,10.298,706857,0
10.353,10.353,10.034,10.193,614102,0
10.34,10.34,9.747,9.9,786606,0
9.91,10.218,9.9,10.218,502840,0
10.038,10.411,10.038,10.382,582582,0
10.411,11.0,10.382,10.908,2355352,0
11.106,11.164,10.913,11.017,1354442,0
11.017,11.243,10.891,11.231,865619,0
11.403,11.866,11.34,11.753,2702563,0
11.799,11.874,11.416,11.724,1153784,0
11.786,11.833,11.475,11.589,1059685,0
11.777,11.913,11.581,11.772,903727,0
11.874,12.157,11.777,12.046,957256,0
11.945,12.223,11.846,12.036,1093002,0
12.113,12.311,11.837,12.082,1143205,0
12.082,12.086,9.97,10.193,11412034,0
10.063,10.954,9.811,10.273,7424491,0
10.697,11.038,10.516,11.013,3586242,0
11.248,11.315,10.651,10.862,2387465,0
10.958,11.202,10.749,10.946,1198879,0
11.03,11.03,10.71,10.941,1010234,0
10.954,11.013,10.294,10.521,1954325,0
10.467,10.862,10.462,10.677,2584490,0
10.29,10.392,9.72,9.891,9548124,0
9.999,10.108,9.511,9.781,4396449,0
9.743,9.883,9.563,9.815,2052874,0
9.747,9.87,9.587,9.613,1216252,0
9.533,9.608,9.059,9.3615,2876233,0
9.2765,9.4105,9.1587,9.1964,2012152,0
9.1925,9.4105,9.1348,9.2853,1147630,0
9.3175,9.4066,9.1887,9.2051,1000163,0
9.2051,9.3527,8.9105,8.9863,1953631,0
8.8397,9.932,8.8186,9.697,4193566,0
9.84,9.91,9.578,9.769,1790832,0
9.835,9.835,9.4788,9.543,1340791,0
9.568,9.711,9.4105,9.4867,1246231,0
9.4451,9.559,9.3312,9.511,563139,0
9.511,9.688,9.4155,9.68,1509157,0
9.711,9.87,9.559,9.651,692812,0
9.503,9.688,9.3615,9.618,1109987,0
10.264,10.702,10.211,10.441,4695000,0
10.588,11.051,10.508,10.967,2806972,0
10.883,11.159,10.883,11.064,1193924,0
11.064,11.11,10.513,10.833,1845939,0
10.971,11.008,10.53,10.614,982536,0
10.567,10.634,10.382,10.554,752721,0
10.778,10.778,10.424,10.539,794756,0
10.572,10.899,10.513,10.867,966036,0
10.894,11.059,10.815,10.979,830737,0
11.004,11.008,10.53,10.614,1050507,0
10.697,10.71,9.795,10.37,2158807,0
10.319,10.656,10.202,10.629,1332840,0
10.913,11.564,10.913,11.542,4865099,0
11.572,11.857,11.114,11.664,2564655,0
11.753,11.753,11.529,11.652,1216832,0
11.74,11.772,11.433,11.596,816692,0
11.596,12.492,11.596,12.185,4566771,0
12.273,12.853,12.273,12.615,2926212,0
12.812,12.875,12.223,12.333,2767819,0
12.87,13.326,12.333,13.249,5321241,0
13.164,13.606,13.012,13.233,3124976,0
13.278,13.453,12.857,12.993,2067297,0
13.084,13.153,12.968,13.136,819933,0
13.194,13.242,13.057,13.242,2117131,0
13.614,13.907,13.437,13.778,2119826,0
13.808,13.813,13.246,13.514,1279648,0
13.494,13.955,13.333,13.912,1831019,0
13.988,13.988,13.429,13.476,1305828,0
13.379,13.421,12.673,12.866,2909258,0
12.723,12.904,11.926,12.703,4005780,0
12.567,13.249,12.567,13.176,1981378,0
13.282,13.374,12.749,13.084,1699376,0
13.157,13.265,12.879,13.017,669304,0
12.853,13.207,12.812,12.984,567738,0
12.993,13.001,12.824,12.87,433965,0
12.727,12.889,12.67,12.745,502359,0
12.686,12.913,12.427,12.9,605034,0
12.904,13.001,12.82,12.954,564763,0
12.993,13.11,12.774,13.012,713387,0
13.057,13.136,12.926,13.076,442139,0
13.096,13.202,12.82,12.87,530713,0
13.061,13.635,12.875,13.574,1601795,0
13.631,14.148,13.614,14.037,2200801,0
14.014,14.354,14.014,14.244,1222325,0
14.244,14.244,13.626,13.846,1351367,0
13.738,14.01,13.622,13.745,902722,0
13.715,13.715,13.349,13.426,941443,0
13.397,13.426,13.021,13.171,1401102,0
13.136,13.602,13.136,13.476,995115,0
13.442,13.602,13.256,13.463,706876,0
13.463,13.795,13.458,13.67,776527,0
13.561,13.565,13.118,13.274,1013568,0
13.185,13.207,12.861,12.926,1110197,0
12.861,12.972,12.488,12.884,1092971,0
12.85,13.561,12.833,13.476,1120518,0
13.701,13.875,13.418,13.514,839770,0
13.481,13.817,13.414,13.69,434810,0
13.701,13.992,13.533,13.64,859606,0
13.745,14.112,13.658,13.883,1166368,0
14.068,14.068,13.79,13.833,591914,0
13.883,14.812,13.883,14.784,2583036,0
14.837,14.851,14.124,14.208,1731814,0
14.148,14.275,13.578,13.64,1807355,0
13.578,13.971,13.344,13.602,1365574,0
13.724,13.871,13.538,13.662,494308,0
13.79,13.79,13.136,13.246,1203259,0
13.34,13.383,12.861,13.025,1442269,0
12.964,13.012,12.554,12.656,1812350,0
12.519,13.066,12.483,13.025,1270723,0
13.096,13.171,12.815,12.984,608569,0
13.001,13.141,12.893,13.092,428264,0
13.153,13.207,12.754,12.857,798352,0
12.791,12.896,12.483,12.754,1184006,0
12.652,12.977,12.454,12.686,652316,0
12.77,13.008,12.686,12.749,555247,0
12.833,13.586,12.795,13.433,1308171,0
13.498,13.71,13.317,13.41,875695,0
13.453,13.658,13.349,13.383,765986,0
13.344,13.344,12.661,12.736,974816,0
12.804,13.03,12.435,13.03,799836,0
13.034,13.581,13.017,13.383,1009307,0
13.551,13.715,13.37,13.69,943432,0
13.678,14.014,13.645,13.984,1115542,0
14.04,14.607,13.896,14.396,1534670,0
14.492,14.817,13.59,13.912,2189963,0
13.921,14.028,13.556,13.71,1329731,0
13.741,14.01,13.69,13.817,1041999,0
13.9,14.085,13.682,13.955,730671,0
13.955,14.5,13.921,14.359,851029,0
14.417,14.616,14.229,14.558,591059,0
14.797,15.776,14.7,15.762,3316683,0
15.817,15.984,15.427,15.609,1649609,0
15.623,15.728,15.25,15.52,707000,0
15.6,16.254,15.535,16.236,1560111,0
16.695,16.814,16.028,16.624,2581871,0
16.919,16.96,16.51,16.96,1939224,0
17.023,17.456,16.843,17.431,5266252,0
17.482,17.794,17.368,17.662,1677695,0
17.754,17.855,17.507,17.545,483854,0
17.662,17.758,17.423,17.566,1316914,0
17.622,17.864,17.44,17.642,1086135,0
16.978,16.991,16.148,16.241,5108447,0
16.259,16.821,16.259,16.783,1852437,0
16.919,16.955,16.518,16.835,903775,0
16.903,16.924,16.418,16.603,937212,0
16.722,16.734,16.431,16.629,746716,0
16.73,16.746,16.418,16.598,458891,0
16.662,16.915,16.427,16.737,981917,0
16.819,16.978,16.62,16.955,588203,0
17.075,17.314,17.03,17.119,1222701,0
17.159,17.159,16.629,16.851,760502,0
16.839,16.855,16.348,16.427,1038718,0
16.418,16.439,15.329,16.068,1788871,0
16.129,16.229,15.923,16.056,1012235,0
16.063,16.063,15.547,15.604,661293,0
15.543,15.543,14.767,15.347,1954151,0
15.325,15.935,15.325,15.86,1047478,0
15.969,16.077,15.535,15.675,742193,0
15.86,15.86,15.591,15.626,432609,0
15.696,15.997,15.427,15.595,795086,0
15.679,15.679,15.275,15.3,965257,0
15.431,15.754,15.311,15.586,872117,0
15.591,15.648,15.315,15.368,876970,0
