Open,High,Low,Close,Volume,OpenInt
17.336,17.609,17.159,17.609,4690,0
17.416,17.532,17.322,17.477,9954,0
17.283,17.618,17.283,17.469,29241,0
17.353,17.508,16.671,16.671,18318,0
17.089,17.089,16.437,16.686,33329,0
16.429,16.429,15.56,16.396,92118,0
16.211,16.513,16.211,16.437,14134,0
16.508,16.536,16.203,16.304,20161,0
16.296,16.296,15.752,16.219,15690,0
16.288,16.296,15.971,15.986,16708,0
16.063,16.259,15.986,16.128,13328,0
16.39,16.39,16.089,16.149,13007,0
15.971,16.234,15.971,16.103,12151,0
16.266,16.266,16.04,16.095,20204,0
16.046,16.28,15.971,16.28,8931,0
16.313,16.313,16.103,16.188,47342,0
16.46,16.46,16.046,16.226,9484,0
16.87,16.87,15.875,15.956,21221,0
16.157,16.242,15.769,15.986,6444,0
16.203,16.242,15.8,15.839,12142,0
16.119,16.142,15.574,15.729,28004,0
15.793,15.8,15.52,15.643,12071,0
15.956,15.956,15.458,15.785,56938,0
15.822,15.856,15.326,15.651,13005,0
15.195,15.867,14.822,15.45,49541,0
15.061,15.643,15.061,15.544,17288,0
15.395,15.643,14.954,15.636,13395,0
15.822,15.822,15.178,15.488,16557,0
15.335,15.643,15.232,15.271,2941,0
15.219,15.582,14.961,15.108,17493,0
15.224,15.224,14.782,14.797,46140,0
14.797,14.797,14.129,14.277,27003,0
14.37,14.37,14.169,14.191,17874,0
14.113,14.27,14.105,14.222,24757,0
14.433,14.636,14.137,14.37,16699,0
14.199,14.913,14.053,14.913,15582,0
15.031,15.031,14.587,14.876,21145,0
14.464,14.869,14.286,14.758,29612,0
15.076,15.076,14.65,14.97,16464,0
15.232,15.232,14.455,14.89,8162,0
15.224,15.224,14.455,14.897,19916,0
14.97,14.97,14.207,14.876,26522,0
14.65,14.929,14.286,14.774,19180,0
14.65,14.876,14.301,14.511,18819,0
14.471,14.92,14.207,14.882,30686,0
14.667,15.349,14.246,15.349,29521,0
14.937,15.916,14.89,14.986,13935,0
15.247,15.544,15.076,15.434,19273,0
15.706,15.729,15.14,15.505,12359,0
15.574,16.031,15.38,15.785,7429,0
15.863,15.875,15.582,15.875,10641,0
15.875,15.948,15.48,15.66,12786,0
16.009,16.009,15.636,15.971,11719,0
16.026,16.04,15.668,15.668,16477,0
15.752,15.924,15.271,15.582,8199,0
15.924,16.095,15.574,16.095,9324,0
15.7,16.219,15.418,16.054,4799,0
16.405,16.794,16.343,16.629,19909,0
16.951,16.972,16.313,16.484,25104,0
16.6,16.623,16.026,16.357,8945,0
16.452,16.452,15.875,16.381,27768,0
16.484,16.484,16.195,16.337,9434,0
16.063,16.304,15.884,16.009,12826,0
16.313,16.313,16.103,16.234,6098,0
16.219,16.375,16.219,16.242,4482,0
16.296,16.452,15.932,16.08,7376,0
15.932,16.381,15.932,16.296,13265,0
15.605,16.381,15.605,16.28,9650,0
16.396,16.396,15.8,16.259,6941,0
16.18,16.375,15.863,16.203,47937,0
16.513,16.894,16.484,16.754,34294,0
16.468,16.878,16.42,16.42,7261,0
16.211,16.569,16.211,16.522,9416,0
16.819,16.862,16.585,16.709,6212,0
16.351,16.629,15.418,15.677,40980,0
16.251,16.251,15.597,15.932,28554,0
15.72,16.054,15.605,15.986,23185,0
15.815,15.971,15.714,15.939,16438,0
14.027,16.054,14.027,16.054,75511,0
15.544,16.103,15.505,15.544,24654,0
15.535,15.651,15.116,15.21,29801,0
14.993,15.496,14.993,15.496,16417,0
15.195,15.255,14.97,15.116,15409,0
14.97,15.21,14.207,14.347,187730,0
14.137,14.394,13.656,14.254,26598,0
14.362,14.837,14.091,14.742,16085,0
14.797,15.496,14.439,15.472,35676,0
15.358,15.496,15.148,15.294,19716,0
15.418,15.668,15.162,15.349,26697,0
15.148,15.286,14.869,15.178,55581,0
14.913,15.148,14.913,14.954,7654,0
14.837,15.148,14.627,15.116,17673,0
15.148,15.496,14.937,15.472,54024,0
15.651,16.468,15.651,16.445,24946,0
16.11,16.119,15.068,15.496,33267,0
15.255,15.255,14.79,14.83,29553,0
15.053,15.053,14.602,14.627,18516,0
14.619,14.986,14.594,14.97,9110,0
14.89,14.92,14.503,14.58,4777,0
14.905,14.937,14.627,14.913,4757,0
14.587,15.116,14.587,15.061,25780,0
15.061,15.061,14.679,14.797,9362,0
15.108,15.116,14.727,15.068,8822,0
15.116,15.178,14.619,14.667,16578,0
14.627,15.162,14.627,15.116,6088,0
15.008,15.131,14.814,15.101,5279,0
15.349,15.496,15.101,15.496,9433,0
15.597,15.714,15.21,15.311,14402,0
15.613,15.613,15.17,15.418,11419,0
15.403,15.496,15.195,15.271,16001,0
15.186,15.263,14.937,15.108,13268,0
14.945,15.488,14.897,14.913,8362,0
14.937,14.937,14.518,14.542,26595,0
14.742,14.97,14.679,14.89,10285,0
15.014,15.203,14.782,15.148,157329,0
15.0,15.387,14.89,15.24,15667,0
15.046,15.458,15.014,15.458,23761,0
15.195,15.434,15.093,15.224,29923,0
15.131,15.574,15.046,15.574,19658,0
15.294,15.574,15.186,15.186,21653,0
15.186,15.574,15.155,15.349,10624,0
15.232,15.496,14.97,15.418,11878,0
15.56,15.56,14.986,15.418,4746,0
15.195,15.597,15.195,15.597,163963,0
15.677,15.677,15.326,15.496,22955,0
15.427,15.706,15.403,15.636,15584,0
15.434,15.677,15.434,15.605,4506,0
15.613,15.668,15.45,15.567,14743,0
15.496,15.714,15.496,15.714,148666,0
15.714,15.847,15.605,15.605,5440,0
15.714,15.948,15.636,15.948,11926,0
15.677,16.203,15.643,16.171,16275,0
15.932,16.304,15.72,16.203,11786,0
16.203,16.484,16.017,16.484,24210,0
16.484,16.527,16.322,16.513,15872,0
16.195,16.527,16.026,16.188,14919,0
15.924,16.351,15.924,16.242,7249,0
16.089,16.46,15.892,16.304,22491,0
16.405,16.405,15.847,16.046,147359,0
15.924,16.103,15.7,15.856,29970,0
16.135,16.135,15.909,15.924,12336,0
16.026,16.063,15.863,16.001,82439,0
15.847,15.847,15.605,15.714,8500,0
15.621,15.884,15.621,15.706,15559,0
15.643,15.643,15.186,15.271,33837,0
15.326,15.418,14.954,15.232,190742,0
15.255,15.255,15.023,15.219,17273,0
15.335,15.335,14.797,15.008,21574,0
15.116,15.116,14.805,14.822,12923,0
14.797,14.937,14.286,14.65,21865,0
14.526,14.945,14.494,14.742,17353,0
14.853,14.853,14.572,14.742,7117,0
14.636,14.905,14.636,14.79,14536,0
14.619,14.92,14.619,14.853,41433,0
14.619,14.797,14.362,14.362,17377,0
14.797,14.797,14.331,14.511,26570,0
14.464,14.705,14.464,14.619,4925,0
14.619,14.65,14.533,14.61,12180,0
