Open,High,Low,Close,Volume,OpenInt
10.012,10.2,10.012,10.148,410352,0
10.18,10.194,10.078,10.173,354838,0
10.257,10.411,10.251,10.399,866420,0
10.411,10.663,10.411,10.56,1349389,0
10.657,10.657,10.502,10.526,489965,0
10.616,10.616,10.469,10.483,2838100,0
10.56,10.56,10.431,10.502,1681683,0
10.502,10.56,10.45,10.509,844181,0
10.509,10.526,10.438,10.469,401488,0
10.431,10.483,10.399,10.431,1394950,0
10.462,10.553,10.431,10.521,3578566,0
10.521,10.657,10.521,10.657,686050,0
10.681,10.908,10.681,10.74,789760,0
10.7,10.825,10.631,10.715,376144,0
10.715,10.836,10.7,10.763,525107,0
10.771,10.771,10.616,10.657,330429,0
10.708,10.74,10.553,10.598,342245,0
10.598,10.668,10.586,10.586,674229,0
10.616,10.663,10.547,10.61,459175,0
10.623,10.695,10.623,10.668,189547,0
10.663,10.889,10.663,10.861,2989397,0
10.848,10.848,10.631,10.675,754773,0
10.908,11.029,10.883,10.972,1085982,0
10.996,11.105,10.991,11.105,816973,0
11.034,11.247,11.034,11.196,547033,0
11.164,11.247,11.145,11.145,663966,0
11.145,11.293,11.119,11.274,545322,0
11.336,11.359,11.235,11.241,344266,0
11.247,11.324,11.125,11.179,626647,0
11.21,11.235,10.996,11.1,361837,0
11.088,11.1,10.991,11.034,256566,0
10.996,11.029,10.869,11.023,287821,0
11.05,11.055,10.908,10.931,809819,0
10.797,10.931,10.604,10.902,537701,0
10.914,11.042,10.825,10.938,482967,0
10.883,11.034,10.786,10.938,595235,0
11.034,11.088,10.914,10.959,731915,0
10.966,11.06,10.861,10.908,408022,0
10.985,11.01,10.715,10.805,975581,0
10.825,10.883,10.675,10.786,419836,0
10.869,10.908,10.616,10.715,657124,0
10.715,10.746,10.598,10.61,1064677,0
10.56,10.56,10.373,10.458,1027357,0
10.458,10.458,10.155,10.322,1182541,0
10.56,10.966,10.533,10.715,1263864,0
10.7,10.779,10.663,10.687,402576,0
10.695,10.695,10.547,10.623,849781,0
10.616,10.825,10.586,10.797,951785,0
10.825,10.825,10.7,10.763,524638,0
10.771,10.792,10.708,10.715,343021,0
10.668,10.746,10.645,10.74,400247,0
10.695,10.734,10.623,10.651,440520,0
10.668,10.668,10.526,10.56,617784,0
10.568,10.586,10.489,10.54,519198,0
10.56,10.56,10.438,10.56,325762,0
