Open,High,Low,Close,Volume,OpenInt
21.192,22.289,21.192,22.289,965972,0
22.289,22.356,22.13,22.175,390729,0
22.047,22.303,22.047,22.112,378557,0
21.985,22.303,21.916,22.265,197748,0
22.234,22.515,22.188,22.453,179748,0
22.747,22.929,22.599,22.907,252550,0
22.826,22.961,22.747,22.907,201188,0
23.072,23.27,23.058,23.194,187952,0
23.181,23.405,23.14,23.166,317667,0
23.166,23.232,22.893,23.058,451616,0
23.111,23.132,22.732,22.786,363995,0
22.664,22.664,22.4,22.531,428059,0
22.72,22.893,22.706,22.755,165186,0
22.854,23.166,22.845,22.967,336467,0
22.893,23.132,22.794,22.988,136595,0
22.929,22.976,22.635,22.697,157508,0
22.475,22.557,22.37,22.475,152478,0
22.573,23.08,22.573,22.802,300194,0
22.599,22.628,22.475,22.628,234282,0
22.706,22.786,22.515,22.613,114362,0
22.531,22.543,22.34,22.475,174717,0
22.475,22.664,22.475,22.531,137660,0
22.515,22.599,22.37,22.599,127597,0
22.817,23.028,22.786,22.997,183981,0
22.988,23.028,22.838,22.961,158307,0
22.786,22.854,22.706,22.763,118597,0
22.771,23.013,22.771,22.961,128393,0
22.929,22.976,22.817,22.953,86298,0
22.893,22.961,22.628,22.649,202779,0
22.543,22.664,22.46,22.557,300461,0
22.566,22.649,22.543,22.582,183981,0
22.628,22.72,22.507,22.706,198804,0
22.664,22.953,22.649,22.786,144537,0
22.706,22.732,22.582,22.582,143480,0
22.582,22.613,22.439,22.439,115681,0
22.394,22.786,22.356,22.664,127862,0
22.628,22.869,22.543,22.817,99536,0
22.664,22.817,22.613,22.68,87357,0
22.591,22.591,22.332,22.356,191659,0
22.408,22.591,22.379,22.46,92919,0
22.37,22.493,22.364,22.408,114892,0
22.332,22.348,22.015,22.167,207012,0
22.152,22.34,22.138,22.31,129717,0
22.272,22.439,22.265,22.37,151951,0
22.46,22.543,22.408,22.507,86038,0
22.46,22.854,22.46,22.794,144799,0
22.794,22.976,22.706,22.922,92125,0
22.929,23.347,22.922,23.256,202510,0
23.249,23.396,23.157,23.166,118597,0
23.279,23.436,23.279,23.405,106948,0
23.459,23.504,23.314,23.459,89742,0
23.474,23.532,23.405,23.444,90274,0
23.263,23.279,22.997,23.065,139242,0
23.058,23.14,22.771,22.81,95566,0
22.649,22.649,22.265,22.324,150101,0
22.31,22.318,22.197,22.234,198541,0
22.205,22.289,22.098,22.138,102186,0
22.272,22.538,22.25,22.493,132890,0
22.446,22.826,22.446,22.817,943738,0
22.755,22.988,22.747,22.826,118065,0
22.869,22.929,22.786,22.922,66178,0
22.976,23.118,22.922,23.058,118065,0
23.004,23.004,22.599,22.802,131566,0
22.635,22.697,22.507,22.635,104563,0
22.961,22.988,22.475,22.83,148244,0
22.649,23.004,22.641,22.649,401586,0
22.732,22.779,22.467,22.507,111448,0
22.425,22.531,22.348,22.4,117800,0
22.439,22.573,22.356,22.493,110918,0
22.493,22.706,22.425,22.635,96095,0
22.68,22.817,22.68,22.706,97155,0
22.726,22.786,22.538,22.582,326139,0
22.493,22.649,22.446,22.501,197485,0
22.706,22.771,22.613,22.68,77829,0
22.557,22.582,22.439,22.557,95035,0
22.475,22.515,22.37,22.493,79414,0
22.672,22.854,22.531,22.582,84711,0
22.649,22.826,22.573,22.706,133158,0
22.802,22.826,22.68,22.826,85768,0
22.755,22.826,22.649,22.649,76771,0
22.755,22.946,22.726,22.869,79414,0
22.869,23.194,22.869,23.148,86298,0
23.111,23.249,22.976,23.043,108007,0
23.013,23.214,23.004,23.148,77303,0
23.08,23.256,23.013,23.157,71211,0
23.118,23.232,23.118,23.2,62213,0
23.214,23.624,23.173,23.532,99270,0
23.504,23.558,23.375,23.405,112772,0
23.306,23.354,23.2,23.27,64329,0
23.028,23.097,22.885,22.953,231894,0
23.004,23.132,22.961,22.988,70949,0
22.907,23.194,22.885,23.123,62739,0
23.241,23.527,23.2,23.511,333020,0
23.594,23.76,23.58,23.701,98211,0
23.836,23.89,23.753,23.873,125218,0
23.881,23.881,23.731,23.782,65652,0
23.936,23.985,23.782,23.829,91857,0
23.731,23.799,23.641,23.748,84184,0
23.89,24.244,23.89,24.216,75447,0
24.175,24.432,24.175,24.298,141888,0
24.298,24.404,24.04,24.351,120977,0
24.404,24.669,24.379,24.57,109066,0
24.372,24.516,24.252,24.432,160156,0
24.364,24.532,24.327,24.524,81005,0
24.298,24.351,24.124,24.351,61148,0
24.124,24.411,24.124,24.235,167040,0
24.319,24.327,24.057,24.108,133422,0
24.132,24.184,23.881,23.92,57975,0
23.973,24.063,23.881,24.026,48711,0
24.404,24.727,24.396,24.645,230309,0
24.268,24.351,24.085,24.175,130507,0
24.085,24.101,23.2,23.905,183451,0
23.573,23.948,23.422,23.748,155391,0
23.829,24.002,23.451,23.663,97683,0
23.693,23.867,23.677,23.782,59295,0
23.79,23.948,23.768,23.905,76239,0
24.033,24.108,23.867,24.018,92653,0
24.026,24.327,23.994,24.184,63798,0
24.146,24.283,24.094,24.201,61148,0
24.268,24.344,24.057,24.094,82859,0
24.002,24.069,23.815,23.881,81269,0
23.881,23.881,23.354,23.429,187952,0
23.504,23.89,23.497,23.873,78886,0
23.936,24.166,23.905,24.14,69360,0
24.132,24.132,23.948,23.948,81269,0
23.948,24.319,23.897,24.216,172601,0
24.319,24.546,24.298,24.351,96890,0
24.759,24.983,24.57,24.802,226871,0
24.968,25.583,24.968,25.576,236929,0
25.354,25.671,25.248,25.543,190073,0
25.609,25.968,25.597,25.725,273722,0
25.597,26.233,25.558,26.103,482591,0
25.876,25.899,25.778,25.815,222367,0
25.837,26.421,25.837,26.141,166247,0
26.079,26.154,25.869,25.944,200394,0
25.988,25.988,25.583,25.65,164657,0
25.747,25.837,25.65,25.711,190867,0
25.671,25.787,25.52,25.618,180540,0
25.815,25.815,25.55,25.55,115948,0
25.597,25.711,25.558,25.609,130507,0
25.567,25.733,25.37,25.702,150101,0
25.876,26.154,25.822,26.079,116477,0
26.094,26.315,26.094,26.276,82067,0
26.193,26.882,26.163,26.404,271080,0
26.442,26.716,26.343,26.533,99007,0
26.46,26.972,26.46,26.784,180804,0
26.827,27.129,26.729,27.048,213367,0
26.95,27.379,26.859,27.297,201456,0
27.288,27.787,27.213,27.705,154334,0
27.765,27.779,27.274,27.318,182926,0
27.318,27.461,27.086,27.123,228190,0
27.1,27.856,27.078,27.576,233220,0
27.589,27.99,27.486,27.841,216015,0
27.833,27.849,27.478,27.508,176041,0
27.461,27.502,27.032,27.108,169950,0
27.048,27.1,26.759,26.889,218128,0
26.904,27.069,26.819,26.995,97155,0
26.995,27.168,26.896,26.972,84184,0
26.896,26.896,26.677,26.708,86298,0
26.807,26.933,26.451,26.556,200660,0
26.343,26.646,26.141,26.64,251223,0
26.541,26.708,26.366,26.708,128393,0
26.882,26.986,26.669,26.708,82328,0
26.593,26.708,26.421,26.571,115948,0
26.533,26.986,26.533,26.95,140835,0
26.95,27.001,26.631,26.819,165716,0
26.504,26.751,26.374,26.404,172861,0
26.366,26.399,26.148,26.216,173924,0
26.315,26.442,26.193,26.315,192186,0
26.421,26.541,26.292,26.383,147982,0
26.331,26.723,26.315,26.723,123626,0
26.759,26.784,26.487,26.593,149566,0
26.723,26.925,26.631,26.708,129450,0
26.64,26.799,26.571,26.646,91328,0
26.593,26.745,26.512,26.556,147451,0
26.593,26.708,26.404,26.533,130772,0
26.593,26.745,26.451,26.617,73064,0
26.593,26.874,26.466,26.813,102186,0
26.646,26.95,26.563,26.866,84184,0
26.827,27.213,26.767,27.184,366906,0
27.274,27.53,27.26,27.343,208076,0
27.177,28.059,27.129,27.219,99800,0
27.052,27.358,26.95,27.213,123095,0
27.184,27.267,26.995,27.161,114362,0
27.161,27.351,26.972,27.251,181336,0
27.274,27.502,27.274,27.418,137124,0
27.425,27.538,27.228,27.267,132890,0
27.372,27.675,27.243,27.614,196690,0
27.681,27.975,27.576,27.969,119390,0
27.975,28.324,27.895,28.28,119921,0
29.11,29.179,28.913,29.124,187686,0
29.081,29.6,28.966,28.997,230836,0
29.179,29.345,29.132,29.222,162541,0
29.374,29.39,28.784,28.913,149566,0
28.821,28.854,28.482,28.618,167566,0
28.709,28.875,28.369,28.821,216277,0
28.838,29.026,28.709,28.943,347583,0
28.897,29.026,28.807,28.861,147717,0
28.821,28.821,28.597,28.663,141626,0
28.671,28.671,28.46,28.589,178952,0
28.551,28.875,28.451,28.776,119390,0
28.771,28.784,28.482,28.506,154334,0
28.597,28.641,28.369,28.369,133685,0
28.399,28.663,28.332,28.369,142688,0
28.294,28.294,28.089,28.211,198804,0
28.491,28.776,28.491,28.671,228719,0
28.784,28.897,28.732,28.784,118597,0
28.821,28.973,28.671,28.951,147451,0
28.99,29.132,28.913,29.048,177098,0
29.124,29.238,28.89,29.148,320314,0
29.124,29.238,29.048,29.164,131035,0
29.124,29.216,29.033,29.048,56384,0
29.148,29.283,29.048,29.27,182926,0
29.262,29.426,29.2,29.405,159891,0
29.352,29.532,29.171,29.457,143745,0
