Open,High,Low,Close,Volume,OpenInt
27.256,27.567,27.223,27.39,151947,0
27.591,27.759,27.059,27.31,151085,0
27.31,28.371,27.231,28.371,161520,0
28.363,29.868,28.185,29.011,271170,0
29.467,29.467,28.068,28.333,147751,0
28.732,28.732,28.193,28.532,67595,0
28.732,29.107,28.685,28.814,131644,0
28.99,28.99,28.457,28.62,85763,0
28.902,28.914,27.625,27.885,96091,0
27.994,28.318,26.853,27.133,194513,0
26.248,26.565,25.703,26.33,168261,0
26.44,27.782,26.168,26.918,264174,0
27.435,27.81,27.021,27.068,229793,0
27.403,27.412,25.931,25.953,199718,0
24.383,24.731,23.841,24.142,667179,0
24.31,24.342,23.963,24.193,315799,0
24.193,24.31,23.81,23.913,63834,0
24.215,24.274,23.847,24.089,169599,0
23.943,24.442,23.898,24.045,143041,0
24.408,24.408,24.089,24.128,146050,0
24.31,24.496,24.018,24.098,184353,0
23.861,24.142,23.619,23.649,92505,0
23.613,23.943,23.207,23.706,93877,0
23.471,23.572,22.292,22.808,189293,0
22.845,23.014,22.102,22.654,138288,0
22.182,23.207,22.182,22.735,142737,0
22.661,23.081,22.47,22.985,102372,0
23.153,23.745,23.153,23.331,72794,0
23.426,23.426,23.266,23.352,53825,0
23.654,23.853,23.219,23.294,61497,0
23.492,23.546,22.97,23.028,171216,0
23.0,23.384,22.947,23.285,138717,0
23.384,23.685,23.285,23.377,98107,0
23.388,23.685,23.153,23.395,82126,0
23.56,23.752,22.565,22.94,76324,0
22.705,23.294,22.705,23.133,73522,0
23.54,23.54,22.927,23.028,49271,0
23.028,23.059,22.255,22.255,79502,0
22.292,23.022,22.233,22.72,77118,0
23.007,23.022,21.688,22.123,91798,0
22.026,22.437,21.77,22.057,59767,0
22.167,22.307,21.306,21.518,123492,0
21.327,21.571,20.826,21.018,121191,0
20.751,20.847,19.303,19.377,256764,0
20.65,21.101,20.222,20.936,214418,0
20.973,22.102,20.923,21.747,175833,0
21.99,22.323,21.379,21.895,173011,0
21.939,22.284,21.939,22.152,104964,0
21.961,22.896,21.952,22.594,156687,0
22.927,23.56,22.558,22.646,102653,0
22.814,23.236,22.477,22.875,95545,0
22.763,22.763,21.982,22.255,128944,0
22.47,23.028,22.034,22.822,111440,0
22.935,23.685,22.919,23.102,143499,0
23.477,23.477,22.868,22.992,80630,0
23.257,23.316,23.133,23.199,98772,0
23.419,24.489,23.257,24.391,163419,0
24.663,24.663,23.613,23.745,133540,0
23.572,24.368,23.572,23.771,113352,0
23.572,24.282,23.572,23.758,190361,0
24.0,24.089,23.649,23.722,156943,0
23.572,24.018,23.572,23.685,206717,0
24.193,24.193,23.572,23.691,87548,0
23.649,24.0,23.649,23.841,118634,0
23.758,23.868,23.471,23.523,190913,0
23.572,23.572,23.219,23.219,213684,0
23.212,23.572,23.161,23.506,210295,0
23.54,23.566,23.207,23.54,157591,0
23.419,23.572,23.388,23.499,222621,0
23.54,23.654,23.426,23.633,457185,0
23.649,23.758,23.613,23.691,335524,0
23.685,23.943,23.388,23.477,190026,0
