Open,High,Low,Close,Volume,OpenInt
26.966,27.509,26.833,27.509,21883,0
27.262,27.441,26.743,26.998,33632,0
26.998,27.583,26.743,26.998,37645,0
26.948,27.063,26.735,26.892,15972,0
27.196,27.196,26.621,27.137,13933,0
27.566,27.771,27.023,27.082,18144,0
27.303,27.475,26.876,26.892,15909,0
26.785,27.122,26.621,26.621,53840,0
26.621,26.692,26.47,26.488,20770,0
26.488,26.825,26.381,26.537,36753,0
26.907,26.907,26.431,26.563,47981,0
26.8,27.082,26.462,26.505,39828,0
26.998,27.023,26.084,26.185,26686,0
26.044,26.611,26.044,26.586,23319,0
26.621,27.475,26.372,27.412,59189,0
27.509,27.566,26.53,26.53,75483,0
26.53,26.885,26.3,26.67,26028,0
26.858,26.94,26.346,26.57,27245,0
26.331,26.628,26.331,26.462,36048,0
26.496,26.743,26.339,26.555,23111,0
26.709,26.809,26.282,26.661,33769,0
26.454,26.809,26.266,26.331,22604,0
26.578,27.262,26.578,27.212,43950,0
26.948,27.245,26.249,26.594,49047,0
26.661,26.661,26.24,26.258,51957,0
26.308,26.372,25.772,26.282,54712,0
26.415,26.437,26.011,26.159,18204,0
26.381,26.415,25.938,26.044,21247,0
25.862,26.76,25.755,26.408,10366,0
26.141,26.445,25.747,25.946,15526,0
25.715,25.788,25.188,25.188,18145,0
25.188,26.101,25.016,25.731,23569,0
25.434,25.584,25.401,25.425,16386,0
25.682,25.682,25.401,25.418,29279,0
25.623,25.623,25.098,25.245,49107,0
25.098,25.501,25.098,25.492,23518,0
25.673,26.109,25.303,25.853,38405,0
26.292,26.292,25.279,25.279,49630,0
25.83,26.53,25.575,26.53,32562,0
26.109,26.586,25.788,26.117,28045,0
26.24,26.594,25.846,25.961,40961,0
26.308,26.602,25.921,25.975,44412,0
25.788,26.117,25.549,25.921,12336,0
25.664,25.814,25.279,25.303,38937,0
25.303,25.796,25.137,25.557,27425,0
25.509,26.035,25.18,26.035,104545,0
25.946,26.53,25.846,26.193,23071,0
26.323,27.318,26.199,27.154,14339,0
26.948,27.188,26.661,26.931,18233,0
26.692,27.073,26.621,26.948,22501,0
26.948,27.145,26.792,27.145,21210,0
26.743,27.015,26.292,26.636,37479,0
26.7,26.7,25.796,26.249,32705,0
26.505,26.555,25.541,25.541,9091,0
25.549,25.886,25.549,25.591,68292,0
25.425,26.431,25.425,26.356,37448,0
25.846,26.514,25.846,26.381,29727,0
26.537,28.141,26.537,27.359,30995,0
27.598,27.888,27.303,27.303,11234,0
27.647,27.762,26.8,27.254,36664,0
26.866,27.434,26.866,27.204,28438,0
26.931,27.318,26.931,27.154,20060,0
27.434,27.434,27.089,27.188,32723,0
27.137,27.359,27.047,27.245,7624,0
27.303,27.976,27.179,27.805,22939,0
27.525,27.918,27.318,27.318,13520,0
27.188,27.779,27.154,27.221,10755,0
26.57,27.475,26.399,26.876,18631,0
26.876,26.876,25.938,26.488,16587,0
26.079,26.478,25.984,26.002,24955,0
26.323,26.653,26.177,26.454,32997,0
26.292,26.677,26.282,26.323,15857,0
26.315,26.866,26.292,26.768,17669,0
26.957,26.957,26.505,26.514,5933,0
27.015,27.015,26.415,26.628,8187,0
26.364,26.858,26.364,26.816,13605,0
26.998,27.732,26.974,27.385,42679,0
27.591,28.967,27.483,28.867,67044,0
28.79,29.037,28.553,28.553,86490,0
28.461,28.652,28.28,28.461,14629,0
28.316,28.43,28.086,28.224,11392,0
28.538,28.584,27.788,28.238,21200,0
28.028,28.028,26.825,26.825,21904,0
26.816,27.04,26.478,26.948,83022,0
26.974,27.128,26.692,26.825,21161,0
27.04,28.637,26.99,28.637,33723,0
28.256,28.659,28.224,28.659,15463,0
28.28,29.21,28.28,28.825,66537,0
28.593,29.227,28.56,29.227,14998,0
29.006,30.522,29.006,30.454,85079,0
30.223,30.322,29.287,29.377,43213,0
29.082,29.67,28.629,29.662,18252,0
29.369,30.817,29.269,30.735,14585,0
30.47,31.269,30.149,30.741,35591,0
30.141,30.232,28.922,29.484,41329,0
29.305,29.384,28.553,29.031,44308,0
29.031,29.218,28.39,28.437,21612,0
28.265,28.79,28.265,28.79,13850,0
28.461,28.621,28.265,28.265,20071,0
28.621,28.621,27.97,28.035,52564,0
27.896,29.18,27.657,29.064,32576,0
28.882,28.882,27.74,27.74,37413,0
27.985,28.522,27.625,28.522,45305,0
28.545,28.545,27.664,27.664,19417,0
28.01,28.505,27.566,28.505,18395,0
28.331,28.452,27.821,28.452,2754,0
28.514,29.006,28.265,28.997,19130,0
28.782,29.097,28.39,28.415,18861,0
28.905,29.203,28.39,28.843,15406,0
28.752,29.534,28.398,29.534,12506,0
29.218,29.235,28.859,28.989,17577,0
29.342,29.342,28.194,28.324,20838,0
28.194,28.256,27.591,27.591,28661,0
27.591,28.091,27.377,27.377,12839,0
27.377,27.863,27.023,27.441,56330,0
27.566,27.566,26.677,26.892,33180,0
26.636,27.566,26.636,27.419,36472,0
27.229,27.303,26.816,27.229,24368,0
26.957,27.493,26.957,27.483,27649,0
27.221,27.706,27.221,27.221,25342,0
27.327,28.086,26.892,27.591,18892,0
27.245,27.591,27.154,27.196,15324,0
27.073,27.549,27.073,27.335,16839,0
27.475,27.732,27.229,27.732,7128,0
27.509,27.616,27.483,27.525,15099,0
27.616,28.141,27.412,27.746,8657,0
27.591,27.746,27.566,27.591,25341,0
27.549,27.796,27.278,27.31,27282,0
27.04,27.541,26.825,27.541,6778,0
27.493,27.517,27.221,27.403,13045,0
27.245,28.308,27.245,28.308,20298,0
28.308,28.39,28.028,28.316,16483,0
28.185,28.469,28.141,28.256,10743,0
28.398,29.006,28.194,29.006,25789,0
28.692,29.006,28.43,29.006,12716,0
28.576,28.834,28.514,28.728,11145,0
28.867,29.171,28.308,28.743,12103,0
28.576,29.235,28.576,29.235,14654,0
28.905,28.905,28.553,28.593,19097,0
28.531,28.834,28.531,28.701,23472,0
28.593,28.602,28.125,28.29,16336,0
28.56,28.94,28.194,28.94,108731,0
29.006,29.073,28.108,28.545,8048,0
28.43,28.735,28.125,28.299,14913,0
28.125,28.363,27.928,27.928,17450,0
28.208,28.79,27.68,28.479,28909,0
28.683,29.21,27.68,27.829,62197,0
27.993,28.185,27.771,28.091,33438,0
27.976,28.43,27.771,28.338,25882,0
28.208,28.265,27.591,27.706,16328,0
27.575,27.788,27.03,27.788,84611,0
27.706,27.829,27.598,27.732,12534,0
27.557,27.888,27.525,27.557,6073,0
27.502,27.779,27.073,27.122,7393,0
27.03,27.082,26.661,26.661,41851,0
26.85,26.925,26.431,26.621,19473,0
26.885,27.509,26.809,27.278,17901,0
27.475,27.475,26.966,26.966,12179,0
26.948,27.097,26.266,26.346,35318,0
26.346,26.454,25.954,26.125,40354,0
25.961,26.653,25.929,26.372,30044,0
26.727,27.509,26.628,27.509,14971,0
27.458,27.557,27.262,27.303,33550,0
27.762,27.762,26.7,26.948,53921,0
26.809,28.086,26.809,28.02,49667,0
27.779,28.02,27.541,27.746,14857,0
27.549,28.39,27.549,27.97,28529,0
28.06,28.355,28.06,28.308,22717,0
28.117,28.117,27.369,27.732,18000,0
27.502,28.752,27.502,28.382,12509,0
28.347,28.445,27.483,27.483,24011,0
27.771,28.531,27.771,28.531,33028,0
28.39,29.013,28.39,29.006,29306,0
28.675,28.859,28.02,28.347,26165,0
28.166,28.882,28.158,28.882,21592,0
