Open,High,Low,Close,Volume,OpenInt
4.8833,4.8833,4.711,4.7683,129831,0
4.6918,4.8546,4.6918,4.8162,146682,0
4.7493,4.8546,4.7205,4.845,106320,0
4.7971,4.8066,4.6248,4.644,206746,0
4.6344,4.6918,4.5195,4.6535,160080,0
4.644,4.711,4.5481,4.5578,149335,0
4.5481,4.644,4.5002,4.5673,260048,0
4.6151,4.6918,4.5386,4.596,243201,0
4.5578,4.6535,4.5195,4.5195,109394,0
4.4907,4.6056,4.4907,4.529,87716,0
4.596,4.596,4.5002,4.529,75799,0
4.5002,4.5386,4.5002,4.5002,63283,0
4.4715,4.5578,4.4715,4.5481,100678,0
4.5481,4.5578,4.3567,4.4525,417454,0
4.4238,4.4619,4.3567,4.4046,92173,0
4.4046,4.4907,4.4046,4.4715,48362,0
4.4238,4.5386,4.4046,4.4907,73433,0
4.4907,4.5578,4.4525,4.5098,72817,0
4.4811,4.5481,4.4811,4.5002,65490,0
4.4907,4.5481,4.4907,4.5002,48898,0
4.6056,4.6056,4.4811,4.5195,58115,0
4.5002,4.5481,4.2609,4.3088,139897,0
4.3088,4.4333,4.2035,4.2609,105450,0
4.3662,4.3662,4.1077,4.1555,125789,0
4.146,4.1555,3.9641,3.9737,207253,0
3.9641,4.0695,3.7918,4.0406,156400,0
4.0406,4.0982,4.0023,4.012,67664,0
4.0215,4.0215,3.8301,3.8971,237337,0
4.012,4.012,3.8971,3.9257,60349,0
3.9737,3.9737,3.8779,3.9449,56682,0
3.8874,3.9833,3.8587,3.9257,60490,0
3.8779,3.9257,3.7821,3.8874,103872,0
3.9162,3.9257,3.8301,3.9066,53960,0
3.8492,3.9257,3.8013,3.8779,79030,0
3.8971,3.8971,3.7343,3.8204,82758,0
3.7535,3.8204,3.7151,3.7535,129519,0
3.8971,3.9545,3.8587,3.9449,139745,0
3.9737,3.9737,3.6577,3.8874,164199,0
3.8301,4.012,3.8301,3.9545,153939,0
3.8779,3.8971,3.7821,3.8109,234998,0
3.7439,3.9257,3.7439,3.8204,57188,0
3.8301,3.9162,3.8204,3.8301,40432,0
3.7821,3.8492,3.7631,3.8301,77061,0
3.7631,3.8301,3.7631,3.7821,36910,0
3.7631,3.7821,3.7055,3.7439,77646,0
3.7535,3.8301,3.6481,3.7821,60754,0
3.7151,3.8301,3.7151,3.8204,34979,0
3.8779,3.8779,3.7151,3.7918,52666,0
3.7247,3.7821,3.6864,3.7343,52206,0
3.696,3.8301,3.696,3.8301,92928,0
3.9257,4.0023,3.6577,3.9737,146285,0
3.8971,4.3088,3.8971,4.0311,144511,0
4.0695,4.1077,3.9353,4.0215,61756,0
4.0695,4.28,3.9449,4.0886,243359,0
4.1651,4.1651,4.0406,4.1174,32444,0
4.1174,4.5195,4.1174,4.28,158798,0
4.3088,4.3376,3.9833,4.0791,102735,0
4.0311,4.3279,4.0215,4.2513,103457,0
4.5002,4.5002,4.1651,4.213,113564,0
4.1365,4.3088,4.1174,4.28,58983,0
4.213,4.3567,4.1174,4.1939,81804,0
4.2609,4.2609,4.0406,4.213,139093,0
4.2609,4.2609,4.0695,4.1651,74002,0
4.1077,4.1939,4.0886,4.1174,35934,0
4.1269,4.1939,4.0695,4.1843,45337,0
4.2513,4.3567,4.1747,4.3471,221268,0
4.3567,4.845,4.3567,4.7205,603904,0
4.7014,4.7683,4.5195,4.5578,173144,0
4.596,4.8833,4.3088,4.395,1028174,0
4.3088,4.6056,4.2705,4.5386,319589,0
4.644,4.8737,4.4811,4.596,687149,0
4.6344,4.644,4.3662,4.4525,291791,0
4.4333,4.4811,4.3279,4.3758,103219,0
4.395,4.5002,4.3567,4.4907,101337,0
4.5481,4.9216,4.4525,4.8833,876890,0
4.9216,5.5344,4.7493,5.2951,2979790,0
5.3525,5.3621,4.9407,5.0556,713855,0
5.0556,5.1514,4.8353,4.8929,417920,0
4.9503,4.9791,4.8353,4.9407,260932,0
4.96,4.96,4.663,4.845,265826,0
4.8737,5.0653,4.7493,4.9983,379817,0
4.9695,4.9983,4.8162,4.8353,222820,0
