Open,High,Low,Close,Volume,OpenInt
11.716,11.998,11.678,11.983,185297,0
12.013,12.072,11.894,12.056,120707,0
11.983,12.131,11.983,12.102,115250,0
12.04,12.154,12.013,12.056,89056,0
12.161,12.161,11.879,11.887,71608,0
12.013,12.013,11.843,11.872,34861,0
11.937,12.072,11.619,11.627,108134,0
11.597,11.921,11.575,11.909,254145,0
11.811,11.864,11.76,11.843,251064,0
11.835,12.146,11.811,12.056,183030,0
12.04,12.056,11.998,11.998,157743,0
11.93,12.056,11.93,11.983,240968,0
12.047,12.213,11.976,12.138,140481,0
12.081,12.205,12.081,12.161,129153,0
12.072,12.19,10.217,10.752,4338513,0
10.889,10.889,10.113,10.358,1306676,0
10.305,10.423,10.106,10.21,751136,0
10.266,10.366,9.948,10.03,530957,0
10.091,10.091,9.421,9.682,787763,0
9.711,10.091,9.636,9.912,333371,0
9.921,9.978,9.74,9.74,415888,0
9.716,9.746,9.1464,9.4372,674280,0
9.3619,9.629,9.3619,9.591,270371,0
9.561,10.091,9.556,9.957,682546,0
9.985,9.985,9.503,9.549,548179,0
9.526,9.549,9.287,9.3314,276623,0
9.3984,9.549,9.3846,9.4581,85005,0
9.4948,9.695,9.4878,9.599,50361,0
9.577,9.577,9.4809,9.526,38079,0
9.503,9.535,9.2812,9.3391,360435,0
9.3619,9.985,9.3619,9.556,511035,0
9.503,9.807,9.2503,9.771,130941,0
9.807,9.873,9.755,9.771,131029,0
9.807,9.807,9.3777,9.421,300207,0
9.421,9.4809,9.0872,9.1386,326601,0
9.1386,9.2127,9.0046,9.2127,156243,0
9.2127,9.2127,9.0661,9.2048,84077,0
9.2281,9.2725,9.0046,9.0748,153632,0
9.0748,9.2957,8.8353,9.1981,100219,0
9.155,9.2127,9.0661,9.1771,133157,0
9.131,9.2203,9.1157,9.1464,62030,0
9.1981,9.1981,9.0046,9.0872,287826,0
9.0661,9.1464,9.0207,9.0349,187930,0
8.9822,9.0207,8.9822,8.9822,673618,0
8.9822,9.1981,8.9681,9.1981,323509,0
9.155,9.2503,8.9324,9.0595,322358,0
9.0748,9.1157,8.9822,9.0207,908001,0
8.9981,9.4132,8.9981,9.3391,191007,0
9.4132,9.4132,9.1618,9.1981,55676,0
9.2957,9.3235,9.0595,9.0595,44749,0
9.0349,9.3235,9.0349,9.303,188817,0
9.2348,9.2725,9.1464,9.1858,204337,0
8.6117,8.8564,8.3598,8.5374,1658253,0
8.5154,8.6565,8.0849,8.1517,504186,0
8.1442,8.2556,7.4094,7.595,1061543,0
7.6025,7.7212,7.3797,7.6989,827480,0
7.7507,7.9662,7.6989,7.8772,193482,0
7.8993,7.9662,7.543,7.7507,1522181,0
7.6914,7.8103,7.6841,7.7435,281195,0
7.7507,8.3523,7.6841,8.0999,618590,0
8.0999,8.4709,8.0999,8.4192,553971,0
8.2926,8.4484,8.2261,8.2779,202222,0
8.2182,8.2779,8.1665,8.1962,141781,0
8.1887,8.2332,8.0256,8.2182,293942,0
8.2261,8.3296,8.1813,8.2926,372573,0
8.2706,8.3446,8.1145,8.1297,136959,0
8.122,8.3892,8.122,8.2706,162974,0
8.2631,8.3747,8.2409,8.2926,97711,0
8.2854,8.2854,8.2035,8.2332,74626,0
8.2182,8.2556,8.1962,8.2035,214163,0
8.1887,8.2332,8.1442,8.2182,138357,0
8.2332,8.2332,8.1297,8.1442,136783,0
8.1145,8.2112,8.0775,8.2112,102715,0
8.2332,8.2926,8.0924,8.1813,238306,0
8.1145,8.3446,8.1145,8.2483,649590,0
8.2035,8.4041,8.2035,8.3523,166656,0
8.3892,8.486,8.3004,8.4192,413494,0
8.4484,8.5605,8.367,8.5374,92091,0
8.574,8.6941,8.0032,8.6269,369509,0
8.7169,8.8851,8.5374,8.6488,171734,0
8.6786,8.9482,8.6565,8.9009,121602,0
8.9822,9.1932,8.7097,8.9681,79881,0
8.9009,8.9482,8.7384,8.7522,61030,0
8.7307,8.8287,8.5374,8.775,541879,0
8.7676,8.9168,8.6117,8.7823,67387,0
8.8851,8.9082,8.6941,8.8639,145711,0
8.8787,8.9681,8.8213,8.9681,111953,0
8.9324,9.131,8.9324,9.0207,76314,0
9.0349,9.0595,8.9681,9.0509,61711,0
9.0509,9.1014,8.9681,9.0661,89825,0
9.0661,9.1232,8.9009,8.9238,92161,0
8.8353,9.0872,8.6786,9.0433,37644,0
8.9981,9.0661,8.8851,9.0273,51656,0
8.9981,9.0872,8.9981,9.0273,215931,0
9.0207,9.0207,8.7097,8.7169,152971,0
8.7016,8.7899,8.6639,8.686,61253,0
8.8055,8.8055,8.6269,8.6786,63475,0
8.6042,8.7307,8.5895,8.7097,45890,0
8.7169,8.7169,8.5154,8.6042,309416,0
8.6269,8.6414,8.5821,8.6196,421985,0
8.5374,8.6941,8.5374,8.6488,52462,0
8.6488,8.6488,8.4342,8.4564,143455,0
8.4778,8.7016,8.4484,8.6786,117310,0
8.6565,8.8287,8.5235,8.5235,84432,0
8.5374,8.6269,8.5004,8.5004,121381,0
8.5235,8.5453,8.5004,8.5305,209473,0
8.5528,8.6117,8.5082,8.574,113108,0
8.5605,8.7307,8.5082,8.5895,181448,0
8.686,8.7247,8.3819,8.6042,93556,0
8.6196,8.6941,8.5374,8.6196,66952,0
8.5305,8.6042,8.5235,8.5678,106259,0
8.5678,8.6488,8.5678,8.6488,284144,0
8.6352,8.6352,8.5605,8.574,178007,0
8.6414,8.7097,8.5678,8.6042,577489,0
8.6352,8.7097,8.5976,8.6196,249970,0
8.6786,8.8639,8.2182,8.2926,1033769,0
8.2779,8.2779,8.0775,8.1297,462668,0
