Open,High,Low,Close,Volume,OpenInt
15.647,16.128,15.471,16.112,30970,0
15.99,16.135,15.99,16.12,24339,0
16.12,16.492,15.849,16.357,14427,0
16.08,16.614,15.787,16.53,20083,0
16.631,16.956,16.492,16.823,40531,0
16.979,17.274,16.593,17.274,35795,0
17.134,17.426,16.979,17.149,21096,0
16.877,17.079,16.692,16.753,43496,0
16.568,16.652,16.438,16.631,10637,0
16.366,16.438,16.012,16.028,33059,0
15.998,16.158,15.943,15.972,8606,0
15.934,16.499,15.934,16.357,58654,0
16.35,16.421,15.759,15.841,28647,0
15.726,16.049,15.694,15.801,17086,0
15.943,15.943,15.277,15.51,48525,0
15.639,15.639,15.146,15.376,65245,0
15.16,15.578,15.122,15.283,43429,0
15.13,15.694,15.13,15.603,53408,0
15.488,15.57,14.946,15.06,85751,0
14.985,15.495,14.812,14.821,25317,0
14.805,14.975,14.365,14.765,63201,0
14.473,14.812,14.342,14.782,47312,0
14.765,15.199,14.658,15.146,15108,0
14.968,15.082,14.765,15.0,39400,0
14.812,15.114,14.38,14.765,13461,0
14.674,15.107,14.457,15.107,27666,0
15.0,15.255,14.58,15.028,27274,0
15.248,15.283,15.06,15.076,15713,0
15.051,15.409,14.897,15.199,25557,0
15.353,15.385,14.961,14.985,20567,0
15.13,15.13,14.674,14.759,17255,0
14.743,15.471,14.736,15.471,47476,0
15.223,15.531,14.765,14.797,33485,0
14.797,15.13,14.586,14.586,17567,0
14.586,14.706,13.823,13.831,26124,0
13.683,14.24,13.655,14.188,20056,0
14.232,14.897,14.092,14.765,24617,0
14.595,14.821,14.009,14.277,23476,0
14.505,15.223,14.277,14.874,74862,0
15.014,15.082,14.317,14.317,43824,0
14.543,14.765,14.543,14.759,10179,0
14.689,14.867,14.425,14.425,14094,0
14.196,15.199,14.196,15.068,30679,0
14.874,15.409,14.874,15.09,20071,0
15.122,15.538,14.812,15.538,30251,0
15.538,15.624,15.353,15.368,35433,0
15.308,15.816,15.308,15.816,13323,0
15.816,15.896,15.51,15.759,25377,0
15.609,15.958,15.609,15.808,23427,0
16.036,16.036,15.772,15.772,2661,0
15.896,15.896,15.639,15.873,8946,0
15.816,15.958,15.816,15.834,23395,0
16.073,16.087,15.455,15.686,18311,0
15.826,15.826,15.495,15.495,12562,0
15.633,15.787,15.488,15.787,29570,0
15.538,15.972,15.538,15.896,62493,0
16.028,16.028,15.816,15.816,17825,0
16.096,16.282,16.028,16.152,27422,0
16.299,16.383,15.587,15.587,36683,0
15.587,15.772,15.578,15.772,4689,0
15.51,15.972,15.51,15.686,18952,0
15.896,16.044,15.615,15.742,10760,0
15.849,15.965,15.664,15.742,23323,0
15.918,16.056,15.834,16.056,7453,0
15.888,15.99,15.718,15.718,4600,0
15.71,15.71,15.315,15.315,13531,0
15.538,15.826,15.308,15.672,12542,0
15.672,15.816,15.277,15.686,7104,0
15.385,15.502,15.215,15.215,4767,0
15.007,15.199,14.888,14.913,3833,0
15.277,15.694,15.262,15.555,22273,0
15.431,15.639,15.431,15.555,36384,0
15.338,15.633,15.262,15.555,12232,0
15.308,15.633,15.308,15.415,7015,0
15.415,15.424,14.782,15.014,27362,0
14.961,15.191,14.867,15.191,26785,0
15.076,15.694,15.042,15.647,37597,0
15.353,15.91,15.353,15.91,21017,0
15.826,15.866,15.615,15.615,54186,0
15.525,15.808,15.292,15.562,8270,0
15.207,15.546,15.207,15.401,5349,0
15.742,15.841,15.368,15.471,20389,0
15.215,15.578,14.897,14.897,17461,0
14.821,15.359,14.821,15.338,101574,0
15.191,16.173,14.975,15.934,37982,0
16.006,16.739,16.006,16.173,54623,0
16.173,16.173,15.95,16.12,19303,0
16.173,16.229,15.841,16.128,13036,0
16.173,16.173,15.808,16.12,25427,0
15.801,16.321,15.801,16.282,57217,0
16.158,16.39,16.158,16.19,7676,0
15.718,16.522,15.718,16.522,13455,0
16.593,17.327,16.357,17.248,28305,0
17.248,17.58,17.226,17.482,34502,0
17.304,17.573,17.274,17.475,11572,0
17.312,17.434,17.241,17.241,6285,0
17.241,17.319,16.607,16.614,19138,0
16.357,16.77,16.182,16.77,11701,0
16.94,16.987,16.19,16.198,15097,0
16.398,16.778,16.173,16.584,6439,0
16.39,17.395,16.39,17.265,11082,0
17.134,17.281,16.19,16.53,35350,0
16.357,17.164,16.357,17.164,15242,0
16.747,17.17,16.537,16.537,31015,0
16.421,17.529,16.421,17.419,22242,0
17.289,17.52,17.054,17.497,11307,0
17.265,17.931,17.265,17.931,32558,0
17.799,17.931,17.676,17.721,14866,0
17.915,17.931,17.015,17.791,41985,0
17.558,17.924,17.558,17.876,17960,0
17.931,18.21,17.83,18.137,31634,0
17.915,17.915,17.157,17.349,20951,0
17.195,17.201,16.53,16.568,24210,0
16.447,16.739,16.43,16.739,6693,0
16.823,16.854,16.438,16.7,26037,0
16.87,17.149,16.087,16.35,24880,0
16.198,16.747,16.198,16.593,15196,0
16.485,16.513,15.759,16.166,20353,0
16.049,16.832,15.888,16.832,35589,0
16.668,17.403,16.561,16.7,21788,0
16.607,17.373,16.182,16.877,19318,0
16.732,17.333,16.291,16.561,33244,0
16.469,16.816,16.065,16.08,18618,0
16.012,16.87,16.012,16.87,30324,0
16.7,16.87,16.676,16.832,11267,0
16.87,17.054,16.717,16.862,6715,0
16.785,16.956,16.739,16.893,13715,0
16.794,16.794,16.357,16.357,17419,0
16.321,16.492,16.166,16.421,3465,0
16.212,16.43,15.998,16.143,15364,0
16.036,16.987,16.028,16.753,41314,0
16.893,16.971,16.26,16.7,34666,0
16.6,17.443,16.593,16.6,46701,0
16.7,17.241,16.593,16.948,24815,0
16.739,16.877,16.593,16.877,39517,0
16.794,16.948,16.545,16.584,39791,0
16.576,16.794,16.576,16.647,24727,0
16.64,16.996,16.39,16.956,18331,0
16.778,16.785,16.282,16.405,42473,0
16.398,16.794,16.198,16.221,52593,0
16.275,16.77,16.135,16.739,63196,0
16.87,17.164,16.747,16.909,114825,0
16.854,16.916,16.182,16.229,23376,0
16.366,17.079,15.655,15.752,44835,0
15.787,16.096,15.578,15.609,27069,0
15.679,16.299,15.51,16.221,26956,0
16.306,16.808,15.943,16.593,42348,0
16.762,17.003,16.593,16.839,22606,0
16.724,17.011,16.499,16.553,53152,0
16.469,16.469,15.647,15.718,23901,0
15.615,16.006,15.531,15.99,17443,0
15.91,16.366,15.834,16.282,15277,0
16.306,16.306,15.779,15.972,26184,0
15.888,16.198,15.793,16.049,36071,0
15.752,15.816,15.455,15.455,39515,0
15.48,15.801,15.223,15.368,29679,0
15.562,15.793,15.546,15.603,19690,0
15.502,15.88,15.502,15.742,11775,0
15.609,15.918,15.007,15.022,35076,0
